id,address,address2,city,state_abbr,state,zip,phone,latitude,longitude
17601460,1114 1st St N,Suite 200,Alabaster,AL,Alabama,35007,(205) 624-4880,33.256487,-86.8127625
22287152,8171 US Highway 431,,Albertville,AL,Alabama,35950,(256) 869-6075,34.281106,-86.22043
12113227,1700 US Highway 72 E,,Athens,AL,Alabama,35611,(256) 960-9302,34.7813373,-86.9349013
12110626,2049 S College St,,Auburn,AL,Alabama,36832,(334) 501-2233,32.5660509,-85.5015994
17199810,171 N College St,,Auburn,AL,Alabama,36830,(334) 707-8552,32.6087055,-85.4820224
12105688,2178 Eastern Valley Rd,,Bessemer,AL,Alabama,35022,(205) 425-1333,33.3353909,-86.9956747
12105707,2109 6th Ave S,,Birmingham,AL,Alabama,35233,(205) 297-8777,33.50759,-86.79852
12108553,1820 Gadsden Hwy,Ste 100,Birmingham,AL,Alabama,35235,(205) 508-3638,33.6073806,-86.63121129999999
12112122,400 Cahaba Park Cir,Suite 1,Birmingham,AL,Alabama,35242,(205) 502-7311,33.4286228,-86.7065598
16206046,300 Commons Dr,,Birmingham,AL,Alabama,35209,(205) 518-5250,33.4419172,-86.8307235
47002273,2148 Sweeney Hollow Rd,,Birmingham,AL,Alabama,35215,(205) 419-9949,33.6538256,-86.64816069999999
12112993,3201 Buttermilk Rd,,Cottondale,AL,Alabama,35453,(205) 633-2155,33.1789395,-87.4467183
12108505,1600 County Rd 437,,Cullman,AL,Alabama,35055,(256) 255-5638,34.1170475,-86.86405760000001
12111481,29728 Urgent Care Dr,Suite A,Daphne,AL,Alabama,36526,(251) 509-9349,30.6582535,-87.8513306
12111498,29160 US Highway 98,,Daphne,AL,Alabama,36526,(251) 487-0202,30.6501798,-87.9119588
12111004,1024 6th Ave SE,,Decatur,AL,Alabama,35601,(256) 960-9349,34.5914487,-86.97998539999999
12111570,2141 Ross Clark Cir,,Dothan,AL,Alabama,36301,(334) 671-0064,31.18953,-85.39953
12113208,4185 Montgomery Hwy,,Dothan,AL,Alabama,36303,(334) 446-1715,31.2625798,-85.4399506
14929523,3835 W Main St,Suite 1,Dothan,AL,Alabama,36305,(334) 836-7414,31.2316055,-85.4496307
18719861,1865 E Main St,Suite 1,Dothan,AL,Alabama,36301,(334) 686-0001,31.2186738,-85.3634299
12108183,906 Boll Weevil Circle,Ste A,Enterprise,AL,Alabama,36330,(334) 433-9806,31.3350706,-85.8547401
35840070,1531 Florence Blvd,,Florence,AL,Alabama,35630,(256) 960-9424,34.8206919,-87.65431509999999
1009308970,901 Glenn Boulevard Southwest,,Fort Payne,AL,Alabama,35967,(256) 513-5980,34.437201,-85.742029
12113605,9201 Grand Bay Wilmer Rd,,Grand Bay,AL,Alabama,36541,(251) 865-0268,30.498436,-88.333703
44586475,6511 Highway 431 S,,Hampton Cove,AL,Alabama,35763,(256) 924-2470,34.6642805,-86.4848038
12114665,426 AL Highway 69 S,,Hanceville,AL,Alabama,35077,(256) 615-6178,34.05222510000001,-86.8721261
35840105,2536 Helena Rd,Ste D,Helena,AL,Alabama,35080,(205) 580-1961,33.282438,-86.8514
12112346,505 Brookwood Blvd,,Homewood,AL,Alabama,35209,(205) 803-3530,33.4682713,-86.7763179
35840092,5413 US 280,Ste 100,Hoover,AL,Alabama,35242,(205) 580-1959,33.417585,-86.667496
12107964,1221B Memorial Pkwy NW,,Huntsville,AL,Alabama,35801,(256) 960-9197,34.74432850000001,-86.6016716
12111315,2785 Carl T Jones Dr SE,Suite A,Huntsville,AL,Alabama,35802,(256) 960-9239,34.6735923,-86.5388399
12113373,301 Sparkman Dr NW,,Huntsville,AL,Alabama,35805,(256) 824-4587,34.7270192,-86.6397275
12113926,10055 Memorial Pkwy SE,Suite B,Huntsville,AL,Alabama,35803,(256) 960-9263,34.6416967,-86.5660971
1012782322,602 Pelham Road South,,Jacksonville,AL,Alabama,36265,(760) 230-8838,33.8102258,-85.76091699999999
49537732,2315 Highway 78 E,,Jasper,AL,Alabama,35501,(205) 265-2545,33.842857,-87.247517
36427310,2111 Moody Parkway,,Leeds,AL,Alabama,35094,(205) 571-9994,33.5713992,-86.5201611
12114697,103 Brookridge Dr,Suite B,Madison,AL,Alabama,35758,(256) 960-9231,34.7495663,-86.76015079999999
18726771,11212 County Line Rd,Suite A,Madison,AL,Alabama,35758,(256) 503-5124,34.7026602,-86.7870609
80953205,11839 U.S. 231,,Meridianville,AL,Alabama,35759,(256) 590-1387,34.8557087,-86.5715871
12110001,1753 Springhill Ave,,Mobile,AL,Alabama,36607,(251) 442-5581,30.6916025,-88.0813819
12114053,5701 Old Shell Rd,,Mobile,AL,Alabama,36608,(251) 366-4823,30.68889,-88.17428
12114798,505 Schillinger Rd S,#A-110,Mobile,AL,Alabama,36695,(251) 442-4845,30.6784133,-88.2229385
12114381,8025 Vaughn Rd,,Montgomery,AL,Alabama,36116,(334) 260-7700,32.3391198,-86.1756749
26160808,790 Ann St,,Montgomery,AL,Alabama,36107,(334) 356-2003,32.3715181,-86.271164
64234093,2035 Eastern Boulevard,,Montgomery,AL,Alabama,36117,(334) 274-3002,32.3531183,-86.2188554
92612465,6300 Atlanta Highway,,Montgomery,AL,Alabama,36117,(334) 322-5004,32.381827,-86.188801
98716645,2975 Woodley Road,,Montgomery,AL,Alabama,36111,(334) 322-9256,32.327715,-86.2645
13272532,1609 Woodward Ave,,Muscle Shoals,AL,Alabama,35661,(256) 960-9414,34.7460146,-87.6673856
12110512,2103 Pepperell Parkway,,Opelika,AL,Alabama,36801,(334) 610-0642,32.63747,-85.40891
12114847,10 Oxford Exchange Blvd,,Oxford,AL,Alabama,36203,(256) 831-4696,33.60787639999999,-85.7854792
27963090,700 S Quintard Ave,,Oxford,AL,Alabama,36203,(256) 831-0702,33.614638,-85.8270896
1004805120,1165 South Hwy. 231,,Ozark,AL,Alabama,36360,(334) 686-0003,31.4471623,-85.6560061
12111871,480 Cahaba Valley Rd,Suite A,Pelham,AL,Alabama,35124,(205) 988-3664,33.334092,-86.78392459999999
12110416,1413 Highway 280 BYP,Suite B,Phenix City,AL,Alabama,36867,(334) 384-9645,32.4741052,-85.0307419
14842962,2020 Cobbs Ford Rd,Suite 1,Prattville,AL,Alabama,36066,(334) 380-3889,32.4595211,-86.4148931
1026695875,3352 Rainbow Drive,,Rainbow City,AL,Alabama,35906,(256) 850-2271,33.95724,-86.0386467
1030126864,24605 John T Reid Parkway,,Scottsboro,AL,Alabama,35768,,34.6664442,-86.0119903
29512850,100 Troy Plaza Loop,,Troy,AL,Alabama,36081,(334) 808-1353,31.7828,-85.951975
12107381,160 McCorvey Dr,,Tuscaloosa,AL,Alabama,35487,(205) 219-5596,,
12110303,2520 Stillman Blvd,,Tuscaloosa,AL,Alabama,35401,(205) 349-3400,33.20563,-87.56908
12111329,3615 McFarland Blvd E,Suite 101,Tuscaloosa,AL,Alabama,35405,(205) 633-2822,33.175843,-87.523714
12108170,2804 20th Ave,,Valley,AL,Alabama,36854,(334) 528-0201,32.8469322,-85.1837749
13450090,1284 Montgomery Hwy,,Vestavia,AL,Alabama,35216,(205) 582-2095,33.428961,-86.79072
23674774,2419 Acton Rd,,Vestavia Hills,AL,Alabama,35243,(205) 490-1241,33.4104106,-86.7630247
