year,pop,production,imports,total_supply,exports,total,farm_avail,retail_avail
1960,180.671,"4,011.1",3.6,"4,014.7",145.9,"3,868.9",21.4,19.9
1961,183.691,"3,953.4",3.3,"3,956.7",159.2,"3,797.5",20.7,19.2
1962,186.538,"3,904.4",1.3,"3,905.7",163.4,"3,742.3",20.1,18.7
1963,189.242,"4,098.5",5.5,"4,104.0",164.5,"3,939.5",20.8,19.4
1964,191.889,"4,087.1",4.5,"4,091.6",175.9,"3,915.7",20.4,19.0
1965,194.303,"4,258.4",4.4,"4,262.8",180.8,"4,082.0",21.0,19.5
1966,196.560,"4,328.3",4.7,"4,333.0",219.0,"4,114.0",20.9,19.5
1967,198.712,"4,481.6",3.3,"4,484.9",232.2,"4,252.7",21.4,19.9
1968,200.706,"4,639.1",7.4,"4,646.5",264.4,"4,382.1",21.8,20.3
1969,202.677,"4,698.4",6.9,"4,705.3",279.5,"4,425.8",21.8,20.3
1970,205.052,"4,836.5",2.3,"4,838.8",250.5,"4,588.3",22.4,20.8
1971,207.661,"4,936.7",4.5,"4,941.2",292.8,"4,648.4",22.4,20.8
1972,209.896,"5,047.0",1.2,"5,048.2",338.3,"4,709.9",22.4,20.9
1973,211.909,"5,243.5",1.9,"5,245.4",345.5,"4,899.9",23.1,21.5
1974,213.854,"5,323.1",3.3,"5,326.4",300.6,"5,025.8",23.5,21.9
1975,215.973,"5,410.8",2.2,"5,413.0",329.6,"5,083.4",23.5,21.9
1976,218.035,"5,640.0",3.0,"5,643.0",360.8,"5,282.2",24.2,22.5
1977,220.239,"6,043.2",3.8,"6,047.0",359.5,"5,687.5",25.8,24.0
1978,222.585,"6,052.8",5.7,"6,058.5",459.9,"5,580.0",25.1,23.3
1979,225.055,"6,143.9",13.0,"6,156.9",480.6,"5,648.5",25.1,23.3
1980,227.726,"6,336.3",15.1,"6,351.4",488.5,"5,836.9",25.6,23.8
1981,229.966,"6,268.2",11.4,"6,279.6",523.9,"5,728.6",24.9,23.2
1982,232.188,"6,294.9",14.6,"6,309.5",499.3,"5,789.9",24.9,23.2
1983,234.307,"5,775.5",21.4,"5,796.9",519.2,"5,258.5",22.4,20.9
1984,236.348,"6,397.6",32.6,"6,430.2",524.1,"5,894.7",24.9,23.2
1985,238.466,"6,133.4",37.8,"6,171.2",507.4,"5,645.0",23.7,22.0
1986,240.651,"5,829.0",20.8,"5,849.8",553.6,"5,279.2",21.9,20.4
1987,242.804,"6,787.7",18.3,"6,806.0",542.5,"6,242.2",25.7,23.9
1988,245.021,"7,050.5",37.4,"7,087.9",431.3,"6,625.4",27.0,25.1
1989,247.342,"7,523.1",35.6,"7,558.7",463.6,"7,095.1",28.7,26.7
1990,250.132,"7,320.1",17.2,"7,337.3",396.9,"6,940.4",27.7,25.8
1991,253.493,"7,077.8",21.1,"7,098.9",496.7,"6,602.2",26.0,24.2
1992,256.894,"7,081.0",21.2,"7,102.2",476.8,"6,625.4",25.8,24.0
1993,260.255,"6,781.1",32.7,"6,813.8",463.6,"6,350.2",24.4,22.7
1994,263.436,"7,005.8",20.6,"7,026.4",438.8,"6,587.6",25.0,23.3
1995,266.557,"6,234.9",51.8,"6,286.7",377.9,"5,908.8",22.2,20.6
1996,269.667,"6,207.2",28.3,"6,235.5",417.5,"5,818.0",21.6,20.1
1997,272.912,"6,879.4",39.3,"6,918.7",395.7,"6,523.0",23.9,22.2
1998,276.115,"6,546.1",22.9,"6,569.0",404.7,"6,164.3",22.3,20.8
1999,279.295,"7,318.1",28.9,"7,347.0",390.0,"6,957.0",24.9,23.2
2000,282.385,"6,967.3",31.9,"6,999.2",374.2,"6,624.9",23.5,21.8
2001,285.309,"6,891.7",45.8,"6,937.5",378.8,"6,558.7",23.0,21.4
2002,288.105,"6,814.0",106.6,"6,920.6",425.9,"6,494.6",22.5,21.0
2003,290.820,"6,824.8",94.1,"6,918.9",453.6,"6,465.4",22.2,20.7
2004,293.463,"6,622.8",92.0,"6,714.8",476.4,"6,238.4",21.3,19.8
2005,296.186,"6,525.3",119.0,"6,644.3",450.1,"6,194.2",20.9,19.4
2006,298.996,"6,249.4",110.5,"6,359.9",363.9,"5,996.0",20.1,18.6
2007,302.004,"5,747.4",155.3,"5,902.7",353.2,"5,549.5",18.4,17.1
2008,304.798,"5,295.2",178.9,"5,474.1",338.4,"5,135.7",16.8,15.7
2009,307.439,"5,018.0",196.1,"5,214.1",262.4,"4,951.7",16.1,15.0
2010,309.741,"5,012.0",220.3,"5,232.3",299.2,"4,933.1",15.9,14.8
2011,311.974,"4,966.5",257.4,"5,223.9",296.4,"4,927.5",15.8,14.7
2012,314.168,"5,097.6",223.7,"5,321.3",310.6,"5,010.6",15.9,14.8
2013,316.295,"4,515.0",236.4,"4,751.4",292.7,"4,458.8",14.1,13.1
2014,318.577,"4,591.8",292.5,"4,884.3",268.3,"4,616.0",14.5,13.5
2015,320.871,"4,310.8",302.8,"4,613.6",260.9,"4,352.6",13.6,12.6
2016,323.161,"5,384.1",295.5,"5,679.6",269.2,"5,410.3",16.7,15.6
2017,325.206,"4,939.6",266.8,"5,206.3",259.9,"4,946.4",15.2,14.1
2018,326.924,"4,056.1",211.6,"4,267.7",258.3,"4,009.4",12.3,11.4
2019,328.476,"4,144.6",260.3,"4,404.8",243.5,"4,161.3",12.7,11.8
