product_number,main_category,sub_category,category_detail,product_name,date_captured,year_captured
406,Drinks,Hot Coffees,Americanos,Caffè Americano,2019-10-01,2019
2122559,Drinks,Hot Coffees,Americanos,Starbucks® Blonde Caffè Americano,2019-10-01,2019
873068625,Drinks,Hot Coffees,Brewed Coffees,Blonde Roast,2019-10-01,2019
478,Drinks,Hot Coffees,Brewed Coffees,Caffè Misto,2019-10-01,2019
479,Drinks,Hot Coffees,Brewed Coffees,Featured Dark Roast,2019-10-01,2019
480,Drinks,Hot Coffees,Brewed Coffees,Pike Place® Roast,2019-10-01,2019
481,Drinks,Hot Coffees,Brewed Coffees,Decaf Pike Place® Roast,2019-10-01,2019
409,Drinks,Hot Coffees,Cappuccinos,Cappuccino,2019-10-01,2019
2122561,Drinks,Hot Coffees,Cappuccinos,Starbucks® Blonde Cappuccino,2019-10-01,2019
410,Drinks,Hot Coffees,Espresso Shots,Espresso,2019-10-01,2019
411,Drinks,Hot Coffees,Espresso Shots,Espresso Con Panna,2019-10-01,2019
565,Drinks,Hot Coffees,Flat Whites,Flat White,2019-10-01,2019
2122560,Drinks,Hot Coffees,Flat Whites,Starbucks® Blonde Flat White,2019-10-01,2019
418,Drinks,Hot Coffees,Lattes,Pumpkin Spice Latte,2019-10-01,2019
2123106,Drinks,Hot Coffees,Lattes,Starbucks® Blonde Pumpkin Spice Latte,2019-10-01,2019
407,Drinks,Hot Coffees,Lattes,Caffè Latte,2019-10-01,2019
414,Drinks,Hot Coffees,Lattes,Cinnamon Dolce Latte,2019-10-01,2019
2122614,Drinks,Hot Coffees,Lattes,Starbucks Reserve® Latte,2019-10-01,2019
774,Drinks,Hot Coffees,Lattes,Skinny Cinnamon Dolce Latte,2019-10-01,2019
2122617,Drinks,Hot Coffees,Lattes,Starbucks Reserve® Hazelnut Bianco Latte,2019-10-01,2019
2122164,Drinks,Hot Coffees,Lattes,Starbucks® Blonde Vanilla Latte,2019-10-01,2019
2122166,Drinks,Hot Coffees,Lattes,Starbucks® Blonde Caffè Latte,2019-10-01,2019
2123059,Drinks,Hot Coffees,Macchiatos,Cocoa Cloud Macchiato,2019-10-01,2019
2123060,Drinks,Hot Coffees,Macchiatos,Starbucks® Blonde Cocoa Cloud Macchiato,2019-10-01,2019
2123006,Drinks,Hot Coffees,Macchiatos,Caramel Cloud Macchiato,2019-10-01,2019
2123007,Drinks,Hot Coffees,Macchiatos,Starbucks® Blonde Caramel Cloud Macchiato,2019-10-01,2019
413,Drinks,Hot Coffees,Macchiatos,Caramel Macchiato,2019-10-01,2019
412,Drinks,Hot Coffees,Macchiatos,Espresso Macchiato,2019-10-01,2019
761,Drinks,Hot Coffees,Mochas,Salted Caramel Mocha,2019-10-01,2019
2123117,Drinks,Hot Coffees,Mochas,Starbucks® Blonde Salted Caramel Mocha,2019-10-01,2019
408,Drinks,Hot Coffees,Mochas,Caffè Mocha,2019-10-01,2019
883,Drinks,Hot Coffees,Mochas,Skinny Mocha,2019-10-01,2019
2122615,Drinks,Hot Coffees,Mochas,Starbucks Reserve® Dark Chocolate Mocha,2019-10-01,2019
420,Drinks,Hot Coffees,Mochas,White Chocolate Mocha,2019-10-01,2019
2122090,Drinks,Hot Coffees,Clover® Brewed Coffees,Sun-dried Ethiopia Yirgacheffe® Chelelektu Clover® Starbucks Reserve®,2019-10-01,2019
2123115,Drinks,Hot Coffees,Clover® Brewed Coffees,Guatemala Antigua Santa Clara Estate Clover® Starbucks Reserve®,2019-10-01,2019
2121525,Drinks,Hot Coffees,Clover® Brewed Coffees,Hawaii Ka'u Clover® Starbucks Reserve®,2019-10-01,2019
2123062,Drinks,Hot Coffees,Clover® Brewed Coffees,Clover® Bali Batur Volcano Starbucks Reserve®,2019-10-01,2019
2123061,Drinks,Hot Coffees,Clover® Brewed Coffees,Clover® Peru El Lirio Starbucks Reserve®,2019-10-01,2019
2122379,Drinks,Hot Coffees,Clover® Brewed Coffees,Clover® East Timor Peaberry Starbucks Reserve®,2019-10-01,2019
2121958,Drinks,Hot Coffees,Clover® Brewed Coffees,Clover® Malawi Sable Farms Starbucks Reserve®,2019-10-01,2019
2121629,Drinks,Hot Coffees,Clover® Brewed Coffees,Pike Place® Roast Clover®,2019-10-01,2019
2121631,Drinks,Hot Coffees,Clover® Brewed Coffees,Organic Yukon Blend® Clover®,2019-10-01,2019
2122412,Drinks,Hot Coffees,Clover® Brewed Coffees,Clover® Costa Rica La Candelilla Starbucks Reserve®,2019-10-01,2019
2121585,Drinks,Hot Coffees,Clover® Brewed Coffees,Gold Coast Clover®,2019-10-01,2019
2121581,Drinks,Hot Coffees,Clover® Brewed Coffees,Breakfast Blend Clover®,2019-10-01,2019
2121598,Drinks,Hot Coffees,Clover® Brewed Coffees,Clover® Ethiopia Bitta Farm Starbucks Reserve®,2019-10-01,2019
2121588,Drinks,Hot Coffees,Clover® Brewed Coffees,Kenya Clover®,2019-10-01,2019
2121635,Drinks,Hot Coffees,Clover® Brewed Coffees,Veranda Blend® Clover®,2019-10-01,2019
2121586,Drinks,Hot Coffees,Clover® Brewed Coffees,Guatemala Antigua Clover®,2019-10-01,2019
2121637,Drinks,Hot Coffees,Clover® Brewed Coffees,Willow Blend® Clover®,2019-10-01,2019
2121633,Drinks,Hot Coffees,Clover® Brewed Coffees,Decaf Sumatra Clover®,2019-10-01,2019
2121636,Drinks,Hot Coffees,Clover® Brewed Coffees,Caffé Verona® Clover®,2019-10-01,2019
2121748,Drinks,Hot Coffees,Clover® Brewed Coffees,Decaf Pike Place® Roast Clover®,2019-10-01,2019
2121582,Drinks,Hot Coffees,Clover® Brewed Coffees,Espresso Roast Clover®,2019-10-01,2019
2121632,Drinks,Hot Coffees,Clover® Brewed Coffees,Decaf Espresso Roast Clover®,2019-10-01,2019
2121583,Drinks,Hot Coffees,Clover® Brewed Coffees,Ethiopia Clover®,2019-10-01,2019
2121584,Drinks,Hot Coffees,Clover® Brewed Coffees,French Roast Clover®,2019-10-01,2019
2121587,Drinks,Hot Coffees,Clover® Brewed Coffees,Italian Roast Clover®,2019-10-01,2019
2122377,Drinks,Hot Coffees,Clover® Brewed Coffees,Komodo Dragon Clover®,2019-10-01,2019
