store_number,name,ownership_type,slug,address,city,state,zip,country,timezone,latitude,longitude
6892-84700,"Channel Islands & Rose, Oxnard",CO,channel-islands-rose-oxnard-1611-e-channel-island-blvd-oxnard-ca-930335617-us,1611 E Channel Island Blvd,Oxnard,CA,93033,US,GMT-07:00 America/Los_Angeles,34.17375,-119.16153
9388-96401,"Saviers & Channel Islands, Oxn",CO,saviers-channel-islands-oxn-3042-saviers-road-oxnard-ca-930335313-us,3042 Saviers Road,Oxnard,CA,93033,US,GMT-07:00 America/Los_Angeles,34.17147,-119.17713
8618-93430,"5th & B Street, Oxnard",CO,5th-b-street-oxnard-241-w-5th-street-oxnard-ca-930307157-us,241 W.  5th Street,Oxnard,CA,93030,US,GMT-07:00 America/Los_Angeles,34.19789,-119.17943
29373-251746,Ventura & Channel Islands,CO,ventura-channel-islands-2400-south-ventura-road-oxnard-ca-930334217-us,2400 South Ventura Road,Oxnard,CA,93033,US,GMT-07:00 America/Los_Angeles,34.17714,-119.19463
25052-234624,Gonzales & Rose,CO,gonzales-rose-1921-n-rose-avenue-oxnard-ca-930362680-us,1921 N. Rose Avenue,Oxnard,CA,93036,US,GMT-07:00 America/Los_Angeles,34.21929,-119.15947
74608-91322,Vons Oxnard 2436,LS,vons-oxnard-2436-2101-n-rose-ave-oxnard-ca-930362682-us,2101 N Rose Ave,Oxnard,CA,93036,US,GMT-07:00 America/Los_Angeles,34.22188,-119.16142
76356-97155,Target Camarillo 1027,LS,target-camarillo-1027-209-w-ventura-blvd-camarillo-ca-930108359-us,209 W Ventura Blvd,Camarillo,CA,93010,US,GMT-07:00 America/Los_Angeles,34.21716,-119.07314
655-262204,Channel Islands & Wheelhouse,CO,channel-islands-wheelhouse-555-channel-islands-blvd-port-hueneme-ca-930412179,555 Channel Islands Blvd.,Port Hueneme,CA,93041,US,GMT-07:00 America/Los_Angeles,34.17623,-119.21384
621-344,Las Posas & Ponderosa,CO,las-posas-ponderosa-540-las-posas-road-camarillo-ca-930105705-us,540 Las Posas Road,Camarillo,CA,93010,US,GMT-07:00 America/Los_Angeles,34.22275,-119.06852
22276-217904,Camarillo Premium Outlets,CO,camarillo-premium-outlets-740-east-ventura-blvd-ki-01-1-camarillo-ca-9301058,740 East Ventura Blvd,Camarillo,CA,93010,US,GMT-07:00 America/Los_Angeles,34.21626,-119.05904
79558-103613,Vons Oxnard 2825,LS,vons-oxnard-2825-1291-s-victoria-blvd-oxnard-ca-93030-us,1291 S VICTORIA BLVD,Oxnard,CA,93030,US,GMT-07:00 America/Los_Angeles,34.18851,-119.2217
5943-254308,Esplanade and Wagon Wheel,CO,esplanade-and-wagon-wheel-380-w-esplanade-oxnard-ca-930361264-us,380 W. Esplanade,Oxnard,CA,93036,US,GMT-07:00 America/Los_Angeles,34.23434,-119.17945
16675-155371,The Collections at Riverpark,CO,the-collections-at-riverpark-669-town-center-drive-oxnard-ca-930361137-us,669 Town Center Drive,Oxnard,CA,93036,US,GMT-07:00 America/Los_Angeles,34.24068,-119.17893
15778-159191,Target Oxnard 2760,LS,target-oxnard-2760-2850-n-oxnard-blvd-oxnard-ca-930365443-us,2850 N Oxnard Blvd,Oxnard,CA,93036,US,GMT-07:00 America/Los_Angeles,34.2426,-119.17761
74739-98380,Vons Camarillo 1672,LS,vons-camarillo-1672-820-arnell-rd-camarillo-ca-930104701-us,820 Arnell Rd,Camarillo,CA,93010,US,GMT-07:00 America/Los_Angeles,34.22527,-119.0371
6670-187764,Arneill & Las Posas,CO,arneill-las-posas-2306-e-las-posas-rd-ste-a-camarillo-ca-930103436-u,2306 E Las Posas Rd,Camarillo,CA,93010,US,GMT-07:00 America/Los_Angeles,34.23634,-119.03858
9592-97504,"Verdugo & Camino Ruiz, Camaril",CO,verdugo-camino-ruiz-camaril-5011-verdugo-way-camarillo-ca-930128658-us,5011 Verdugo Way,Camarillo,CA,93012,US,GMT-07:00 America/Los_Angeles,34.21599,-119.00443
5227-275964,Victoria & Moon,CO,victoria-moon-1945-s-victoria-ave-ventura-ca-930036643-us,1945 S. Victoria Ave.,Ventura,CA,93003,US,GMT-07:00 America/Los_Angeles,34.25634,-119.21085
22181-214824,Ralphs Ventura 664,LS,ralphs-ventura-664-1776-s-victoria-ave-ventura-ca-93003-us,1776 S Victoria Ave,Ventura,CA,93003,US,GMT-07:00 America/Los_Angeles,34.25827,-119.20898
75982-107258,Vons Ventura 2164,LS,vons-ventura-2164-5688-telephone-rd-ventura-ca-930035326-us,5688 Telephone Rd,Ventura,CA,93003,US,GMT-07:00 America/Los_Angeles,34.26441,-119.21411
48524-263405,Lewis & Las Posas,CO,lewis-las-posas-4511-las-posas-road-camarillo-ca-930102525-us,4511 Las Posas Road,Camarillo,CA,93010,US,GMT-07:00 America/Los_Angeles,34.24247,-119.01081
74821-98382,Vons Camarillo 2094,LS,vons-camarillo-2094-5275-mission-oaks-blvd-camarillo-ca-930125422-us,5275 Mission Oaks Blvd,Camarillo,CA,93012,US,GMT-07:00 America/Los_Angeles,34.22957,-118.9984
5538-160400,Main & Telephone,CO,main-telephone-4710-telephone-road-ventura-ca-930035239-us,4710 Telephone Road,Ventura,CA,93003,US,GMT-07:00 America/Los_Angeles,34.26134,-119.23186
76899-131225,Target Ventura 298,LS,target-ventura-298-4200-e-main-st-ventura-ca-930035230-us,4200 E Main St,Ventura,CA,93003,US,GMT-07:00 America/Los_Angeles,34.26137,-119.23641
74391-90572,Vons Ventura 2678,LS,vons-ventura-2678-6120-telegraph-rd-ventura-ca-930034383-us,6120 Telegraph Rd,Ventura,CA,93003,US,GMT-07:00 America/Los_Angeles,34.27728,-119.21272
6595-40765,"Telegraph & Victoria, Ventura",CO,telegraph-victoria-ventura-6128-b-telegraph-road-ventura-ca-930034357-us,6128-B Telegraph Road,Ventura,CA,93003,US,GMT-07:00 America/Los_Angeles,34.27792,-119.21234
47567-258846,"Telegraph and Day, Ventura",CO,telegraph-and-day-ventura-5101-telegraph-road-101-ventura-ca-930034155-us,5101 Telegraph Road,Ventura,CA,93003,US,GMT-07:00 America/Los_Angeles,34.27651,-119.22634
5909-10775,Reino Road & Kimber Drive,CO,reino-road-kimber-drive-421-s-reino-rd-ste-a-newbury-park-ca-913204272-us,421 S Reino Rd,Newbury Park,CA,91320,US,GMT-07:00 America/Los_Angeles,34.17152,-118.95582
50273-269024,"Main & Mills, Ventura",CO,main-mills-ventura-3550-main-st-ventura-ca-930035063-us,3550 Main St.,Ventura,CA,93003,US,GMT-07:00 America/Los_Angeles,34.26428,-119.24508
76891-127001,Target Ventura WEST 2398,LS,target-ventura-west-2398-245-s-mills-rd-pacific-view-mall-ventura-ca-930033,245 S Mills Rd,Ventura,CA,93003,US,GMT-07:00 America/Los_Angeles,34.26992,-119.24904
74377-90502,Vons Ventura 2677,LS,vons-ventura-2677-2764-e-thompson-blvd-ventura-ca-930032719-us,2764 E Thompson Blvd,Ventura,CA,93003,US,GMT-07:00 America/Los_Angeles,34.27141,-119.25937
6825-83251,"Harbor & Seaward, Ventura",CO,harbor-seaward-ventura-2453-harbor-blvd-ventura-ca-930013904-us,2453 Harbor Blvd,Ventura,CA,93001,US,GMT-07:00 America/Los_Angeles,34.26317,-119.26957
5830-159944,Wendy & Grande Vista,CO,wendy-grande-vista-975-broadbeck-dr-thousand-oaks-ca-913201200-us,975 Broadbeck Dr.,Thousand Oaks,CA,91320,US,GMT-07:00 America/Los_Angeles,34.19186,-118.9381
76897-131630,Target Thousand Oaks 1100,LS,target-thousand-oaks-1100-2705-teller-rd-thousand-oaks-ca-913201190-us,2705 Teller Rd,Thousand Oaks,CA,91320,US,GMT-07:00 America/Los_Angeles,34.19091,-118.93454
8785-238824,Hillcrest & Ventu Park,CO,hillcrest-ventu-park-540-north-ventu-park-rd-thousand-oaks-ca-913202709,540 North Ventu Park Rd,Thousand Oaks,CA,91320,US,GMT-07:00 America/Los_Angeles,34.18652,-118.91061
6826-40766,"Main & Chestnut, Ventura",CO,main-chestnut-ventura-607-e-main-street-a-ventura-ca-930012852-us,607 E. Main Street,Ventura,CA,93001,US,GMT-07:00 America/Los_Angeles,34.28099,-119.29139
74886-100489,Vons Santa Paula 2434,LS,vons-santa-paula-2434-576-w-main-st-santa-paula-ca-930603209-us,576 W Main St,Santa Paula,CA,93060,US,GMT-07:00 America/Los_Angeles,34.34415,-119.08069
79507-103369,Vons Ventura 2096,LS,vons-ventura-2096-115-w-main-st-ventura-ca-930012509-us,115 W. MAIN ST.,Ventura,CA,93001,US,GMT-07:00 America/Los_Angeles,34.28195,-119.30237
22257-196805,Palm & Harvard,CO,palm-harvard-310-south-palm-street-santa-paula-ca-930603327-us,310 South Palm Street,Santa Paula,CA,93060,US,GMT-07:00 America/Los_Angeles,34.34623,-119.06969
19684-200324,The Oaks Mall,CO,the-oaks-mall-350-west-hillcrest-drive-cl-121-thousand-oaks-ca-9,350 West Hillcrest Drive,Thousand Oaks,CA,91360,US,GMT-07:00 America/Los_Angeles,34.18353,-118.88736
5219-292651,Moorpark & Brazil,CO,moorpark-brazil-401-moorpark-road-suite-3706-thousand-oaks-ca-9136,"401 Moorpark Road, suite 3706",Thousand Oaks,CA,91360,US,GMT-07:00 America/Los_Angeles,34.18392,-118.8759
22799-210125,Cal. Lutheran Univ. Ullman Com,LS,cal-lutheran-univ-ullman-com-101-memorial-way-thousand-oaks-ca-91360-us,101 Memorial Way,Thousand Oaks,CA,91360,US,GMT-07:00 America/Los_Angeles,34.22353,-118.87833
74788-98373,Vons Moorpark 1735,LS,vons-moorpark-1735-4241-tierra-rejada-rd-moorpark-ca-930213772-us,4241 Tierra Rejada Rd,Moorpark,CA,93021,US,GMT-07:00 America/Los_Angeles,34.26778,-118.89917
53503-257433,Ralphs Thousand Oaks 620,LS,ralphs-thousand-oaks-620-1500-moorpark-rd-thousand-oaks-ca-91360-us,1500 Moorpark Rd,Thousand Oaks,CA,91360,US,GMT-07:00 America/Los_Angeles,34.19897,-118.86878
8746-94662,"Janss & Moorpark, Thousand Oak",CO,janss-moorpark-thousand-oak-605-e-janss-road-b-thousand-oaks-ca-913605177-us,605 E. Janss Road,Thousand Oaks,CA,91360,US,GMT-07:00 America/Los_Angeles,34.20006,-118.86752
74939-99028,Vons Thousand Oaks 1610,LS,vons-thousand-oaks-1610-1790-n-moorpark-rd-thousand-oaks-ca-913605133-us,1790 N Moorpark Rd,Thousand Oaks,CA,91360,US,GMT-07:00 America/Los_Angeles,34.20157,-118.86697
78411-308387,N Moorpark & Avenida de las Fl,CO,n-moorpark-avenida-de-las-fl-2198-n-moorpark-rd-thousand-oaks-ca-91360-us,2198 N Moorpark Rd,Thousand Oaks,CA,91360,US,GMT-07:00 America/Los_Angeles,34.20853,-118.86798
17656-175784,Thousand Oaks & Rancho,CO,thousand-oaks-rancho-1195-east-thousand-oaks-blvd-thousand-oaks-ca-9136,1195 East Thousand Oaks Blvd.,Thousand Oaks,CA,91362,US,GMT-07:00 America/Los_Angeles,34.17879,-118.85814
26639-244261,Ralphs Moorpark 723,LS,ralphs-moorpark-723-101-w-los-angeles-ave-moorpark-ca-93021-us,101 W Los Angeles Ave,Moorpark,CA,93021,US,GMT-07:00 America/Los_Angeles,34.28011,-118.88319
5452-1532,Los Angeles & Spring,CO,los-angeles-spring-561-new-los-angeles-ave-moorpark-ca-930212001-us,561 NEW LOS ANGELES AVE,Moorpark,CA,93021,US,GMT-07:00 America/Los_Angeles,34.27945,-118.8731
50274-270506,98th & Central,CO,98th-central-136-98th-street-albuquerque-nm-871218796-us,136 98th Street,Albuquerque,NM,87121,US,GMT-06:00 America/Denver,35.07497,-106.74271
51961-270508,Unser & Ladera,CO,unser-ladera-1720-unser-blvd-nw-ste-a-albuquerque-nm-871204394-,1720 Unser Blvd NW Ste A,Albuquerque,NM,87120,US,GMT-06:00 America/Denver,35.10212,-106.72947
61745-296073,Coors and Hanover,CO,coors-and-hanover-1440-coors-blvd-nw-albuquerque-nm-87121-us,1440 Coors Blvd NW,Albuquerque,NM,87121,US,GMT-06:00 America/Denver,35.09905,-106.70725
48926-263693,Coors and St Joseph,CO,coors-and-st-joseph-4101-coors-blvd-nw-suite-a-albuquerque-nm-87120368,4101 Coors Blvd. NW,Albuquerque,NM,87120,US,GMT-06:00 America/Denver,35.12827,-106.70196
60636-294487,Central and Atrisco,CO,central-and-atrisco-4201-central-ave-nw-suite-a-albuquerque-nm-8710516,4201 Central Ave NW,Albuquerque,NM,87105,US,GMT-06:00 America/Denver,35.08563,-106.68683
29677-253433,Rio Bravo and Coors,CO,rio-bravo-and-coors-3721-las-estancias-court-sw-albuquerque-nm-8712155,3721 Las Estancias Court SW,Albuquerque,NM,87121,US,GMT-06:00 America/Denver,35.02274,-106.71394
5845-263694,Golf Course and Paseo del Nort,CO,golf-course-and-paseo-del-nort-8201-golf-course-road-suite-f-albuquerque-nm-87120,8201 Golf Course Road,Albuquerque,NM,87120,US,GMT-06:00 America/Denver,35.17888,-106.68815
5791-239810,ABQ - Rio Grande and I-40,CO,abq-rio-grande-and-i-40-1000-rio-grande-blvd-albuquerque-nm-871042032-us,1000 Rio Grande Blvd.,Albuquerque,NM,87104,US,GMT-06:00 America/Denver,35.10376,-106.67044
26155-238026,AVANYU PLAZA 19 Pueblos Distri,LS,avanyu-plaza-19-pueblos-distri-2350-12-th-street-nw-albuquerque-nm-87104-us,2350 12th Street NW,Albuquerque,NM,87104,US,GMT-06:00 America/Denver,35.10942,-106.65815
51106-270507,McMahon & Unser,CO,mc-mahon-unser-5730-mc-mahon-blvd-nw-albuquerque-nm-871146419-us,5730 McMahon Blvd. NW,Albuquerque,NM,87114,US,GMT-06:00 America/Denver,35.21236,-106.69734
22707-97168,Smith's Albuquerque 463,LS,smiths-albuquerque-463-4800-mc-mahon-blvd-nw-albuquerque-nm-87114-us,4800 McMahon Blvd NW,Albuquerque,NM,87114,US,GMT-06:00 America/Denver,35.20507,-106.67736
20786-207784,Target Albuquerque 625,LS,target-albuquerque-625-9371-coors-blvd-nw-albuquerque-nm-87114-us,9371 Coors Blvd NW,Albuquerque,NM,87114,US,GMT-06:00 America/Denver,35.18606,-106.66495
10119-99305,"Lomas & Broadway, Albuquerque",CO,lomas-broadway-albuquerque-800-broadway-ne-albuquerque-nm-871022322-us,800 Broadway NE,Albuquerque,NM,87102,US,GMT-06:00 America/Denver,35.09049,-106.64297
11063-101736,"Southern & Unser, Rio Rancho",CO,southern-unser-rio-rancho-1810-southern-blvd-se-rio-rancho-nm-871243507-us,1810 Southern Blvd. SE,Rio Rancho,NM,87124,US,GMT-06:00 America/Denver,35.24123,-106.6992
5701-225324,ABQ - Coors Bypass and 7 Bar L,CO,abq-coors-bypass-and-7-bar-l-9965-coors-bypass-nw-albuquerque-nm-871146196-us,9965 Coors Bypass NW,Albuquerque,NM,87114,US,GMT-06:00 America/Denver,35.19697,-106.66053
54482-286144,Albertsons Albuquerque 937,LS,albertsons-albuquerque-937-10131-coors-road-nw-albuquerque-nm-87114-us,10131 Coors Road NW,Albuquerque,NM,87114,US,GMT-06:00 America/Denver,35.20043,-106.65058
61203-295145,Gibson and Mulberry,CO,gibson-and-mulberry-1314-gibson-blvd-se-albuquerque-nm-871065006-us,1314 Gibson Blvd SE,Albuquerque,NM,87106,US,GMT-06:00 America/Denver,35.05884,-106.63474
60943-294398,CENTRAL NM COMMUNITY COLLEGE,LS,central-nm-community-college-719-university-blvd-se-albuquerque-nm-87106-us,719 University Blvd SE,Albuquerque,NM,87106,US,GMT-06:00 America/Denver,35.07476,-106.62891
13413-105007,528 Lowe's Access Rd,CO,528-lowes-access-rd-3410-nm-528-nw-200-albuquerque-nm-871147021-us,3410 NM 528 NW,Albuquerque,NM,87114,US,GMT-06:00 America/Denver,35.20509,-106.65049
75279-97118,Univ. New Mexico Zimmerman Lib,LS,univ-new-mexico-zimmerman-lib-201-la-posada-albuquerque-nm-87131-us,201 La Posada,Albuquerque,NM,87131,US,GMT-06:00 America/Denver,35.08521,-106.6206
5466-270510,Columbia & Central,CO,columbia-central-2550-central-ave-se-albuquerque-nm-871063749-us,2550 Central Ave SE,Albuquerque,NM,87106,US,GMT-06:00 America/Denver,35.08064,-106.61745
6417-39800,I-25 & Montano,CO,i-25-montano-1450-montano-ne-albuquerque-nm-871074947-us,1450 Montano NE,Albuquerque,NM,87107,US,GMT-06:00 America/Denver,35.13378,-106.61215
58312-292015,Menaul and Carlisle,CO,menaul-and-carlisle-3501-menaul-blvd-ne-albuquerque-nm-871071817-us,3501 Menaul Blvd NE,Albuquerque,NM,87107,US,GMT-06:00 America/Denver,35.10967,-106.60468
47714-259464,Rio Rancho - 528 and Southern,CO,rio-rancho-528-and-southern-951-nm-hwy-528-se-rio-rancho-nm-871242492-us,951 NM Hwy 528 SE,Rio Rancho,NM,87124,US,GMT-06:00 America/Denver,35.24246,-106.65588
24472-238085,ABQ - Lomas and Washington,CO,abq-lomas-and-washington-4407-lomas-blvd-ne-albuquerque-nm-871107752-us,4407 Lomas Blvd. NE,Albuquerque,NM,87110,US,GMT-06:00 America/Denver,35.08767,-106.59544
5467-278424,Jefferson St & Osuna Rd,CO,jefferson-st-osuna-rd-6707-jefferson-st-ne-albuquerque-nm-871094318-us,6707 Jefferson St NE,Albuquerque,NM,87109,US,GMT-06:00 America/Denver,35.15711,-106.59399
5362-165285,San Mateo & Prospect,CO,san-mateo-prospect-2451-san-mateo-blvd-ne-a-1-albuquerque-nm-87110441,2451 San Mateo Blvd NE,Albuquerque,NM,87110,US,GMT-06:00 America/Denver,35.1069,-106.58758
5590-238083,ABQ - San Mateo and Montgomery,CO,abq-san-mateo-and-montgomery-4301-san-mateo-blvd-ne-albuquerque-nm-871101233-us,4301 San Mateo Blvd NE,Albuquerque,NM,87110,US,GMT-06:00 America/Denver,35.1299,-106.58707
14267-109285,San Mateo and Haines,CO,san-mateo-and-haines-2104-san-mateo-blvd-ne-albuquerque-nm-871105149-us,2104 San Mateo Blvd NE,Albuquerque,NM,87110,US,GMT-06:00 America/Denver,35.10026,-106.5861
9764-97643,"San Mateo & I-25, Albuquerque",CO,san-mateo-i-25-albuquerque-6828-san-mateo-blvd-ne-albuquerque-nm-871093562-us,6828 San Mateo Blvd. NE,Albuquerque,NM,87109,US,GMT-06:00 America/Denver,35.15152,-106.5862
63770-297484,Alameda and Washington,CO,alameda-and-washington-8721-washington-st-ne-albuquerque-nm-871131680-us,8721 WASHINGTON ST NE,Albuquerque,NM,87113,US,GMT-06:00 America/Denver,35.18429,-106.59576
13657-106849,"NM 528 and Rockaway, Rio Ranch",CO,nm-528-and-rockaway-rio-ranch-115-state-highway-528-ne-rio-rancho-nm-871245979-u,115 State Highway 528 NE,Rio Rancho,NM,87124,US,GMT-06:00 America/Denver,35.26002,-106.63795
8652-93725,"Gibson & Palomas, Albuquerque",CO,gibson-palomas-albuquerque-5301-gibson-blvd-se-albuquerque-nm-871084726-us,5301 Gibson Blvd SE,Albuquerque,NM,87108,US,GMT-06:00 America/Denver,35.05853,-106.58293
59833-293019,Macy's Coronado Center 1st Flo,LS,macys-coronado-center-1st-flo-6600-menaul-blvd-ne-albuquerque-nm-87110-us,6600 Menaul Blvd NE,Albuquerque,NM,87110,US,GMT-06:00 America/Denver,35.10745,-106.57433
76457-97169,Target Albuquerque 2031,LS,target-albuquerque-2031-6100-paseo-del-norte-ne-albuquerque-nm-871092529-u,6100 Paseo Del Norte NE,Albuquerque,NM,87109,US,GMT-06:00 America/Denver,35.17264,-106.58111
8794-94063,I-25 & Paseo del Norte Blvd NE,CO,i-25-paseo-del-norte-blvd-ne-8101-san-pedro-ne-albuquerque-nm-871131755-us,8101 San Pedro NE,Albuquerque,NM,87113,US,GMT-06:00 America/Denver,35.17454,-106.57802
11190-101877,Louisiana & Indian School,CO,louisiana-indian-school-2200-louisiana-blvd-ne-ste-8-f-albuquerque-nm-8711,2200 Louisiana Blvd NE,Albuquerque,NM,87110,US,GMT-06:00 America/Denver,35.10213,-106.56838
17094-177244,Target Albuquerque 2813,LS,target-albuquerque-2813-2120-louisiana-blvd-ne-albuquerque-nm-87110-us,2120 Louisiana Blvd. NE,Albuquerque,NM,87110,US,GMT-06:00 America/Denver,35.10087,-106.56788
17996-178545,Wyoming & Academy,CO,wyoming-academy-5901-wyoming-blvd-ne-p-5-albuquerque-nm-871093839-,5901 Wyoming Blvd NE,Albuquerque,NM,87109,US,GMT-06:00 America/Denver,35.14753,-106.55553
29571-246914,ABQ - Montgomery and Wyoming,CO,abq-montgomery-and-wyoming-4601-wyoming-blvd-ne-albuquerque-nm-871112363-us,4601 Wyoming Blvd. NE,Albuquerque,NM,87111,US,GMT-06:00 America/Denver,35.13182,-106.55147
5805-10752,Wyoming & Paseo del Norte,CO,wyoming-paseo-del-norte-8100-wyoming-blvd-ne-ste-m-1-albuquerque-nm-871131,8100 Wyoming Blvd NE,Albuquerque,NM,87113,US,GMT-06:00 America/Denver,35.17582,-106.55839
76521-99292,Target Albuquerque 356,LS,target-albuquerque-356-8710-montgomery-blvd-ne-albuquerque-nm-871112308-u,8710 Montgomery Blvd NE,Albuquerque,NM,87111,US,GMT-06:00 America/Denver,35.12976,-106.54773
8990-94865,"Eubank & Candelaria, Albuquerq",CO,eubank-candelaria-albuquerq-2801-eubank-blvd-ne-2-albuquerque-nm-871121863-us,2801 Eubank Blvd. NE,Albuquerque,NM,87112,US,GMT-06:00 America/Denver,35.11461,-106.53367
13414-106709,Eubank and Central-Albuquerque,CO,eubank-and-central-albuquerque-111-eubank-s-e-albuquerque-nm-871233370-us,111 Eubank S.E.,Albuquerque,NM,87123,US,GMT-06:00 America/Denver,35.07102,-106.53285
76737-105127,Target Albuquerque 0357,LS,target-albuquerque-0357-11120-lomas-blvd-ne-albuquerque-nm-871125582-us,11120 Lomas Blvd NE,Albuquerque,NM,87112,US,GMT-06:00 America/Denver,35.08574,-106.5277
5866-27350,Juan Tabo & Indian School,CO,juan-tabo-indian-school-1624-juan-tabo-ne-albuquerque-nm-871124435-us,1624 Juan Tabo NE,Albuquerque,NM,87112,US,GMT-06:00 America/Denver,35.09944,-106.51503
52989-282927,Albertsons Albuquerque 905,LS,albertsons-albuquerque-905-2910-juan-tabo-ne-albuquerque-nm-87711-us,2910 Juan Tabo NE,Albuquerque,NM,87711,US,GMT-06:00 America/Denver,35.11529,-106.51397
23648-231585,Juan Tabo and I-40,CO,juan-tabo-and-i-40-700-juan-tabo-blvd-ne-albuquerque-nm-871231425-us,700 Juan Tabo Blvd NE,Albuquerque,NM,87123,US,GMT-06:00 America/Denver,35.0797,-106.51477
5588-238086,ABQ - Juan Tabo and Montgomery,CO,abq-juan-tabo-and-montgomery-11321-montgomery-blvd-ne-albuquerque-nm-871112601-,11321 Montgomery Blvd. NE,Albuquerque,NM,87111,US,GMT-06:00 America/Denver,35.131,-106.51285
13923-108288,Academy and Tramway-Albuquerqu,CO,academy-and-tramway-albuquerqu-12251-academy-rd-ne-101-albuquerque-nm-871118051-u,12251 Academy Rd. NE,Albuquerque,NM,87111,US,GMT-06:00 America/Denver,35.15266,-106.49915
50882-276493,Kedzie and 55th Street,CO,kedzie-and-55th-street-5505-south-kedzie-chicago-il-606292403-us,5505 South Kedzie,Chicago,IL,60629,US,GMT-05:00 America/Chicago,41.79338,-87.70327
75935-101330,Marriott Chicago Midway,LS,marriott-chicago-midway-6520-s-cicero-ave-bedford-park-il-606385804-us,6520 S Cicero Ave,Bedford Park,IL,60638,US,GMT-05:00 America/Chicago,41.77423,-87.74466
66370-300728,58th & Western,CO,58th-western-5807-s-western-ave-chicago-il-60636-us,5807 S. Western Ave.,Chicago,IL,60636,US,GMT-05:00 America/Chicago,41.78819,-87.68363
2896-93151,Burbank-78th & Cicero,CO,burbank-78th-cicero-7788-s-cicero-ave-burbank-il-604591583-us,7788 S. Cicero Ave.,Burbank,IL,60459,US,GMT-05:00 America/Chicago,41.75125,-87.74191
21650-213844,Cicero & Archer,CO,cicero-archer-5210-s-cicero-ave-chicago-il-606383043-us,5210 S Cicero Ave.,Chicago,IL,60638,US,GMT-05:00 America/Chicago,41.79849,-87.74322
76178-93198,Target Chicago 1879,LS,target-chicago-1879-4433-s-pulaski-chicago-il-606324010-us,4433 S Pulaski,Chicago,IL,60632,US,GMT-05:00 America/Chicago,41.81246,-87.72243
2372-8853,47th & Cicero,CO,47th-cicero-4701-south-cicero-avenue-chicago-il-606324807-us,4701 South Cicero Avenue,Chicago,IL,60632,US,GMT-05:00 America/Chicago,41.80736,-87.74275
61227-295641,Pulaski & 43rd St,CO,pulaski-43rd-st-4200-south-pulaski-road-chicago-il-606323416-us,4200 SOUTH PULASKI ROAD,CHICAGO,IL,60632,US,GMT-05:00 America/Chicago,41.81684,-87.72411
64666-298679,Jewel-Osco Archer 3721,LS,jewel-osco-archer-3721-6107-s-archer-chicago-il-60638-us,6107 S. Archer,Chicago,IL,60638,US,GMT-05:00 America/Chicago,41.79397,-87.77032
27892-248045,63rd & Halsted,CO,63rd-halsted-806-w-63rd-street-unit-b-chicago-il-606211902-us,806 W 63rd Street,Chicago,IL,60621,US,GMT-05:00 America/Chicago,41.78013,-87.64511
76743-97588,Target Oak Lawn 2087,LS,target-oak-lawn-2087-4120-w-95th-st-oak-lawn-il-604532675-us,4120 W 95th St,Oak Lawn,IL,60453,US,GMT-05:00 America/Chicago,41.72111,-87.72507
66113-298849,Western & Archer,CO,western-archer-3800-s-western-avenue-chicago-il-606091028-us,3800 S Western Avenue,Chicago,IL,60609,US,GMT-05:00 America/Chicago,41.8249,-87.68523
54238-285641,Western and 95th,CO,western-and-95th-9564-s-western-ave-evergreen-park-il-608052899-us,9564 S. Western Ave,Evergreen Park,IL,60805,US,GMT-05:00 America/Chicago,41.71891,-87.6826
2298-1578,"Oak Lawn, 95th St Metra",CO,oak-lawn-95th-st-metra-5135-west-95th-street-oak-lawn-il-604532455-us,5135 West 95th Street,Oak Lawn,IL,60453,US,GMT-05:00 America/Chicago,41.7196,-87.7494
61845-295642,34th & Cicero,CO,34th-cicero-3316-s-cicero-avenue-cicero-il-608044531-us,3316 S. Cicero Avenue,Cicero,IL,60804,US,GMT-05:00 America/Chicago,41.83123,-87.74408
51649-278785,95th & Ashland,CO,95th-ashland-9438-s-ashland-avenue-chicago-il-606205121-us,9438 S. Ashland Avenue,Chicago,IL,60620,US,GMT-05:00 America/Chicago,41.72148,-87.66305
16040-167105,Saint Xavier University Morris,LS,saint-xavier-university-morris-3700-w-103rd-st-chicago-il-606553105-us,3700 W 103rd St,Chicago,IL,60655,US,GMT-05:00 America/Chicago,41.70892,-87.71258
76564-96763,Target Chicago McKinley Park 2,LS,target-chicago-mc-kinley-park-2-1940-w-33rd-st-chicago-il-606086107-us,1940 W 33rd St,Chicago,IL,60608,US,GMT-05:00 America/Chicago,41.83553,-87.67486
9476-96101,Burbank-79th & Harlem,CO,burbank-79th-harlem-8021-s-harlem-ave-burbank-il-604591664-us,8021 S. Harlem Ave.,Burbank,IL,60459,US,GMT-05:00 America/Chicago,41.74647,-87.79919
76375-96994,Target Cicero 732,LS,target-cicero-732-2901-s-cicero-ave-cicero-il-608043637-us,2901 S Cicero Ave,Cicero,IL,60804,US,GMT-05:00 America/Chicago,41.83957,-87.74168
2895-91866,Oak Lawn-103rd & Cicero,CO,oak-lawn-103rd-cicero-10301-s-cicero-oak-lawn-il-604534701-us,10301 S. Cicero,Oak Lawn,IL,60453,US,GMT-05:00 America/Chicago,41.70501,-87.73994
9942-97688,87th & Lafayatte - Chatham,CO,87th-lafayatte-chatham-160-w-87th-street-bldg-d-chicago-il-606201397-us,160 W. 87th Street,Chicago,IL,60620,US,GMT-05:00 America/Chicago,41.73647,-87.62877
