,Year,Compensation,Total
0,2011,Overtime,823947630.8425663
1,2012,Overtime,934994754.6539919
2,2013,Overtime,1003171053.8630993
3,2014,Overtime,1075066121.6527004
4,2015,Overtime,1199673471.2507517
5,2016,Overtime,1247353780.4971669
6,2017,Overtime,1330159011.922603
7,2018,Overtime,1364028798.7400093
8,2011,BaseWages,3284339056.774021
9,2012,BaseWages,3244335887.7053747
10,2013,BaseWages,3185910144.540414
11,2014,BaseWages,3117678129.714069
12,2015,BaseWages,3337353600.222976
13,2016,BaseWages,3438516459.5705967
14,2017,BaseWages,3488223138.2030396
15,2018,BaseWages,3536243646.070005
