monthday,Average 2010-2019,ThisYear
01/01/2020,53.1,85.0
01/02/2020,6.1,7.0
01/03/2020,2.2,9.0
01/04/2020,2.9,11.0
01/05/2020,2.9,9.0
01/06/2020,2.6,4.0
01/07/2020,2.2,1.0
01/08/2020,2.2,1.0
01/09/2020,2.5,2.0
01/10/2020,1.0,2.0
01/11/2020,1.9,3.0
01/12/2020,1.5,4.0
01/13/2020,1.2,1.0
01/14/2020,1.3,1.0
01/15/2020,1.7,1.0
01/16/2020,1.6,1.0
01/17/2020,1.1,1.0
01/18/2020,0.9,1.0
01/19/2020,1.7,6.0
01/20/2020,1.4,6.0
01/21/2020,1.0,2.0
01/22/2020,1.4,1.0
01/23/2020,1.9,1.0
01/24/2020,1.2,3.0
01/25/2020,1.1,4.0
01/26/2020,1.9,4.0
01/27/2020,1.3,4.0
01/28/2020,0.7,4.0
01/29/2020,1.9,1.0
01/30/2020,1.4,1.0
01/31/2020,1.6,1.0
02/01/2020,1.2,1.0
02/02/2020,2.1,6.0
02/03/2020,2.2,6.0
02/04/2020,2.0,1.0
02/05/2020,0.7,1.0
02/06/2020,0.9,1.0
02/07/2020,0.9,4.0
02/08/2020,1.2,2.0
02/09/2020,1.5,1.0
02/10/2020,0.9,1.0
02/11/2020,0.6,1.0
02/12/2020,0.9,1.0
02/13/2020,1.5,1.0
02/14/2020,1.6,2.0
02/15/2020,0.8,3.0
02/16/2020,0.8,2.0
02/17/2020,0.9,2.0
02/18/2020,1.2,1.0
02/19/2020,2.0,1.0
02/20/2020,0.9,1.0
02/21/2020,1.1,2.0
02/22/2020,1.3,5.0
02/23/2020,2.3,3.0
02/24/2020,0.8,2.0
02/25/2020,1.0,5.0
02/26/2020,1.0,1.0
02/27/2020,2.6,1.0
02/28/2020,1.3,4.0
02/29/2020,0.1,1.0
03/01/2020,1.2,2.0
03/02/2020,0.9,2.0
03/03/2020,1.1,2.0
03/04/2020,0.8,2.0
03/05/2020,1.3,3.0
03/06/2020,1.0,3.0
03/07/2020,0.7,4.0
03/08/2020,1.8,2.0
03/09/2020,1.0,1.0
03/10/2020,0.9,2.0
03/11/2020,1.0,2.0
03/12/2020,2.3,2.0
03/13/2020,0.9,1.0
03/14/2020,1.1,1.0
03/15/2020,1.8,2.0
03/16/2020,1.8,2.0
03/17/2020,1.5,3.0
03/18/2020,1.0,3.0
03/19/2020,1.5,1.0
03/20/2020,0.8,1.0
03/21/2020,1.5,1.0
03/22/2020,1.6,1.0
03/23/2020,1.5,1.0
03/24/2020,2.4,1.0
03/25/2020,1.7,1.0
03/26/2020,1.3,1.0
03/27/2020,2.3,2.0
03/28/2020,1.9,1.0
03/29/2020,1.6,1.0
03/30/2020,1.9,1.0
03/31/2020,1.6,2.0
04/01/2020,1.9,3.0
04/02/2020,0.7,3.0
04/03/2020,1.4,5.0
04/04/2020,1.1,3.0
04/05/2020,1.7,3.0
04/06/2020,0.8,1.0
04/07/2020,1.8,1.0
04/08/2020,1.1,2.0
04/09/2020,1.5,1.0
04/10/2020,1.4,3.0
04/11/2020,1.4,6.0
04/12/2020,0.8,4.0
04/13/2020,1.3,2.0
04/14/2020,1.1,1.0
04/15/2020,1.0,2.0
04/16/2020,2.5,4.0
04/17/2020,1.7,2.0
04/18/2020,0.4,4.0
04/19/2020,3.9,7.0
04/20/2020,2.4,3.0
04/21/2020,1.8,2.0
04/22/2020,1.9,2.0
04/23/2020,1.2,3.0
04/24/2020,1.8,2.0
04/25/2020,2.0,6.0
04/26/2020,1.7,6.0
04/27/2020,2.3,6.0
04/28/2020,3.1,6.0
04/29/2020,2.5,2.0
04/30/2020,1.4,5.0
05/01/2020,2.4,9.0
05/02/2020,1.8,8.0
05/03/2020,2.6,5.0
05/04/2020,3.6,6.0
05/05/2020,5.5,10.0
05/06/2020,2.9,3.0
05/07/2020,4.7,9.0
05/08/2020,3.5,7.0
05/09/2020,3.0,7.0
05/10/2020,3.0,17.0
05/11/2020,2.6,7.0
05/12/2020,5.3,9.0
05/13/2020,4.2,9.0
05/14/2020,4.8,6.0
05/15/2020,3.5,20.0
05/16/2020,4.2,24.0
05/17/2020,4.3,36.0
05/18/2020,5.3,24.0
05/19/2020,6.0,23.0
05/20/2020,8.1,28.0
05/21/2020,4.5,17.0
05/22/2020,4.2,42.0
05/23/2020,5.9,48.0
05/24/2020,6.7,118.0
05/25/2020,8.2,108.0
05/26/2020,11.0,58.0
05/27/2020,15.3,17.0
05/28/2020,14.0,25.0
05/29/2020,12.3,3.0
05/30/2020,11.5,3.0
05/31/2020,11.0,3.0
06/01/2020,13.1,3.0
06/02/2020,14.7,1.0
06/03/2020,17.4,1.0
06/04/2020,15.3,2.0
06/05/2020,15.7,3.0
06/06/2020,14.6,1.0
06/07/2020,17.1,3.0
06/08/2020,22.0,5.0
06/09/2020,19.5,3.0
06/10/2020,21.2,61.0
06/11/2020,21.8,74.0
06/12/2020,25.8,117.0
06/13/2020,22.4,188.0
06/14/2020,26.0,177.0
06/15/2020,29.3,82.0
06/16/2020,36.7,72.0
06/17/2020,39.7,67.0
06/18/2020,33.6,118.0
06/19/2020,35.3,160.0
