hospital,total_covid_patients,covid_patients_share
Community Hospital of Huntington Park,45.0,92.0
Kaiser Foundation Hospital - Downey,230.0,88.0
Kaiser Foundation Hospital - Baldwin Park,161.0,86.0
"Martin Luther King, Jr. Community Hospital",164.0,76.0
Emanate Health Foothill Presbyterian Hospital,55.0,73.0
Providence Little Co of Mary Med Ctr San Pedro,62.0,71.0
San Dimas Community Hospital,45.0,70.0
Kaiser Foundation Hospital - Panorama City,131.0,70.0
East Los Angeles Doctors Hospital,29.0,69.0
Kaiser Foundation Hospital - West LA,115.0,68.0
