hospital,fac_name
ADVENTIST HEALTH AND RIDEOUT,ADVENTIST HEALTH AND RIDEOUT
ADVENTIST HEALTH BAKERSFIELD,ADVENTIST HEALTH BAKERSFIELD
ADVENTIST HEALTH CLEARLAKE,ADVENTIST HEALTH CLEARLAKE
,ADVENTIST HEALTH GLENDALE
ADVENTIST HEALTH HANFORD,ADVENTIST HEALTH HANFORD
ADVENTIST HEALTH HOWARD MEMORIAL,ADVENTIST HEALTH HOWARD MEMORIAL
ADVENTIST HEALTH LODI MEMORIAL,ADVENTIST HEALTH LODI MEMORIAL
ADVENTIST HEALTH SIMI VALLEY,ADVENTIST HEALTH SIMI VALLEY
,ADVENTIST HEALTH SONORA - GREENLEY
,ADVENTIST HEALTH ST. HELENA
ADVENTIST HEALTH TEHACHAPI VALLEY,ADVENTIST HEALTH TEHACHAPI VALLEY
ADVENTIST HEALTH UKIAH VALLEY,ADVENTIST HEALTH UKIAH VALLEY
,ADVENTIST HEALTH WHITE MEMORIAL
AHMC ANAHEIM REGIONAL MEDICAL CENTER,AHMC ANAHEIM REGIONAL MEDICAL CENTER
ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA HOSPITAL MEDICAL CENTER
ALTA BATES SUMMIT MEDICAL CENTER,ALTA BATES SUMMIT MEDICAL CENTER
,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS
ANAHEIM GLOBAL MEDICAL CENTER,ANAHEIM GLOBAL MEDICAL CENTER
ANTELOPE VALLEY HOSPITAL,ANTELOPE VALLEY HOSPITAL
ARROWHEAD REGIONAL MEDICAL CENTER,ARROWHEAD REGIONAL MEDICAL CENTER
BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD MEMORIAL HOSPITAL
BARSTOW COMMUNITY HOSPITAL,BARSTOW COMMUNITY HOSPITAL
BARTON MEMORIAL HOSPITAL,BARTON MEMORIAL HOSPITAL
BEVERLY HOSPITAL,BEVERLY HOSPITAL
,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES
,CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST
,CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS
,CALIFORNIA PACIFIC MEDICAL CENTER - DAVIES CAMPUS HOSPITAL
,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL CAMPUS
,CALIFORNIA PACIFIC MEDICAL CENTER - VAN NESS CAMPUS
CASA COLINA HOSPITAL,CASA COLINA HOSPITAL
,CEDARS-SINAI MARINA DEL REY HOSPITAL
CEDARS-SINAI MEDICAL CENTER,CEDARS-SINAI MEDICAL CENTER
CENTINELA HOSPITAL MEDICAL CENTER,CENTINELA HOSPITAL MEDICAL CENTER
CHAPMAN GLOBAL MEDICAL CENTER,CHAPMAN GLOBAL MEDICAL CENTER
,CHILDREN'S HOSPITAL AT MISSION
,CHILDREN'S HOSPITAL OF LOS ANGELES
CHILDREN'S HOSPITAL OF ORANGE COUNTY,CHILDREN'S HOSPITAL OF ORANGE COUNTY
CHINESE HOSPITAL,CHINESE HOSPITAL
CHINO VALLEY MEDICAL CENTER,CHINO VALLEY MEDICAL CENTER
CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL
CLOVIS COMMUNITY MEDICAL CENTER,CLOVIS COMMUNITY MEDICAL CENTER
COAST PLAZA HOSPITAL,COAST PLAZA HOSPITAL
COLLEGE MEDICAL CENTER,COLLEGE MEDICAL CENTER
COLUSA MEDICAL CENTER,COLUSA MEDICAL CENTER
,COMMUNITY HOSPITAL LONG BEACH
COMMUNITY HOSPITAL OF HUNTINGTON PARK,COMMUNITY HOSPITAL OF HUNTINGTON PARK
COMMUNITY HOSPITAL OF SAN BERNARDINO,COMMUNITY HOSPITAL OF SAN BERNARDINO
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA
,COMMUNITY MEMORIAL HOSPITAL-SAN BUENAVENTURA
,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO
CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA REGIONAL MEDICAL CENTER
,CORONA REGIONAL MEDICAL CENTER-MAIN
DAMERON HOSPITAL,DAMERON HOSPITAL
,DELANO REGIONAL MEDICAL CENTER
DESERT REGIONAL MEDICAL CENTER,DESERT REGIONAL MEDICAL CENTER
DESERT VALLEY HOSPITAL,DESERT VALLEY HOSPITAL
DOCTORS HOSPITAL OF MANTECA,DOCTORS HOSPITAL OF MANTECA
DOCTORS MEDICAL CENTER,DOCTORS MEDICAL CENTER
DOMINICAN HOSPITAL,DOMINICAN HOSPITAL
EAST LOS ANGELES DOCTORS HOSPITAL,EAST LOS ANGELES DOCTORS HOSPITAL
EDEN MEDICAL CENTER,EDEN MEDICAL CENTER
EISENHOWER MEDICAL CENTER,EISENHOWER MEDICAL CENTER
,EL CAMINO HEALTH
,EL CAMINO HOSPITAL LOS GATOS
EL CENTRO REGIONAL MEDICAL CENTER,EL CENTRO REGIONAL MEDICAL CENTER
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL
EMANATE HEALTH INTER-COMMUNITY HOSPITAL,EMANATE HEALTH INTER-COMMUNITY HOSPITAL
,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL
EMANUEL MEDICAL CENTER,EMANUEL MEDICAL CENTER
ENCINO HOSPITAL MEDICAL CENTER,ENCINO HOSPITAL MEDICAL CENTER
,ENLOE MEDICAL CENTER- ESPLANADE
FAIRCHILD MEDICAL CENTER,FAIRCHILD MEDICAL CENTER
FOOTHILL REGIONAL MEDICAL CENTER,FOOTHILL REGIONAL MEDICAL CENTER
,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER - EUCLID
FRENCH HOSPITAL MEDICAL CENTER,FRENCH HOSPITAL MEDICAL CENTER
,GARDEN GROVE HOSPITAL AND MEDICAL CENTER
,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER
GARFIELD MEDICAL CENTER,GARFIELD MEDICAL CENTER
,GEORGE L. MEE MEMORIAL HOSPITAL
,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER
,GOLETA VALLEY COTTAGE HOSPITAL
,GOOD SAMARITAN HOSPITAL-BAKERSFIELD
,GOOD SAMARITAN HOSPITAL-LOS ANGELES
,GOOD SAMARITAN HOSPITAL-SAN JOSE
GREATER EL MONTE COMMUNITY HOSPITAL,GREATER EL MONTE COMMUNITY HOSPITAL
GROSSMONT HOSPITAL,GROSSMONT HOSPITAL
HAZEL HAWKINS MEMORIAL HOSPITAL,HAZEL HAWKINS MEMORIAL HOSPITAL
HEALDSBURG DISTRICT HOSPITAL,HEALDSBURG DISTRICT HOSPITAL
HEMET GLOBAL MEDICAL CENTER,HEMET GLOBAL MEDICAL CENTER
,HENRY MAYO NEWHALL HOSPITAL
HI-DESERT MEDICAL CENTER,HI-DESERT MEDICAL CENTER
HIGHLAND HOSPITAL,HIGHLAND HOSPITAL
,HOAG HOSPITAL IRVINE
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,HOAG MEMORIAL HOSPITAL PRESBYTERIAN
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER
HUNTINGTON BEACH HOSPITAL,HUNTINGTON BEACH HOSPITAL
HUNTINGTON MEMORIAL HOSPITAL,HUNTINGTON MEMORIAL HOSPITAL
,JOHN F. KENNEDY MEMORIAL HOSPITAL
,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS
,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS
,KAISER FOUNDATION HOSPITAL & REHAB CENTER - VALLEJO
KAISER FOUNDATION HOSPITAL - ANTIOCH,KAISER FOUNDATION HOSPITAL - ANTIOCH
KAISER FOUNDATION HOSPITAL - BALDWIN PARK,KAISER FOUNDATION HOSPITAL - BALDWIN PARK
KAISER FOUNDATION HOSPITAL - DOWNEY,KAISER FOUNDATION HOSPITAL - DOWNEY
,KAISER FOUNDATION HOSPITAL - FONTANA
KAISER FOUNDATION HOSPITAL - FREMONT,KAISER FOUNDATION HOSPITAL - FREMONT
KAISER FOUNDATION HOSPITAL - FRESNO,KAISER FOUNDATION HOSPITAL - FRESNO
KAISER FOUNDATION HOSPITAL - LOS ANGELES,KAISER FOUNDATION HOSPITAL - LOS ANGELES
,KAISER FOUNDATION HOSPITAL - MANTECA
,KAISER FOUNDATION HOSPITAL - MODESTO
,KAISER FOUNDATION HOSPITAL - MORENO VALLEY
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND
,KAISER FOUNDATION HOSPITAL - ONTARIO
,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM
,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - IRVINE
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,KAISER FOUNDATION HOSPITAL - PANORAMA CITY
KAISER FOUNDATION HOSPITAL - REDWOOD CITY,KAISER FOUNDATION HOSPITAL - REDWOOD CITY
,KAISER FOUNDATION HOSPITAL - RICHMOND CAMPUS
,KAISER FOUNDATION HOSPITAL - RIVERSIDE
KAISER FOUNDATION HOSPITAL - ROSEVILLE,KAISER FOUNDATION HOSPITAL - ROSEVILLE
KAISER FOUNDATION HOSPITAL - SACRAMENTO,KAISER FOUNDATION HOSPITAL - SACRAMENTO
,KAISER FOUNDATION HOSPITAL - SAN DIEGO - CLAIREMONT MESA
,KAISER FOUNDATION HOSPITAL - SAN DIEGO - ZION
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO
,KAISER FOUNDATION HOSPITAL - SAN JOSE
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,KAISER FOUNDATION HOSPITAL - SAN LEANDRO
,KAISER FOUNDATION HOSPITAL - SAN RAFAEL
,KAISER FOUNDATION HOSPITAL - SANTA CLARA
,KAISER FOUNDATION HOSPITAL - SANTA ROSA
KAISER FOUNDATION HOSPITAL - SOUTH BAY,KAISER FOUNDATION HOSPITAL - SOUTH BAY
,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO
KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO
KAISER FOUNDATION HOSPITAL - VACAVILLE,KAISER FOUNDATION HOSPITAL - VACAVILLE
KAISER FOUNDATION HOSPITAL - WALNUT CREEK,KAISER FOUNDATION HOSPITAL - WALNUT CREEK
KAISER FOUNDATION HOSPITAL - WEST LA,KAISER FOUNDATION HOSPITAL - WEST LA
KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS
KAWEAH DELTA MEDICAL CENTER,KAWEAH DELTA MEDICAL CENTER
KECK HOSPITAL OF USC,KECK HOSPITAL OF USC
KERN MEDICAL CENTER,KERN MEDICAL CENTER
KERN VALLEY HEALTHCARE DISTRICT,KERN VALLEY HEALTHCARE DISTRICT
,KINDRED HOSPITAL - BALDWIN PARK
,KINDRED HOSPITAL - BREA
,KINDRED HOSPITAL - LA MIRADA
,KINDRED HOSPITAL - LOS ANGELES
,KINDRED HOSPITAL - ONTARIO
,KINDRED HOSPITAL - RIVERSIDE
,KINDRED HOSPITAL - SAN DIEGO
,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA
,KINDRED HOSPITAL - SAN GABRIEL VALLEY
,KINDRED HOSPITAL - SANTA ANA
,KINDRED HOSPITAL - SOUTH BAY
KINDRED HOSPITAL PARAMOUNT,KINDRED HOSPITAL PARAMOUNT
KINDRED HOSPITAL RANCHO,KINDRED HOSPITAL RANCHO
KINDRED HOSPITAL WESTMINSTER,KINDRED HOSPITAL WESTMINSTER
,L.A. DOWNTOWN MEDICAL CENTER
LA PALMA INTERCOMMUNITY HOSPITAL,LA PALMA INTERCOMMUNITY HOSPITAL
LAC+USC MEDICAL CENTER,LAC+USC MEDICAL CENTER
,LAC/HARBOR-UCLA MEDICAL CENTER
,LAC/RANCHO LOS AMIGOS NATIONAL REHAB CENTER
LAKEWOOD REGIONAL MEDICAL CENTER,LAKEWOOD REGIONAL MEDICAL CENTER
,LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL
LOMA LINDA UNIVERSITY MEDICAL CENTER,LOMA LINDA UNIVERSITY MEDICAL CENTER
LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
,LOMA LINDA UNIVERSITY SURGICAL HOSPITAL
LOMPOC VALLEY MEDICAL CENTER,LOMPOC VALLEY MEDICAL CENTER
LOS ALAMITOS MEDICAL CENTER,LOS ALAMITOS MEDICAL CENTER
LOS ANGELES COMMUNITY HOSPITAL,LOS ANGELES COMMUNITY HOSPITAL
,LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER
,LOS ANGELES COUNTY OLIVE VIEW-UCLA MEDICAL CENTER
LOS ROBLES HOSPITAL & MEDICAL CENTER,LOS ROBLES HOSPITAL & MEDICAL CENTER
MAD RIVER COMMUNITY HOSPITAL,MAD RIVER COMMUNITY HOSPITAL
MADERA COMMUNITY HOSPITAL,MADERA COMMUNITY HOSPITAL
,MAMMOTH HOSPITAL
