,fac_name,fac_str_addr,county,total_beds,icu_beds,icu_occupancy_rate_2018
0,ALAMEDA HOSPITAL,2070 CLINTON AVE,Alameda,281.0,8.0,55.0
1,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2450 ASHBY AVENUE,Alameda,347.0,16.0,62.0
2,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,747 52ND STREET,Alameda,190.0,23.0,61.0
5,HIGHLAND HOSPITAL,1411 EAST 31ST STREET,Alameda,249.0,24.0,80.0
6,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DRIVE,Alameda,99.0,10.0,71.0
7,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,Alameda,403.0,30.0,50.0
8,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,Alameda,217.0,9.0,86.0
9,VALLEY MEMORIAL HOSPITAL,1111 E. STANLEY BOULEVARD,Alameda,75.0,3.0,0.0
10,WASHINGTON HOSPITAL - FREMONT,2000 MOWRY AVENUE,Alameda,341.0,13.0,99.0
11,SAN LEANDRO HOSPITAL,13855 EAST 14TH STREET,Alameda,93.0,9.0,63.0
15,STANFORD HEALTH CARE - VALLEYCARE,5555 WEST LAS POSITAS BLVD.,Alameda,167.0,13.0,33.0
16,KAISER FOUNDATION HOSPITAL - FREMONT,39400 PASEO PADRE PARKWAY,Alameda,106.0,10.0,57.0
19,EDEN MEDICAL CENTER,20103 LAKE CHABOT RD,Alameda,130.0,24.0,83.0
20,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,275 W. MACARTHUR BLVD.,Alameda,315.0,42.0,35.0
21,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,2500 MERCED STREET,Alameda,216.0,30.0,37.0
22,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,Amador,52.0,6.0,67.0
23,ORCHARD HOSPITAL,240 SPRUCE STREET,Butte,106.0,4.0,24.0
25,ADVENTIST HEALTH FEATHER RIVER,5974 PENTZ ROAD,Butte,100.0,12.0,
26,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,Butte,133.0,10.0,78.0
27,ENLOE MEDICAL CENTER- ESPLANADE,1531 ESPLANADE,Butte,228.0,33.0,44.0
30,MARK TWAIN MEDICAL CENTER,768 MOUNTAIN RANCH ROAD,Calaveras,25.0,8.0,27.0
31,COLUSA MEDICAL CENTER,199 E WEBSTER STREET,Colusa,48.0,6.0,1.0
32,CONTRA COSTA REGIONAL MEDICAL CENTER,2500 ALHAMBRA AVENUE,Contra Costa,167.0,8.0,86.0
33,SUTTER DELTA MEDICAL CENTER,3901 LONE TREE WAY,Contra Costa,145.0,12.0,62.0
34,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY ROAD,Contra Costa,554.0,55.0,74.0
35,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,1425 SOUTH MAIN STREET,Contra Costa,233.0,24.0,54.0
36,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,2540 EAST STREET,Contra Costa,244.0,36.0,88.0
38,SAN RAMON REGIONAL MEDICAL CENTER,6001 NORRIS CANYON ROAD,Contra Costa,123.0,6.0,71.0
40,KAISER FOUNDATION HOSPITAL - RICHMOND CAMPUS,901 NEVIN AVE,Contra Costa,50.0,8.0,80.0
41,KAISER FOUNDATION HOSPITAL - ANTIOCH,4501 SAND CREEK ROAD,Contra Costa,150.0,20.0,23.0
42,SUTTER COAST HOSPITAL,800 EAST WASHINGTON BOULEVARD,Del Norte,49.0,6.0,80.0
43,BARTON MEMORIAL HOSPITAL,2170 SOUTH AVENUE,El Dorado,111.0,8.0,35.0
44,MARSHALL MEDICAL CENTER,1100 MARSHALL WAY,El Dorado,125.0,20.0,37.0
46,CLOVIS COMMUNITY MEDICAL CENTER,2755 HERNDON AVENUE,Fresno,208.0,24.0,74.0
48,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,2823 FRESNO STREET,Fresno,685.0,78.0,64.0
51,ST. AGNES MEDICAL CENTER,1303 EAST HERNDON AVENUE,Fresno,436.0,35.0,61.0
55,KAISER FOUNDATION HOSPITAL - FRESNO,7300 NORTH FRESNO STREET,Fresno,169.0,12.0,64.0
62,MAD RIVER COMMUNITY HOSPITAL,3800 JANES ROAD,Humboldt,78.0,6.0,50.0
64,REDWOOD MEMORIAL HOSPITAL,3300 RENNER DRIVE,Humboldt,35.0,4.0,77.0
65,ST. JOSEPH HOSPITAL - EUREKA,2700 DOLBEER STREET,Humboldt,138.0,16.0,57.0
67,EL CENTRO REGIONAL MEDICAL CENTER,1415 ROSS AVENUE,Imperial,161.0,20.0,31.0
68,PIONEERS MEMORIAL HEALTHCARE DISTRICT,207 WEST LEGION ROAD,Imperial,107.0,8.0,51.0
69,NORTHERN INYO HOSPITAL,150 PIONEER LANE,Inyo,25.0,4.0,13.0
71,DELANO REGIONAL MEDICAL CENTER,1401 GARCES HIGHWAY,Kern,156.0,10.0,21.0
72,BAKERSFIELD MEMORIAL HOSPITAL,420 34TH STREET,Kern,421.0,25.0,78.0
73,KERN MEDICAL CENTER,1700 MOUNT VERNON AVENUE,Kern,222.0,24.0,71.0
74,KERN VALLEY HEALTHCARE DISTRICT,6412 LAUREL AVENUE,Kern,101.0,3.0,0.0
75,MERCY HOSPITAL - BAKERSFIELD,2215 TRUXTUN AVENUE,Kern,144.0,20.0,27.0
76,GOOD SAMARITAN HOSPITAL-BAKERSFIELD,901 OLIVE DRIVE,Kern,64.0,4.0,
77,RIDGECREST REGIONAL HOSPITAL,1081 NORTH CHINA LAKE BLVD.,Kern,197.0,16.0,8.0
78,ADVENTIST HEALTH BAKERSFIELD,2615 CHESTER AVENUE,Kern,254.0,34.0,49.0
83,MERCY SOUTHWEST HOSPITAL,400 OLD RIVER RD,Kern,82.0,8.0,71.0
85,ADVENTIST HEALTH TEHACHAPI VALLEY,1100 MAGELLAN DRIVE,Kern,20.0,4.0,9.0
86,ADVENTIST HEALTH HANFORD,115 MALL DRIVE,Kings,173.0,22.0,
87,ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE,Lake,32.0,4.0,80.0
88,SUTTER LAKESIDE HOSPITAL,5176 HILL ROAD EAST,Lake,30.0,4.0,66.0
90,ALHAMBRA HOSPITAL MEDICAL CENTER,100 SOUTH RAYMOND AVENUE,Los Angeles,144.0,6.0,86.0
92,ANTELOPE VALLEY HOSPITAL,1600 WEST AVENUE J,Los Angeles,420.0,21.0,114.0
94,KINDRED HOSPITAL - BALDWIN PARK,14148 FRANCISQUITO AVENUE,Los Angeles,95.0,8.0,78.0
96,ST. MARY MEDICAL CENTER - LONG BEACH,1050 LINDEN AVENUE,Los Angeles,389.0,39.0,53.0
97,LOS ANGELES COMMUNITY HOSPITAL AT BELLFLOWER,9542 ARTESIA BOULEVARD,Los Angeles,144.0,5.0,
98,BEVERLY HOSPITAL,309 WEST BEVERLY BOULEVARD,Los Angeles,202.0,12.0,73.0
99,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,3828 DELMAS TERRACE,Los Angeles,453.0,10.0,71.0
101,CASA COLINA HOSPITAL,255 EAST BONITA AVENUE,Los Angeles,99.0,6.0,23.0
102,CENTINELA HOSPITAL MEDICAL CENTER,555 EAST HARDY STREET,Los Angeles,362.0,19.0,66.0
105,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,21530 PIONEER BOULEVARD,Los Angeles,137.0,13.0,
107,CHILDREN'S HOSPITAL OF LOS ANGELES,4650 W. SUNSET BOULEVARD,Los Angeles,495.0,73.0,97.0
108,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 DUARTE ROAD,Los Angeles,217.0,18.0,84.0
110,KINDRED HOSPITAL - SOUTH BAY,1246 WEST 155TH STREET,Los Angeles,54.0,4.0,96.0
111,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2623 EAST SLAUSON AVENUE,Los Angeles,81.0,4.0,92.0
112,LOS ANGELES COMMUNITY HOSPITAL,4081 EAST OLYMPIC BOULEVARD,Los Angeles,130.0,6.0,80.0
113,SAN GABRIEL VALLEY MEDICAL CENTER,438 W. LAS TUNAS DRIVE,Los Angeles,273.0,19.0,53.0
115,LAKEWOOD REGIONAL MEDICAL CENTER,3700 SOUTH STREET,Los Angeles,172.0,8.0,137.0
116,PIH HEALTH HOSPITAL - DOWNEY,11500 BROOKSHIRE AVENUE,Los Angeles,199.0,8.0,120.0
117,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,Los Angeles,127.0,4.0,48.0
118,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BOULEVARD,Los Angeles,148.0,22.0,10.0
119,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,250 SOUTH GRAND AVENUE,Los Angeles,105.0,9.0,124.0
120,KINDRED HOSPITAL - LOS ANGELES,5525 WEST SLAUSON AVENUE,Los Angeles,81.0,5.0,97.0
121,GARFIELD MEDICAL CENTER,525 NORTH GARFIELD AVENUE,Los Angeles,210.0,14.0,73.0
123,ADVENTIST HEALTH GLENDALE,1509 WILSON TERRACE,Los Angeles,515.0,42.0,
124,GLENDORA COMMUNITY HOSPITAL,150 WEST ROUTE 66,Los Angeles,128.0,5.0,54.0
125,GREATER EL MONTE COMMUNITY HOSPITAL,1701 SANTA ANITA AVENUE,Los Angeles,117.0,5.0,133.0
126,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,Los Angeles,159.0,5.0,89.0
127,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 NORTH VERMONT AVENUE,Los Angeles,434.0,28.0,44.0
128,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI STREET,Los Angeles,377.0,12.0,161.0
129,GOOD SAMARITAN HOSPITAL-LOS ANGELES,1225 WILSHIRE BOULEVARD,Los Angeles,408.0,58.0,47.0
130,HUNTINGTON MEMORIAL HOSPITAL,100 W. CALIFORNIA BOULEVARD,Los Angeles,619.0,38.0,52.0
131,EMANATE HEALTH INTER-COMMUNITY HOSPITAL,210 W. SAN BERNARDINO ROAD,Los Angeles,191.0,8.0,71.0
132,TORRANCE MEMORIAL MEDICAL CENTER,3330 LOMITA BOULEVARD,Los Angeles,610.0,46.0,40.0
133,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BOULEVARD,Los Angeles,460.0,80.0,63.0
134,KAISER FOUNDATION HOSPITAL - SOUTH BAY,25825 SOUTH VERMONT AVENUE,Los Angeles,257.0,20.0,70.0
135,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,13652 CANTARA STREET,Los Angeles,218.0,24.0,29.0
136,KAISER FOUNDATION HOSPITAL - WEST LA,6041 CADILLAC AVENUE,Los Angeles,265.0,31.0,22.0
137,KINDRED HOSPITAL - LA MIRADA,14900 IMPERIAL HIGHWAY,Los Angeles,118.0,6.0,86.0
138,KINDRED HOSPITAL - SAN GABRIEL VALLEY,845 NORTH LARK ELLEN AVENUE,Los Angeles,76.0,6.0,86.0
140,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,4101 TORRANCE BOULEVARD,Los Angeles,442.0,28.0,71.0
141,COMMUNITY HOSPITAL LONG BEACH,1720 TERMINO AVENUE,Los Angeles,158.0,20.0,34.0
142,CEDARS-SINAI MARINA DEL REY HOSPITAL,4650 LINCOLN BOULEVARD,Los Angeles,133.0,12.0,53.0
143,PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,Los Angeles,249.0,17.0,62.0
144,MEMORIAL HOSPITAL OF GARDENA,1145 W. REDONDO BEACH BLVD.,Los Angeles,172.0,5.0,169.0
145,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,1420 SOUTH CENTRAL AVENUE,Los Angeles,334.0,12.0,67.0
146,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,14850 ROSCOE BOULEVARD,Los Angeles,145.0,5.0,69.0
147,MEMORIALCARE LONG BEACH MEDICAL CENTER,2801 ATLANTIC AVENUE,Los Angeles,453.0,60.0,65.0
148,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,300 WEST HUNTINGTON DRIVE,Los Angeles,348.0,29.0,29.0
149,OLYMPIA MEDICAL CENTER,5900 WEST OLYMPIC BLVD,Los Angeles,204.0,6.0,45.0
150,MONROVIA MEMORIAL HOSPITAL,323 SOUTH HELIOTROPE AVENUE,Los Angeles,49.0,4.0,100.0
151,MONTEREY PARK HOSPITAL,900 SOUTH ATLANTIC BOULEVARD,Los Angeles,101.0,4.0,82.0
153,CEDARS SINAI MEDICAL CENTER,8700 BEVERLY BOULEVARD,Los Angeles,886.0,126.0,69.0
154,NORTHRIDGE HOSPITAL MEDICAL CENTER,18300 ROSCOE BOULEVARD,Los Angeles,394.0,24.0,35.0
155,NORWALK COMMUNITY HOSPITAL,13222 BLOOMFIELD AVENUE,Los Angeles,50.0,6.0,86.0
156,COLLEGE MEDICAL CENTER,2776 PACIFIC AVENUE,Los Angeles,221.0,8.0,49.0
