hospital,hospital_subtype,ccn,week,county,fips,total_beds,total_staffed_adult_icu_beds,total_covid_icu_patients,total_available_adult_icu_beds,pct_occupied_adult_icu_beds,total_covid_patients,all_patients,covid_patients_share,region
George L Mee Memorial Hospital,Critical Access Hospitals,051336,2021-01-01,Monterey,053,17.0,0.0,0.0,0.0,,8.0,7.0,1.14,Bay Area
Barstow Community Hospital,Short Term,050298,2021-01-01,San Bernardino,071,55.0,8.0,13.0,0.0,1.0,47.0,42.0,1.12,Southern California
Kaiser Foundation Hospital - Downey,Short Term,050139,2021-01-01,Los Angeles,037,447.0,58.0,52.0,0.0,1.0,231.0,256.0,0.9,Southern California
Kaiser Foundation Hospital - Baldwin Park,Short Term,050723,2021-01-01,Los Angeles,037,311.0,32.0,26.0,0.0,1.0,179.0,202.0,0.89,Southern California
Palmdale Regional Medical Center,Short Term,050204,2021-01-01,Los Angeles,037,184.0,24.0,14.0,5.0,0.79,117.0,137.0,0.85,Southern California
Garden Grove Hospital & Medical Center,Short Term,050230,2021-01-01,Orange,059,73.0,12.0,10.0,0.0,1.0,48.0,57.0,0.84,Southern California
"Kaiser Foundation Hospital, Riverside",Short Term,050686,2021-01-01,Riverside,065,318.0,48.0,46.0,0.0,1.0,167.0,200.0,0.84,Southern California
Kaiser Foundation Hospital-Moreno Valley,Short Term,050765,2021-01-01,Riverside,065,122.0,29.0,19.0,0.0,1.0,76.0,90.0,0.84,Southern California
Santa Paula Hospital,Short Term,,2021-01-01,Ventura,111,32.0,6.0,1.0,0.0,1.0,16.0,19.0,0.84,Southern California
Community Hospital of Huntington Park,Short Term,050091,2021-01-01,Los Angeles,037,65.0,10.0,9.0,0.0,1.0,36.0,44.0,0.82,Southern California
Kaiser Foundation Hospital Fontana,Short Term,050140,2021-01-01,San Bernardino,071,741.0,122.0,77.0,15.0,0.88,404.0,498.0,0.81,Southern California
Kaiser Foundation Hospital - West LA,Short Term,050561,2021-01-01,Los Angeles,037,318.0,58.0,32.0,26.0,0.55,133.0,167.0,0.8,Southern California
Chino Valley Medical Center,Short Term,050586,2021-01-01,San Bernardino,071,92.0,15.0,14.0,1.0,0.93,68.0,87.0,0.78,Southern California
Desert Valley Hospital,Short Term,050709,2021-01-01,San Bernardino,071,162.0,25.0,23.0,0.0,1.0,101.0,130.0,0.78,Southern California
Watsonville Community Hospital,Short Term,050194,2021-01-01,Santa Cruz,087,96.0,6.0,4.0,1.0,0.83,25.0,33.0,0.76,Bay Area
Sharp Chula Vista Medical Center,Short Term,050222,2021-01-01,San Diego,073,326.0,54.0,44.0,7.0,0.87,198.0,265.0,0.75,Southern California
San Dimas Community Hospital,Short Term,050588,2021-01-01,Los Angeles,037,164.0,21.0,20.0,0.0,1.0,49.0,65.0,0.75,Southern California
Alhambra Hospital Medical Center,Short Term,050281,2021-01-01,Los Angeles,037,101.0,13.0,10.0,0.0,1.0,51.0,68.0,0.75,Southern California
San Gabriel Valley Medical Center,Short Term,050132,2021-01-01,Los Angeles,037,111.0,18.0,15.0,0.0,1.0,63.0,84.0,0.75,Southern California
Kaiser Foundation Hospital - Panorama City,Short Term,050137,2021-01-01,Los Angeles,037,293.0,47.0,35.0,8.0,0.83,152.0,202.0,0.75,Southern California
"Martin Luther King, Jr. Community Hospital",Short Term,050779,2021-01-01,Los Angeles,037,233.0,28.0,14.0,1.0,0.96,156.0,209.0,0.75,Southern California
Providence Little Co of Mary Med Ctr San Pedro,Short Term,050078,2021-01-01,Los Angeles,037,135.0,16.0,11.0,0.0,1.0,71.0,97.0,0.73,Southern California
Pih Hospital - Downey,Short Term,050393,2021-01-01,Los Angeles,037,203.0,47.0,40.0,1.0,0.98,141.0,194.0,0.73,Southern California
Kaiser Foundation Hospital - Orange County - Anahe,Short Term,050609,2021-01-01,Orange,059,563.0,85.0,67.0,1.0,0.99,254.0,351.0,0.72,Southern California
Montclair Hospital Medical Center,Short Term,050758,2021-01-01,San Bernardino,071,52.0,12.0,10.0,0.0,1.0,34.0,48.0,0.71,Southern California
Northern Inyo Hospital,Critical Access Hospitals,051324,2021-01-01,Inyo,027,25.0,4.0,2.0,2.0,0.5,7.0,10.0,0.7,Southern California
Ahmc Anaheim Regional Medical Center,Short Term,050226,2021-01-01,Orange,059,261.0,28.0,23.0,0.0,1.0,96.0,137.0,0.7,Southern California
East Los Angeles Doctors Hospital,Short Term,050641,2021-01-01,Los Angeles,037,103.0,10.0,6.0,2.0,0.8,30.0,43.0,0.7,Southern California
Pioneers Memorial Healthcare District,Short Term,050342,2021-01-01,Imperial,025,126.0,21.0,20.0,0.0,1.0,69.0,98.0,0.7,Southern California
Adventist Health Tehachapi Valley,Critical Access Hospitals,051301,2021-01-01,Kern,029,33.0,8.0,5.0,1.0,0.88,19.0,27.0,0.7,San Joaquin Valley
Greater El Monte Community Hospital,Short Term,050738,2021-01-01,Los Angeles,037,89.0,14.0,13.0,0.0,1.0,47.0,68.0,0.69,Southern California
Kaiser Foundation Hospital - Los Angeles,Short Term,050138,2021-01-01,Los Angeles,037,569.0,97.0,49.0,7.0,0.93,218.0,316.0,0.69,Southern California
Huntington Beach Hospital,Short Term,050526,2021-01-01,Orange,059,89.0,13.0,10.0,1.0,0.92,44.0,64.0,0.69,Southern California
Providence St. Jude Medical Center,Short Term,050168,2021-01-01,Orange,059,354.0,63.0,24.0,2.0,0.97,210.0,305.0,0.69,Southern California
Methodist Hospital of Southern Ca,Short Term,050238,2021-01-01,Los Angeles,037,256.0,21.0,21.0,1.0,0.95,143.0,211.0,0.68,Southern California
Placentia Linda Hospital,Short Term,050589,2021-01-01,Orange,059,81.0,12.0,5.0,5.0,0.58,48.0,71.0,0.68,Southern California
Madera Community Hospital,Short Term,050568,2021-01-01,Madera,039,80.0,10.0,8.0,1.0,0.9,46.0,68.0,0.68,San Joaquin Valley
Antelope Valley Hospital,Short Term,050056,2021-01-01,Los Angeles,037,236.0,32.0,24.0,1.0,0.97,149.0,218.0,0.68,Southern California
Adventist Health Delano,Short Term,050608,2021-01-01,Kern,029,40.0,11.0,8.0,1.0,0.91,27.0,40.0,0.68,San Joaquin Valley
