,fips,name,total_beds,population,confirmed_cases,healthcareworker,deaths,hc_cases_share,hc_per_100k_pop,hc_per_100_hosp_beds
3,06083,Santa Barbara,1089.0,443738.0,267.0,37.0,2.0,13.86,8.34,3.4
52,06075,San Francisco,4670.0,870044.0,957.0,65.0,15.0,6.79,7.47,1.39
20,06073,San Diego,7361.0,3302833.0,1804.0,246.0,45.0,13.64,7.45,3.34
55,06023,Humboldt,299.0,135768.0,50.0,10.0,0.0,20.0,7.37,3.34
6,06061,Placer,748.0,380077.0,124.0,25.0,4.0,20.16,6.58,3.34
35,06057,Nevada,176.0,99092.0,34.0,6.0,1.0,17.65,6.05,3.41
34,06081,San Mateo,1720.0,765935.0,652.0,46.0,21.0,7.06,6.01,2.67
49,06037,Los Angeles,27111.0,10098052.0,9197.0,596.0,300.0,6.48,5.9,2.2
12,06085,Santa Clara,3740.0,1922200.0,1621.0,109.0,54.0,6.72,5.67,2.91
36,06077,San Joaquin,1243.0,732212.0,273.0,41.0,16.0,15.02,5.6,3.3
16,06067,Sacramento,3465.0,1510023.0,707.0,78.0,26.0,11.03,5.17,2.25
41,06013,Contra Costa,1803.0,1133247.0,539.0,56.0,11.0,10.39,4.94,3.11
50,06001,Alameda,3746.0,1643700.0,845.0,81.0,23.0,9.59,4.93,2.16
53,06087,Santa Cruz,372.0,273765.0,88.0,13.0,1.0,14.77,4.75,3.49
0,06059,Orange,8016.0,3164182.0,1277.0,146.0,19.0,11.43,4.61,1.82
19,06107,Tulare,2086.0,460477.0,227.0,20.0,11.0,8.81,4.34,0.96
33,06079,San Luis Obispo,1740.0,281455.0,114.0,11.0,1.0,9.65,3.91,0.63
42,06111,Ventura,1623.0,848112.0,314.0,31.0,10.0,9.87,3.66,1.91
11,06097,Sonoma,1902.0,501317.0,147.0,18.0,2.0,12.24,3.59,0.95
5,06053,Monterey,801.0,433212.0,87.0,12.0,3.0,13.79,2.77,1.5
26,06019,Fresno,3572.0,978130.0,201.0,27.0,5.0,13.43,2.76,0.76
37,06071,San Bernardino,5988.0,2135413.0,887.0,53.0,31.0,5.98,2.48,0.89
39,06065,Riverside,4068.0,2383286.0,1619.0,34.0,41.0,2.1,1.43,0.84
13,06029,Kern,1928.0,883053.0,396.0,6.0,3.0,1.52,0.68,0.31
