hospital,fac_name
ADVENTIST HEALTH AND RIDEOUT,ADVENTIST HEALTH AND RIDEOUT
ADVENTIST HEALTH BAKERSFIELD,ADVENTIST HEALTH BAKERSFIELD
ADVENTIST HEALTH CLEARLAKE,ADVENTIST HEALTH CLEARLAKE
ADVENTIST HEALTH DELANO,
ADVENTIST HEALTH HANFORD,ADVENTIST HEALTH HANFORD
ADVENTIST HEALTH HOWARD MEMORIAL,ADVENTIST HEALTH HOWARD MEMORIAL
ADVENTIST HEALTH LODI MEMORIAL,ADVENTIST HEALTH LODI MEMORIAL
ADVENTIST HEALTH REEDLEY,
ADVENTIST HEALTH SIMI VALLEY,ADVENTIST HEALTH SIMI VALLEY
ADVENTIST HEALTH SONORA,
ADVENTIST HEALTH ST HELENA,
ADVENTIST HEALTH TEHACHAPI VALLEY,ADVENTIST HEALTH TEHACHAPI VALLEY
ADVENTIST HEALTH TULARE,
ADVENTIST HEALTH UKIAH VALLEY,ADVENTIST HEALTH UKIAH VALLEY
AHMC ANAHEIM REGIONAL MEDICAL CENTER,AHMC ANAHEIM REGIONAL MEDICAL CENTER
ALAMEDA HOSPITAL,
ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA HOSPITAL MEDICAL CENTER
ALTA BATES SUMMIT MEDICAL CENTER,ALTA BATES SUMMIT MEDICAL CENTER
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,
ALVARADO HOSPITAL MEDICAL CENTER,
ANAHEIM GLOBAL MEDICAL CENTER,ANAHEIM GLOBAL MEDICAL CENTER
ANTELOPE VALLEY HOSPITAL,ANTELOPE VALLEY HOSPITAL
ARROWHEAD REGIONAL MEDICAL CENTER,ARROWHEAD REGIONAL MEDICAL CENTER
BAKERSFIELD HEART HOSPITAL,
BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD MEMORIAL HOSPITAL
BANNER LASSEN MEDICAL CENTER,
BARLOW RESPIRATORY HOSPITAL,
BARSTOW COMMUNITY HOSPITAL,BARSTOW COMMUNITY HOSPITAL
BARTON MEMORIAL HOSPITAL,BARTON MEMORIAL HOSPITAL
BEAR VALLEY COMMUNITY HOSPITAL,
BEVERLY HOSPITAL,BEVERLY HOSPITAL
CALIFORNIA HOSPITAL MEDICAL CENTER LA,
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,
CASA COLINA HOSPITAL,CASA COLINA HOSPITAL
CEDAR-SINAI MARINA DEL REY HOSPITAL,
CEDARS-SINAI MEDICAL CENTER,CEDARS-SINAI MEDICAL CENTER
CENTINELA HOSPITAL MEDICAL CENTER,CENTINELA HOSPITAL MEDICAL CENTER
CENTRAL VALLEY SPECIALTY HOSPITAL,
CHAPMAN GLOBAL MEDICAL CENTER,CHAPMAN GLOBAL MEDICAL CENTER
CHILDREN'S HOSP OF LOS ANGELES,
CHILDREN'S HOSPITAL OF ORANGE COUNTY,CHILDREN'S HOSPITAL OF ORANGE COUNTY
CHINESE HOSPITAL,CHINESE HOSPITAL
CHINO VALLEY MEDICAL CENTER,CHINO VALLEY MEDICAL CENTER
CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL
CLOVIS COMMUNITY MEDICAL CENTER,CLOVIS COMMUNITY MEDICAL CENTER
COAST PLAZA HOSPITAL,COAST PLAZA HOSPITAL
COLLEGE HOSPITAL COSTA MESA,
COLLEGE MEDICAL CENTER,COLLEGE MEDICAL CENTER
COLUSA MEDICAL CENTER,COLUSA MEDICAL CENTER
COMMUNITY HOSPITAL OF HUNTINGTON PARK,COMMUNITY HOSPITAL OF HUNTINGTON PARK
COMMUNITY HOSPITAL OF SAN BERNARDINO,COMMUNITY HOSPITAL OF SAN BERNARDINO
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA
COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,
COMMUNITY REGIONAL MEDICAL CENTER,
CONTRA COSTA REGIONAL MEDICAL CENTER,CONTRA COSTA REGIONAL MEDICAL CENTER
CORONA REGIONAL MEDICAL CENTER,
DAMERON HOSPITAL,DAMERON HOSPITAL
DESERT REGIONAL MEDICAL CENTER,DESERT REGIONAL MEDICAL CENTER
DESERT VALLEY HOSPITAL,DESERT VALLEY HOSPITAL
DOCTORS HOSPITAL OF MANTECA,DOCTORS HOSPITAL OF MANTECA
"DOCTORS HOSPITAL OF RIVERSIDE, LLC",
DOCTORS MEDICAL CENTER,DOCTORS MEDICAL CENTER
DOMINICAN HOSPITAL,DOMINICAN HOSPITAL
EAST LOS ANGELES DOCTORS HOSPITAL,EAST LOS ANGELES DOCTORS HOSPITAL
EDEN MEDICAL CENTER,EDEN MEDICAL CENTER
EISENHOWER MEDICAL CENTER,EISENHOWER MEDICAL CENTER
EL CAMINO HOSPITAL,
EL CENTRO REGIONAL MEDICAL CENTER,EL CENTRO REGIONAL MEDICAL CENTER
EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL
EMANATE HEALTH INTER-COMMUNITY HOSPITAL,EMANATE HEALTH INTER-COMMUNITY HOSPITAL
EMANUEL MEDICAL CENTER,EMANUEL MEDICAL CENTER
ENCINO HOSPITAL MEDICAL CENTER,ENCINO HOSPITAL MEDICAL CENTER
ENLOE MEDICAL CENTER,
FAIRCHILD MEDICAL CENTER,FAIRCHILD MEDICAL CENTER
FOOTHILL REGIONAL MEDICAL CENTER,FOOTHILL REGIONAL MEDICAL CENTER
FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,
FRENCH HOSPITAL MEDICAL CENTER,FRENCH HOSPITAL MEDICAL CENTER
FRESNO HEART AND SURGICAL HOSPITAL,
GARDEN GROVE HOSPITAL & MEDICAL CENTER,
GARFIELD MEDICAL CENTER,GARFIELD MEDICAL CENTER
GEORGE L MEE MEMORIAL HOSPITAL,
GLENDALE ADVENTIST MEDICAL CENTER,
GLENDALE MEM HOSPITAL & HEALTH CENTER,
GLENN MEDICAL CENTER,
GOOD SAMARITAN HOSPITAL,
GOOD SAMARITAN HOSPITAL,
GOOD SAMARITAN HOSPITAL,
GREATER EL MONTE COMMUNITY HOSPITAL,GREATER EL MONTE COMMUNITY HOSPITAL
GROSSMONT HOSPITAL,GROSSMONT HOSPITAL
HAZEL HAWKINS MEMORIAL HOSPITAL,HAZEL HAWKINS MEMORIAL HOSPITAL
HEALDSBURG DISTRICT HOSPITAL,HEALDSBURG DISTRICT HOSPITAL
HEMET GLOBAL MEDICAL CENTER,HEMET GLOBAL MEDICAL CENTER
HENRY MAYO NEWHALL  HOSPITAL,
HI-DESERT MEDICAL CENTER,HI-DESERT MEDICAL CENTER
HIGHLAND HOSPITAL,HIGHLAND HOSPITAL
HOAG MEMORIAL HOSPITAL PRESBYTERIAN,HOAG MEMORIAL HOSPITAL PRESBYTERIAN
HOAG ORTHOPEDIC INSTITUTE,
HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER
HUNTINGTON BEACH HOSPITAL,HUNTINGTON BEACH HOSPITAL
HUNTINGTON MEMORIAL HOSPITAL,HUNTINGTON MEMORIAL HOSPITAL
JOHN C FREMONT HEALTHCARE DISTRICT,
JOHN F KENNEDY MEMORIAL HOSPITAL,
JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,
KAISER FOUNDATION HOSP SO SACRAMENTO,
KAISER FOUNDATION HOSPITAL,
KAISER FOUNDATION HOSPITAL - ANTIOCH,KAISER FOUNDATION HOSPITAL - ANTIOCH
KAISER FOUNDATION HOSPITAL - BALDWIN PARK,KAISER FOUNDATION HOSPITAL - BALDWIN PARK
KAISER FOUNDATION HOSPITAL - DOWNEY,KAISER FOUNDATION HOSPITAL - DOWNEY
KAISER FOUNDATION HOSPITAL - FREMONT,KAISER FOUNDATION HOSPITAL - FREMONT
KAISER FOUNDATION HOSPITAL - FRESNO,KAISER FOUNDATION HOSPITAL - FRESNO
KAISER FOUNDATION HOSPITAL - LOS ANGELES,KAISER FOUNDATION HOSPITAL - LOS ANGELES
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND
KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHE,
KAISER FOUNDATION HOSPITAL - PANORAMA CITY,KAISER FOUNDATION HOSPITAL - PANORAMA CITY
KAISER FOUNDATION HOSPITAL - REDWOOD CITY,KAISER FOUNDATION HOSPITAL - REDWOOD CITY
KAISER FOUNDATION HOSPITAL - ROSEVILLE,KAISER FOUNDATION HOSPITAL - ROSEVILLE
KAISER FOUNDATION HOSPITAL - SACRAMENTO,KAISER FOUNDATION HOSPITAL - SACRAMENTO
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO
KAISER FOUNDATION HOSPITAL - SAN LEANDRO,KAISER FOUNDATION HOSPITAL - SAN LEANDRO
KAISER FOUNDATION HOSPITAL - SOUTH BAY,KAISER FOUNDATION HOSPITAL - SOUTH BAY
KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO
KAISER FOUNDATION HOSPITAL - VACAVILLE,KAISER FOUNDATION HOSPITAL - VACAVILLE
KAISER FOUNDATION HOSPITAL - WALNUT CREEK,KAISER FOUNDATION HOSPITAL - WALNUT CREEK
KAISER FOUNDATION HOSPITAL - WEST LA,KAISER FOUNDATION HOSPITAL - WEST LA
KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS
KAISER FOUNDATION HOSPITAL - ZION,
KAISER FOUNDATION HOSPITAL AND REHAB CENTER,
KAISER FOUNDATION HOSPITAL FONTANA,
KAISER FOUNDATION HOSPITAL MANTECA,
"KAISER FOUNDATION HOSPITAL, RIVERSIDE",
KAISER FOUNDATION HOSPITAL-MORENO VALLEY,
KAISER FOUNDATION HOSPITAL-SAN JOSE,
KAISER FOUNDATION HOSPITAL-SANTA CLARA,
KAISER FOUNDATION HOSPITAL-SANTA ROSA,
KAWEAH DELTA MEDICAL CENTER,KAWEAH DELTA MEDICAL CENTER
KECK HOSPITAL OF USC,KECK HOSPITAL OF USC
KERN MEDICAL CENTER,KERN MEDICAL CENTER
KERN VALLEY HEALTHCARE DISTRICT,KERN VALLEY HEALTHCARE DISTRICT
KINDRED HOSPITAL -- LA MIRADA,
KINDRED HOSPITAL BALDWIN PARK,
KINDRED HOSPITAL PARAMOUNT,KINDRED HOSPITAL PARAMOUNT
KINDRED HOSPITAL RANCHO,KINDRED HOSPITAL RANCHO
KINDRED HOSPITAL RIVERSIDE,
KINDRED HOSPITAL SOUTH BAY,
KINDRED HOSPITAL WESTMINSTER,KINDRED HOSPITAL WESTMINSTER
"L A DOWNTOWN MEDICAL CENTER, LLC",
LA PALMA INTERCOMMUNITY HOSPITAL,LA PALMA INTERCOMMUNITY HOSPITAL
LAC+USC MEDICAL CENTER,LAC+USC MEDICAL CENTER
LAC/HARBOR-UCLA MED CENTER,
LAC/OLIVE VIEW-UCLA MEDICAL CENTER,
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,
LAKEWOOD REGIONAL MEDICAL CENTER,LAKEWOOD REGIONAL MEDICAL CENTER
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL
LOMA LINDA UNIVERSITY MEDICAL CENTER,LOMA LINDA UNIVERSITY MEDICAL CENTER
LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA
LOMPOC VALLEY MEDICAL CENTER,LOMPOC VALLEY MEDICAL CENTER
LONG BEACH MEMORIAL MEDICAL CENTER,
LOS ALAMITOS MEDICAL CENTER,LOS ALAMITOS MEDICAL CENTER
LOS ANGELES COMMUNITY HOSPITAL,LOS ANGELES COMMUNITY HOSPITAL
LOS ROBLES HOSPITAL & MEDICAL CENTER,LOS ROBLES HOSPITAL & MEDICAL CENTER
LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD,
MAD RIVER COMMUNITY HOSPITAL,MAD RIVER COMMUNITY HOSPITAL
MADERA COMMUNITY HOSPITAL,MADERA COMMUNITY HOSPITAL
MARIAN REGIONAL MEDICAL CENTER,
"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE","MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE"
MARINHEALTH MEDICAL CENTER,MARINHEALTH MEDICAL CENTER
MARK TWAIN MEDICAL CENTER,MARK TWAIN MEDICAL CENTER
MARSHALL MEDICAL CENTER,MARSHALL MEDICAL CENTER
"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL","MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL"
MAYERS MEMORIAL HOSPITAL,
MEMORIAL CARE MILLER CHILDREN'S &  WOMEN'S HOSP LB,
MEMORIAL HOSPITAL LOS BANOS,MEMORIAL HOSPITAL LOS BANOS
MEMORIAL HOSPITAL OF GARDENA,MEMORIAL HOSPITAL OF GARDENA
MEMORIAL MEDICAL CENTER,
MEMORIALCARE ORANGE COAST MEDICAL CENTER,MEMORIALCARE ORANGE COAST MEDICAL CENTER
