x,y,objectid,state,ccn,facility_name,street_address,city,zip_code,provider_subtype,days_at_100,percentage_required_fields,required_wed_only,days_total_beds,days_all_adult_hospital_beds,days_inpatient_beds,all_adult_hospital_inpatient,inpatient_beds_used,adult_hospital_inpatient_oc,total_icu_beds,total_staffed_adult_icu_beds_x,icu_beds_used,staffed_adult_icu_bed_occu,total_ventilators,ventilators_used,adult_hospitalized_conf_susp,adult_hospitalized_conf,pediatric_patients_conf_susp,pediatric_patients_conf,inpatient_ventilators_used,icu_adult_patients_conf_susp,icu_adult_patients_conf,hospital_onset_covid,overflow_covid,overflow_ventilators_used,deaths_covid,previous_day_admit_adult_conf,previous_day_admit_adult_susp,previous_day_admit_susp_all,previous_day_admit_conf_all,previous_day_admit_ped_conf,previous_day_admit_ped_susp,previous_day_total_ed_visits,previous_day_covid_ed_visits,previous_day_remdesivir_used,on_hand_supply_remdesivir,critical_staffing_shortage_to,critical_staffing_shortage_an,ppe_supply_management_source,on_hand_ventilator_supplies,n95_respirators_days_availabl,on_hand_supply_of_surgical_m,on_hand_supply_of_eye_protect,on_hand_supply_of_single_use,on_hand_supply_of_gloves,able_to_obtain_ventilator_s,able_to_obtain_ventilator_m,able_to_obtain_n95_masks,able_to_obtain_paprs,able_to_obtain_surgical_masks,able_to_obtain_eye_protect,able_to_obtain_single_use_g,able_to_obtain_gloves,able_to_maintain_ventilator_s,able_to_maintain_ventilator_m,able_to_maintain_n95_masks,able_to_maintain_paprs,able_to_maintain_surgical,able_to_maintain_eye_protect,able_to_maintain_single_use_g,able_to_maintain_gloves,able_to_maintain_lab_nasal_p,able_to_maintain_lab_nasal_s,able_to_maintain_lab_viral,reusable_isolation_gowns_used,reusable_paprs_or_elastomeric,reusable_n95_masks_used,latitude,longitude,last_updated,geometry,hospital,hospital_subtype,week,county,fips,total_beds,total_staffed_adult_icu_beds_y,total_covid_icu_patients,total_available_adult_icu_beds,pct_occupied_adult_icu_beds,total_covid_patients,all_patients,covid_patients_share,region
-122.088977,37.633535,6311,CA,050002,ST ROSE HOSPITAL,27200 CALAROGA AVE,HAYWARD,94545,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,37.633535,-122.088977,2020/11/30 21:07:00+00,POINT (-122.088977 37.633535),St Rose Hospital,Short Term,2021-03-19,Alameda,001,95.0,14.0,1.0,6.0,0.57,4.0,53.0,0.08,Bay Area
-124.14246,40.78365998,6312,CA,050006,ST JOSEPH HOSPITAL,2700 DOLBEER ST,EUREKA,95501,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40.78365998,-124.14246,2020/11/30 21:07:00+00,POINT (-124.14246 40.78365998),Providence St Joseph Hospital,Short Term,2021-03-19,Humboldt,023,182.0,18.0,1.0,3.0,0.83,3.0,117.0,0.03,Northern California
-122.382537,37.59281701,6313,CA,050007,MILLS-PENINSULA MEDICAL CENTER,1501 TROUSDALE DRIVE,BURLINGAME,94010,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,37.59281701,-122.382537,2020/11/30 21:07:00+00,POINT (-122.382537 37.59281701),Mills-Peninsula Medical Center,Short Term,2021-03-19,San Mateo,081,259.0,24.0,1.0,14.0,0.42,4.0,130.0,0.03,Bay Area
-122.4346773,37.7690530100001,6314,CA,050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,601 DUBOCE AVENUE,SAN FRANCISCO,94117,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,37.76905301,-122.4346773,2020/11/30 21:07:00+00,POINT (-122.4346773 37.76905301),California Pacific Medical Ctr-Davies Campus Hosp,Short Term,2021-03-19,San Francisco,075,95.0,8.0,0.0,4.0,0.5,0.0,55.0,0.0,Bay Area
-122.2959,38.32546999,6315,CA,050009,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,94558,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38.32546999,-122.2959,2020/11/30 21:07:00+00,POINT (-122.2959 38.32546999),Providence Queen of The Valley Medical Center,Short Term,2021-03-19,Napa,055,155.0,12.0,0.0,5.0,0.58,3.0,77.0,0.04,Bay Area
-122.4753342,38.5420088600001,6316,CA,050013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,94574,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38.54200886,-122.4753342,2020/11/30 21:07:00+00,POINT (-122.4753342 38.54200886),Adventist Health St Helena,Short Term,2021-03-19,Napa,055,55.0,11.0,0.0,2.0,0.82,2.0,48.0,0.04,Bay Area
-120.76469,38.35070999,6317,CA,050014,SUTTER AMADOR HOSPITAL,200 MISSION BLVD,JACKSON,95642,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38.35070999,-120.76469,2020/11/30 21:07:00+00,POINT (-120.76469 38.35070999),Sutter Amador Hospital,Short Term,2021-03-19,Amador,005,52.0,6.0,0.0,4.0,0.33,1.0,21.0,0.05,Greater Sacramento
-120.59053,35.1134599800001,6318,CA,050016,"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE",345 S HALCYON RD,ARROYO GRANDE,93420,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,35.11345998,-120.59053,2020/11/30 21:07:00+00,POINT (-120.59053 35.11345998),"Marian Regional Medical Center, Arroyo Grande",Short Term,2021-03-19,San Luis Obispo,079,84.0,0.0,0.0,0.0,,1.0,27.0,0.04,Southern California
-121.4521711,38.5705293400001,6319,CA,050017,MERCY GENERAL HOSPITAL,4001 J ST,SACRAMENTO,95819,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,38.57052934,-121.4521711,2020/11/30 21:07:00+00,POINT (-121.4521711 38.57052934),Mercy General Hospital,Short Term,2021-03-19,Sacramento,067,217.0,26.0,0.0,2.0,0.92,4.0,176.0,0.02,Greater Sacramento
-117.381173,33.97661298,6320,CA,050022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,92501,Short Term,7,1.0,No,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,33.97661298,-117.381173,2020/11/30 21:07:00+00,POINT (-117.381173 33.97661298),Riverside Community Hospital,Short Term,2021-03-19,Riverside,065,562.0,75.0,7.0,15.0,0.8,30.0,333.0,0.09,Southern California
