hospital,ccn,week,county,fips,total_covid_icu_patients,total_available_adult_icu_beds,pct_occupied_adult_icu_beds
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-12-11,San Bernardino,71,27.142857142857146,3.8571428571428537,0.9196428571428572
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-12-04,San Bernardino,71,23.857142857142854,5.4285714285714315,0.8618181818181818
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-11-27,San Bernardino,71,18.857142857142858,3.0,0.9210526315789472
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-11-20,San Bernardino,71,12.857142857142858,2.285714285714292,0.9367588932806322
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-11-13,San Bernardino,71,11.142857142857142,4.428571428571427,0.869198312236287
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-11-06,San Bernardino,71,12.0,4.428571428571427,0.8680851063829788
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-10-30,San Bernardino,71,9.857142857142858,1.7142857142857115,0.9469026548672568
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-10-23,San Bernardino,71,4.285714285714286,5.0,0.84375
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-10-16,San Bernardino,71,2.571428571428572,7.142857142857142,0.7767857142857143
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-10-09,San Bernardino,71,2.333333333333333,4.0,0.875
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-10-02,San Bernardino,71,4.571428571428571,2.2857142857142847,0.9298245614035088
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-09-25,San Bernardino,71,2.7142857142857144,1.7142857142857189,0.9466666666666664
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-09-18,San Bernardino,71,2.4285714285714284,5.1428571428571415,0.8392857142857143
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-09-11,San Bernardino,71,3.4285714285714284,1.1428571428571423,0.9642857142857144
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-09-04,San Bernardino,71,6.2857142857142865,2.1428571428571423,0.9330357142857144
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-08-28,San Bernardino,71,8.285714285714286,6.428571428571428,0.7991071428571429
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-08-21,San Bernardino,71,11.428571428571427,10.142857142857142,0.6830357142857143
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-08-14,San Bernardino,71,11.571428571428573,11.0,0.65625
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-08-07,San Bernardino,71,15.285714285714285,10.714285714285717,0.6651785714285714
ARROWHEAD REGIONAL MEDICAL CENTER,050245,2020-07-31,San Bernardino,71,15.571428571428573,12.0,0.625
