,fips,name,total_beds,population,confirmed_cases,healthcareworker,deaths,hc_cases_share,hc_per_100k_pop,hc_per_100_hosp_beds
53,06087,Santa Cruz,372.0,273765.0,80.0,13.0,1.0,16.25,4.75,3.49
35,06057,Nevada,176.0,99092.0,34.0,6.0,1.0,17.65,6.05,3.41
3,06083,Santa Barbara,1089.0,443738.0,260.0,37.0,2.0,14.23,8.34,3.4
55,06023,Humboldt,299.0,135768.0,50.0,10.0,0.0,20.0,7.37,3.34
20,06073,San Diego,7361.0,3302833.0,1693.0,246.0,44.0,14.53,7.45,3.34
6,06061,Placer,748.0,380077.0,123.0,25.0,4.0,20.33,6.58,3.34
36,06077,San Joaquin,1243.0,732212.0,257.0,41.0,14.0,15.95,5.6,3.3
41,06013,Contra Costa,1803.0,1133247.0,511.0,56.0,9.0,10.96,4.94,3.11
12,06085,Santa Clara,3740.0,1922200.0,1484.0,109.0,50.0,7.35,5.67,2.91
34,06081,San Mateo,1720.0,765935.0,638.0,46.0,21.0,7.21,6.01,2.67
16,06067,Sacramento,3465.0,1510023.0,653.0,78.0,24.0,11.94,5.17,2.25
49,06037,Los Angeles,27111.0,10098052.0,8453.0,596.0,244.0,7.05,5.9,2.2
50,06001,Alameda,3746.0,1643700.0,768.0,81.0,20.0,10.55,4.93,2.16
42,06111,Ventura,1623.0,848112.0,298.0,31.0,10.0,10.4,3.66,1.91
0,06059,Orange,8016.0,3164182.0,1138.0,146.0,17.0,12.83,4.61,1.82
5,06053,Monterey,801.0,433212.0,79.0,12.0,3.0,15.19,2.77,1.5
52,06075,San Francisco,4670.0,870044.0,797.0,65.0,13.0,8.16,7.47,1.39
19,06107,Tulare,2086.0,460477.0,203.0,20.0,11.0,9.85,4.34,0.96
11,06097,Sonoma,1902.0,501317.0,145.0,18.0,2.0,12.41,3.59,0.95
37,06071,San Bernardino,5988.0,2135413.0,810.0,53.0,25.0,6.54,2.48,0.89
39,06065,Riverside,4068.0,2383286.0,1350.0,34.0,39.0,2.52,1.43,0.84
26,06019,Fresno,3572.0,978130.0,191.0,27.0,5.0,14.14,2.76,0.76
33,06079,San Luis Obispo,1740.0,281455.0,107.0,11.0,1.0,10.28,3.91,0.63
13,06029,Kern,1928.0,883053.0,363.0,6.0,3.0,1.65,0.68,0.31
