name,total_population,under_5_years,5_to_9_years,10_to_14_years,15_to_19_years,20_to_24_years,25_to_29_years,30_to_34_years,35_to_39_years,40_to_44_years,45_to_49_years,50_to_54_years,55_to_59_years,60_to_64_years,65_to_69_years,70_to_74_years,75_to_79_years,80_to_84_years,85_years_and_over,est_under_5_years_pct,est_5_to_9_years_pct,est_10_to_14_years_pct,est_15_to_19_years_pct,est_20_to_24_years_pct,est_25_to_29_years_pct,est_30_to_34_years_pct,est_35_to_39_years_pct,est_40_to_44_years_pct,est_45_to_49_years_pct,est_50_to_54_years_pct,est_55_to_59_years_pct,est_60_to_64_years_pct,est_65_to_69_years_pct,est_70_to_74_years_pct,est_75_to_79_years_pct,est_80_to_84_years_pct
Silverlake,42360.0,1604.0,1706.0,1621.0,1379.0,1907.0,4773.0,5801.0,3971.0,3654.0,3403.0,2771.0,2346.0,2429.0,1756.0,1075.0,830.0,648.0,686.0,3.79,4.03,3.83,3.26,4.5,11.27,13.69,9.37,8.63,8.03,6.54,5.54,5.73,4.15,2.54,1.96,1.53
Bell Gardens,42352.0,3108.0,3613.0,3938.0,3797.0,3392.0,3651.0,2969.0,2804.0,3029.0,2627.0,2405.0,1919.0,1653.0,1218.0,676.0,700.0,343.0,510.0,7.34,8.53,9.3,8.97,8.01,8.62,7.01,6.62,7.15,6.2,5.68,4.53,3.9,2.88,1.6,1.65,0.81
El Sereno,41226.0,2606.0,2440.0,2547.0,2801.0,3522.0,3567.0,3501.0,2166.0,2939.0,2786.0,2161.0,2237.0,2147.0,1961.0,1161.0,1127.0,583.0,973.0,6.32,5.92,6.18,6.79,8.54,8.65,8.49,5.25,7.13,6.76,5.24,5.43,5.21,4.76,2.82,2.73,1.41
Vermont Vista,41191.0,4033.0,3386.0,3511.0,3368.0,3076.0,3626.0,3198.0,2969.0,2283.0,2362.0,2839.0,2312.0,1469.0,898.0,627.0,587.0,352.0,295.0,9.79,8.22,8.52,8.18,7.47,8.8,7.76,7.21,5.54,5.73,6.89,5.61,3.57,2.18,1.52,1.43,0.85
Wholesale District,40819.0,1526.0,1283.0,1663.0,1530.0,4021.0,5011.0,4230.0,3503.0,3083.0,3304.0,2821.0,2388.0,2365.0,1316.0,925.0,610.0,475.0,766.0,3.74,3.14,4.07,3.75,9.85,12.28,10.36,8.58,7.55,8.09,6.91,5.85,5.79,3.22,2.27,1.49,1.16
Pico-Union,40788.0,2723.0,3037.0,2455.0,2978.0,3016.0,4304.0,3780.0,3086.0,2811.0,2556.0,2406.0,2025.0,1530.0,1386.0,1118.0,650.0,357.0,568.0,6.68,7.45,6.02,7.3,7.39,10.55,9.27,7.57,6.89,6.27,5.9,4.96,3.75,3.4,2.74,1.59,0.88
San Gabriel,40644.0,2074.0,1674.0,1805.0,2405.0,2421.0,3328.0,2813.0,2499.0,2525.0,3016.0,3330.0,3125.0,2603.0,2361.0,1415.0,1126.0,952.0,1174.0,5.1,4.12,4.44,5.92,5.96,8.19,6.92,6.15,6.21,7.42,8.19,7.69,6.4,5.81,3.48,2.77,2.34
Lake Balboa,40293.0,2748.0,2474.0,2726.0,2704.0,2350.0,2900.0,3546.0,3134.0,3353.0,2927.0,2309.0,2613.0,2233.0,1381.0,1190.0,670.0,413.0,625.0,6.82,6.14,6.77,6.71,5.83,7.2,8.8,7.78,8.32,7.26,5.73,6.48,5.54,3.43,2.95,1.66,1.02
La Puente,40267.0,2196.0,2707.0,2967.0,3017.0,3454.0,3716.0,2769.0,2096.0,2474.0,2903.0,2826.0,2352.0,2195.0,1510.0,1096.0,657.0,669.0,664.0,5.45,6.72,7.37,7.49,8.58,9.23,6.88,5.21,6.14,7.21,7.02,5.84,5.45,3.75,2.72,1.63,1.66
Eagle Rock,40089.0,2083.0,1809.0,1873.0,2978.0,2740.0,2885.0,3442.0,3073.0,2847.0,2614.0,2412.0,2711.0,2414.0,1849.0,1690.0,884.0,823.0,962.0,5.2,4.51,4.67,7.43,6.83,7.2,8.59,7.67,7.1,6.52,6.02,6.76,6.02,4.61,4.22,2.21,2.05
Central,39052.0,3092.0,3432.0,3316.0,3293.0,3109.0,3432.0,2875.0,2811.0,3263.0,2584.0,2109.0,1749.0,1442.0,1053.0,601.0,366.0,293.0,232.0,7.92,8.79,8.49,8.43,7.96,8.79,7.36,7.2,8.36,6.62,5.4,4.48,3.69,2.7,1.54,0.94,0.75
Harvard Park,38905.0,2597.0,2970.0,2673.0,3070.0,3075.0,3127.0,2896.0,2640.0,2379.0,2499.0,2555.0,2576.0,2177.0,1413.0,709.0,632.0,413.0,505.0,6.68,7.63,6.87,7.89,7.9,8.04,7.44,6.79,6.11,6.42,6.57,6.62,5.6,3.63,1.82,1.62,1.06
Chatsworth,38734.0,1794.0,1730.0,1896.0,2099.0,2413.0,2687.0,2165.0,2920.0,2019.0,2679.0,2650.0,3226.0,3132.0,2333.0,1455.0,1438.0,953.0,1146.0,4.63,4.47,4.89,5.42,6.23,6.94,5.59,7.54,5.21,6.92,6.84,8.33,8.09,6.02,3.76,3.71,2.46
Rancho Palos Verdes,38562.0,1509.0,2099.0,2681.0,2797.0,1233.0,1248.0,1188.0,1960.0,2113.0,2913.0,3120.0,3198.0,2923.0,2222.0,2214.0,1900.0,1412.0,1832.0,3.91,5.44,6.95,7.25,3.2,3.24,3.08,5.08,5.48,7.55,8.09,8.29,7.58,5.76,5.74,4.93,3.66
West Hills,38460.0,1931.0,2217.0,2433.0,2159.0,1870.0,1909.0,2044.0,2217.0,2386.0,2907.0,3121.0,3307.0,2939.0,2164.0,1617.0,1149.0,1027.0,1063.0,5.02,5.76,6.33,5.61,4.86,4.96,5.31,5.76,6.2,7.56,8.11,8.6,7.64,5.63,4.2,2.99,2.67
West Los Angeles,38384.0,1507.0,1125.0,656.0,895.0,3278.0,7128.0,5908.0,3828.0,2448.0,2407.0,1316.0,1590.0,1784.0,1377.0,1050.0,801.0,432.0,853.0,3.93,2.93,1.71,2.33,8.54,18.57,15.39,9.97,6.38,6.27,3.43,4.14,4.65,3.59,2.74,2.09,1.13
Palms,38327.0,1673.0,1160.0,1168.0,716.0,2680.0,7348.0,6062.0,4096.0,3007.0,2253.0,1766.0,1750.0,1333.0,1305.0,722.0,639.0,338.0,310.0,4.37,3.03,3.05,1.87,6.99,19.17,15.82,10.69,7.85,5.88,4.61,4.57,3.48,3.4,1.88,1.67,0.88
South Park,38169.0,3402.0,3745.0,3347.0,2964.0,2993.0,3242.0,2868.0,2567.0,2683.0,2625.0,2527.0,1512.0,1519.0,862.0,549.0,373.0,233.0,156.0,8.91,9.81,8.77,7.77,7.84,8.49,7.51,6.73,7.03,6.88,6.62,3.96,3.98,2.26,1.44,0.98,0.61
Temple City,37452.0,2048.0,2046.0,2032.0,2141.0,1735.0,2319.0,2140.0,2152.0,2631.0,3223.0,2709.0,2767.0,2592.0,2117.0,1443.0,1227.0,934.0,1196.0,5.47,5.46,5.43,5.72,4.63,6.19,5.71,5.75,7.02,8.61,7.23,7.39,6.92,5.65,3.85,3.28,2.49
Temple-Beaudry,36713.0,2407.0,1846.0,2128.0,1832.0,3051.0,4076.0,4512.0,2975.0,2560.0,1932.0,2096.0,2003.0,1636.0,1224.0,868.0,530.0,616.0,423.0,6.56,5.03,5.8,4.99,8.31,11.1,12.29,8.1,6.97,5.26,5.71,5.46,4.46,3.33,2.36,1.44,1.68
West Hollywood,36549.0,837.0,373.0,240.0,189.0,1668.0,6441.0,5381.0,4136.0,2644.0,2880.0,2206.0,2118.0,2036.0,1650.0,1170.0,988.0,713.0,879.0,2.29,1.02,0.66,0.52,4.56,17.62,14.72,11.32,7.23,7.88,6.04,5.79,5.57,4.51,3.2,2.7,1.95
Bell,36445.0,2931.0,2557.0,2941.0,2725.0,3199.0,3626.0,2405.0,2405.0,2578.0,2335.0,2273.0,1863.0,1238.0,1287.0,827.0,552.0,325.0,379.0,8.04,7.02,8.07,7.48,8.78,9.95,6.6,6.6,7.07,6.41,6.24,5.11,3.4,3.53,2.27,1.51,0.89
Culver City,35809.0,1747.0,2051.0,2030.0,1280.0,1780.0,2304.0,2722.0,2388.0,3000.0,2926.0,2638.0,2416.0,2502.0,1604.0,1390.0,884.0,812.0,1336.0,4.88,5.73,5.67,3.57,4.97,6.43,7.6,6.67,8.38,8.17,7.37,6.75,6.99,4.48,3.88,2.47,2.27
Willowbrook,35195.0,3173.0,3021.0,2752.0,2306.0,3267.0,2859.0,3374.0,2160.0,1969.0,2320.0,1975.0,1657.0,1567.0,904.0,809.0,382.0,317.0,383.0,9.02,8.58,7.82,6.55,9.28,8.12,9.59,6.14,5.59,6.59,5.61,4.71,4.45,2.57,2.3,1.09,0.9
Arleta,34495.0,1592.0,2211.0,2136.0,2522.0,2872.0,3343.0,3044.0,2162.0,2060.0,2095.0,2178.0,2378.0,1793.0,1430.0,929.0,610.0,624.0,515.0,4.62,6.41,6.19,7.31,8.33,9.69,8.82,6.27,5.97,6.07,6.31,6.89,5.2,4.15,2.69,1.77,1.81
Beverly Hills,34250.0,1244.0,1771.0,2484.0,1857.0,1629.0,1972.0,2428.0,1921.0,1894.0,2750.0,2485.0,2348.0,2149.0,1846.0,1736.0,1196.0,1113.0,1428.0,3.63,5.17,7.25,5.42,4.76,5.76,7.09,5.61,5.53,8.03,7.26,6.86,6.27,5.39,5.07,3.49,3.25
Santa Monica Mountains,34069.0,1093.0,2041.0,1958.0,3325.0,2448.0,1269.0,1483.0,1817.0,2038.0,2633.0,2542.0,2583.0,2501.0,2085.0,1726.0,1214.0,652.0,663.0,3.21,5.99,5.75,9.76,7.19,3.72,4.35,5.33,5.98,7.73,7.46,7.58,7.34,6.12,5.07,3.56,1.91
Porter Ranch,33975.0,1650.0,1722.0,2106.0,2037.0,1354.0,1376.0,1547.0,1585.0,2320.0,2404.0,2878.0,2699.0,2782.0,2523.0,1914.0,1503.0,770.0,804.0,4.86,5.07,6.2,6.0,3.99,4.05,4.55,4.67,6.83,7.08,8.47,7.94,8.19,7.43,5.63,4.42,2.27
Century Palms/Cove,33487.0,3040.0,2661.0,2819.0,2888.0,2546.0,3064.0,2763.0,2107.0,1769.0,2229.0,1947.0,1681.0,1505.0,913.0,635.0,401.0,225.0,294.0,9.08,7.95,8.42,8.62,7.6,9.15,8.25,6.29,5.28,6.66,5.81,5.02,4.49,2.73,1.9,1.2,0.67
San Dimas,33253.0,1488.0,1882.0,2323.0,2208.0,1810.0,2009.0,2553.0,1928.0,1920.0,1850.0,2559.0,2298.0,2322.0,2268.0,1511.0,1088.0,595.0,643.0,4.47,5.66,6.99,6.64,5.44,6.04,7.68,5.8,5.77,5.56,7.7,6.91,6.98,6.82,4.54,3.27,1.79
Lawndale,32628.0,2134.0,2098.0,2215.0,1942.0,2290.0,2911.0,2443.0,2692.0,2261.0,2481.0,1871.0,1811.0,2121.0,1291.0,785.0,594.0,446.0,243.0,6.54,6.43,6.79,5.95,7.02,8.92,7.49,8.25,6.93,7.6,5.73,5.55,6.5,3.96,2.41,1.82,1.37
Lincoln Heights,32160.0,1919.0,1866.0,2149.0,2288.0,2391.0,2956.0,2402.0,2337.0,2400.0,2146.0,1963.0,1583.0,1392.0,1196.0,855.0,620.0,578.0,1119.0,5.97,5.8,6.68,7.11,7.43,9.19,7.47,7.27,7.46,6.67,6.1,4.92,4.33,3.72,2.66,1.93,1.8
Downtown,31625.0,688.0,400.0,497.0,816.0,2519.0,5763.0,4689.0,3851.0,2532.0,2112.0,1473.0,1160.0,1161.0,1090.0,609.0,617.0,690.0,959.0,2.18,1.26,1.57,2.58,7.97,18.22,14.83,12.18,8.01,6.68,4.66,3.67,3.67,3.45,1.93,1.95,2.18
Azusa,31111.0,2012.0,1741.0,2143.0,2318.0,3770.0,2698.0,2351.0,1848.0,2063.0,1617.0,2135.0,1784.0,1669.0,1019.0,695.0,541.0,391.0,317.0,6.47,5.6,6.89,7.45,12.12,8.67,7.56,5.94,6.63,5.2,6.86,5.73,5.36,3.28,2.23,1.74,1.26
Manhattan Beach,30550.0,1807.0,2285.0,2593.0,2154.0,740.0,915.0,1206.0,1891.0,2197.0,2564.0,2806.0,2208.0,1936.0,1444.0,1423.0,983.0,800.0,599.0,5.91,7.48,8.49,7.05,2.42,3.0,3.95,6.19,7.19,8.39,9.18,7.23,6.34,4.73,4.66,3.22,2.62
Glassell Park,30451.0,2026.0,1644.0,1673.0,1364.0,2127.0,2441.0,2548.0,2431.0,2250.0,2285.0,1897.0,1985.0,1686.0,1086.0,1298.0,684.0,465.0,562.0,6.65,5.4,5.49,4.48,6.98,8.02,8.37,7.98,7.39,7.5,6.23,6.52,5.54,3.57,4.26,2.25,1.53
Brentwood,30223.0,1584.0,1239.0,1408.0,1523.0,1539.0,3072.0,2591.0,2489.0,2128.0,2021.0,1951.0,1494.0,1441.0,1824.0,1424.0,738.0,798.0,958.0,5.24,4.1,4.66,5.04,5.09,10.16,8.57,8.24,7.04,6.69,6.46,4.94,4.77,6.04,4.71,2.44,2.64
Tarzana,29278.0,1617.0,1542.0,1671.0,1482.0,1317.0,1995.0,1930.0,2271.0,1858.0,1984.0,2203.0,1937.0,1935.0,1592.0,1336.0,796.0,859.0,956.0,5.52,5.27,5.71,5.06,4.5,6.81,6.59,7.76,6.35,6.78,7.52,6.62,6.61,5.44,4.56,2.72,2.93
Venice,29075.0,1531.0,949.0,1051.0,844.0,1267.0,3366.0,3497.0,2769.0,2326.0,2273.0,1955.0,1813.0,1623.0,1605.0,1072.0,550.0,270.0,315.0,5.27,3.26,3.61,2.9,4.36,11.58,12.03,9.52,8.0,7.82,6.72,6.24,5.58,5.52,3.69,1.89,0.93
Harbor City,29030.0,1888.0,1851.0,1986.0,1722.0,1572.0,2162.0,2091.0,2463.0,2048.0,1853.0,1956.0,1901.0,1656.0,1155.0,1203.0,652.0,543.0,327.0,6.5,6.38,6.84,5.93,5.42,7.45,7.2,8.48,7.05,6.38,6.74,6.55,5.7,3.98,4.14,2.25,1.87
West Adams,28261.0,1504.0,1569.0,1930.0,1636.0,2777.0,3044.0,2339.0,1834.0,1352.0,1484.0,1813.0,1830.0,1522.0,1089.0,934.0,621.0,432.0,550.0,5.32,5.55,6.83,5.79,9.83,10.77,8.28,6.49,4.78,5.25,6.42,6.48,5.39,3.85,3.3,2.2,1.53
Hyde Park,27496.0,1288.0,1526.0,1782.0,1870.0,2145.0,2197.0,1909.0,1883.0,1531.0,1755.0,1843.0,2214.0,1644.0,1612.0,657.0,735.0,388.0,518.0,4.68,5.55,6.48,6.8,7.8,7.99,6.94,6.85,5.57,6.38,6.7,8.05,5.98,5.86,2.39,2.67,1.41
Little Bangladesh,27243.0,1694.0,1479.0,1034.0,942.0,2066.0,3675.0,3293.0,2209.0,1877.0,1764.0,1633.0,1456.0,1171.0,796.0,911.0,471.0,409.0,363.0,6.22,5.43,3.8,3.46,7.58,13.49,12.09,8.11,6.89,6.48,5.99,5.34,4.3,2.92,3.34,1.73,1.5
Baldwin Hills,27185.0,1193.0,1054.0,1498.0,1643.0,2012.0,2324.0,2067.0,1732.0,1967.0,1838.0,1888.0,1869.0,1840.0,1530.0,920.0,639.0,662.0,511.0,4.39,3.88,5.51,6.04,7.4,8.55,7.6,6.37,7.24,6.76,6.95,6.88,6.77,5.63,3.38,2.35,2.44
Castaic,27082.0,1455.0,1450.0,1863.0,1939.0,2186.0,2253.0,2246.0,1906.0,2025.0,1781.0,2018.0,2384.0,1387.0,942.0,498.0,283.0,207.0,259.0,5.37,5.35,6.88,7.16,8.07,8.32,8.29,7.04,7.48,6.58,7.45,8.8,5.12,3.48,1.84,1.04,0.76
Valley Glen,26932.0,1428.0,1440.0,1555.0,1629.0,1739.0,2224.0,2352.0,2011.0,1729.0,1731.0,1713.0,1937.0,1957.0,1230.0,882.0,528.0,353.0,494.0,5.3,5.35,5.77,6.05,6.46,8.26,8.73,7.47,6.42,6.43,6.36,7.19,7.27,4.57,3.27,1.96,1.31
Hollywood Hills,26887.0,990.0,665.0,903.0,517.0,1358.0,2691.0,2627.0,2591.0,2600.0,1958.0,2623.0,2247.0,1415.0,1285.0,1111.0,524.0,417.0,365.0,3.68,2.47,3.36,1.92,5.05,10.01,9.77,9.64,9.67,7.28,9.76,8.36,5.26,4.78,4.13,1.95,1.55
East Hollywood,26670.0,1213.0,1011.0,1156.0,1069.0,2024.0,3152.0,3045.0,2010.0,1628.0,1912.0,1656.0,1544.0,1754.0,1267.0,744.0,671.0,364.0,453.0,4.55,3.79,4.33,4.01,7.59,11.82,11.42,7.54,6.1,7.17,6.21,5.79,6.58,4.75,2.79,2.52,1.36
Duarte,26197.0,1100.0,1162.0,1393.0,1566.0,1706.0,1892.0,1703.0,1554.0,2434.0,1600.0,1841.0,1695.0,1648.0,1631.0,1106.0,931.0,682.0,552.0,4.2,4.44,5.32,5.98,6.51,7.22,6.5,5.93,9.29,6.11,7.03,6.47,6.29,6.23,4.22,3.55,2.6
Tujunga,26084.0,1173.0,1395.0,1411.0,1136.0,1619.0,1625.0,1890.0,1665.0,1595.0,1602.0,2272.0,2176.0,2125.0,1483.0,997.0,845.0,484.0,590.0,4.5,5.35,5.41,4.36,6.21,6.23,7.25,6.38,6.11,6.14,8.71,8.34,8.15,5.69,3.82,3.24,1.86
University Park,25946.0,635.0,810.0,1017.0,4138.0,9209.0,2907.0,1211.0,730.0,797.0,891.0,783.0,716.0,518.0,533.0,355.0,288.0,201.0,207.0,2.45,3.12,3.92,15.95,35.49,11.2,4.67,2.81,3.07,3.43,3.02,2.76,2.0,2.05,1.37,1.11,0.77
South Pasadena,25622.0,1351.0,2096.0,1849.0,1377.0,870.0,1546.0,1716.0,1946.0,2303.0,2380.0,1633.0,1785.0,1199.0,1263.0,859.0,454.0,475.0,519.0,5.27,8.18,7.22,5.37,3.4,6.03,6.7,7.6,8.99,9.29,6.37,6.97,4.68,4.93,3.35,1.77,1.85
Maywood,25262.0,2119.0,1929.0,1999.0,1872.0,2033.0,2588.0,1788.0,1572.0,1718.0,1744.0,1554.0,1230.0,992.0,686.0,519.0,493.0,194.0,234.0,8.39,7.64,7.91,7.41,8.05,10.24,7.08,6.22,6.8,6.9,6.15,4.87,3.93,2.72,2.05,1.95,0.77
Cudahy,24812.0,1955.0,1994.0,2293.0,2229.0,2107.0,2143.0,1732.0,1612.0,1644.0,1518.0,1473.0,1598.0,779.0,590.0,398.0,306.0,169.0,273.0,7.88,8.04,9.24,8.98,8.49,8.64,6.98,6.5,6.63,6.12,5.94,6.44,3.14,2.38,1.6,1.23,0.68
Valley Village,24660.0,1647.0,1179.0,884.0,793.0,1180.0,2940.0,2375.0,2079.0,1934.0,1551.0,1495.0,1058.0,1688.0,1382.0,826.0,533.0,470.0,645.0,6.68,4.78,3.58,3.22,4.79,11.92,9.63,8.43,7.84,6.29,6.06,4.29,6.85,5.6,3.35,2.16,1.91
San Fernando,24506.0,1639.0,1610.0,1460.0,1902.0,1762.0,2126.0,1563.0,1757.0,1618.0,1834.0,1583.0,1729.0,1235.0,843.0,767.0,345.0,492.0,241.0,6.69,6.57,5.96,7.76,7.19,8.68,6.38,7.17,6.6,7.48,6.46,7.06,5.04,3.44,3.13,1.41,2.01
Mission Hills,24020.0,1468.0,1213.0,1466.0,1940.0,1985.0,1918.0,1531.0,1495.0,1602.0,1588.0,1458.0,1373.0,1440.0,963.0,674.0,584.0,796.0,525.0,6.11,5.05,6.1,8.08,8.26,7.99,6.37,6.22,6.67,6.61,6.07,5.72,6.0,4.01,2.81,2.43,3.31
West Whittier/Los Nietos,23560.0,1498.0,1392.0,1364.0,1525.0,1589.0,1972.0,1933.0,1491.0,1682.0,1637.0,1315.0,1651.0,1306.0,1183.0,624.0,622.0,316.0,462.0,6.36,5.91,5.79,6.47,6.74,8.37,8.2,6.33,7.14,6.95,5.58,7.01,5.54,5.02,2.65,2.64,1.34
West Carson,23510.0,1200.0,1111.0,836.0,1047.0,1154.0,1653.0,1843.0,1516.0,1515.0,1195.0,1496.0,1761.0,1686.0,1677.0,1250.0,1125.0,753.0,694.0,5.1,4.73,3.56,4.45,4.91,7.03,7.84,6.45,6.44,5.08,6.36,7.49,7.17,7.13,5.32,4.79,3.2
Studio City,23469.0,995.0,1233.0,791.0,841.0,1245.0,2135.0,1758.0,2112.0,1916.0,2100.0,1514.0,1485.0,1587.0,1279.0,944.0,628.0,488.0,418.0,4.24,5.25,3.37,3.58,5.3,9.1,7.49,9.0,8.16,8.95,6.45,6.33,6.76,5.45,4.02,2.68,2.08
Mt. Washington,23059.0,1285.0,1207.0,1024.0,1173.0,1488.0,2032.0,2522.0,1871.0,1823.0,1577.0,1194.0,1478.0,1456.0,1103.0,860.0,366.0,325.0,276.0,5.57,5.23,4.44,5.09,6.45,8.81,10.94,8.11,7.91,6.84,5.18,6.41,6.31,4.78,3.73,1.59,1.41
Santa Fe Springs,22851.0,1296.0,1306.0,1814.0,1471.0,1804.0,1874.0,1390.0,1423.0,1843.0,1656.0,1216.0,1223.0,1404.0,955.0,716.0,604.0,372.0,483.0,5.67,5.72,7.94,6.44,7.89,8.2,6.08,6.23,8.07,7.25,5.32,5.35,6.14,4.18,3.13,2.64,1.63
Industry,22523.0,1669.0,1071.0,1210.0,1272.0,1587.0,1800.0,1535.0,1393.0,1377.0,1476.0,1639.0,1446.0,1508.0,1369.0,656.0,676.0,393.0,447.0,7.41,4.76,5.37,5.65,7.05,7.99,6.82,6.18,6.11,6.55,7.28,6.42,6.7,6.08,2.91,3.0,1.74
South El Monte,22405.0,1591.0,1530.0,1714.0,1673.0,1752.0,2088.0,1688.0,1208.0,1295.0,1701.0,1415.0,1233.0,1164.0,709.0,574.0,424.0,321.0,326.0,7.1,6.83,7.65,7.47,7.82,9.32,7.53,5.39,5.78,7.59,6.32,5.5,5.2,3.16,2.56,1.89,1.43
Green Meadows,21725.0,2084.0,1770.0,1726.0,1829.0,1873.0,2079.0,1408.0,1383.0,1288.0,1502.0,1385.0,858.0,913.0,588.0,349.0,310.0,176.0,202.0,9.59,8.15,7.94,8.42,8.62,9.57,6.48,6.37,5.93,6.91,6.38,3.95,4.2,2.71,1.61,1.43,0.81
La Canada Flintridge,21431.0,1080.0,1246.0,1657.0,1897.0,957.0,946.0,788.0,880.0,1291.0,1577.0,1708.0,1799.0,1730.0,1387.0,1011.0,573.0,366.0,539.0,5.04,5.81,7.73,8.85,4.47,4.41,3.68,4.11,6.02,7.36,7.97,8.39,8.07,6.47,4.72,2.67,1.71
Northeast San Gabriel,21313.0,1276.0,1178.0,1151.0,930.0,1258.0,1721.0,1182.0,1372.0,1561.0,1531.0,1455.0,1467.0,1543.0,1210.0,811.0,576.0,650.0,439.0,5.99,5.53,5.4,4.36,5.9,8.07,5.55,6.44,7.32,7.18,6.83,6.88,7.24,5.68,3.81,2.7,3.05
Stevenson Ranch,20658.0,1014.0,1577.0,1483.0,1724.0,1056.0,1143.0,1149.0,860.0,1705.0,2135.0,2003.0,1598.0,1091.0,787.0,576.0,351.0,180.0,225.0,4.91,7.63,7.18,8.35,5.11,5.53,5.56,4.16,8.25,10.33,9.7,7.74,5.28,3.81,2.79,1.7,0.87
Los Feliz,20561.0,1083.0,736.0,532.0,349.0,814.0,2525.0,2752.0,2116.0,1733.0,1440.0,1322.0,1022.0,1000.0,1032.0,828.0,465.0,387.0,423.0,5.27,3.58,2.59,1.7,3.96,12.28,13.38,10.29,8.43,7.0,6.43,4.97,4.86,5.02,4.03,2.26,1.88
San Jose Hills,20040.0,1253.0,1194.0,1588.0,1602.0,1408.0,1820.0,1267.0,1526.0,1136.0,1354.0,1135.0,1032.0,1289.0,964.0,644.0,394.0,227.0,206.0,6.25,5.96,7.92,7.99,7.03,9.08,6.32,7.61,5.67,6.76,5.66,5.15,6.43,4.81,3.21,1.97,1.13
Lomita,19976.0,1478.0,1108.0,936.0,894.0,1090.0,1349.0,1672.0,1144.0,1022.0,1344.0,1523.0,1472.0,1342.0,1269.0,906.0,521.0,439.0,466.0,7.4,5.55,4.69,4.48,5.46,6.75,8.37,5.73,5.12,6.73,7.62,7.37,6.72,6.35,4.54,2.61,2.2
Valinda,19659.0,1235.0,1011.0,1162.0,1189.0,1481.0,1759.0,1374.0,1315.0,1370.0,1184.0,1124.0,1595.0,1403.0,947.0,624.0,358.0,287.0,241.0,6.28,5.14,5.91,6.05,7.53,8.95,6.99,6.69,6.97,6.02,5.72,8.11,7.14,4.82,3.17,1.82,1.46
Agoura Hills,19238.0,734.0,1176.0,1301.0,1239.0,1179.0,848.0,1080.0,1161.0,1185.0,1638.0,1525.0,1651.0,1458.0,1033.0,974.0,435.0,243.0,381.0,3.82,6.11,6.76,6.44,6.13,4.41,5.61,6.03,6.16,8.51,7.93,8.58,7.58,5.37,5.06,2.26,1.26
Lennox,19002.0,1409.0,1481.0,1648.0,1527.0,1621.0,1826.0,1564.0,1165.0,1151.0,1376.0,1226.0,840.0,948.0,560.0,300.0,213.0,39.0,107.0,7.42,7.79,8.67,8.04,8.53,9.61,8.23,6.13,6.06,7.24,6.45,4.42,4.99,2.95,1.58,1.12,0.21
La Crescenta-Montrose,18354.0,840.0,1171.0,1480.0,1214.0,826.0,964.0,615.0,1194.0,1382.0,1364.0,1487.0,1573.0,1119.0,872.0,751.0,566.0,436.0,499.0,4.58,6.38,8.06,6.61,4.5,5.25,3.35,6.51,7.53,7.43,8.1,8.57,6.1,4.75,4.09,3.08,2.38
Sunland,18180.0,808.0,756.0,703.0,760.0,1019.0,943.0,1484.0,1124.0,971.0,1259.0,1423.0,1880.0,1719.0,1226.0,831.0,548.0,412.0,313.0,4.44,4.16,3.87,4.18,5.61,5.19,8.16,6.18,5.34,6.93,7.83,10.34,9.46,6.74,4.57,3.01,2.27
Pacific Palisades,18054.0,1124.0,1084.0,1366.0,1122.0,488.0,537.0,495.0,672.0,1292.0,1696.0,1252.0,1498.0,1162.0,1155.0,1016.0,787.0,574.0,733.0,6.23,6.0,7.57,6.21,2.7,2.97,2.74,3.72,7.16,9.39,6.93,8.3,6.44,6.4,5.63,4.36,3.18
Vermont Knolls,17494.0,1141.0,1264.0,1293.0,1208.0,1635.0,1275.0,1135.0,1611.0,1098.0,1246.0,1039.0,948.0,754.0,573.0,436.0,459.0,283.0,96.0,6.52,7.23,7.39,6.91,9.35,7.29,6.49,9.21,6.28,7.12,5.94,5.42,4.31,3.28,2.49,2.62,1.62
Harvard Heights,17379.0,1035.0,884.0,1121.0,1058.0,1384.0,1611.0,1306.0,1427.0,1196.0,1265.0,1253.0,1086.0,824.0,574.0,451.0,384.0,217.0,300.0,5.96,5.09,6.45,6.09,7.96,9.27,7.51,8.21,6.88,7.28,7.21,6.25,4.74,3.3,2.6,2.21,1.25
Artesia,16749.0,816.0,791.0,1199.0,788.0,985.0,1428.0,1349.0,1677.0,1031.0,905.0,1060.0,1050.0,1094.0,757.0,482.0,492.0,446.0,399.0,4.87,4.72,7.16,4.7,5.88,8.53,8.05,10.01,6.16,5.4,6.33,6.27,6.53,4.52,2.88,2.94,2.66
El Segundo,16516.0,1210.0,1149.0,1012.0,941.0,596.0,1417.0,1217.0,1194.0,1297.0,1133.0,1291.0,1232.0,1090.0,667.0,461.0,230.0,209.0,168.0,7.33,6.96,6.13,5.7,3.61,8.58,7.37,7.23,7.85,6.86,7.82,7.46,6.6,4.04,2.79,1.39,1.27
Miracle Mile,16489.0,805.0,359.0,396.0,324.0,1057.0,2755.0,2219.0,1928.0,1356.0,1500.0,826.0,568.0,757.0,607.0,424.0,319.0,224.0,65.0,4.88,2.18,2.4,1.96,6.41,16.71,13.46,11.69,8.22,9.1,5.01,3.44,4.59,3.68,2.57,1.93,1.36
