id,name,lat,lon,address,city,state_abbr,zip,phone
3969,Ronald Regan Leander,30.6361144773755,-97.82606689558637,"19392 Ronald W. Reagan Blvd, Suite 530",Georgetown,TX,78628,(512) 887-1700
2613,Abilene,32.40716,-99.7762986,3765 Catclaw Drive,Abilene,TX,79606,325-480-3380
3932,Hunt Lane ,29.445735468666598,-98.67209341685967," 9602 State Highway 151, #101",San Antonio,TX,78251,
3025,Bandera,29.5522745,-98.6653843,"11654 Bandera Road, Suite 111",San Antonio,TX,78250,(210) 920-2929
1573,The Rim,29.6098543,-98.59893319999998,17627 La Cantera Parkway Suite 105,San Antonio,TX,78257,(210) 424-3151
2068,Med Center,29.5174312,-98.5776233,8435 Wurzbach Rd. Suite 202,San Antonio,TX,78229,(210) 987-5574
1553,Sonterra,29.6093722,-98.49815239999998,18210 Sonterra Place,San Antonio,TX,78258,726-444-9116
569,Lincoln Heights,29.497636,-98.470519,999 E. Basse Road #183,San Antonio,TX,78209,(210) 824-1603
443,Belterra,30.205442,-97.978417,"166 Hargraves Drive, Ste. J100",Austin,TX,78737,(737) 717-6951
536,Lakeway,30.346693,-97.967399,"1945 Medical Drive, Ste. 100",Austin,TX,78734,(512) 975-3240
538,San Marcos,29.884645,-97.942005,"301 N. Guadalupe Street, Suite #194",San Marcos,TX,78666,(512) 757-8888
1568,Escarpment,30.20156667674513,-97.8790173748688,5900 Slaughter Lane Suite 550,Austin,TX,78749,512-420-4111
442,Arbor Trails,30.222333,-97.840426,4301 W. William Cannon Dr. G-400,Austin,TX,78749,(512) 514-0767
441,Anderson Mill,30.453007,-97.827605,11521 RR 620 N. E-1000,Austin,TX,78726,(512) 381-8226
535,Cedar Park,30.526583,-97.809088,"1468 E. Whitestone Blvd., Ste. 100",Austin,TX,78613,(512) 337-0997
3159,"Slaughter (H‑E‑B/IH-35, THE OAKS)",30.1716276,-97.786905,"8601 South Congress Ave., Suite 250",Austin,TX,78745,(512) 640-4200
432,South Lamar,30.24158,-97.784222,3005 S. Lamar Blvd. D-116,Austin,TX,78704,(512) 614-1832
533,Spicewood Springs,30.370741,-97.756248,4211 Spicewood Springs Rd.,Austin,TX,78759,(512) 291-7277
435,Congress,30.245473,-97.751579,1822 S. Congress Ave.,Austin,TX,78704,(512) 916-9025
1524,Northshore,30.2653123,-97.7495447,110 San Antonio Street Unit 120,Austin,TX,78701,(512) 792-5909
532,Guadalupe,30.293722,-97.741728,2801 Guadalupe St. 5-B,Austin,TX,78705,(512) 494-8226
528,Burnet,30.323395,-97.739228,5119 Burnet Rd.,Austin,TX,78756,(512) 382-0823
251,Mueller,30.301655,-97.698969,1801 E. 51st Bldg. D,Austin,TX,78723,(512) 322-2411
