state_code,county_name,county_fips_code,county_population_in_2012,county_income_in_2012,5th_percentile_damages,17th_percentile_damages,median_damages,83rd_percentile_damages,95th_percentile_damages
FL,Union County,12125,15239,17249,11.3579998,17.51600075,27.94300079,45.26800156,61.36999893
FL,DeSoto County,12027,34745,20798,14.16399956,17.63299942,23.63299942,33.76599884,43.43199921
FL,Hernando County,12053,173100,31202,11.92700005,16.3390007,23.56399918,39.04600143,51.02500153
FL,Dixie County,12029,16063,22932,9.33619976,13.87800026,21.29199982,34.23600006,47.02700043
TX,Zavala County,48507,11996,21930,11.97999954,15.42300034,21.0720005,28.18899918,37.02000046
TX,Trinity County,48455,14300,29462,9.950200081,13.85999966,21.04700089,30.40299988,40.91699982
FL,Charlotte County,12015,162790,34073,11.21500015,15.08600044,20.95800018,31.68000031,41.41799927
FL,Pasco County,12101,470600,32361,10.23700047,14.38500023,20.88800049,31.84700012,42.5340004
FL,Citrus County,12017,139290,32107,8.647199631,12.96899986,20.53100014,33.49900055,46.70299911
GA,Telfair County,13271,16429,17892,7.895999908,12.4119997,20.36599922,33.73899841,46.55799866
FL,Highlands County,12055,98087,29616,9.612799644,13.45899963,20.04199982,32.97200012,45.60699844
TX,Jim Hogg County,48247,5265,29959,11.19400024,14.39999962,19.78300095,25.97200012,32.27600098
VA,Richmond County,51159,9052,29135,7.061600208,12.20400047,19.76000023,29.00900078,38.11600113
GA,Wheeler County,13309,7908,15328,7.861999989,11.6590004,19.47299957,31.18199921,43.01599884
TX,Real County,48385,3372,25289,8.37349987,12.50199986,19.40800095,29.48200035,40.6969986
FL,Glades County,12043,13026,21448,9.40569973,14.11900043,19.2310009,29.69000053,40.99599838
FL,Marion County,12083,334500,31692,9.031499863,13.09200001,19.11800003,30.57299995,42.55400085
GA,Charlton County,13049,13308,21584,9.533399582,13.54899979,18.99500084,28.67099953,37.86299896
TX,Brooks County,48047,7168,33607,11.01000023,13.90999985,18.83099937,24.20299911,30.54800034
MS,Leake County,28079,23253,24016,9.308099747,12.54300022,18.50900078,27.26300049,37.73199844
FL,Hardee County,12049,27414,23971,9.905799866,13.50800037,18.44799995,25.73500061,33.91500092
MS,Wilkinson County,28157,9451,25875,9.333600044,12.23999977,18.33300018,28.63800049,38.41500092
TX,San Augustine County,48405,8836,30385,7.207399845,11.35599995,18.22900009,28.32099915,37.16400146
TX,Willacy County,48489,22107,22215,11.51799965,14.125,18.08200073,22.94199944,28.76300049
FL,Okeechobee County,12093,39285,26057,8.900899887,12.65699959,17.91600037,27.78899956,38.0530014
TX,Starr County,48427,61951,21927,11.45899963,13.96500015,17.77400017,22.17300034,26.52300072
MS,Walthall County,28147,15088,25500,8.161299706,11.40100002,17.68199921,26.74600029,36.27199936
OK,Choctaw County,40023,15170,29066,5.575099945,10.87800026,17.63899994,26.89999962,35.70199966
FL,Taylor County,12123,22739,26629,7.268499851,11.35499954,17.53199959,28.62000084,38.25799942
FL,Polk County,12105,615760,31654,9.308799744,12.47500038,17.4810009,26.05900002,35.57899857
TX,San Saba County,48411,5988,28746,6.942100048,11.01599979,17.45100021,25.93000031,37.51399994
TX,Sabine County,48403,10469,33537,7.265999794,11.00300026,17.44799995,27.1079998,35.72399902
TX,Coleman County,48083,8675,33313,6.936500072,10.64400005,17.42300034,26.52899933,36.91999817
FL,Lafayette County,12067,8802,20461,7.78000021,11.52000046,17.32999992,26.83200073,37.94100189
TX,Kinney County,48271,3628,30434,8.818799973,12.1619997,17.23600006,24.48999977,30.54100037
GA,Johnson County,13167,9882,21486,6.303299904,9.945500374,17.21899986,27.90399933,39.4679985
GA,Taliaferro County,13265,1681,23598,6.251399994,9.892499924,17.2159996,29.64999962,41.61800003
GA,Stewart County,13259,6090,21411,5.784599781,9.871500015,17.20000076,29.15500069,42.13000107
FL,Suwannee County,12121,43576,26858,7.035200119,10.86699963,17.13500023,29.44099998,40.75600052
AZ,Mohave County,04015,203170,26320,4.610499859,10.64000034,16.9489994,24.89500046,33.48799896
TX,Newton County,48351,14328,26129,7.177599907,10.9989996,16.90999985,25.19499969,34.29600143
TX,Falls County,48145,17600,29510,6.077799797,10.54199982,16.8939991,25.27199936,34.37599945
GA,Quitman County,13239,2398,23550,6.395100117,10.13099957,16.75499916,29.07299995,39.27299881
AL,Wilcox County,01131,11386,25746,7.332099915,10.58600044,16.65999985,26.37899971,34.53099823
AR,Pike County,05109,11266,26721,6.789500237,10.87199974,16.62899971,25.45899963,33.08599854
MS,Marion County,28091,26398,28948,7.901400089,11.36800003,16.61400032,26.31900024,33.44100189
LA,West Carroll Parish,22123,11506,27183,7.427499771,10.8579998,16.56800079,26.15600014,33.57300186
GA,McIntosh County,13191,13922,24103,7.760200024,10.98400021,16.56399918,24.99699974,34.28900146
AR,Howard County,05061,13710,27412,6.354599953,10.31999969,16.52499962,25.00200081,33.26800156
GA,Candler County,13043,11125,26196,6.890200138,10.33100033,16.52000046,27.25,37.81600189
LA,Bienville Parish,22013,14163,32310,6.679200172,10.2510004,16.45100021,25.85899925,34.88899994
TX,Maverick County,48323,55766,23824,9.77670002,12.35700035,16.45000076,21.3029995,26.31100082
TX,Limestone County,48293,23664,30533,6.226699829,10.43799973,16.4470005,24.59600067,32.81999969
TX,Madison County,48313,13712,27377,6.771699905,10.64099979,16.37700081,23.91600037,30.29400063
LA,Winn Parish,22127,15049,32058,7.012199879,10.53899956,16.28700066,24.20599937,31.39699936
MS,Stone County,28131,18049,27728,8.805000305,11.44999981,16.23200035,24.1079998,31.39299965
GA,Clinch County,13065,6715,25934,6.765799999,10.13500023,16.22800064,27.32799911,35.97100067
NM,Sierra County,35051,11893,32078,5.280399799,10.10299969,16.18099976,25.12299919,34.94599915
TX,Marion County,48315,10323,31327,6.052800179,10.53999996,16.14299965,25.79199982,33.33000183
MS,Perry County,28111,12080,25482,8.26099968,11.19400024,16.13199997,23.98800087,33.7120018
MS,Holmes County,28051,19040,26335,8.420200348,11.12100029,16.11800003,25.7159996,33.18000031
TX,Llano County,48299,19121,35753,5.941899776,9.58920002,16.07799911,24.55699921,34.02000046
OK,Jefferson County,40067,6335,31717,4.518199921,8.875200272,16.06599998,25.25600052,33.34400177
VA,Buena Vista city,51530,12053,32238,-0.53324002,5.917099953,16.05599976,26.71299934,34.52199936
FL,Madison County,12079,18915,25780,6.063199997,9.984999657,15.99699974,26.75099945,38.19400024
TX,Polk County,48373,45745,35636,7.031400204,10.25399971,15.96100044,23.22699928,31.04899979
OK,Okfuskee County,40107,12303,25939,4.052899837,8.392900467,15.94200039,26.51199913,35.17599869
FL,Levy County,12075,39997,28682,6.218299866,10.24199963,15.92500019,27.71999931,38.48199844
TX,Duval County,48131,11573,35981,8.691800117,11.0369997,15.92300034,21.49200058,26.29199982
TX,Hidalgo County,48215,807730,22658,10.09300041,12.64799976,15.875,20.2159996,24.15600014
GA,Lanier County,13173,10444,22469,7.170800209,10.09399986,15.8579998,25.52499962,36.11700058
TX,Tyler County,48457,21452,28271,7.115200043,10.06900024,15.8380003,24.22200012,32.1269989
FL,Putnam County,12107,73119,25922,5.519599915,9.765999794,15.79500008,29.63899994,43.49300003
LA,Washington Parish,22117,46664,29565,7.807300091,10.13700008,15.79199982,23.19400024,33.31000137
GA,Bacon County,13005,11186,26637,6.371399879,9.841099739,15.76200008,25.34799957,35.90999985
TX,Coke County,48081,3224,32072,5.049099922,9.221199989,15.7510004,25.2859993,34.50400162
FL,Hamilton County,12047,14699,22005,6.455800056,9.586400032,15.68299961,26.02899933,34.34999847
LA,Madison Parish,22065,12194,29264,7.424699783,10.43799973,15.67800045,24.04100037,31.41799927
TX,Houston County,48225,23149,31155,5.221300125,9.27270031,15.65699959,23.93799973,31.875
MS,Greene County,28041,14286,22435,8.443300247,11.11900043,15.6260004,23.62599945,30.75399971
GA,Brantley County,13025,18555,21929,6.633999825,10.34300041,15.625,24.46899986,32.81900024
LA,Franklin Parish,22041,20613,31687,7.531400204,10.31200027,15.61299992,24.02700043,30.83600044
TX,Red River County,48387,12712,32534,4.372499943,8.565999985,15.60599995,25.09399986,32.94200134
MS,Pike County,28113,40111,27700,7.694099903,10.36800003,15.57400036,24.05900002,31.71999931
TX,Menard County,48327,2221,28899,5.266900063,8.90019989,15.55000019,26.56800079,38.43999863
FL,Lake County,12069,303450,33946,6.828000069,10.72999954,15.5369997,26.28899956,33.90200043
FL,Bradford County,12007,27132,26096,7.022600174,10.09399986,15.50199986,25.03199959,34.44200134
TX,Fannin County,48147,33667,31340,5.652200222,9.549699783,15.5010004,23.77499962,30.25200081
TX,Brown County,48049,37857,29817,6.445300102,10.28299999,15.5010004,23.2689991,32.83399963
TX,Runnels County,48399,10422,33318,5.531400204,9.644100189,15.39500046,23.52300072,31.50399971
GA,Jenkins County,13165,9133,24903,5.644899845,8.772600174,15.36100006,24.74500084,33.77799988
AL,Russell County,01113,57736,28491,6.140699863,9.122200012,15.28899956,24.54899979,33.38600159
GA,Seminole County,13253,8915,31411,5.783199787,9.311599731,15.26200008,24.83600044,32.66799927
GA,Tattnall County,13267,25305,26750,6.705599785,9.83769989,15.22799969,24.05200005,32.61500168
TX,Mills County,48333,4831,32331,5.061800003,8.471300125,15.22500038,22.84600067,32.15999985
GA,Ben Hill County,13017,17545,25877,5.500999928,9.032099724,15.22299957,25.4090004,34.63100052
LA,Sabine Parish,22085,24306,31865,7.103499889,10.45400047,15.16899967,21.86400032,28.16500092
AZ,Gila County,04007,53027,32666,6.376699924,10.07499981,15.13899994,22.19099998,30.58200073
FL,Columbia County,12023,67943,28868,6.538499832,9.557100296,15.13599968,24.8920002,36.92100143
TX,Lavaca County,48285,19455,40270,7.144000053,10.01200008,15.12699986,22.625,30.47599983
GA,Ware County,13299,35814,28375,6.372499943,9.243300438,15.09700012,24.98800087,33.78300095
TX,Karnes County,48255,14896,32719,7.40719986,10.28299999,15.08899975,21.88800049,27.97500038
LA,Catahoula Parish,22025,10250,30562,7.474400043,10.04599953,15.0340004,22.63899994,28.09499931
GA,Clay County,13061,3102,28177,4.567299843,8.329500198,14.98700047,28.80999947,38.34899902
GA,Wilcox County,13315,9027,25130,5.155799866,8.659999847,14.97999954,25.8390007,35.1629982
GA,Treutlen County,13283,6751,24044,5.988699913,8.800800323,14.95499992,25.18499947,35.18999863
TX,Bosque County,48035,18111,35447,4.884399891,8.694800377,14.93400002,23.44300079,31.06100082
TX,DeWitt County,48123,20456,41270,7.054500103,9.819899559,14.90600014,22.48900032,29.30800056
TX,Leon County,48289,16763,35271,6.272999763,9.17840004,14.88799953,22.5529995,30.26099968
