storeNumber,facilityType,phone,name,region,company,address1,city,state,postalCode,country,open_date,latitude,longitude
379,NIKE_OWNED_STORE,13103937384,Nike Santa Monica,NORTH_AMERICA,Nike,395 Santa Monica Place #118,Santa Monica,CA,90401-2369,USA,2010-08-06,34.014015,-118.494434
246,NIKE_OWNED_STORE,13239370168,Nike The Grove,NORTH_AMERICA,Nike,"189 The Grove Drive, Space Q-3",Los Angeles,CA,90036-6233,USA,2015-09-10,34.071845,-118.356646
466,NIKE_OWNED_STORE,13104699027,Nike Well Collective - El Segundo,NORTH_AMERICA,Nike,850 S. Pacific Coast Highway,El Segundo,CA,90245-4836,USA,2023-01-26,33.9024865,-118.3944465
264,NIKE_OWNED_STORE,13234868638,Nike Community Store - Watts,NORTH_AMERICA,Nike,9801 S Alameda St,Los Angeles,CA,90002-3158,USA,2020-08-27,33.947451,-118.229345
488,NIKE_OWNED_STORE,14243995017,Nike Del Amo,NORTH_AMERICA,Nike,"3525 W Carson St, 439A",Torrance,CA,90503-5738,USA,2023-05-25,33.8337707,-118.3506624
384,NIKE_OWNED_STORE,18183575680,Nike Well Collective - Glendale,NORTH_AMERICA,Nike,"837 Americana Way, Suite D11",Glendale,CA,91210-1509,USA,2020-02-20,34.144367,-118.255965
225,NIKE_OWNED_STORE,13233079866,Nike Community Store - East LA,NORTH_AMERICA,Nike,4585 Whittier Blvd,East Los Angeles,CA,90022-2432,USA,2015-10-12,34.02303,-118.16816
275,NIKE_OWNED_STORE,13106266131,Nike Factory Store - Torrance,NORTH_AMERICA,Nike,2545 Pacific Coast Highway Suite A,Torrance,CA,90505-7035,USA,2017-05-25,33.791968,-118.330102
339,NIKE_OWNED_STORE,13237201684,Nike Factory Store - Citadel,NORTH_AMERICA,Nike,Citadel Outlets,Commerce,CA,90040-1523,USA,2010-11-09,34.008167,-118.151526
323,NIKE_OWNED_STORE,16267937862,Nike Well Collective - Pasadena,NORTH_AMERICA,Nike,One Colorado,Pasadena,CA,91105-1922,USA,2014-11-16,34.146029,-118.151361
227,NIKE_OWNED_STORE,15624327304,Nike Factory Store - Long Beach,NORTH_AMERICA,Nike,The Pike Outlets at Rainbow Harbor,Long Beach,CA,90802-8139,USA,2005-09-24,33.764344,-118.194423
328,NIKE_OWNED_STORE,15628000137,Nike Well Collective - Long Beach,NORTH_AMERICA,Nike,6440 E. Pacific Coast Hwy #130,Long Beach,CA,90803-4268,USA,2019-11-01,33.756586,-118.110287
