store_code,sku,item_title,primary_image,primary_image_url,sales_size,sales_uom_description,final_price,retail_price,fun_tags,item_characteristics,category_hierarchy,name,store_number,drop,prod_cat,prod_cat_type,prod_cat_desc
199,079142,Sugar Bee® Apples,/content/dam/trjo/products/m20701/79142.png,/content/dam/trjo/products/m20701/79142.png,2.0,Lb,4.49,4.49,"Backpack Ready, Cheese Board, Family Style",,Products > Food > Fresh Fruits & Veggies > Fruits,Trader Joe's Chico ,199,Products , Food , Fresh Fruits & Veggies , Fruits
199,079721,Caesar Broccoli Bake Kit,/content/dam/trjo/products/m20501/79721.png,/content/dam/trjo/products/m20501/79721.png,14.15,Oz,4.99,4.99,"Dinner Hack, Let's Bake!, Time-pressed",,"Products > Food > Fresh Prepared Foods > Salads, Soups & Sides",Trader Joe's Chico ,199,Products , Food , Fresh Prepared Foods ," Salads, Soups & Sides"
199,078784,Orange & Spice Scented Candle & Room Spritz,/content/dam/trjo/products/m501/78784.png,/content/dam/trjo/products/m501/78784.png,1.0,Each,5.99,5.99,"Fall Faves, Giftable, Treat Yourself",,Products > Everything Else > Household Essentials,Trader Joe's Chico ,199,Products , Everything Else , Household Essentials,None
199,078804,Halloween Felted Wool Garland,/content/dam/trjo/products/m501/78804.png,/content/dam/trjo/products/m501/78804.png,1.0,Each,9.99,9.99,"Fall Faves, Family Style, Giftable",,Products > Everything Else > Household Essentials,Trader Joe's Chico ,199,Products , Everything Else , Household Essentials,None
199,078806,Autumn Felted Wool Garland,/content/dam/trjo/products/m501/78806.png,/content/dam/trjo/products/m501/78806.png,1.0,Each,9.99,9.99,"Fall Faves, Family Style, Giftable",,Products > Everything Else > Household Essentials,Trader Joe's Chico ,199,Products , Everything Else , Household Essentials,None
199,078885,Limone Premuto Extra Virgin Olive Oil,/content/dam/trjo/products/m20904/78885.png,/content/dam/trjo/products/m20904/78885.png,8.45,Fl Oz,7.99,7.99,"Alfresco Dining, Date Night, Feeling Fancy, Gild The Lily, Picnic, Pour It On",Kosher,Products > Food > For the Pantry > Oils & Vinegars,Trader Joe's Chico ,199,Products , Food , For the Pantry , Oils & Vinegars
199,078799,Bourbon Vanilla Beans,/content/dam/trjo/products/m20905/78799.png,/content/dam/trjo/products/m20905/78799.png,1.0,Each,2.99,2.99,"Fall Faves, Let's Bake!, Merry-making",,Products > Food > For the Pantry > For Baking & Cooking,Trader Joe's Chico ,199,Products , Food , For the Pantry , For Baking & Cooking
199,079166,Almond Paste,/content/dam/trjo/products/m20905/79166.png,/content/dam/trjo/products/m20905/79166.png,7.0,Oz,3.99,3.99,"Fall Faves, Let's Bake!, Merry-making, Stuff of Dreams",,Products > Food > For the Pantry > For Baking & Cooking,Trader Joe's Chico ,199,Products , Food , For the Pantry , For Baking & Cooking
199,078797,Double Fold Alcohol Free Bourbon Vanilla Flavoring,/content/dam/trjo/products/m20905/78797.png,/content/dam/trjo/products/m20905/78797.png,3.55,Fl Oz,7.99,7.99,"Fall Faves, Let's Bake!, Merry-making, The ""X"" Factor",,Products > Food > For the Pantry > For Baking & Cooking,Trader Joe's Chico ,199,Products , Food , For the Pantry , For Baking & Cooking
199,076054,Chile Seasoned Dried Mango,/content/dam/trjo/products/m21003/76054.png,/content/dam/trjo/products/m21003/76054.png,6.0,Oz,4.99,4.99,"Backpack Ready, Midday Snacks, Mouth On Fire",Kosher,"Products > Food > Snacks & Sweets > Nuts, Dried Fruits, Seeds",Trader Joe's Chico ,199,Products , Food , Snacks & Sweets ," Nuts, Dried Fruits, Seeds"
199,079169,Dark Chocolate Chips No Sugar Added,/content/dam/trjo/products/m21002/79169.png,/content/dam/trjo/products/m21002/79169.png,8.0,Oz,3.99,3.99,"Fall Faves, Family Style, Let's Bake!, Merry-making, The ""X"" Factor, Treat Yourself","Dairy Free, Gluten Free",Products > Food > Snacks & Sweets > Candies & Cookies,Trader Joe's Chico ,199,Products , Food , Snacks & Sweets , Candies & Cookies
199,079725,Barebells Pumpkin Spice Protein Bar,/content/dam/trjo/products/m21004/79725.png,/content/dam/trjo/products/m21004/79725.png,1.94,Oz,2.29,2.29,"Backpack Ready, Fall Faves",,"Products > Food > Snacks & Sweets > Bars, Jerky &… Surprises",Trader Joe's Chico ,199,Products , Food , Snacks & Sweets ," Bars, Jerky &… Surprises"
199,061875,La Colombe Triple Cold Brew Latte,/content/dam/trjo/products/m301/61875.png,/content/dam/trjo/products/m301/61875.png,9.0,Fl Oz,2.99,2.99,"Backpack Ready, Brunch All Day, Heat Wave, Rise & Shine",,Products > Beverages > Juices & More,Trader Joe's Chico ,199,Products , Beverages , Juices & More,None
199,070576,La Colombe Double Cold Brew Latte with Oatmilk,/content/dam/trjo/products/m301/70576.png,/content/dam/trjo/products/m301/70576.png,9.0,Fl Oz,2.99,2.99,"Alfresco Dining, Brunch All Day, Heat Wave, The ""X"" Factor","Dairy Free, Gluten Free, Kosher, Vegan",Products > Beverages > Juices & More,Trader Joe's Chico ,199,Products , Beverages , Juices & More,None
199,065012,GT's Synergy Living in Gratitude Raw Kombucha,/content/dam/trjo/products/m301/65012.png,/content/dam/trjo/products/m301/65012.png,16.0,Fl Oz,3.49,3.49,"Alfresco Dining, Backpack Ready, Heat Wave, The ""X"" Factor",,Products > Beverages > Juices & More,Trader Joe's Chico ,199,Products , Beverages , Juices & More,None
