Jurisdiction,Week of Allocations,1st Dose Allocations
Connecticut,03/01/2021,30200
Maine,03/01/2021,11500
Massachusetts,03/01/2021,58100
New Hampshire,03/01/2021,11600
Rhode Island,03/01/2021,9100
Vermont,03/01/2021,5400
New Jersey,03/01/2021,73600
New York,03/01/2021,93700
New York City,03/01/2021,71100
Puerto Rico,03/01/2021,28800
U.S. Virgin Islands,03/01/2021,900
Delaware,03/01/2021,8000
District of Columbia,03/01/2021,6000
Maryland,03/01/2021,49600
Pennsylvania,03/01/2021,94600
Philadelphia,03/01/2021,13100
Virginia,03/01/2021,69700
West Virginia,03/01/2021,15500
Alabama,03/01/2021,40100
Florida,03/01/2021,175100
Georgia,03/01/2021,83000
Kentucky,03/01/2021,36500
Mississippi,03/01/2021,24200
North Carolina,03/01/2021,83700
South Carolina,03/01/2021,41100
Tennessee,03/01/2021,54800
Chicago,03/01/2021,22300
Illinois,03/01/2021,83100
Indiana,03/01/2021,53900
Michigan,03/01/2021,82700
Minnesota,03/01/2021,45200
Ohio,03/01/2021,96100
Wisconsin,03/01/2021,48000
Arkansas,03/01/2021,24400
Louisiana,03/01/2021,37900
New Mexico,03/01/2021,17200
Oklahoma,03/01/2021,31500
Texas,03/01/2021,219200
Iowa,03/01/2021,25600
Kansas,03/01/2021,23400
Missouri,03/01/2021,50100
Nebraska,03/01/2021,15500
Colorado,03/01/2021,45500
Montana,03/01/2021,8700
North Dakota,03/01/2021,6300
South Dakota,03/01/2021,7000
Utah,03/01/2021,22800
Wyoming,03/01/2021,4800
Arizona,03/01/2021,56800
California,03/01/2021,320100
Hawaii,03/01/2021,11900
Nevada,03/01/2021,24000
American Samoa,03/01/2021,400
Guam,03/01/2021,1300
Marshall Islands,03/01/2021,600
Micronesia,03/01/2021,800
Mariana Islands,03/01/2021,400
Palau,03/01/2021,200
Alaska,03/01/2021,8900
Idaho,03/01/2021,13300
Oregon,03/01/2021,34400
Washington,03/01/2021,60900
Federal Entities,03/01/2021,139200
