oshpd_id,FAC_NO,FAC_NAME,FAC_STR_ADDR,FAC_CITY,FAC_ZIP,FAC_OPERATED_THIS_YR,FAC_OP_PER_BEGIN_DT,FAC_OP_PER_END_DT,FAC_PAR_CORP_NAME,LICENSE_NO,LICENSE_EFF_DATE,LICENSE_EXP_DATE,LICENSE_STATUS,FACILITY_LEVEL,TRAUMA_CTR,TEACH_HOSP,TEACH_RURAL,LONGITUDE,LATITUDE,ASSEMBLY_DIST,SENATE_DIST,CONGRESS_DIST,CENS_TRACT,MED_SVC_STUDY_AREA,LA_COUNTY_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,LIC_CAT,LICEE_TOC,PRIN_SERVICE_TYPE,MED_SURG_LIC_BEDS,PERINATAL_LIC_BEDS,PED_LIC_BEDS,IC_LIC_BEDS,CORONARY_CARE_LIC_BEDS,RESP_CARE_LIC_BEDS,BURN_LIC_BEDS,IC_NEWBORN_LIC_BEDS,REHAB_CTR_LIC_BEDS,GAC_SUBTOT_LIC_BEDS,CHEMDEP_RECOVERY_LIC_BEDS,PSYCH_LIC_BEDS,SN_LIC_BEDS,INTERC_LIC_BEDS,IC_DEV_DIS_LIC_BEDS,TOT_LIC_BEDS,GAC_CDRS_LIC_BEDS,ACUTE_PSYCH_LIC_BEDS,NEWBORN_NURSERY_BASSINETS,GEN_ACUTE_CARE_SN_SWING_BEDS,PSYCH_PATS_LOCKED_ON_1231,PSYCH_PATS_OPEN_ON_1231,PSYCH_PATS_TOT_BY_UNIT_ON_1231,PSYCH_PATS_0_TO_17_ON_1231,PSYCH_PATS_18_TO_64_ON_1231,PSYCH_PATS_65_AND_UP_ON_1231,PSYCH_PATS_TOT_BY_AGE_ON_1231,PSYCH_PATS_MED_TRAD_ON_1231,PSYCH_PATS_MED_MC_ON_1231,PSYCH_PATS_MED_CAL_TRAD_ON_1231,PSYCH_PATS_MED_CAL_MC_ON_1231,PSYCH_PATS_COUNTY_INDIGENT_PROG,PSYCH_PATS_3RD_PARTIES_TRAD,PSYCH_PATS_3RD_PARTIES_MC,PSYCH_PATS_SHORT_DOYLE,PSYCH_PATS_OTHER_INDIGENT,PSYCH_PATS_OTHER_PAYERS,PSYCH_PATS_TOT_BY_PAYOR,SHORT_DOYLE_SVCS_OFFERED,INPATIENT_HOSPICE_PROG_OFFERED,BED_CLASS_GEN_ACUTE_CARE_SERVICE,BED_CLASS_SN_HOSPICE_SERVICE,BED_CLASS_IC_HOSPICE_SERVICE,IP_PAL_CARE_PROG_OFFERED,OP_PAL_CARE_SERV_OFFERED,MED_SURG_LIC_BED_DAYS,PERINATAL_LIC_BED_DAYS,PED_LIC_BED_DAYS,IC_LIC_BED_DAYS,CORONARY_CARE_LIC_BED_DAYS,RESP_CARE_LIC_BED_DAYS,BURN_LIC_BED_DAYS,IC_NEWBORN_LIC_BED_DAYS,REHAB_CTR_LIC_BED_DAYS,GAC_SUBTOT_LIC_BED_DAYS,CHEMDEP_RECOVERY_LIC_BED_DAYS,PSYCH_LIC_BED_DAYS,SN_LIC_BED_DAYS,INTERC_LIC_BED_DAYS,IC_DEV_DIS_LIC_BED_DAYS,TOT_LIC_BED_DAYS,MED_SURG_DISCHARGES,PERINATAL_DISCHARGES,PED_DISCHARGES,IC_DISCHARGES,CORONARY_CARE_DISCHARGES,RESP_CARE_DISCHARGES,BURN_DISCHARGES,IC_NEWBORN_DISCHARGES,REHAB_CTR_DISCHARGES,GAC_SUBTOT_DISCHARGES,CHEMDEP_RECOVERY_DISCHARGES,PSYCH_DISCHARGES,SN_DISCHARGES,INTERC_DISCHARGES,IC_DEV_DIS_DISCHARGES,TOT_DISCHARGES,GAC_CDRS_DISCHARGES,ACUTE_PSYCH_DISCHARGES,NEWBORN_NURSERY_INFANTS,IC_INTRA_TRANSFERS,CORONARY_CARE_INTRA_TRANSFERS,RESP_CARE_INTRA_TRANSFERS,BURN_INTRA_TRANSFERS,IC_NEWBORN_INTRA_TRANSFERS,SN_INTRA_TRANSFERS,MED_SURG_CEN_DAYS,PERINATAL_CEN_DAYS,PED_CEN_DAYS,IC_CEN_DAYS,CORONARY_CARE_CEN_DAYS,RESP_CARE_CEN_DAYS,BURN_CEN_DAYS,IC_NEWBORN_CEN_DAYS,REHAB_CTR_CEN_DAYS,GAC_SUBTOT_CEN_DAYS,CHEMDEP_RECOV_CEN_DAYS,PSYCH_CEN_DAYS,SN_CEN_DAYS,INTERC_CEN_DAYS,IC_DEV_DIS_CEN_DAYS,TOT_CEN_DAYS,GAC_CDRS_CEN_DAYS,ACUTE_PSYCH_CEN_DAYS,NEWBORN_NURSERY_CEN_DAYS,MED_SURG_ALOS_CY,PERINATAL_ALOS_CY,PED_ALOS_CY,IC_ALOS_CY,CORONARY_CARE_ALOS_CY,RESP_CARE_ALOS_CY,BURN_ALOS_CY,IC_NEWBORN_ALOS_CY,REHAB_CTR_ALOS_CY,GAC_SUBTOT_ALOS_CY,CHEMDEP_RECOV_ALOS_CY,PSYCH_ALOS_CY,SN_ALOS_CY,INTERC_ALOS_CY,IC_DEV_DIS_ALOS_CY,TOT_ALOS_CY,GAC_CDRS_ALOS_CY,ACUTE_PSYCH_CDRS_ALOS_CY,MED_SURG_ALOS_PY,PERINATAL_ALOS_PY,PED_ALOS_PY,IC_ALOS_PY,CORONARY_CARE_ALOS_PY,RESP_CARE_ALOS_PY,BURN_ALOS_PY,IC_NEWBORN_ALOS_PY,REHAB_CTR_ALOS_PY,GAC_SUBTOT_ALOS_PY,CHEMDEP_RECOV_ALOS_PY,PSYCH_ALOS_PY,SN_ALOS_PY,INTERC_ALOS_PY,IC_DEV_DIS_ALOS_PY,TOT_ALOS_PY,GAC_CDRS_ALOS_PY,ACUTE_PSYCH_CDRS_ALOS_PY,EMSA_TRAUMA_DESIGNATION,LIC_ED_LEV_BEGIN,EMS_VISITS_NON_URGENT_TOT,EMS_VISITS_URGENT_TOT,EMS_VISITS_MODERATE_TOT,EMS_VISITS_SEVERE_TOT,EMS_VISITS_CRITICAL_TOT,EMS_VISITS_TOT,ED_STATIONS_ON_1231,NON_EMER_VISITS_IN_ED,LWOBS,ED_AMBULANCE_DIV_HOURS,ED_HR_DIV_JAN,ED_HR_DIV_FEB,ED_HR_DIV_MAR,ED_HR_DIV_APR,ED_HR_DIV_MAY,ED_HR_DIV_JUN,ED_HR_DIV_JUL,ED_HR_DIV_AUG,ED_HR_DIV_SEP,ED_HR_DIV_OCT,ED_HR_DIV_NOV,ED_HR_DIV_DEC,ED_HR_DIV_TOT,EMSA_TRAUMA_DESIGNATION_PED,LIC_ED_LEV_END,EMS_VISITS_NON_URGENT_ADMITTED,EMS_VISITS_URGENT_ADMITTED,EMS_VISITS_MODERATE_ADMITTED,EMS_VISITS_SEVERE_ADMITTED,EMS_VISITS_CRITICAL_ADMITTED,ADMITTED_FROM_ED_TOT,ER_TRAFFIC_TOT,INPATIENT_SURG_OPER,OUTPATIENT_SURG_OPER,INPAT_OPER_RM,OUTPAT_OPER_RM,INPAT_OUTPAT_OPER_RM,OPER_RM_TOT,OFFER_AMBULATORY_SURG_PROG,LIVE_BIRTHS_TOT,LIVE_BIRTHS_LT_2500GM,LIVE_BIRTHS_LT_1500GM,OFFER_ALTERNATE_BIRTH_PROG,LIVE_BIRTHS_IN_ALT_SETTING,LIVE_BIRTHS_C_SECTION,LIC_CARDIOLOGY_CARDIO_SURG_SVCS,CARDIO_OPER_RM,CARDIO_SURG_OPER_PED_BYPASS_USED,CARDIO_SURG_OPER_ADLT_BYPASSUSED,CARDIO_SURG_OPER_BYPASS_USED_TOT,CABG_SURG,CARD_CATH_LAB_RM,CARD_CATH_PED_IP_DIAG_VST,CARD_CATH_PED_OP_DIAG_VST,CARD_CATH_ADLT_IP_DIAG_VISITS,CARD_CATH_ADLT_OP_DIAG_VISITS,CARD_CATH_DIAG_VISITS_TOT,DIAG_CARD_CATH_PROC,MYOCARDIAL_BIOPSY,PERM_PACEMAKER_IMPLANT,OTH_PERM_PACEMAKER_PROC,IMPLANABLE_CARDIO_DEFIB_IMPLANT,OTH_PROCEDURES,PCI_WITH_STENT,PCI_WO_STENT,ATHERECTOMY,THROMBOLYTIC_AGENTS,PTBV,DIAG_ELECTROPHYSIOLOGY_EP,CATH_ABLATION,PERIPHERAL_VASCULAR_ANGIOGRAPHY,PERIPHERAL_VASCULAR_INTERVENTION,CAROTID_STENTING,INTRA_AORTIC_BALLOON_PUMP_INS,CATH_BASED_VENT_ASSIST_DEV_INS,ALL_OTHER_CATH_PROC,CATH_PROC_TOT,INPATIENT_SURG_OPER_RM_MINS,OUTPATIENT_SURG_OPER_RM_MINS,CARDIO_SURG_OPER_PED_NOBYPASS,CARDIO_SURG_OPER_ADULT_NOBYPASS,CARDIO_SURG_OPER_NOBYPASS_TOT,CARD_CATH_PED_IP_THER_VST,CARD_CATH_PED_OP_THER_VST,CARD_CATH_ADULT_IP_THER_VIS,CARD_CATH_ADULT_OUTPAT_THER_VIS,CARD_CATH_THER_VIS_TOT,INPATIENT_AVG_PER_SURGERY,OUTPATIENT_AVG_PER_SURGERY,FAC_ACQUIRE_EQUIP_OVER_500K,resp_stat,MSSA_DESIGNATION,MSSA_NAME,Include_State_hospital,ALTERNATE_SETTING_LDRP1,ALTERNATE_SETTING_LDR1,ED_AMBULANCE_DIV_HOURS1,bed_size_range,TYPE_CNTRL_R1,EMS_Basic,EMS_Comp,EMS_Standby,EMS_GAC_None,EMSA_ADULT,Level_I_Trauma,Level_II_Trauma,Level_III_Trauma,Level_IV_Trauma,EMSA_PED,Level_I_ped,Level_II_ped,Level_III_ped,Level_IV_ped,EMSA_Trauma,EMSA_EITHER,non_emsa,level_I_visit,level_II_visit,level_III_visit,level_IV_visit,non_emsa_visit,MINOR_TOT,LOWM_TOT,MOD_TOT,SEV_TOT,CRIT_TOT,UNK_ACUITY_NOT_ADM,UNK_ACUITY_ADM,UNKNOWN_SEV
106010735,106010735,ALAMEDA HOSPITAL,2070 CLINTON AVE,ALAMEDA,94501,Yes,01/01/2018,12/31/2018,Alameda Health System,140000002,10/30/2018,04/30/2019,Open,Parent Facility,,No,No,-122.253991,37.76266,District 18,District 09,District 13,06001428500,2e,,05 - East Bay,Alameda,General Acute Care Hospital,City or County,General Medical / Surgical,84,0,0,8,8,0,0,0,0,100,0,0,181,0,0,281,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,No,30660,0,0,2920,2920,0,0,0,0,36500,0,0,66065,0,0,102565,2346,0,0,129,0,0,0,0,0,2475,0,0,284,0,0,2759,0,0,0,435,,,,,,10895,0,0,1593,0,0,0,0,0,12488,0,0,63055,0,0,75543,0,0,0,4.6,,,2.8,,,,,,5,,,222,,,27.4,,,4.5,0,0,2.7,0,0,0,0,0,4.8,0,0,332.1,0,0,29.6,0,0,,Basic,760,2865,6511,3391,1288,14815,12,0,313,Yes,7,0,14,0,9,3,6,5,4,168,6,16,238,,Basic,2,6,55,835,756,1654,16469,451,1819,0,1,5,6,,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,46832,126137,0,0,,0,0,0,0,,103.8,69.3,,Respondent,Urban,ALAMEDA/JACK LONDON SQUARE/OAKLAND INNER HARBOR,No,,,1,200 - 299,City or County,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16469,762,2871,6566,4226,2044,0,0,0
106010739,106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,2450 ASHBY AVENUE,BERKELEY,94705,Yes,01/01/2018,12/31/2018,Sutter Health,140000004,11/01/2017,10/31/2018,Open,Parent Facility,,No,No,-122.25743,37.85645,District 15,District 09,District 13,06001423902,2b,,05 - East Bay,Alameda,General Acute Care Hospital,Non-Profit Corporation (including church-related),General Medical / Surgical,146,116,0,16,14,0,0,55,0,347,0,0,0,0,0,347,0,0,80,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,Yes,Yes,53290,42340,0,5840,5110,0,0,20075,0,126655,0,0,0,0,0,126655,6579,5774,0,182,0,0,0,798,0,13333,0,0,0,0,0,13333,0,0,5107,647,0,0,0,134,0,25622,19143,0,3638,0,0,0,12065,0,60468,0,0,0,0,0,60468,0,0,11008,3.9,3.3,,4.4,,,,13,,4.5,,,,,,4.5,,,3.8,3.2,0,3.7,0,0,0,10.2,0,4.3,0,0,0,0,0,4.3,0,0,,Basic,545,3819,10529,15099,10614,40606,22,6338,793,Yes,20,3,0,0,8,15,3,22,6,24,4,21,126,,Basic,0,0,0,0,0,5352,45958,2170,4680,0,0,12,12,Yes,5114,488,111,,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,274833,385094,0,0,,0,0,0,0,,126.7,82.3,,Respondent,Urban,ALBANY/BERKELEY EAST AND NORTH/CLAREMONT/CRAGMONT/FOREST PARK/ROCKRIDGE/TEMESCAL/THOUSAND OAKS,No,,,1,300 - 499,Non-Profit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45958,545,3819,10529,15099,10614,0,5352,5352
106010776,106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,747 52ND STREET,OAKLAND,94609,Yes,01/01/2018,12/31/2018,,140000015,11/20/2018,12/31/2018,Open,Parent Facility,Level I - Pediatric,No,No,-122.26747,37.83722,District 15,District 09,District 13,06001401000,2c,,05 - East Bay,Alameda,General Acute Care Hospital,Non-Profit Corporation (including church-related),Pediatric,0,0,104,23,0,0,0,51,12,190,0,0,0,0,0,190,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,No,0,0,39444,8395,0,0,0,17131,4380,69350,0,0,0,0,0,69350,0,0,7900,463,0,0,0,412,354,9129,0,0,0,0,0,9129,0,0,0,1146,0,0,0,163,0,0,0,27930,5117,0,0,0,10212,2889,46148,0,0,0,0,0,46148,0,0,0,,,3.5,3.2,,,,17.8,8.2,5.1,,,,,,5.1,,,0,0,3.5,3.6,0,0,0,20.4,7.2,4.9,0,0,0,0,0,4.9,0,0,,Basic,663,7738,20752,5349,3791,38293,37,0,758,No,,,,,,,,,,,,,,Level I,Basic,158,72,1404,1409,3472,6515,44808,3273,6058,0,2,10,12,,0,0,0,,0,,Cardiovascular Surgery Services,1,86,3,89,0,1,3,22,0,3,28,91,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,53,148,450817,367011,33,2,35,23,36,1,1,61,137.7,60.6,Yes,Respondent,Urban,OAKLAND WEST CENTRAL,No,,,,150 - 199,Non-Profit,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,44808,0,0,0,0,821,7810,22156,6758,7263,0,0,0
106010811,106010811,FAIRMONT HOSPITAL,15400 FOOTHILL BOULEVARD,SAN LEANDRO,94578,Yes,01/01/2018,12/31/2018,Alameda Health System,140000046,11/01/2018,10/31/2019,Open,Consolidated Facility,,No,No,-122.11819,37.70648,District 20,District 10,District 15,06001430500,2f,,05 - East Bay,Alameda,General Acute Care Hospital,City or County,Long-Term Care (SN / IC),0,0,0,0,0,0,0,0,50,50,0,0,109,0,0,159,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,No,0,0,0,0,0,0,0,0,18250,18250,0,0,39785,0,0,58035,0,0,0,0,0,0,0,0,535,535,0,0,68,0,0,603,0,0,0,,,,,,24,,,,,,,,,7537,7537,,,38998,,,46535,0,0,0,,,,,,,,,14.1,14.1,,,423.9,,,77.2,,,0,0,0,0,0,0,0,0,14.8,14.8,0,0,360.6,0,0,87.4,0,0,,,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,Respondent,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,No,,,,150 - 199,City or County,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106010844,106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,Yes,01/01/2018,12/31/2018,Sutter Health,140000004,11/01/2017,10/31/2018,Open,Consolidated Facility,,No,No,-122.26984,37.86373,District 15,District 09,District 13,06001422900,2a,,05 - East Bay,Alameda,General Acute Care Hospital,Non-Profit Corporation (including church-related),Psychiatric,0,0,0,0,0,0,0,0,0,,0,69,0,0,0,69,0,0,0,,43,0,43,6,25,12,43,21,0,6,0,0,16,0,0,0,0,43,,,,,,,No,0,0,0,0,0,0,0,0,0,,0,25185,0,0,0,25185,0,0,0,0,0,0,0,0,0,,0,2322,0,0,0,2322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,17474,0,0,0,17474,0,0,0,,,,,,,,,,,,7.5,,,,7.5,,,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,7.4,0,0,,,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,Respondent,Urban,BERKELEY SOUTH AND WEST/EMERYVILLE/OAKLAND NORTHWEST,No,,,,50 - 99,Non-Profit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106010846,106010846,HIGHLAND HOSPITAL,1411 EAST 31ST STREET,OAKLAND,94602,Yes,01/01/2018,12/31/2018,Alameda Health System,140000046,11/01/2018,10/31/2019,Open,Parent Facility,Level I,No,No,-122.23138,37.79925,District 18,District 09,District 13,06001405700,2c,,05 - East Bay,Alameda,General Acute Care Hospital,City or County,General Medical / Surgical,112,25,0,24,0,0,0,8,0,169,0,80,0,0,0,249,0,0,17,0,69,0,69,0,63,6,69,20,0,8,31,2,2,3,,,3,69,Yes,,,,,Yes,Yes,40880,9125,0,8760,0,0,0,2920,0,61685,0,29200,0,0,0,90885,8426,1889,0,467,,,,317,,11099,,2813,,,,13912,0,0,1355,880,,,,164,,43130,4716,,7046,,,,1233,,56125,,24511,,,,80636,0,0,2163,5.1,2.5,,5.2,,,,2.6,,5.1,,8.7,,,,5.8,,,5.2,2.7,0,5.2,0,0,0,2.7,0,5.2,0,7.6,0,0,0,5.8,0,0,Level I,Basic,2833,10222,17513,17600,5486,53654,54,,5465,Yes,15,0,0,0,0,0,2,0,0,0,0,1,18,,Basic,11,3,49,446,5422,5931,59585,2706,2559,,,7,7,,1355,86,11,,,335,Cardiac Catheterization Only,0,0,0,,0,3,0,0,93,189,282,282,0,1,1,1,0,165,14,0,0,0,0,0,9,9,0,11,0,147,640,461442,339789,,,,0,0,43,179,222,170.5,132.8,Yes,Respondent,Urban,OAKLAND WEST CENTRAL,No,,,1,200 - 299,City or County,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,59585,0,0,0,0,2844,10225,17562,18046,10908,0,0,0
106010887,106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,2800 BENEDICT DRIVE,SAN LEANDRO,94577,Yes,01/01/2018,12/31/2018,Kindred Healthcare Inc.,140000066,08/06/2018,02/28/2019,Open,Parent Facility,,No,No,-122.13119,37.71621,District 18,District 09,District 13,06001432800,2f,,05 - East Bay,Alameda,General Acute Care Hospital,Investor - Corporation,General Medical / Surgical,89,0,0,10,0,0,0,0,0,99,0,0,0,0,0,99,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,No,32485,0,0,3650,0,0,0,0,0,36135,0,0,0,0,0,36135,357,0,0,66,0,0,0,0,0,423,0,0,0,0,0,423,0,0,0,249,0,0,0,0,0,25216,0,0,2588,0,0,0,0,0,27804,0,0,0,0,0,27804,0,0,0,70.6,,,8.2,,,,,,65.7,,,,,,65.7,,,56.1,0,0,7.4,0,0,0,0,0,53.5,0,0,0,0,0,53.5,0,0,,,0,0,0,0,0,0,0,0,0,No,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,205,0,2,0,0,2,,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15619,0,0,0,,0,0,0,0,,76.2,,,Respondent,Urban,CASTRO VALLEY CENTRAL AND NORTH/OAK KNOLL/SAN LEANDRO NORTHEAST/SHEFFIELD VILLAGE/UNION CITY EAST,No,,,,50 - 99,Investor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
106010937,106010937,ALTA BATES SUMMIT MEDICAL CENTER,350 HAWTHORNE AVENUE,OAKLAND,94609,Yes,01/01/2018,12/31/2018,Sutter Health,140000284,11/01/2017,10/31/2018,Open,Parent Facility,,No,No,-122.26257,37.82106,District 18,District 09,District 13,06001401300,2m,,05 - East Bay,Alameda,General Acute Care Hospital,Non-Profit Corporation (including church-related),General Medical / Surgical,309,0,0,30,6,0,0,0,58,403,0,0,0,0,0,403,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,Yes,Yes,112785,0,0,10950,2190,0,0,0,21170,147095,0,0,0,0,0,147095,11331,0,0,293,158,0,0,0,1208,12990,0,0,0,0,0,12990,0,0,0,1142,201,0,0,0,0,47123,0,0,5467,625,0,0,0,17684,70899,0,0,0,0,0,70899,0,0,0,4.2,,,3.8,1.7,,,,14.6,5.5,,,,,,5.5,,,4.3,0,0,3.9,1.8,0,0,0,14.9,5.6,0,0,0,0,0,5.6,0,0,,Basic,383,2610,11073,15605,15830,45501,30,2993,852,Yes,3,0,0,0,0,0,0,1,0,0,0,0,4,,Basic,0,0,0,0,0,8810,54311,2706,3384,0,0,12,12,Yes,0,0,0,,0,0,Cardiovascular Surgery Services,2,0,222,222,,5,0,0,1707,209,1916,1472,0,136,19,167,133,395,70,36,0,0,319,291,55,65,16,43,16,302,3535,445126,384899,0,4,4,0,0,1258,361,1619,164.5,113.7,Yes,Respondent,Urban,DIMOND/MONTCLAIR/OAKLAND EAST/OAKMORE/PIEDMONT/PIEDMONT PINES/TRESTLE GLEN,No,,,1,300 - 499,Non-Profit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54311,383,2610,11073,15605,15830,0,8810,8810
106010967,106010967,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,Yes,01/01/2018,12/31/2018,,140000107,11/01/2018,07/30/2019,Open,Parent Facility,,No,No,-122.08962,37.63291,District 20,District 10,District 15,06001437300,2g,,05 - East Bay,Alameda,General Acute Care Hospital,Non-Profit Corporation (including church-related),General Medical / Surgical,163,17,0,9,6,0,0,0,0,195,0,0,22,0,0,217,0,0,24,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,No,59495,6205,0,3285,2190,0,0,0,0,71175,0,0,8030,0,0,79205,4153,570,0,246,0,0,0,0,0,4969,0,0,0,0,0,4969,0,0,569,994,0,0,0,0,,18410,1437,0,2822,0,0,0,0,0,22669,0,0,0,0,0,22669,0,0,1204,4.4,2.5,,2.3,,,,,,4.6,,,,,,4.6,,,4.2,2.6,0,2.5,0,0,0,0,0,4.3,0,0,0,0,0,4.3,0,0,,Basic,372,5239,14672,6952,2417,29652,17,0,725,Yes,1,12,0,0,0,0,0,2,9,0,7,18,49,,Basic,1,1,10,35,3100,3147,32799,1034,537,0,0,4,4,Yes,569,21,1,,0,125,Cardiac Catheterization Only,0,0,0,,0,1,0,0,261,135,396,626,0,36,8,18,0,202,28,0,0,0,0,0,22,5,0,15,0,43,1003,136056,38763,0,0,,0,0,202,28,230,131.6,72.2,,Respondent,Urban,SAN LEANDRO WEST/SAN LORENZO WEST/HAYWARD WEST,No,,,1,200 - 299,Non-Profit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32799,373,5240,14682,6987,5517,0,0,0
106010983,106010983,VALLEY MEMORIAL HOSPITAL,1111 E. STANLEY BOULEVARD,LIVERMORE,94550,Yes,01/01/2018,12/31/2018,Stanford health Care,140000114,12/09/2018,05/02/2019,Open,Consolidated Facility,,No,No,-121.78252,37.6787,District 16,District 07,District 15,06001451602,1.1,,05 - East Bay,Alameda,General Acute Care Hospital,Non-Profit Corporation (including church-related),General Medical / Surgical,25,0,0,3,7,0,0,0,0,35,0,14,26,0,0,75,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,No,9125,0,0,1095,2555,0,0,0,0,12775,0,5110,9490,0,0,27375,0,0,0,0,0,0,0,0,0,,0,0,463,0,0,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,7434,0,0,7434,0,0,0,,,,,,,,,,,,,16.1,,,16.1,,,0,0,0,0,0,0,0,0,0,0,0,13.5,16.7,0,0,16.3,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respondent,Urban,LIVERMORE CENTRAL AND WEST/SPRING TOWN,No,,,,50 - 99,Non-Profit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
