id,date,details,url,type,longitude,latitude
2637438035,27/02/2022, Russian military equipment carries casulties,"https://twitter.com/mikroporn/status/1497947154106576898|Russian military equipment carries casulties|GEOLOCATION: https://twitter.com/gfusfus/status/1497965445650989056|COUNTRY: Ukraine|PROVINCE: Sumy Oblast|DISTRICT: Zarichnyi District|TOWN/CITY: Sumy|COORDINATES: 50.905833, 34.818458|ARMS/MUNITION: |ENTRY: UW0877","evidence of gunfire, bombing, shelling or explosion",34.818458,50.905833
4218912813,27/02/2022, Russian military convoy,"https://twitter.com/YWNReporter/status/1497987472185249794|Russian military convoy|GEOLOCATION: https://twitter.com/gfusfus/status/1497989547203842051|COUNTRY: Ukraine|PROVINCE: Kyiv Oblast|DISTRICT: Ivankivs'kyi district|TOWN/CITY: |COORDINATES: 51.387220, 30.077048|ARMS/MUNITION: |ENTRY: UW0879","evidence of gunfire, bombing, shelling or explosion",30.077048,51.38722
2762032608,27/02/2022, Russian troops in a police station in Berdyansk,"https://twitter.com/666_mancer/status/1497987407630774279?s=20&t=kd9vISDa_P9slI-agKgvcw|Russian troops in a police station in Berdyansk|GEOLOCATION: |COUNTRY: Ukraine|PROVINCE: |DISTRICT: Zaporizhia Oblast|TOWN/CITY: Berdyansk|COORDINATES: 46.751345, 36.790809|ARMS/MUNITION: |ENTRY: UW0880","evidence of gunfire, bombing, shelling or explosion",36.790809,46.751345
3238918838,27/02/2022, convoy of at least 13 tankers of the Russian Armed Forces was seen near the village Kabanauka,"https://twitter.com/MotolkoHelp/status/1497924972102230016?s=20&t=LXfwFTwvKtWB_6hiADVMfg|convoy of at least 13 tankers of the Russian Armed Forces was seen near the village Kabanauka|GEOLOCATION: https://twitter.com/kargolow/status/1497927756822290436?s=20&t=LXfwFTwvKtWB_6hiADVMfg|COUNTRY: Belaurs|PROVINCE: |DISTRICT: |TOWN/CITY: Kabanovka |COORDINATES: 52.9484419, 29.9222805|ARMS/MUNITION: |ENTRY: UW0888","evidence of gunfire, bombing, shelling or explosion",29.92228,52.948442
1347901112,17/02/2022, Shelling audible,"https://twitter.com/markito0171/status/1494239711996559362|Shelling audible|COUNTRY: Ukraine|PROVINCE: Donbask|DISTRICT: |TOWN/CITY: Mar'inka|COORDINATES: 47.941013,  37.504014|ARMS/MUNITION: |ENTRY: UW0331","evidence of gunfire, bombing, shelling or explosion",37.504368,47.940877
1411969359,22/02/2022, Footage of shelling,"https://twitter.com/COUPSURE/status/1496164131833102348|Footage of shelling|GEOLOCATION: https://twitter.com/COUPSURE/status/1496195986099777538|COUNTRY: Ukraine|PROVINCE: Luhansk|DISTRICT: |TOWN/CITY: Schastya|COORDINATES: 48.750731, 39.182247|ARMS/MUNITION: |ENTRY: UW0473","evidence of gunfire, bombing, shelling or explosion",39.182247,48.750731
949156766,24/02/2022, Artillery strike at hospital,"https://twitter.com/Volnovakha/status/1496789425287839746|Artillery strike at hospital|GEOLOCATION: |COUNTRY: Ukraine |PROVINCE: Donetsk|DISTRICT: |TOWN/CITY: Vuhledar|COORDINATES: 47.775501, 37.239502|ARMS/MUNITION: |ENTRY: UW0530","evidence of gunfire, bombing, shelling or explosion",37.239502,47.775501
1392503644,24/02/2022, Bombing in the city,"https://twitter.com/NewsX/status/1496729252795928578|Bombing in the city|GEOLOCATION: |COUNTRY: Ukraine|PROVINCE: Ivano-Frankivsk Oblast|DISTRICT: |TOWN/CITY: Ivano-Frankivsk |COORDINATES: 48.906787, 24.712699|ARMS/MUNITION: |ENTRY: UW0519","evidence of gunfire, bombing, shelling or explosion",24.712699,48.906787
2900286847,24/02/2022, Bombing in the city,"https://twitter.com/Michael1Sheldon/status/1496717647089651716|Bombing in the city|GEOLOCATION: https://twitter.com/Michael1Sheldon/status/1496717647089651716|COUNTRY: Ukraine|PROVINCE: Kharkiv Oblast|DISTRICT: |TOWN/CITY: Chuhuiv|COORDINATES: 49.829793, 36.681975|ARMS/MUNITION: |ENTRY: UW0539","evidence of gunfire, bombing, shelling or explosion",36.681975,49.829793
197057034,24/02/2022, Destroyed radar base,"https://twitter.com/200_zoka/status/1496763694159695873|Destroyed radar base|GEOLOCATION: https://twitter.com/john_marquee/status/1496768232186728452|COUNTRY: Ukraine|PROVINCE: Donetsk Oblast|DISTRICT: |TOWN/CITY: Mariupol'|COORDINATES: 47.100640, 37.476670|ARMS/MUNITION: |ENTRY: UW0533","evidence of gunfire, bombing, shelling or explosion",37.47667,47.10064
