nominee,replacing,nomination_date,result,result_date,yes,no,nomination_year,result_year
"Barrett, Amy Coney",Ginsburg,2020-09-29,C,2020-10-26,52,48,2020,2020
"Kavanaugh, Brett",Kennedy,2018-07-10,C,2018-10-06,50,48,2018,2018
"Gorsuch, Neil M.",Scalia,2017-02-01,C,2017-04-07,54,45,2017,2017
"Kagan, Elena",Stevens,2010-05-10,C,2010-08-05,63,37,2010,2010
"Sotomayor, Sonia",Souter,2009-06-01,C,2009-08-06,68,31,2009,2009
"Alito, Samuel A., Jr.",O'Connor,2005-11-10,C,2006-01-31,58,42,2005,2006
"Roberts, John G., Jr.",Rehnquist,2005-09-06,C,2005-09-29,78,22,2005,2005
"Breyer, Stephen G.",Blackmun,1994-05-17,C,1994-07-29,87,9,1994,1994
"Ginsburg, Ruth Bader",White,1993-06-22,C,1993-08-03,96,3,1993,1993
"Thomas, Clarence",Marshall,1991-07-08,C,1991-10-15,52,48,1991,1991
"Souter, David H.",Brennan,1990-07-25,C,1990-10-02,90,9,1990,1990
"Kennedy, Anthony M.",Powell,1987-11-30,C,1988-02-03,97,0,1987,1988
"Bork, Robert H.",Powell,1987-07-07,R,1987-10-23,42,58,1987,1987
"Scalia, Antonin",Rehnquist,1986-06-24,C,1986-09-17,98,0,1986,1986
"Rehnquist, William H. ",Burger,1986-06-20,C,1986-09-17,65,33,1986,1986
"O'Connor, Sandra Day",Stewart,1981-08-19,C,1981-09-21,99,0,1981,1981
"Stevens, John Paul",Douglas,1975-11-28,C,1975-12-17,98,0,1975,1975
"Rehnquist, William H.",Harlan,1971-10-22,C,1971-12-10,68,26,1971,1971
"Powell, Lewis F., Jr.",Black,1971-10-22,C,1971-12-06,89,1,1971,1971
"Blackmun, Harry",Fortas,1970-04-15,C,1970-05-12,94,0,1970,1970
"Carswell, G. Harrold",Fortas,1970-01-19,R,1970-04-08,45,51,1970,1970
"Haynsworth, Clement, Jr.",Fortas,1969-08-21,R,1969-11-21,45,55,1969,1969
"Burger, Warren ",Warren,1969-05-23,C,1969-06-09,74,3,1969,1969
"Marshall, Thurgood",Clark,1967-06-13,C,1967-08-30,69,11,1967,1967
"Fortas, Abe",Goldberg,1965-07-28,C,1965-08-11,100,0,1965,1965
"Goldberg, Arthur",Frankfurter,1962-08-31,C,1962-09-25,100,0,1962,1962
"White, Byron",Whittaker,1962-04-03,C,1962-04-11,100,0,1962,1962
"Stewart, Potter",Burton,1959-01-17,C,1959-05-05,70,17,1959,1959
"Whittaker, Charles",Reed,1957-03-02,C,1957-03-19,100,0,1957,1957
"Brennan, William, Jr.",Minton,1957-01-14,C,1957-03-19,100,0,1957,1957
"Harlan, John",Jackson,1955-01-10,C,1955-03-16,71,11,1955,1955
"Warren, Earl ",Vinson,1954-01-11,C,1954-03-01,100,0,1954,1954
"Minton, Sherman",Rutledge,1949-09-15,C,1949-10-04,48,16,1949,1949
"Clark, Tom",Murphy,1949-08-02,C,1949-08-18,73,8,1949,1949
"Vinson, Fred ",Stone,1946-06-06,C,1946-06-20,100,0,1946,1946
"Burton, Harold",Roberts,1945-09-18,C,1945-09-19,100,0,1945,1945
"Rutledge, Wiley",Byrnes,1943-01-11,C,1943-02-08,100,0,1943,1943
"Jackson, Robert",Stone,1941-06-12,C,1941-07-07,100,0,1941,1941
"Byrnes, James",McReynolds,1941-06-12,C,1941-06-12,100,0,1941,1941
"Stone, Harlan ",Hughes,1941-06-12,C,1941-06-27,100,0,1941,1941
"Murphy, Frank",Butler,1940-01-04,C,1940-01-16,100,0,1940,1940
"Douglas, William",Brandeis,1939-03-20,C,1939-04-04,62,4,1939,1939
"Frankfurter, Felix",Cardozo,1939-01-05,C,1939-01-17,100,0,1939,1939
"Reed, Stanley",Sutherland,1938-01-15,C,1938-01-25,100,0,1938,1938
"Black, Hugo",Van Devanter,1937-08-12,C,1937-08-17,63,16,1937,1937
"Cardozo, Benjamin",Holmes,1932-02-15,C,1932-02-24,100,0,1932,1932
"Roberts, Owen",Sanford,1930-05-09,C,1930-05-20,100,0,1930,1930
"Parker, John",Sanford,1930-03-21,R,1930-05-07,39,41,1930,1930
"Hughes, Charles ",Taft,1930-02-03,C,1930-02-13,52,26,1930,1930
"Stone, Harlan",McKenna,1925-01-05,C,1925-02-05,71,6,1925,1925
"Sanford, Edward",Pitney,1923-01-24,C,1923-01-29,100,0,1923,1923
"Butler, Pierce",Day,1922-12-05,C,1922-12-21,61,8,1922,1922
"Sutherland, George",Clarke,1922-09-05,C,1922-09-05,100,0,1922,1922
"Taft, William ",White,1921-06-30,C,1921-06-30,60,4,1921,1921
"Clarke, John",Hughes,1916-07-14,C,1916-07-24,100,0,1916,1916
"Brandeis, Louis",Lamar,1916-01-28,C,1916-06-01,47,22,1916,1916
"McReynolds, James",Lurton,1914-08-19,C,1914-08-29,44,6,1914,1914
"Pitney, Mahlon",Harlan,1912-02-19,C,1912-03-13,50,26,1912,1912
"Lamar, Joseph",Moody,1910-12-12,C,1910-12-15,100,0,1910,1910
"Devanter, Willis Van",White,1910-12-12,C,1910-12-15,100,0,1910,1910
"White, Edward",Fuller,1910-12-12,C,1910-12-12,100,0,1910,1910
"Hughes, Charles",Brewer,1910-04-25,C,1910-05-02,100,0,1910,1910
"Lurton, Horace",Peckham,1909-12-13,C,1909-12-20,100,0,1909,1909
"Moody, William",Brown,1906-12-03,C,1906-12-12,100,0,1906,1906
"Day, William",Shiras,1903-02-19,C,1903-02-23,100,0,1903,1903
"Holmes, Oliver",Gray,1902-12-02,C,1902-12-04,100,0,1902,1902
"McKenna, Joseph",Field,1897-12-16,C,1898-01-21,100,0,1897,1898
"Peckham, Rufus",Jackson,1895-12-03,C,1895-12-09,100,0,1895,1895
"White, Edward",Blatchford,1894-02-19,C,1894-02-19,100,0,1894,1894
"Peckham, Wheeler",Blatchford,1894-01-22,R,1894-02-16,32,41,1894,1894
"Hornblower, William",Blatchford,1893-12-05,R,1894-01-15,24,30,1893,1894
"Jackson, Howell",Lamar,1893-02-02,C,1893-02-18,100,0,1893,1893
"Shiras, George, Jr.",Bradley,1892-07-19,C,1892-07-26,100,0,1892,1892
"Brown, Henry",Miller,1890-12-23,C,1890-12-29,100,0,1890,1890
"Brewer, David",Matthews,1889-12-04,C,1889-12-18,53,11,1889,1889
"Fuller, Melville ",Waite,1888-04-30,C,1888-07-20,41,20,1888,1888
"Lamar, Lucius",Woods,1887-12-06,C,1888-01-16,32,28,1887,1888
"Blatchford, Samuel",Hunt,1882-03-13,C,1882-03-22,100,0,1882,1882
"Conkling, Roscoe",Hunt,1882-02-24,D,1882-03-02,39,12,1882,1882
"Gray, Horace",Clifford,1881-12-19,C,1881-12-20,51,5,1881,1881
Stanley Matthews,Swayne,1881-03-14,C,1881-05-12,24,23,1881,1881
"Woods, William",Strong,1880-12-15,C,1880-12-21,39,8,1880,1880
"Harlan, John",Davis,1877-10-16,C,1877-11-29,100,0,1877,1877
"Waite, Morrison",Chase,1874-01-19,C,1874-01-21,63,0,1874,1874
"Hunt, Ward",Nelson,1872-12-03,C,1872-12-11,100,0,1872,1872
"Bradley, Joseph",(new seat),1870-02-07,C,1870-03-21,46,9,1870,1870
"Stanton, Edwin",Grier,1869-12-20,C,1869-12-20,46,11,1869,1869
"Hoar, Ebenezer",(new seat),1869-12-14,R,1870-02-03,24,33,1869,1870
"Chase, Salmon ",Taney,1864-12-06,C,1864-12-06,100,0,1864,1864
"Field, Stephen",(new seat),1863-03-06,C,1863-03-10,100,0,1863,1863
"Davis, David",Campbell,1862-12-01,C,1862-12-08,100,0,1862,1862
"Miller, Samuel",Daniel,1862-07-16,C,1862-07-16,100,0,1862,1862
"Swayne, Noah",McLean,1862-01-21,C,1862-01-24,38,1,1862,1862
"Black, Jeremiah",Daniel,1861-02-05,R,1861-02-21,25,26,1861,1861
"Clifford, Nathan",Curtis,1857-12-09,C,1858-01-12,26,23,1857,1858
"Campbell, John",McKinley,1853-03-21,C,1853-03-22,100,0,1853,1853
"Curtis, Benjamin",Woodbury,1851-12-11,C,1851-12-20,100,0,1851,1851
"Grier, Robert",Baldwin,1846-08-03,C,1846-08-04,100,0,1846,1846
"Woodbury, Levi",Story,1845-12-23,C,1846-01-03,100,0,1845,1846
"Woodward, George",Baldwin,1845-12-23,R,1846-01-22,20,29,1845,1846
"Nelson, Samuel",Thompson,1845-02-04,C,1845-02-14,100,0,1845,1845
"King, Edward",Baldwin,1844-06-05,P,1844-06-15,29,18,1844,1844
"Walworth, Reuben",Thompson,1844-03-13,W,1844-06-17,27,20,1844,1844
"Spencer, John",Thompson,1844-01-08,R,1844-01-31,21,26,1844,1844
"Daniel, Peter",Barbour,1841-02-26,C,1841-03-02,25,5,1841,1841
"McKinley, John",(new seat),1837-09-18,C,1837-09-25,100,0,1837,1837
