store_id,store_no,longitude,latitude,address,city,state,zipcode,opened,timezone,tags,url
U1167,31,-94.56309735774994,39.10418492640982,721 Paseo Blvd.,Kansas City,MO,64106,7/02/2007,America/Chicago,"['Parking Lot', 'Delivery']",https://stores.aldi.us/mo/kansas-city/721-paseo-blvd
U1177,92,-94.55421388149267,39.05629658551841,3830 Prospect Ave.,Kansas City,MO,64128,3/17/2021,America/Chicago,"['Parking Lot', 'Delivery']",https://stores.aldi.us/mo/kansas-city/3830-prospect-ave
U0967,91,-94.5078248,39.1054214,6300 Independence Ave,Kansas City,MO,64125,11/15/2004,America/Chicago,"['Parking Lot', 'Beer', 'Wine', 'Delivery']",https://stores.aldi.us/mo/kansas-city/6300-independence-ave
U2829,59,-94.63905441100417,39.04054501421429,4801 Roe Blvd,Roeland Park,KS,66205,7/29/1998,America/Chicago,"['Parking Lot', 'Beer', 'Curbside', 'Delivery']",https://stores.aldi.us/ks/roeland-park/4801-roe-blvd
U4276,108,-94.57422495978915,39.18416926246301,4851 N. Oak Trafficway,Kansas City,MO,64118,11/15/2023,America/Chicago,"['Parking Lot', 'Beer', 'Wine', 'Curbside', 'Delivery']",https://stores.aldi.us/mo/kansas-city/4851-n-oak-trafficway
U0444,84,-94.689901471138,39.11570658795625,4805 State Ave,Kansas City,KS,66102,11/29/1993,America/Chicago,"['Parking Lot', 'Beer', 'Delivery']",https://stores.aldi.us/ks/kansas-city/4805-state-ave
U0445,78,-94.57372860750183,39.01030564269838,6415 Troost,Kansas City,MO,64131,6/01/1993,America/Chicago,"['Parking Lot', 'Delivery']",https://stores.aldi.us/mo/kansas-city/6415-troost
U0969,49,-94.5926376305033,38.99139162708281,7511 Wornall Road,Kansas City,MO,64114,11/03/2005,America/Chicago,"['Parking Lot', 'Curbside', 'Delivery']",https://stores.aldi.us/mo/kansas-city/7511-wornall-road
U2983,61,-94.44875,39.0506417,11004 East US Hwy. 40,Independence,MO,64055,6/22/1978,America/Chicago,"['Parking Lot', 'Beer', 'Wine', 'Curbside', 'Delivery']",https://stores.aldi.us/mo/independence/11004-east-us-hwy-40
U4032,103,-94.64529446762724,39.209867609328086,6238 North Chatham Ave,Kansas City,MO,64151,12/8/2021,America/Chicago,"['Parking Lot', 'Beer', 'Wine', 'Curbside', 'Delivery']",https://stores.aldi.us/mo/kansas-city/6238-north-chatham-ave
U0622,62,-94.5775775774382,39.232296706554116,7604 N Oak,Gladstone,MO,64118,6/09/1997,America/Chicago,"['Parking Lot', 'Beer', 'Wine', 'Curbside', 'Delivery']",https://stores.aldi.us/mo/gladstone/7604-n-oak
U1658,93,-94.47443560527063,38.993691037530574,9215 E. 350 Hwy.,Raytown,MO,64133,9/01/2011,America/Chicago,"['Parking Lot', 'Beer', 'Wine', 'Curbside', 'Delivery']",https://stores.aldi.us/mo/raytown/9215-e-350-hwy
