notice_date,effective_date,received_date,company,city,employees,layoff_closure
06/22/2017,06/22/2017,07/03/2017,"Space Systems/Loral, LLC (SSL)",Palo Alto,Santa Clara,173,Layoff Permanent
06/23/2017,08/25/2017,07/03/2017,The Boeing Company,El Segundo,Los Angeles,40,Layoff Unknown at this time
06/23/2017,08/25/2017,07/03/2017,The Boeing Company,Huntington,Orange County,47,Layoff Unknown at this time
06/30/2017,09/01/2017,07/03/2017,"Micron Technology, Inc.",Milpitas,Santa Clara,57,Layoff Permanent
07/05/2017,09/03/2017,07/05/2017,"Options for Youth-Victor Valley, Inc.",Fontana,San Bernardino,107,Closure Permanent
07/05/2017,09/03/2017,07/05/2017,"Options for Youth-Victor Valley, Inc.",Ontario,San Bernardino,1,Closure Permanent
07/05/2017,09/08/2017,07/06/2017,"Ebisu Marketing, Corp / Hotei Marketing, Inc.",Los Angeles,Los Angeles,116,Closure Permanent
07/07/2017,09/05/2017,07/07/2017,"BCBG Max Azria Group, LLC",Vernon,Los Angeles,492,Layoff Permanent
06/30/2017,03/15/2017,07/10/2017,Cedars-Sinai,Los Angeles,Los Angeles,77,Layoff Permanent
06/22/2017,09/10/2017,07/11/2017,Sears,San Diego,San Diego County,12,Closure Permanent
06/22/2017,09/10/2017,07/11/2017,Sears,San Diego,San Diego County,74,Closure Permanent
07/05/2017,09/18/2017,07/11/2017,Sutters Place Inc. dba Bay 101,San Jose,Santa Clara,86,Layoff Permanent
07/10/2017,09/29/2017,07/11/2017,"AutoTrader.com, Inc.",Manhattan,Los Angeles,19,Closure Permanent
07/06/2017,10/31/2016,07/12/2017,freenet digital Entertainment Inc.,Sherman Oaks,Los Angeles,2,Closure Unknown at this time
07/10/2017,09/05/2017,07/12/2017,BAE Systems San Diego Ship Repair (SDSR),San Diego,San Diego County,276,Layoff Permanent
07/11/2017,09/30/2017,07/12/2017,"Payless ShoeSource Distribution, Inc.",Redlands,San Bernardino,140,Closure Permanent
07/13/2017,09/12/2017,07/14/2017,"Marvell Semiconductor, Inc.",Santa Clara,Santa Clara,7,Layoff Permanent
07/14/2017,08/29/2017,07/14/2017,"YP, LLC",Glendale,Los Angeles,35,Layoff Permanent
07/16/2017,09/14/2017,07/16/2017,"Buca Restaurants 2, Inc.",San Francisco,San Francisco,72,Closure Permanent
07/17/2017,09/18/2017,07/17/2017,King’s Fish House,Laguna Hills,Orange County,92,Closure Temporary
07/17/2017,09/21/2017,07/17/2017,"Interviewing Service of America, LLC",Alhambra,Los Angeles,66,Closure Permanent
07/07/2017,09/24/2017,07/18/2017,Kmart Corporation,Eureka,Humboldt County,52,Closure Permanent
07/18/2017,09/17/2017,07/18/2017,"Penske Vehicle Services, Inc.",Torrance,Los Angeles,15,Closure Permanent
07/07/2017,09/24/2017,07/19/2017,Kmart Corporation,Riverside,Riverside County,64,Closure Permanent
07/18/2017,09/15/2017,07/19/2017,"Spectrum Brands, Inc.",Mira Loma,Riverside County,130,Closure Permanent
07/18/2017,09/30/2017,07/19/2017,Best Buy,San Francisco,San Francisco,106,Closure Permanent
07/19/2017,09/20/2017,07/20/2017,Bay Club Thousand Oaks,Thousand Oaks,Ventura County,119,Closure Permanent
07/19/2017,09/22/2017,07/21/2017,"LoBue Bros., Inc.",Lindsay,Tulare County,98,Closure Permanent
07/20/2017,09/18/2017,07/21/2017,EagleBurgmann Industries L.P.,Lakeside,San Diego County,81,Closure Permanent
07/21/2017,09/20/2017,07/21/2017,"The Ritz-Carlton, Half Moon Bay",Half Moon Bay,San Mateo County,7,Closure Permanent
07/10/2017,07/07/2017,07/25/2017,GREE International Entertainment Inc.,San Francisco,San Francisco,63,Closure Permanent
07/24/2017,09/19/2017,07/25/2017,Bank of the West,San Ramon,Contra Costa,54,Layoff Permanent
07/26/2017,09/24/2017,07/27/2017,Agensys,Santa Monica,Los Angeles,222,Closure Permanent
07/27/2017,08/03/2017,07/27/2017,PSSI (Foster Farms),Livingston,Merced County,158,Closure Permanent
07/27/2017,10/01/2017,07/27/2017,"Molina Healthcare, Inc. (MHI)",Long Beach,Los Angeles,4,Layoff Permanent
07/27/2017,10/01/2017,07/27/2017,"Molina Healthcare, Inc. (MHI)",Sacramento,Sacramento,5,Layoff Permanent
07/27/2017,10/01/2017,07/27/2017,Molina Medical Management,Sacramento,Sacramento,13,Layoff Permanent
07/27/2017,10/01/2017,07/27/2017,Molina Medical Management Inc. (MMM),Colton,San Bernardino,5,Layoff Permanent
07/27/2017,10/01/2017,07/27/2017,Molina Medical Management Inc. (MMM),Riverside,Riverside County,1,Layoff Permanent
07/27/2017,10/01/2017,07/27/2017,"Molina Medical Management, Inc. (MMM)",Long Beach,Los Angeles,25,Layoff Permanent
07/27/2017,10/01/2017,07/27/2017,"Molina Medical Management, Inc. (MMM)",Pomona,Los Angeles,10,Layoff Permanent
07/24/2017,07/26/2017,07/28/2017,Symantec Corporation,Mountain View,Santa Clara,20,Layoff Permanent
07/26/2017,07/27/2017,07/28/2017,"Cisco Systems, Inc.",San Jose,Santa Clara,9,Layoff Permanent
07/21/2017,09/22/2017,07/31/2017,The Boeing Company,El Segundo,Los Angeles,21,Layoff Unknown at this time
07/21/2017,09/22/2017,07/31/2017,The Boeing Company,Huntington,Orange County,54,Layoff Unknown at this time
07/28/2017,09/28/2017,07/31/2017,Durham School Services,Hayward,Alameda County,92,Layoff Permanent
07/28/2017,11/15/2017,07/31/2017,"Competitor Group, Inc.",San Diego,San Diego County,145,Closure Permanent
07/28/2017,09/01/2017,08/01/2017,Symantec Corporation,Mountain View,Santa Clara,14,Layoff Permanent
07/31/2017,10/03/2017,08/01/2017,Schneider Electric,Clovis,Fresno County,78,Layoff Permanent
07/18/2017,07/01/2017,08/02/2017,Hidden Valley Berries LLC,Oxnard,Ventura County,42,Closure Permanent
07/31/2017,06/28/2017,08/02/2017,"Financial Recovery Alliance, Inc.",Citrus Heights,Sacramento,1,Closure Permanent
08/01/2017,10/01/2017,08/02/2017,KapStone Container Corporation,Oakland,Alameda County,67,Closure Permanent
07/26/2017,09/25/2017,08/03/2017,Seagate US LLC,Cupertino,Santa Clara,44,Layoff Permanent
07/26/2017,09/25/2017,08/03/2017,Seagate US LLC,Fremont,Alameda County,51,Layoff Permanent
08/01/2017,09/30/2017,08/03/2017,Jacobs Technology Inc.,Edwards,Kern County,80,Closure Permanent
08/01/2017,09/30/2017,08/04/2017,Meridian Sports Clubs California,Los Angeles,Los Angeles,65,Closure Permanent
08/07/2017,10/06/2017,08/08/2017,"Dole Food Company, Inc. (Dole Berry",Oxnard,Ventura County,172,Closure Permanent
08/08/2017,10/11/2017,08/09/2017,"Irwin Industries, Inc. (AECOM)",Long Beach,Los Angeles,120,Closure Permanent
08/08/2017,10/11/2017,08/09/2017,"Irwin Industries, Inc. (Ashland LLC)",Los Angeles,Los Angeles,51,Closure Permanent
08/08/2017,10/11/2017,08/09/2017,"Irwin Industries, Inc. (Carpinteria Pier Marine",Ojai,Ventura County,33,Closure Permanent
08/08/2017,10/11/2017,08/09/2017,"Irwin Industries, Inc. (Lompoc Oil Field)",Lompoc,Santa Barbara,1,Closure Permanent
08/08/2017,10/11/2017,08/09/2017,"Irwin Industries, Inc. (PBF Torrance Refinery)",Torrance,Los Angeles,29,Closure Permanent
08/08/2017,10/11/2017,08/09/2017,"Irwin Industries, Inc. (Phillips 66 Coalinga",Coalinga,Fresno County,24,Closure Permanent
08/08/2017,10/11/2017,08/09/2017,"Irwin Industries, Inc. (Shore Terminals LLC)",Wilmington,Los Angeles,78,Closure Permanent
08/08/2017,10/11/2017,08/09/2017,"Irwin Industries, Inc.(3M Moreno Valley)",Corona,Riverside County,1,Closure Permanent
08/09/2017,10/07/2017,08/10/2017,"Ryder Systems, Inc.",Stockton,San Joaquin,140,Layoff Permanent
08/09/2017,10/12/2017,08/11/2017,"Quest Nutrition, LLC",Hacienda,Los Angeles,402,Closure Permanent
08/09/2017,10/26/2017,08/11/2017,"Quest Nutrition, LLC",Walnut,Los Angeles,122,Closure Permanent
08/10/2017,10/09/2017,08/11/2017,Pergrine Pharmaceuticals (Avid Bioservices),Tustin,Orange County,60,Layoff Permanent
08/11/2017,10/13/2017,08/14/2017,"Brocade Communications Systems, Inc.",San Jose,Santa Clara,96,Layoff Permanent
08/03/2017,10/11/2017,08/15/2017,Menzies Aviation,San Francisco,San Mateo County,260,Layoff Permanent
08/14/2017,10/16/2017,08/15/2017,Brinderson,El Segundo,Los Angeles,204,Closure Permanent
08/16/2017,10/15/2017,08/17/2017,"SunBridge Carmichael Rehabilitation Center,",Carmichael,Sacramento,72,Closure Permanent
08/16/2017,10/16/2017,08/17/2017,"Bridgepoint Education, Inc.",San Diego,San Diego County,50,Layoff Permanent
08/16/2017,10/17/2017,08/17/2017,MSE Technologies LLC,Van Nuys,Los Angeles,155,Layoff Permanent
08/18/2017,10/20/2017,08/21/2017,"RMR Financial, LLC",Los Gatos,Santa Clara,3,Closure Permanent
08/15/2017,10/20/2017,08/22/2017,Daiso California LLC,Hayward,Alameda County,98,Closure Permanent
08/21/2017,12/01/2017,08/22/2017,Harris Corporation,Morgan Hill,Santa Clara,69,Closure Permanent
08/19/2016,10/23/2017,08/22/2017,Chili's Grill & Bar Restaurant (CANCELLED)**,Thousand Oaks,Ventura County,48,Closure Permanent
08/18/2017,10/23/2017,08/23/2017,Euromotors Concord Inc. dba Audi Concord,Concord,Contra Costa,83,Closure Permanent
08/23/2017,10/23/2017,08/24/2017,"FedEx Cross Border, LLC",Carson,Los Angeles,3,Closure Permanent
08/23/2017,10/27/2017,08/24/2017,One Call Care Management,West Hills,Los Angeles,19,Closure Unknown at this time
08/23/2017,10/25/2017,08/25/2017,Schneider Electric,Clovis,Fresno County,2,Layoff Permanent
08/24/2017,10/23/2017,08/25/2017,Smart & Final Stores LLC,Commerce,Los Angeles,73,Layoff Permanent
08/25/2017,08/25/2017,08/25/2017,"Natco Pregra, Inc.",Stanton,Orange County,79,Closure Unknown at this time
08/18/2017,10/20/2017,08/28/2017,Boeing Company,El Segundo,Los Angeles,11,Layoff Unknown at this time
08/18/2017,10/20/2017,08/28/2017,Boeing Company,Huntington,Orange County,21,Layoff Unknown at this time
08/22/2017,10/27/2017,08/28/2017,"Sodexo, Inc",Los Angeles,Los Angeles,68,Closure Permanent
08/24/2017,10/30/2017,08/28/2017,"The Honest Company, Inc.",Ontario,San Bernardino,69,Closure Permanent
08/17/2017,10/17/2017,08/29/2017,"Tamo, Inc.",Rancho,San Bernardino,38,Closure Permanent
08/28/2017,10/28/2017,08/29/2017,"Dole Food Company, Inc.",Watsonville,Santa Cruz,402,Closure Permanent
08/29/2017,10/31/2017,08/30/2017,"Tesla, Inc.",Roseville,Placer County,63,Layoff Permanent
08/29/2017,10/31/2017,08/31/2017,SolarCity Corporation,Roseville,Placer County,141,Layoff Permanent
08/29/2017,10/28/2017,09/01/2017,Country Care Health Center,Atascadero,San Luis Obispo,50,Closure Permanent
08/30/2017,10/19/2017,09/01/2017,DaVita Medical Group,El Segundo,Los Angeles,57,Layoff Permanent
08/31/2017,10/30/2017,09/01/2017,Trio Engineered Products,Adelanto,San Bernardino,30,Closure Permanent
08/31/2017,10/31/2017,09/01/2017,"Oracle America, Inc.",Santa Clara,Santa Clara,964,Layoff Permanent
09/01/2017,09/30/2017,09/01/2017,Total Woman Gym + Spa,Encinitas,San Diego County,59,Closure Permanent
08/31/2017,10/31/2017,09/06/2017,"Oracle America, Inc.",San Diego,San Diego County,54,Layoff Permanent
09/01/2017,10/31/2017,09/06/2017,"Juicero, Inc.",Commerce,Los Angeles,98,Layoff Permanent
09/01/2017,11/15/2017,09/06/2017,Merrill Farms LLC,Salinas,Monterey County,180,Closure Permanent
09/01/2017,10/31/2017,09/08/2017,"Juicero, Inc.",San Francisco,San Francisco,87,Layoff Permanent
09/01/2017,11/06/2017,09/08/2017,Rusty's Surf Ranch,Santa Monica,Los Angeles,50,Closure Temporary
09/06/2017,11/06/2017,09/08/2017,D+H Corporation,San Francisco,San Francisco,49,Closure Permanent
09/01/2017,08/30/2017,09/11/2017,"Eventbrite, Inc.",Oakland,Alameda County,3,Layoff Permanent
09/01/2017,08/30/2017,09/11/2017,"Eventbrite, Inc.",San Francisco,San Francisco,44,Layoff Permanent
09/06/2017,12/15/2017,09/11/2017,"Graphic Packaging International, Inc.",Santa Clara,Santa Clara,127,Closure Permanent
09/06/2017,11/09/2017,09/12/2017,Super Store Industries,Fairfield,Solano County,111,Layoff Permanent
09/07/2017,11/15/2017,09/12/2017,"Providence Farms, LLC",Salinas,Monterey County,77,Closure Unknown at this time
09/11/2017,11/10/2017,09/12/2017,"Collection Technology, Inc.",Rancho,San Bernardino,10,Layoff Permanent
09/06/2017,11/10/2017,09/13/2017,"Restoration Hardware, Inc.",Mira Loma,Riverside County,122,Layoff Permanent
09/11/2017,11/10/2017,09/13/2017,"Marvell Semiconductor, Inc.",Santa Clara,Santa Clara,5,Layoff Permanent
09/12/2017,11/10/2017,09/13/2017,"Vons Companies, Inc.",Mira Loma,Riverside County,40,Closure Permanent
09/12/2017,11/10/2017,09/14/2017,"Vons Companies, Inc.",El Monte,Los Angeles,142,Closure Permanent
09/12/2017,11/12/2017,09/14/2017,RR Donnelley,San Francisco,San Francisco,33,Closure Permanent
09/13/2017,10/27/2017,09/15/2017,Providence Saint Joseph Medical Center,Burbank,Los Angeles,43,Layoff Permanent
09/13/2017,10/27/2017,09/15/2017,Providence Saint Joseph Medical Center,Mission Hills,Los Angeles,4,Layoff Permanent
09/13/2017,10/27/2017,09/15/2017,Providence Saint Joseph Medical Center,Orange,Orange County,2,Layoff Permanent
09/13/2017,10/27/2017,09/15/2017,Providence Saint Joseph Medical Center,Pasadena,Los Angeles,1,Layoff Permanent
09/13/2017,10/27/2017,09/15/2017,Providence Saint Joseph Medical Center,Torrance,Los Angeles,2,Layoff Permanent
09/13/2017,10/27/2017,09/15/2017,Providence Saint Joseph Medical Center,Valencia,Los Angeles,7,Layoff Permanent
09/14/2017,11/15/2017,09/15/2017,"Molina Medical Management, Inc. (MMM)",Long Beach,Los Angeles,9,Layoff Permanent
09/14/2017,11/15/2017,09/15/2017,"Molina Medical Management, Inc. (MMM)",Pomona,Los Angeles,3,Layoff Permanent
09/14/2017,11/15/2017,09/15/2017,"Molina Medical Management, Inc. (MMM)",Sacramento,Sacramento,5,Layoff Permanent
09/14/2017,11/15/2017,09/15/2017,"Molina Medical Management, Inc. (MMM)",San Bernardino,San Bernardino,1,Layoff Permanent
09/14/2017,11/15/2017,09/18/2017,"Molina Healthcare, Inc.",Long Beach,Los Angeles,194,Layoff Permanent
09/14/2017,11/15/2017,09/18/2017,"Molina Healthcare, Inc.",Pomona,Los Angeles,1,Layoff Permanent
09/14/2017,11/15/2017,09/18/2017,"Molina Healthcare, Inc.",Sacramento,Sacramento,3,Layoff Permanent
09/14/2017,11/15/2017,09/19/2017,"Molina Healthcare of California, Inc.",El Centro,Imperial County,2,Layoff Permanent
09/14/2017,11/15/2017,09/19/2017,"Molina Healthcare of California, Inc.",Pomona,Los Angeles,1,Layoff Permanent
09/15/2017,05/31/2017,09/19/2017,General Transworld Corp.,Carson,Los Angeles,5,Closure Permanent
09/18/2017,10/31/2017,09/19/2017,"Peoples, Inc.",Costa Mesa,Orange County,78,Closure Permanent
09/14/2017,11/15/2017,09/20/2017,"Molina Healthcare of California, Inc.",Long Beach,Los Angeles,145,Layoff Permanent
09/14/2017,11/15/2017,09/20/2017,"Molina Healthcare of California, Inc.",Sacramento,Sacramento,3,Layoff Permanent
09/14/2017,11/15/2017,09/20/2017,"Molina Healthcare of California, Inc.",San Diego,San Diego County,9,Layoff Permanent
09/14/2017,11/15/2017,09/20/2017,"Molina Healthcare of California, Inc.",Victorville,San Bernardino,14,Layoff Permanent
09/15/2017,11/17/2017,09/20/2017,The Boeing Company (Boeing Huntington,Huntington,Orange County,12,Layoff Permanent
09/15/2017,11/17/2017,09/20/2017,The Boeing Company (El Segundo RIF),El Segundo,Los Angeles,21,Layoff Permanent
09/13/2017,11/13/2017,09/21/2017,Silgan Containers,Riverbank,Stanislaus County,162,Layoff Temporary
09/18/2017,11/01/2017,09/22/2017,"George Amaral Ranches, Inc.",Gonzales,Monterey County,115,Closure Permanent
09/21/2017,12/08/2017,09/22/2017,"Marvell Semiconductor, Inc.",Santa Clara,Santa Clara,1,Layoff Permanent
08/30/2017,11/05/2017,09/25/2017,"Tower 23, Inc. JRDN Restaurant",San Diego,San Diego County,94,Closure Temporary
08/31/2017,10/31/2017,09/25/2017,"PAE Aviation and Technical Services LLC,",China Lake,Kern County,293,Closure Permanent
09/01/2017,10/31/2017,09/25/2017,"Beckman Coulter, Inc.",Chatsworth,Los Angeles,141,Closure Permanent
09/19/2017,11/20/2017,09/25/2017,Schneider Electric,Clovis,Fresno County,78,Layoff Permanent
09/25/2017,09/26/2017,09/26/2017,"Cisco Systems, Inc.",San Jose,Santa Clara,310,Layoff Permanent
09/21/2017,09/21/2017,09/27/2017,"Stearns Lending, LLC",Rohnert Park,Sonoma County,6,Closure Permanent
09/21/2017,11/20/2017,09/27/2017,"Stearns Lending, LLC",Costa Mesa,Orange County,47,Layoff Permanent
09/21/2017,11/20/2017,09/27/2017,"Stearns Lending, LLC",Santa Ana,Orange County,112,Layoff Permanent
08/18/2017,10/23/2017,09/28/2017,"Allergan, Inc.",Irvine,Orange County,111,Layoff Permanent
09/27/2017,12/07/2017,09/28/2017,"Marvell Semiconductor, Inc.",Santa Clara,Santa Clara,4,Layoff Permanent
09/28/2017,12/01/2017,09/28/2017,"Molina Healthcare of California, Inc.",Long Beach,Los Angeles,1,Layoff Permanent
09/17/2017,11/21/2017,09/29/2017,Victor Treatment Centers,Lodi,San Joaquin,101,Closure Permanent
09/28/2017,12/01/2017,09/29/2017,"Molina Healthcare, Inc.",Long Beach,Los Angeles,13,Layoff Permanent
09/29/2017,10/04/2017,10/02/2017,Symantec Corporation,Mountain View,Santa Clara,21,Layoff Permanent
09/25/2017,10/02/2017,10/03/2017,"CareFusion Resources, LLC",San Diego,San Diego County,82,Layoff Permanent
10/03/2017,12/03/2017,10/04/2017,"Swissport SA, LLC",Los Angeles,Los Angeles,280,Layoff Permanent
10/03/2017,12/15/2017,10/04/2017,"CVS Pharmacy, Inc.",La Habra,Orange County,39,Layoff Permanent
10/03/2017,12/15/2017,10/04/2017,"CVS Pharmacy, Inc.",Tracy,San Joaquin,14,Layoff Permanent
10/02/2017,12/01/2017,10/05/2017,"Brier Oak on Sunset, LLC",Los Angeles,Los Angeles,128,Layoff Permanent
10/04/2017,12/08/2017,10/09/2017,"KeHE Monterrey Provisions, LLC",San Diego,San Diego County,91,Closure Permanent
10/06/2017,12/15/2017,10/09/2017,Essendant Inc.,Whittier,Los Angeles,123,Closure Permanent
10/07/2017,12/09/2017,10/09/2017,"Nestle USA, Inc.",Tulare,Tulare County,217,Layoff Temporary
10/05/2017,12/15/2017,10/12/2017,"Swissport SA, LLC",San Francisco,San Mateo County,68,Layoff Permanent
10/10/2017,12/11/2017,10/12/2017,"Marvell Semiconductor, Inc.",Santa Clara,Santa Clara,5,Layoff Permanent
10/12/2017,12/15/2017,10/13/2017,"Andersen Hotels, Inc. dba Hotel Laguna",Laguna Beach,Orange County,121,Closure Permanent
10/10/2017,12/13/2017,10/16/2017,Schneider Electric,Clovis,Fresno County,15,Layoff Permanent
10/10/2017,12/16/2017,10/16/2017,Jacobs Field Services North America Inc.,Carson,Los Angeles,19,Layoff Permanent
10/10/2017,12/16/2017,10/16/2017,Jacobs Field Services North America Inc.,Carson,Los Angeles,157,Layoff Permanent
10/13/2017,12/15/2017,10/16/2017,"ATA Retail Services, LLC",Hayward,Alameda County,74,Closure Permanent
10/11/2017,12/10/2017,10/17/2017,Laurmark Enterprises Inc. dba BAK Industries,Chatsworth,Los Angeles,199,Closure Permanent
10/11/2017,12/10/2017,10/17/2017,Laurmark Enterprises Inc. dba BAK Industries,San Fernando,Los Angeles,62,Closure Permanent
10/12/2017,12/11/2017,10/17/2017,"St. John Knits, Inc.",Irvine,Orange County,72,Layoff Permanent
10/16/2017,11/01/2017,10/17/2017,"National Planning Holdings, Inc.",El Segundo,Los Angeles,163,Layoff Unknown at this time
09/23/2017,11/26/2017,10/18/2017,"Nestle USA, Inc.",Bakersfield,Kern County,679,Layoff Temporary
10/10/2017,12/09/2017,10/18/2017,"PIRCH, Inc.",San Diego,San Diego County,78,Closure Permanent
10/16/2017,12/16/2017,10/18/2017,"Edmunds.com, Inc.",Santa Monica,Los Angeles,60,Layoff Permanent
10/17/2017,12/31/2017,10/18/2017,Louis Vuitton USA Inc.,Hollywood,Los Angeles,4,Closure Permanent
10/18/2017,12/17/2017,10/18/2017,Sea World LLC,San Diego,San Diego County,79,Layoff Permanent
