notice_date,effective_date,received_date,company,city,employees,layoff_closure
06/29/2018,08/28/2018,07/02/2018,"Dream Center Education Holdings, LLC",Alameda,Alameda County,78,Closure Permanent
06/29/2018,08/28/2018,07/02/2018,"Dream Center Education Holdings, LLC",Ontario,San Bernardino,88,Closure Permanent
06/29/2018,08/28/2018,07/02/2018,"Dream Center Education Holdings, LLC",Sacramento,Sacramento,124,Closure Permanent
06/29/2018,08/28/2018,07/02/2018,"Dream Center Education Holdings, LLC",San Bernardino,San Bernardino,110,Closure Permanent
06/29/2018,08/28/2018,07/02/2018,"Dream Center Education Holdings, LLC",San Francisco,San Francisco,138,Closure Permanent
06/29/2018,08/28/2018,07/02/2018,"Dream Center Education Holdings, LLC",Santa Ana,Orange County,161,Closure Permanent
06/29/2018,08/31/2018,07/03/2018,Alaska USA Federal Credit Union,Apple Valley,San Bernardino,135,Closure Permanent
07/03/2018,08/31/2018,07/05/2018,"Bethesda Lutheran Communities, Inc.",Redding,Shasta County,34,Closure Permanent
06/28/2018,09/30/2018,07/06/2018,"Sears, Roebuck and Co.",Newark,Alameda County,8,Closure Permanent
06/28/2018,09/30/2018,07/06/2018,"Sears, Roebuck and Co.",Newark,Alameda County,46,Closure Permanent
06/29/2018,08/31/2018,07/06/2018,"Eagle Intermodal Services, Inc.",San Bernardino,San Bernardino,262,Closure Permanent
06/28/2018,06/28/2018,07/09/2018,"Space Systems/Loral, LLC",Palo Alto,Santa Clara,109,Layoff Permanent
07/05/2018,09/03/2018,07/09/2018,Minson Corporation,Montebello,Los Angeles,113,Closure Permanent
07/05/2018,09/10/2018,07/10/2018,"Apple Gilroy, Inc.",Milpitas,Santa Clara,51,Closure Permanent
07/06/2018,09/07/2018,07/10/2018,"FHI, LLC",Riverside,Riverside County,115,Closure Permanent
07/09/2018,09/10/2018,07/10/2018,"Aqua Metals, Inc.",Alameda,Alameda County,12,Closure Permanent
07/09/2018,09/10/2018,07/11/2018,"Cavium, Inc.",Irvine,Orange County,35,Layoff Permanent
07/09/2018,09/10/2018,07/11/2018,"Cavium, Inc.",Roseville,Placer County,3,Layoff Permanent
04/11/2018,06/11/2018,07/12/2018,"Theranos, Inc.",Newark,Alameda County,125,Layoff Permanent
07/09/2018,09/10/2018,07/12/2018,"Marvell Semiconductor, Inc.",Aliso Viejo,Orange County,1,Layoff Permanent
07/09/2018,09/10/2018,07/12/2018,"Marvell Semiconductor, Inc.",Santa Clara,Santa Clara,44,Layoff Permanent
06/26/2018,06/26/2018,07/16/2018,"Banc of California, N.A.",Santa Ana,Orange County,45,Layoff Permanent
07/11/2018,09/12/2018,07/16/2018,"Novartis Institutes for BioMedical Research, Inc.",Emeryville,Alameda County,149,Closure Permanent
04/30/2018,06/29/2018,07/18/2018,"Taylor Communications, Inc.",Livermore,Alameda County,37,Closure Permanent
06/12/2018,09/17/2018,07/18/2018,"Golden State Overnight Delivery Service, Inc.",Gardena,Los Angeles,72,Layoff Permanent
07/13/2018,09/11/2018,07/18/2018,Hub Group,Perris,Riverside County,6,Layoff Unknown at this time
07/13/2018,10/31/2018,07/18/2018,The J.M. Smucker Company,San Francisco,San Francisco,100,Closure Permanent
06/12/2018,09/17/2018,07/19/2018,"Golden State Overnight Delivery Service, Inc.",Santa Ana,Orange County,66,Layoff Permanent
07/12/2018,10/01/2018,07/19/2018,Ingredion Incorporated,Stockton,San Joaquin,65,Layoff Permanent
07/12/2018,10/14/2018,07/19/2018,Kmart Corporation,Goleta,Santa Barbara,146,Closure Permanent
07/17/2018,09/15/2018,07/20/2018,"Wind River Systems, Inc.",Alameda,Alameda County,64,Layoff Permanent
07/18/2018,09/17/2018,07/20/2018,"iPayment, Inc.",Westlake Village,Ventura County,30,Layoff Permanent
07/17/2018,09/21/2018,07/23/2018,"Swissport SA, LLC",Los Angeles,Los Angeles,829,Layoff Permanent
07/17/2018,10/01/2018,07/23/2018,ITW Bay Area Label,San Jose,Santa Clara,54,Closure Permanent
07/19/2018,09/15/2018,07/23/2018,Fresno Economic Opportunities Commission,Fresno,Fresno County,47,Layoff Unknown at this time
07/17/2018,07/17/2018,07/24/2018,"Performance Chevrolet, Inc.",Sacramento,Sacramento,1,Layoff Unknown at this time
07/24/2018,09/30/2018,07/24/2018,"Hakkasan Holdings, LLC, d/b/a Hakkasan Group",West Hollywood,Los Angeles,99,Closure Permanent
07/24/2018,09/23/2018,07/25/2018,"P.F. Changs China Bistro, lnc.",El Segundo,Los Angeles,94,Closure Permanent
07/25/2018,09/23/2018,07/25/2018,"Stearns Lending, LLC",Santa Ana,Orange County,136,Closure Permanent
07/25/2018,09/23/2018,07/26/2018,"DaVita Rx, LLC d/b/a DaVita Rx",San Bruno,San Mateo County,32,Closure Permanent
07/25/2018,09/24/2018,07/26/2018,"Cavium, Inc.",San Jose,Santa Clara,7,Layoff Permanent
07/27/2018,09/30/2018,07/27/2018,"MV Transportation, Inc.",Visalia,Tulare County,135,Layoff Permanent
07/27/2018,10/06/2018,07/27/2018,Best Buy,Long Beach,Los Angeles,68,Closure Permanent
07/27/2018,08/31/2018,07/30/2018,Bay Club Howard Hughes,Los Angeles,Los Angeles,100,Closure Permanent
07/27/2018,09/25/2018,07/30/2018,"6417 Selma Hotel, LLC",Los Angeles,Los Angeles,81,Layoff Permanent
07/23/2018,07/02/2018,07/31/2018,"DW Berry Farms, LLC",Oxnard,Ventura County,380,Layoff Permanent
07/25/2018,08/03/2018,07/31/2018,"Mattel, Inc.",El Segundo,Los Angeles,140,Layoff Permanent
07/26/2018,09/24/2018,07/31/2018,Ant Farm,Los Angeles,Los Angeles,80,Closure Permanent
08/01/2018,09/30/2018,08/01/2018,"BMA Car Wash, Inc.",Canoga Park,Los Angeles,47,Closure Permanent
07/25/2018,09/27/2018,08/02/2018,Pyramid Petaluma Management L.P.,Petaluma,Sonoma County,89,Layoff Permanent
08/01/2018,09/30/2018,08/02/2018,"Trinity Christian Center of Santa Ana, Inc.",Tustin,Orange County,166,Layoff Permanent
07/30/2018,09/26/2018,08/03/2018,National Steel and Shipbuilding Company,San Diego,San Diego County,1493,Layoff Unknown at this time
08/01/2018,10/01/2018,08/03/2018,DJO Global,Vista,San Diego County,187,Layoff Permanent
07/31/2018,10/31/2018,08/07/2018,Oxnard Lemon Company,Oxnard,Ventura County,155,Layoff Permanent
07/26/2018,08/31/2018,08/09/2018,"Genentech, Inc. and Genentech USA, Inc.",South San,San Mateo County,223,Layoff Permanent
08/08/2018,10/07/2018,08/09/2018,"Everyone Counts, Inc.",La Jolla,San Diego County,18,Layoff Permanent
08/09/2018,11/09/2018,08/09/2018,"Warner Media, LLC",Burbank,Los Angeles,2,Layoff Permanent
07/31/2018,07/31/2018,08/10/2018,"ISI Detention Contracting Group, Inc. dba Argyle",Orange,Orange County,27,Closure Permanent
08/03/2018,10/03/2018,08/10/2018,Apttus,San Mateo,San Mateo County,65,Layoff Permanent
08/18/2018,10/07/2018,08/13/2018,Kings Fish House Carlsbad,Carlsbad,San Diego County,86,Closure Temporary
08/10/2018,10/12/2018,08/15/2018,CODAN US Corporation,Santa Ana,Orange County,98,Layoff Permanent
08/09/2018,09/03/2018,08/16/2018,"MIDA Industries, Inc.",Fremont,Alameda County,55,Layoff Unknown at this time
08/16/2018,10/15/2018,08/16/2018,"AwesomenessTV Holdings, LLC",Santa Monica,Los Angeles,98,Layoff Permanent
08/16/2018,10/15/2018,08/17/2018,Archer Norris,Los Angeles,Los Angeles,18,Closure Permanent
08/16/2018,10/15/2018,08/17/2018,Archer Norris,Newport Beach,Orange County,2,Closure Permanent
08/16/2018,10/15/2018,08/17/2018,Archer Norris,San Francisco,San Francisco,7,Closure Permanent
08/16/2018,10/15/2018,08/17/2018,Archer Norris,Walnut Creek,Contra Costa,97,Closure Permanent
08/16/2018,10/16/2018,08/17/2018,Deluxe Entertainment Services Group Inc.,Burbank,Los Angeles,22,Layoff Permanent
08/16/2018,10/16/2018,08/17/2018,Deluxe Entertainment Services Group Inc.,Burbank,Los Angeles,24,Layoff Permanent
08/20/2018,10/19/2018,08/20/2018,AT&T,San Ramon,Contra Costa,59,Layoff Permanent
08/20/2018,10/19/2018,08/20/2018,"Global Cash Card, Inc.",Irvine,Orange County,228,Layoff Permanent
08/10/2018,10/15/2018,08/21/2018,Target,San Bernardino,San Bernardino,108,Closure Permanent
08/14/2018,03/31/2019,08/21/2018,"Peter Brasseler Holdings, LLC",Ventura,Ventura County,56,Closure Permanent
08/16/2018,10/20/2018,08/21/2018,"Jacobson Warehouse Company, Inc. dba XPO",Tracy,San Joaquin,74,Closure Permanent
08/20/2018,10/19/2018,08/21/2018,Mayfield Robotics,Redwood City,San Mateo County,63,Closure Permanent
08/14/2018,11/16/2018,08/22/2018,"Banc of California, N.A.",Santa Ana,Orange County,4,Closure Permanent
08/14/2018,11/16/2018,08/22/2018,"Banc of California, N.A.",Whittier,Los Angeles,5,Closure Permanent
08/21/2018,10/20/2018,08/22/2018,"Orchard Supply Company, LLC",Tracy,San Joaquin,249,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",Capitola,Santa Cruz,52,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",Chico,Butte County,54,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",Concord,Contra Costa,50,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",Goleta,Santa Barbara,56,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",La Crescenta,Los Angeles,54,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",Los Angeles,Los Angeles,137,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",Modesto,Stanislaus County,59,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",Mountain View,Santa Clara,57,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",Pasadena,Los Angeles,125,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",San Jose,Santa Clara,406,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",San Leandro,Alameda County,57,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",San Rafael,Marin County,50,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",Thousand Oaks,Ventura County,57,Closure Permanent
08/21/2018,10/20/2018,08/23/2018,"Orchard Supply Company, LLC",Torrance,Los Angeles,52,Closure Permanent
07/16/2018,08/22/2018,08/24/2018,Symantec Corporation,Mountain View,Santa Clara,20,Layoff Permanent
07/09/2018,09/10/2018,08/27/2018,"Cavium, Inc.",San Jose,Santa Clara,41,Layoff Permanent
08/20/2018,10/21/2018,08/28/2018,Silgan Containers,Modesto,Stanislaus County,86,Layoff Temporary
08/20/2018,10/21/2018,08/28/2018,Silgan Containers,Modesto,Stanislaus County,95,Layoff Temporary
08/21/2018,10/22/2018,08/28/2018,Silgan Containers,Riverbank,Stanislaus County,157,Layoff Temporary
08/27/2018,10/19/2018,08/28/2018,Menzies Aviation,San Francisco,San Francisco,172,Layoff Permanent
08/28/2018,12/01/2018,08/28/2018,Novanta,San Jose,Santa Clara,42,Layoff Permanent
08/21/2018,11/25/2018,08/29/2018,Kmart Corporation,Clovis,Fresno County,64,Closure Permanent
08/21/2018,11/25/2018,08/29/2018,Kmart Corporation,Los Angeles,Los Angeles,120,Closure Permanent
