Notice Date,"Effective
Date","Received
Date",Company,City,"No. Of
Employees",Layoff/Closure
06/22/2015,03/25/2016,07/01/2015,Maxim Integrated Product,San Jose,150,Closure Permanent
06/30/2015,08/29/2015,07/01/2015,McGraw-Hill Education,Monterey,137,Layoff Unknown at this time
06/30/2015,08/30/2015,07/01/2015,Long Beach Memorial Medical Center,Long Beach,90,Layoff Permanent
07/01/2015,09/02/2015,07/01/2015,Leidos,El Segundo,72,Layoff Permanent
07/01/2015,09/30/2016,07/01/2015,"Bosch Healthcare Systems, Inc.",Palo Alto,55,Closure Permanent
06/29/2015,09/01/2015,07/02/2015,"Encompass Digital Media, Inc.",Los Angeles,41,Closure Permanent
07/02/2015,07/06/2015,07/02/2015,Alphatec Spine,Carlsbad,99,Layoff Permanent
06/30/2015,08/07/2015,07/06/2015,Symantec Corporation,Mountain View,60,Layoff Permanent
06/30/2015,08/31/2015,07/06/2015,"Fusion Contacts Centers, LLC",Santa Maria,50,Closure Permanent
06/30/2015,09/15/2015,07/06/2015,KLA-T encor Corporation,Milpitas,213,Layoff Permanent
07/01/2015,09/04/2015,07/06/2015,Southern California Edison Company,San Clemente,100,Closure Permanent
07/02/2015,09/01/2015,07/06/2015,"State Fish Company, Inc.",Wilmington,76,Closure Permanent
07/02/2015,09/04/2015,07/06/2015,Boeing Company,Long Beach,56,Layoff Unknown at this time
07/06/2015,09/04/2015,07/06/2015,"Bridgepoint Education, Inc.",San Diego,22,Layoff Permanent
07/01/2015,06/29/2015,07/07/2015,BAE Systems,San Francisco,4,Layoff Temporary
07/01/2015,06/29/2015,07/07/2015,BAE Systems,San Francisco,78,Layoff Temporary
07/01/2015,09/07/2015,07/07/2015,Bay Bread LLC dba Bakery Los Angeles,San Fernando,50,Closure Permanent
07/01/2015,09/25/2015,07/07/2015,Bay Bread LLC dba New French Bakery,South San,121,Closure Permanent
07/02/2015,06/12/2015,07/07/2015,Hewlett-Packard Company,Palo Alto,65,Layoff Permanent
07/08/2015,09/06/2015,07/08/2015,Microsoft Corporation,San Diego,129,Layoff Permanent
06/25/2015,10/09/2015,07/10/2015,"Aramark Healthcare Support Services,",Culver City,53,Closure Permanent
07/01/2015,09/10/2015,07/10/2015,Maxim Integrated Product,San Jose,20,Layoff Permanent
07/06/2015,09/04/2015,07/10/2015,"ProCourier, Inc.",Los Angeles,71,Layoff Unknown at this time
07/06/2015,09/04/2015,07/10/2015,"ProCourier, Inc.",San Diego,22,Layoff Unknown at this time
07/07/2015,09/04/2015,07/10/2015,"ProCourier, Inc.",Irvine,22,Layoff Unknown at this time
07/09/2015,07/22/2015,07/10/2015,Berkeley Pyramid Alehouse,Berkeley,63,Closure Permanent
07/09/2015,09/14/2015,07/10/2015,Fireman's Fund Insurance Company,Novato,35,Layoff Permanent
06/30/2015,08/31/2015,07/13/2015,First T ransit,Rancho,71,Layoff Permanent
06/30/2015,08/31/2015,07/13/2015,First T ransit,San Bernardino,127,Layoff Permanent
07/10/2015,07/14/2015,07/13/2015,11 Main LLC,Chico,44,Layoff Permanent
07/10/2015,07/14/2015,07/13/2015,11 Main LLC,San Mateo,35,Closure Permanent
07/15/2015,07/15/2015,07/15/2015,TaylorMade Golf Company,Carlsbad,64,Layoff Permanent
