notice_date,effective_date,received_date,company,city,employees,layoff_closure
06/22/2015,0  3  / 2  5  / 2  0  16,0  7  / 0  1  / 2  0  15,Maxim Integrated Product,San Jose,150,Closure Permanent
06/30/2015,0  8  / 2  9  / 2  0  15,0  7  / 0  1  / 2  0  15,McGraw-Hill Education,Monterey,137,Layoff Unknown at this time
06/30/2015,0  8  / 3  0  / 2  0  15,0  7  / 0  1  / 2  0  15,Long Beach Memorial Medical Center,Long Beach,90,Layoff Permanent
07/01/2015,0  9  / 0  2  / 2  0  15,0  7  / 0  1  / 2  0  15,Leidos,El Segundo,72,Layoff Permanent
07/01/2015,0  9  / 3  0  / 2  0  16,0  7  / 0  1  / 2  0  15,"Bosch Healthcare Systems, Inc.",Palo Alto,55,Closure Permanent
06/29/2015,0  9  / 0  1  / 2  0  15,0  7  / 0  2  / 2  0  15,"Encompass Digital Media, Inc.",Los Angeles,41,Closure Permanent
07/02/2015,0  7  / 0  6  / 2  0  15,0  7  / 0  2  / 2  0  15,Alphatec Spine,Carlsbad,99,Layoff Permanent
06/30/2015,0  8  / 0  7  / 2  0  15,0  7  / 0  6  / 2  0  15,Symantec Corporation,Mountain View,60,Layoff Permanent
06/30/2015,0  8  / 3  1  / 2  0  15,0  7  / 0  6  / 2  0  15,"Fusion Contacts Centers, LLC",Santa Maria,50,Closure Permanent
06/30/2015,0  9  / 1  5  / 2  0  15,0  7  / 0  6  / 2  0  15,KLA-Tencor Corporation,Milpitas,213,Layoff Permanent
07/01/2015,0  9  / 0  4  / 2  0  15,0  7  / 0  6  / 2  0  15,Southern California Edison Company,San Clemente,100,Closure Permanent
07/02/2015,0  9  / 0  1  / 2  0  15,0  7  / 0  6  / 2  0  15,"State Fish Company, Inc.",Wilmington,76,Closure Permanent
07/02/2015,0  9  / 0  4  / 2  0  15,0  7  / 0  6  / 2  0  15,Boeing Company,Long Beach,56,Layoff Unknown at this time
07/06/2015,0  9  / 0  4  / 2  0  15,0  7  / 0  6  / 2  0  15,"Bridgepoint Education, Inc.",San Diego,22,Layoff Permanent
07/01/2015,0  6  / 2  9  / 2  0  15,0  7  / 0  7  / 2  0  15,BAE Systems,San Francisco,4,Layoff Temporary
07/01/2015,0  6  / 2  9  / 2  0  15,0  7  / 0  7  / 2  0  15,BAE Systems,San Francisco,78,Layoff Temporary
07/01/2015,0  9  / 0  7  / 2  0  15,0  7  / 0  7  / 2  0  15,Bay Bread LLC dba Bakery Los Angeles,San Fernando,50,Closure Permanent
07/01/2015,0  9  / 2  5  / 2  0  15,0  7  / 0  7  / 2  0  15,Bay Bread LLC dba New French Bakery,South San,121,Closure Permanent
07/02/2015,0  6  / 1  2  / 2  0  15,0  7  / 0  7  / 2  0  15,Hewlett-Packard Company,Palo Alto,65,Layoff Permanent
07/08/2015,0  9  / 0  6  / 2  0  15,0  7  / 0  8  / 2  0  15,Microsoft Corporation,San Diego,129,Layoff Permanent
06/25/2015,1  0  / 0  9  / 2  0  15,0  7  / 1  0  / 2  0  15,"Aramark Healthcare Support Services,",Culver City,53,Closure Permanent
07/01/2015,0  9  / 1  0  / 2  0  15,0  7  / 1  0  / 2  0  15,Maxim Integrated Product,San Jose,20,Layoff Permanent
