"",Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
JUVENILE HALL TOTALS,,,,,,,,,,,,
Population,,,,,,,,,,,,
Average Daily Population,545,540,507,382,362,305,304,304,311,327,330,314
Ethnicity,,,,,,,,,,,,
Black,197,205,193,134,118,90,96,99,110,103,116,123
Caucasian,30,25,20,13,10,11,19,19,12,8,7,5
Hispanic,310,302,288,228,228,200,186,182,188,213,207,185
Other,8,8,6,7,5,4,3,4,1,3,0,1
Gender,,,,,,,,,,,,
Male,460,462,438,330,313,257,256,258,263,277,276,265
Female,85,78,69,52,49,48,48,46,48,50,54,49
Age,,,,,,,,,,,,
10,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0
12,5,2,5,2,0,1,4,1,0,0,2,3
13,15,16,16,10,7,8,3,6,2,4,3,2
14,29,36,30,32,21,19,13,17,20,28,23,21
15,81,85,90,52,44,43,46,46,59,50,50,42
16,148,136,118,83,81,78,82,73,64,64,83,74
17,177,178,168,131,126,90,79,93,97,106,100,101
18,74,69,62,57,65,51,62,53,55,58,49,50
19,14,16,16,13,14,12,13,13,11,13,16,18
20,2,2,2,2,4,3,2,2,3,4,4,3
21,0,0,0,0,0,0,0,0,0,0,0,0
Grievances,,,,,,,,,,,,
Total Grievances,53,54,44,43,40,48,54,34,44,31,63,20
General Grievances,50,43,36,37,34,43,45,29,39,27,51,17
Against Staff Grievances,3,11,8,6,6,5,9,5,5,4,12,3
Use of Force,,,,,,,,,,,,
Total SCMs,122,142,139,71,88,62,61,74,66,87,106,81
Level 1,8,8,11,5,7,5,4,3,2,4,1,2
Level 2,27,42,32,20,31,17,16,19,20,21,15,18
"",Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Level 3,36,44,37,17,22,19,18,24,12,24,24,28
Level 4,5,1,5,2,4,3,2,2,8,5,11,5
Level 5,22,25,30,18,18,9,12,14,16,25,38,21
Level 6 - Soft,0,0,0,1,0,0,0,0,0,0,1,0
Level 6 - OC,24,22,24,8,6,9,9,12,8,8,16,7
Youth on Youth Violence,,,,,,,,,,,,
Total (YOYV),104,103,97,48,52,43,41,40,41,49,49,55
Youth on Staff Assaults,,,,,,,,,,,,
Total,39,24,44,21,18,16,14,12,14,18,26,14
Direct Assaults on Staff,34,22,38,19,16,16,14,10,11,16,25,13
Incidental Assaults on Staff,5,2,6,2,2,0,0,2,3,2,1,1
Hope Center,,,,,,,,,,,,
Hope Center Referrals,126,109,109,51,57,48,31,53,46,73,50,26
