doc_seq_no,expenditure_type,gub_account_type,gub_elec_type,page_no,expense_id,detail_id,doc_stmnt_year,doc_type_desc,com_legal_name,common_name,cfr_com_id,com_type,schedule_desc,exp_desc,purpose,extra_desc,f_name,lname_or_org,address,city,state,zip,exp_date,amount,state_loc,supp_opp,can_or_ballot,,county,debt_payment,vend_name,vend_addr,vend_city,vend_state,vend_zip,gotv_ink_ind,fundraiser,RUNTIME: 04-07-2022 07:37:39
517625,1B, , ,0,4161,0,2022,ANNUAL CS,COMMITTEE TO ELECT GENE HAYMAKER,COMMITTEE TO ELECT GENE HAYMAKER,520142,CAN,DIRECT,CREDIT CARD FEE,PROCESSING FEE,,,WINRED                              ,1776 WILSON BLVD. SUITE 530,ARLINGTON           ,VA,22219-0000,10/28/21,23.11,,,,,,,,,,,,,,
517625,1B, , ,0,4163,0,2022,ANNUAL CS,COMMITTEE TO ELECT GENE HAYMAKER,COMMITTEE TO ELECT GENE HAYMAKER,520142,CAN,DIRECT,PRINT ADVERTISING,PRINT AND MANAGEMENT COSTS,,,STUDIOONE CREATIVE                  ,50975 JORDAN ST.,PAW PAW             ,MI,49079-0000,11/1/21,900,,,,,,,,,,,,,,
517625,1B, , ,0,4196,0,2022,ANNUAL CS,COMMITTEE TO ELECT GENE HAYMAKER,COMMITTEE TO ELECT GENE HAYMAKER,520142,CAN,DIRECT,CREDIT CARD FEE,PROCESSING FEE,,,WINRED                              ,1776 WILSON BLVD. SUITE 530,ARLINGTON           ,VA,22219-0000,11/23/21,2.81,,,,,,,,,,,,,,
517627,1B, , ,0,4959,0,2022,ANNUAL CS,JACK COLEMAN FOR STATE REPRESENTATIVE,JACK COLEMAN FOR STATE REPRESENTATIV,519196,CAN,DIRECT,CAMPAIGN OFFICE EXPENSE,PRINTER CARTRIDGE,,,OFFICE DEPOT                        ,6212 S. WESTNEDGE AVE,PORTAGE             ,MI,49002-0000,11/13/21,104.09,,,,,,,,,,,,,,
517627,1B, , ,0,4961,0,2022,ANNUAL CS,JACK COLEMAN FOR STATE REPRESENTATIVE,JACK COLEMAN FOR STATE REPRESENTATIV,519196,CAN,DIRECT,"MAILING,POSTAGE,BULK RATE",POST CARDS,,,NEXT DAY FLYERS                     ,8000 HASKELL AVE,VAN NUYS            ,CA,91406-0000,11/17/21,90.94,,,,,,,,,,,,,,
517627,1B, , ,0,4967,0,2022,ANNUAL CS,JACK COLEMAN FOR STATE REPRESENTATIVE,JACK COLEMAN FOR STATE REPRESENTATIV,519196,CAN,DIRECT,PRINT ADVERTISING,ADVERTISING,,,ST. JOSEPH REPUBLICAN PRTY          ,PO BOX 717,STURGIS             ,MI,49091-0000,11/9/21,50,,,,,,,,,,,,,,
517627,1B, , ,0,4970,0,2022,ANNUAL CS,JACK COLEMAN FOR STATE REPRESENTATIVE,JACK COLEMAN FOR STATE REPRESENTATIV,519196,CAN,DIRECT,"MAILING,POSTAGE,BULK RATE",POSTAGE FOR MAILINGS,,,U. S. POST OFFICE                   ,100 N MAIN ST,THREE RIVERS        ,MI,49093-0000,12/1/21,516,,,,,,,,,,,,,,
517627,1B, , ,0,4986,0,2022,ANNUAL CS,JACK COLEMAN FOR STATE REPRESENTATIVE,JACK COLEMAN FOR STATE REPRESENTATIV,519196,CAN,DIRECT,RENTAL OF FACILITIES,RENTAL EXPENSE,,,HILLCREST GRILL                     ,29284 US HIGHWAY 12,STURGIS             ,MI,49091-0000,12/11/21,360,,,,,,,,,,,,,,
517627,1B, , ,0,5069,0,2022,ANNUAL CS,JACK COLEMAN FOR STATE REPRESENTATIVE,JACK COLEMAN FOR STATE REPRESENTATIV,519196,CAN,DIRECT,,FLYERS,,,NEXT DAY FLYERS                     ,8000 HASKELL AVE,VAN NUYS            ,CA,91406-0000,12/23/21,100.36,,,,,,,,,,,,,,
517629,1B, , ,0,4456,0,2022,ANNUAL CS,TUSCOLA COUNTY REPUBLICAN PARTY,TUSCOLA CO REP PARTY,1616,COU,DIRECT,"MAILING,POSTAGE,BULK RATE",PO BOX 602 ANNUAL RENT,,,USPS                                ,210 W LINCOLN ST,CARO                ,MI,48723-0000,6/2/21,92,,,,,,,,,,,,,,
