,geoid,tract,state,county,place_name,state_name,universe,white_alone,white_pct,black_alone,black_pct,asian_alone,asian_pct,latino_alone,latino_pct,white_alone_moe,black_alone_moe,asian_alone_moe,latino_alone_moe
3560,06037127520,127520,06,037,Los Angeles County,California,3872,202,5.217,314,8.11,157,4.055,3192,82.438,98.0,208.0,99.0,427.0
3568,06037407301,407301,06,037,Los Angeles County,California,4314,172,3.987,53,1.229,625,14.488,3464,80.297,112.0,45.0,292.0,480.0
3571,06037651101,651101,06,037,Los Angeles County,California,5561,2347,42.205,89,1.6,2304,41.431,481,8.65,404.0,55.0,438.0,190.0
3573,06037532900,532900,06,037,Los Angeles County,California,6315,39,0.618,282,4.466,0,0.0,5994,94.917,47.0,107.0,132.0,546.0
3575,06037189600,189600,06,037,Los Angeles County,California,3721,2643,71.029,393,10.562,238,6.396,250,6.719,332.0,223.0,148.0,127.0
3576,06037219800,219800,06,037,Los Angeles County,California,3421,18,0.526,667,19.497,15,0.438,2701,78.954,20.0,169.0,18.0,400.0
3579,06037232600,232600,06,037,Los Angeles County,California,5960,106,1.779,1864,31.275,55,0.923,3845,64.513,148.0,303.0,63.0,540.0
3580,06037127603,127603,06,037,Los Angeles County,California,3062,610,19.922,184,6.009,0,0.0,2258,73.743,134.0,167.0,132.0,650.0
3585,06037530003,530003,06,037,Los Angeles County,California,2925,892,30.496,16,0.547,492,16.821,1518,51.897,189.0,23.0,134.0,229.0
3588,06037404402,404402,06,037,Los Angeles County,California,4995,387,7.748,35,0.701,496,9.93,4077,81.622,129.0,57.0,173.0,470.0
3589,06037400204,400204,06,037,Los Angeles County,California,7013,4931,70.312,296,4.221,576,8.213,1073,15.3,560.0,251.0,385.0,534.0
3591,06037530901,530901,06,037,Los Angeles County,California,3855,38,0.986,0,0.0,21,0.545,3786,98.21,45.0,132.0,25.0,522.0
3595,06037910605,910605,06,037,Los Angeles County,California,3876,629,16.228,474,12.229,127,3.277,2472,63.777,228.0,163.0,74.0,591.0
