geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,combined statistical area
273,"Greenville-Spartanburg-Anderson, SC CSA",1442020.0,,-555555555.0,*****,273
274,"Greenville-Washington, NC CSA",224615.0,,-555555555.0,*****,274
276,"Harrisburg-York-Lebanon, PA CSA",1252583.0,,-555555555.0,*****,276
277,"Harrisonburg-Staunton-Waynesboro, VA CSA",253914.0,,-555555555.0,*****,277
278,"Hartford-West Hartford, CT CSA",1478248.0,,-555555555.0,*****,278
280,"Hickory-Lenoir, NC CSA",410448.0,,-555555555.0,*****,280
284,"Hot Springs-Malvern, AR CSA",131816.0,,-555555555.0,*****,284
288,"Houston-The Woodlands, TX CSA",6978302.0,,-555555555.0,*****,288
290,"Huntsville-Decatur-Albertville, AL CSA",769250.0,,-555555555.0,*****,290
292,"Idaho Falls-Rexburg-Blackfoot, ID CSA",240189.0,,-555555555.0,*****,292
294,"Indianapolis-Carmel-Muncie, IN CSA",2389982.0,,-555555555.0,*****,294
296,"Ithaca-Cortland, NY CSA",151085.0,,-555555555.0,*****,296
297,"Jackson-Brownsville, TN CSA",147110.0,,-555555555.0,*****,297
298,"Jackson-Vicksburg-Brookhaven, MS CSA",670907.0,,-555555555.0,*****,298
300,"Jacksonville-St. Marys-Palatka, FL-GA CSA",1600866.0,,-555555555.0,*****,300
304,"Johnson City-Kingsport-Bristol, TN-VA CSA",507620.0,,-555555555.0,*****,304
306,"Johnstown-Somerset, PA CSA",209499.0,,-555555555.0,*****,306
308,"Jonesboro-Paragould, AR CSA",174378.0,,-555555555.0,*****,308
309,"Joplin-Miami, MO-OK CSA",209006.0,,-555555555.0,*****,309
310,"Kalamazoo-Battle Creek-Portage, MI CSA",532215.0,,-555555555.0,*****,310
312,"Kansas City-Overland Park-Kansas City, MO-KS CSA",2448345.0,,-555555555.0,*****,312
314,"Knoxville-Morristown-Sevierville, TN CSA",1117109.0,,-555555555.0,*****,314
316,"Kokomo-Peru, IN CSA",118288.0,,-555555555.0,*****,316
318,"Lafayette-Opelousas-Morgan City, LA CSA",624152.0,,-555555555.0,*****,318
320,"Lafayette-West Lafayette-Frankfort, IN CSA",250256.0,,-555555555.0,*****,320
324,"Lake Charles-Jennings, LA CSA",238517.0,,-555555555.0,*****,324
330,"Lansing-East Lansing-Owosso, MI CSA",545108.0,,-555555555.0,*****,330
332,"Las Vegas-Henderson, NV-AZ CSA",2391343.0,,-555555555.0,*****,332
336,"Lexington-Fayette--Richmond--Frankfort, KY CSA",732255.0,,-555555555.0,*****,336
338,"Lima-Van Wert-Celina, OH CSA",218513.0,,-555555555.0,*****,338
339,"Lincoln-Beatrice, NE CSA",348816.0,,-555555555.0,*****,339
340,"Little Rock-North Little Rock, AR CSA",905651.0,,-555555555.0,*****,340
346,"Longview-Marshall, TX CSA",284503.0,,-555555555.0,*****,346
348,"Los Angeles-Long Beach, CA CSA",18629045.0,,-555555555.0,*****,348
350,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN CSA",1513472.0,,-555555555.0,*****,350
352,"Lubbock-Levelland, TX CSA",336285.0,,-555555555.0,*****,352
356,"Macon-Bibb County--Warner Robins, GA CSA",419619.0,,-555555555.0,*****,356
357,"Madison-Janesville-Beloit, WI CSA",872646.0,,-555555555.0,*****,357
358,"Manhattan-Junction City, KS CSA",133736.0,,-555555555.0,*****,358
359,"Mankato-New Ulm-North Mankato, MN CSA",125316.0,,-555555555.0,*****,359
360,"Mansfield-Ashland-Bucyrus, OH CSA",216822.0,,-555555555.0,*****,360
362,"Martin-Union City, TN-KY CSA",70356.0,,-555555555.0,*****,362
364,"Mayag�ez-San Germ�n, PR CSA",220923.0,,-555555555.0,*****,364
365,"McAllen-Edinburg, TX CSA",913283.0,,-555555555.0,*****,365
372,"Midland-Odessa, TX CSA",328150.0,,-555555555.0,*****,372
366,"Medford-Grants Pass, OR CSA",299748.0,,-555555555.0,*****,366
368,"Memphis-Forrest City, TN-MS-AR CSA",1372285.0,,-555555555.0,*****,368
370,"Miami-Fort Lauderdale-Port St. Lucie, FL CSA",6725672.0,,-555555555.0,*****,370
376,"Milwaukee-Racine-Waukesha, WI CSA",2046746.0,,-555555555.0,*****,376
378,"Minneapolis-St. Paul, MN-WI CSA",3901933.0,,-555555555.0,*****,378
380,"Mobile-Daphne-Fairhope, AL CSA",622766.0,,-555555555.0,*****,380
382,"Modesto-Merced, CA CSA",808376.0,,-555555555.0,*****,382
384,"Monroe-Ruston-Bastrop, LA CSA",251898.0,,-555555555.0,*****,384
390,"Morgantown-Fairmont, WV CSA",195586.0,,-555555555.0,*****,390
393,"Moses Lake-Othello, WA CSA",114312.0,,-555555555.0,*****,393
394,"Mount Pleasant-Alma, MI CSA",111842.0,,-555555555.0,*****,394
396,"Myrtle Beach-Conway, SC-NC CSA",509380.0,,-555555555.0,*****,396
400,"Nashville-Davidson--Murfreesboro, TN CSA",1986902.0,,-555555555.0,*****,400
404,"New Bern-Morehead City, NC CSA",194439.0,,-555555555.0,*****,404
406,"New Orleans-Metairie-Hammond, LA-MS CSA",1495745.0,,-555555555.0,*****,406
408,"New York-Newark, NY-NJ-CT-PA CSA",23527576.0,,-555555555.0,*****,408
412,"North Port-Sarasota, FL CSA",999350.0,,-555555555.0,*****,412
416,"Oklahoma City-Shawnee, OK CSA",1441759.0,,-555555555.0,*****,416
425,"Parkersburg-Marietta-Vienna, WV-OH CSA",152024.0,,-555555555.0,*****,425
426,"Pensacola-Ferry Pass, FL-AL CSA",519292.0,,-555555555.0,*****,426
427,"Peoria-Canton, IL CSA",409844.0,,-555555555.0,*****,427
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD CSA",7176556.0,,-555555555.0,*****,428
420,"Omaha-Council Bluffs-Fremont, NE-IA CSA",959574.0,,-555555555.0,*****,420
422,"Orlando-Deltona-Daytona Beach, FL CSA",3206033.0,,-555555555.0,*****,422
423,"Oskaloosa-Pella, IA CSA",55415.0,,-555555555.0,*****,423
424,"Paducah-Mayfield, KY-IL CSA",134361.0,,-555555555.0,*****,424
430,"Pittsburgh-New Castle-Weirton, PA-OH-WV CSA",2632416.0,,-555555555.0,*****,430
434,"Ponce-Coamo-Santa Isabel, PR CSA",386605.0,,-555555555.0,*****,434
438,"Portland-Lewiston-South Portland, ME CSA",636767.0,,-555555555.0,*****,438
440,"Portland-Vancouver-Salem, OR-WA CSA",3152673.0,,-555555555.0,*****,440
444,"Pueblo-Ca�on City, CO CSA",211687.0,,-555555555.0,*****,444
446,"Pullman-Moscow, WA-ID CSA",87832.0,,-555555555.0,*****,446
448,"Quincy-Hannibal, IL-MO CSA",115343.0,,-555555555.0,*****,448
450,"Raleigh-Durham-Chapel Hill, NC CSA",2154965.0,,-555555555.0,*****,450
452,"Rapid City-Spearfish, SD CSA",170525.0,,-555555555.0,*****,452
454,"Redding-Red Bluff, CA CSA",242458.0,,-555555555.0,*****,454
456,"Reno-Carson City-Fernley, NV CSA",609877.0,,-555555555.0,*****,456
458,"Richmond-Connersville, IN CSA",89872.0,,-555555555.0,*****,458
462,"Rochester-Austin, MN CSA",255637.0,,-555555555.0,*****,462
464,"Rochester-Batavia-Seneca Falls, NY CSA",1167391.0,,-555555555.0,*****,464
466,"Rockford-Freeport-Rochelle, IL CSA",436541.0,,-555555555.0,*****,466
468,"Rocky Mount-Wilson-Roanoke Rapids, NC CSA",300594.0,,-555555555.0,*****,468
470,"Rome-Summerville, GA CSA",121641.0,,-555555555.0,*****,470
472,"Sacramento-Roseville, CA CSA",2562195.0,,-555555555.0,*****,472
474,"Saginaw-Midland-Bay City, MI CSA",380953.0,,-555555555.0,*****,474
476,"St. Louis-St. Charles-Farmington, MO-IL CSA",2909977.0,,-555555555.0,*****,476
482,"Salt Lake City-Provo-Orem, UT CSA",2511156.0,,-555555555.0,*****,482
488,"San Jose-San Francisco-Oakland, CA CSA",8741191.0,,-555555555.0,*****,488
490,"San Juan-Carolina, PR CSA",2432066.0,,-555555555.0,*****,490
496,"Savannah-Hinesville-Statesboro, GA CSA",536669.0,,-555555555.0,*****,496
500,"Seattle-Tacoma, WA CSA",4691993.0,,-555555555.0,*****,500
512,"Sioux City-Vermillion, IA-SD-NE CSA",182602.0,,-555555555.0,*****,512
515,"South Bend-Elkhart-Mishawaka, IN-MI CSA",725706.0,,-555555555.0,*****,515
