geoid,name,universe,universe_annotation,universe_moe,universe_moe_annotation,state,school district (elementary)
0100195,"Pike Road City School District, Alabama",8884.0,,34.0,,01,00195
0199999,"Remainder of Alabama, Alabama",4855796.0,,34.0,,01,99999
0407080,"Roosevelt Elementary District, Arizona",118473.0,,2908.0,,04,07080
0407020,"Riverside Elementary District, Arizona",8907.0,,1107.0,,04,07020
0407140,"Rucker Elementary District, Arizona",44.0,,67.0,,04,07140
0407200,"Sacaton Elementary District, Arizona",4864.0,,754.0,,04,07200
0407380,"San Fernando Elementary District, Arizona",45.0,,21.0,,04,07380
0407500,"Santa Cruz Elementary District, Arizona",1992.0,,457.0,,04,07500
0407680,"Sentinel Elementary District, Arizona",157.0,,73.0,,04,07680
0407770,"Skull Valley Elementary District, Arizona",410.0,,124.0,,04,07770
0407860,"Solomon Elementary District, Arizona",3920.0,,535.0,,04,07860
0407890,"Somerton Elementary District, Arizona",22543.0,,856.0,,04,07890
0407920,"Sonoita Elementary District, Arizona",1621.0,,259.0,,04,07920
0408130,"Stanfield Elementary District, Arizona",4267.0,,1029.0,,04,08130
0408310,"Tempe School District, Arizona",161850.0,,2064.0,,04,08310
0408430,"Paloma School District, Arizona",231.0,,71.0,,04,08430
0408460,"Hillside Elementary District, Arizona",58.0,,42.0,,04,08460
0408490,"Tolleson Elementary District, Arizona",16756.0,,728.0,,04,08490
0408550,"Toltec Elementary District, Arizona",15956.0,,1384.0,,04,08550
0408640,"Topock Elementary District, Arizona",1665.0,,495.0,,04,08640
0408820,"Union Elementary District, Arizona",19489.0,,1036.0,,04,08820
0408880,"Valentine Elementary District, Arizona",224.0,,89.0,,04,08880
0409030,"Walnut Grove Elementary District, Arizona",136.0,,48.0,,04,09030
0409060,"Washington Elementary District, Arizona",244855.0,,3249.0,,04,09060
0409090,"Wellton Elementary District, Arizona",4345.0,,575.0,,04,09090
0409120,"Wenden Elementary District, Arizona",375.0,,125.0,,04,09120
0409360,"Williamson Valley Elementary School District, Arizona",680.0,,158.0,,04,09360
0409390,"Wilson Elementary District, Arizona",4722.0,,553.0,,04,09390
0409510,"Yarnell Elementary District, Arizona",1322.0,,190.0,,04,09510
0409540,"Young Elementary School District, Arizona",761.0,,195.0,,04,09540
0409570,"Yucca Elementary District, Arizona",550.0,,141.0,,04,09570
0409600,"Yuma Elementary District, Arizona",104353.0,,1536.0,,04,09600
0499999,"Remainder of Arizona, Arizona",4572512.0,,5791.0,,04,99999
0400004,"Clarkdale-Jerome Elementary District, Arizona",4060.0,,321.0,,04,00004
0400005,"Salome Consolidated Elementary District, Arizona",2303.0,,394.0,,04,00005
0400022,"Vernon Elementary District, Arizona",1755.0,,368.0,,04,00022
0400480,"Aguila Elementary District, Arizona",1462.0,,445.0,,04,00480
0400600,"Alhambra Elementary District, Arizona",89389.0,,2815.0,,04,00600
0400630,"Alpine Elementary District, Arizona",434.0,,123.0,,04,00630
0400750,"Apache Elementary District, Arizona",145.0,,38.0,,04,00750
0400840,"Arlington Elementary District, Arizona",1349.0,,316.0,,04,00840
0400870,"Ash Creek Elementary District, Arizona",712.0,,149.0,,04,00870
0401230,"Blue Elementary District, Arizona",34.0,,22.0,,04,01230
