county,mail_returned,mail_rejected,rejected_pct,state,fips
ROBESON,3677.0,173.0,4.704922491161271,North Carolina,37
SAMPSON,1958.0,78.0,3.98365679264556,North Carolina,37
GUILFORD,50400.0,1311.0,2.60119047619048,North Carolina,37
CUMBERLAND,23580.0,593.0,2.51484308736217,North Carolina,37
CLAY,414.0,9.0,2.1739130434782603,Georgia,13
Humboldt,1821.0,37.0,2.03,Nevada,32
Churchill,3606.0,68.0,1.89,Nevada,32
TAYLOR,796.0,14.0,1.75879396984925,Georgia,13
PASQUOTANK,2487.0,42.0,1.68878166465621,North Carolina,37
DUPLIN,1718.0,27.0,1.57159487776484,North Carolina,37
Grundy County,3408.0,49.0,1.43779342723005,Iowa,19
WILSON,4637.0,64.0,1.3802027172741,North Carolina,37
CALDWELL,4728.0,62.0,1.3113367174280899,North Carolina,37
Hardin County,5019.0,65.0,1.29507870093644,Iowa,19
BRUNSWICK,18533.0,230.0,1.24102951491933,North Carolina,37
CHARLTON,703.0,8.0,1.13798008534851,Georgia,13
SCOTLAND,1590.0,18.0,1.13207547169811,North Carolina,37
Wapello County,8696.0,97.0,1.11545538178473,Iowa,19
DURHAM,47974.0,535.0,1.1151873931713,North Carolina,37
Washoe,102473.0,1137.0,1.11,Nevada,32
EDGECOMBE,2282.0,24.0,1.05170902716915,North Carolina,37
RICHMOND,1811.0,19.0,1.04914411927112,North Carolina,37
Eureka,291.0,3.0,1.03,Nevada,32
STEWART,489.0,5.0,1.02249488752556,Georgia,13
Douglas,16200.0,165.0,1.02,Nevada,32
RANDOLPH,7633.0,77.0,1.00877767588104,North Carolina,37
BUNCOMBE,36280.0,365.0,1.00606394707828,North Carolina,37
LEE,2518.0,25.0,0.9928514694201749,Georgia,13
HARNETT,8686.0,86.0,0.99009900990099,North Carolina,37
Hancock County,2979.0,29.0,0.9734810339039951,Iowa,19
VANCE,2511.0,24.0,0.9557945041816011,North Carolina,37
FRANKLIN,4729.0,45.0,0.951575385916684,North Carolina,37
DECATUR,2365.0,22.0,0.9302325581395351,Georgia,13
Lyon,11481.0,106.0,0.92,Nevada,32
ALAMANCE,15549.0,139.0,0.8939481638690591,North Carolina,37
JOHNSTON,15879.0,138.0,0.869072359720385,North Carolina,37
WAYNE,6961.0,60.0,0.8619451228271799,North Carolina,37
WAKE,173232.0,1480.0,0.8543456174378871,North Carolina,37
CATAWBA,10430.0,89.0,0.853307766059444,North Carolina,37
TREUTLEN,586.0,5.0,0.853242320819113,Georgia,13
AVERY,943.0,8.0,0.8483563096500529,North Carolina,37
UNION,19000.0,161.0,0.8473684210526321,North Carolina,37
Buchanan County,5700.0,48.0,0.842105263157895,Iowa,19
ALEXANDER,1799.0,15.0,0.833796553640912,North Carolina,37
Lyon County,3409.0,27.0,0.792021120563215,Iowa,19
LENOIR,3173.0,25.0,0.787897888433659,North Carolina,37
MARTIN,1155.0,9.0,0.7792207792207789,North Carolina,37
LEE,4077.0,31.0,0.7603630120186411,North Carolina,37
PITT,10920.0,82.0,0.750915750915751,North Carolina,37
HALIFAX,1876.0,14.0,0.746268656716418,North Carolina,37
Muscatine County,12242.0,91.0,0.743342591079889,Iowa,19
DAVIDSON,11616.0,86.0,0.740358126721763,North Carolina,37
Carson City,13278.0,98.0,0.74,Nevada,32
COLUMBUS,2050.0,15.0,0.731707317073171,North Carolina,37
Storey,954.0,7.0,0.73,Nevada,32
DOUGHERTY,10446.0,76.0,0.727551215776374,Georgia,13
CLEVELAND,5685.0,41.0,0.721196130167106,North Carolina,37
Jones County,6138.0,44.0,0.7168458781362009,Iowa,19
WILCOX,561.0,4.0,0.7130124777183601,Georgia,13
TELFAIR,991.0,7.0,0.7063572149344101,Georgia,13
GREENE,2869.0,20.0,0.69710700592541,Georgia,13
PEACH,2592.0,18.0,0.694444444444444,Georgia,13
Clark,365058.0,2474.0,0.68,Nevada,32
WASHINGTON,2509.0,17.0,0.677560781187724,Georgia,13
FORSYTH,42650.0,282.0,0.661195779601407,North Carolina,37
TALIAFERRO,304.0,2.0,0.657894736842105,Georgia,13
NEW HANOVER,26802.0,176.0,0.6566674128796359,North Carolina,37
Elko,5858.0,37.0,0.63,Nevada,32
GRANVILLE,4443.0,27.0,0.607697501688049,North Carolina,37
GASTON,16451.0,99.0,0.6017871254027111,North Carolina,37
JACKSON,2871.0,17.0,0.592128178335075,North Carolina,37
RUTHERFORD,4280.0,25.0,0.58411214953271,North Carolina,37
HENRY,29608.0,171.0,0.577546609024588,Georgia,13
BERTIE,700.0,4.0,0.571428571428571,North Carolina,37
Pershing,870.0,5.0,0.57,Nevada,32
O'Brien County,3694.0,21.0,0.568489442338928,Iowa,19
Monroe County,2311.0,13.0,0.56252704456945,Iowa,19
LIBERTY,5700.0,32.0,0.56140350877193,Georgia,13
CRAWFORD,1107.0,6.0,0.5420054200542009,Georgia,13
BURKE,5187.0,28.0,0.539811066126856,North Carolina,37
PIERCE,1310.0,7.0,0.534351145038168,Georgia,13
SWAIN,752.0,4.0,0.531914893617021,North Carolina,37
Adair County,2100.0,11.0,0.523809523809524,Iowa,19
BEAUFORT,2982.0,15.0,0.503018108651911,North Carolina,37
Nye,11184.0,56.0,0.5,Nevada,32
CRAVEN,9073.0,45.0,0.49597707483743,North Carolina,37
MORGAN,2026.0,10.0,0.493583415597236,Georgia,13
Benton County,6547.0,32.0,0.48877348403849097,Iowa,19
BARTOW,10684.0,52.0,0.486709097716211,Georgia,13
PIKE,1470.0,7.0,0.476190476190476,Georgia,13
BRYAN,3801.0,18.0,0.473559589581689,Georgia,13
White Pine,1711.0,8.0,0.47,Nevada,32
DARE,3853.0,18.0,0.46716844017648596,North Carolina,37
COFFEE,1939.0,9.0,0.464156781846313,Georgia,13
HYDE,219.0,1.0,0.45662100456621,North Carolina,37
STANLY,3530.0,16.0,0.453257790368272,North Carolina,37
Louisa County,2795.0,12.0,0.429338103756708,Iowa,19
SPALDING,7924.0,34.0,0.42907622412922797,Georgia,13
Iowa County,5601.0,24.0,0.428494911622924,Iowa,19
TOOMBS,2336.0,10.0,0.42808219178082196,Georgia,13
RICHMOND,28210.0,116.0,0.411201701524282,Georgia,13
MILLER,491.0,2.0,0.407331975560081,Georgia,13
MECKLENBURG,132992.0,534.0,0.401527911453321,North Carolina,37
Calhoun County,2551.0,10.0,0.392003136025088,Iowa,19
STOKES,2555.0,10.0,0.391389432485323,North Carolina,37
Franklin County,2557.0,10.0,0.391083300743058,Iowa,19
WILKES,4388.0,17.0,0.38742023701002704,North Carolina,37
Pocahontas County,2075.0,8.0,0.385542168674699,Iowa,19
DAVIE,3118.0,12.0,0.384862091084028,North Carolina,37
IREDELL,16695.0,62.0,0.371368673255466,North Carolina,37
WARE,2980.0,11.0,0.369127516778523,Georgia,13
CASWELL,1357.0,5.0,0.368459837877671,North Carolina,37
YADKIN,2174.0,8.0,0.367985280588776,North Carolina,37
MONTGOMERY,1102.0,4.0,0.362976406533575,North Carolina,37
LUMPKIN,3353.0,12.0,0.35788845809722597,Georgia,13
POLK,2841.0,10.0,0.351988736360436,Georgia,13
CARTERET,5127.0,18.0,0.351082504388531,North Carolina,37
EVANS,857.0,3.0,0.350058343057176,Georgia,13
CALHOUN,592.0,2.0,0.337837837837838,Georgia,13
GREENE,893.0,3.0,0.335946248600224,North Carolina,37
CLARKE,18793.0,62.0,0.329910072899484,Georgia,13
NEWTON,15635.0,50.0,0.31979533098816804,Georgia,13
YANCEY,1581.0,5.0,0.316255534471853,North Carolina,37
Boone County,9562.0,30.0,0.313741895001046,Iowa,19
Woodbury County,27668.0,86.0,0.310828393812346,Iowa,19
ORANGE,25757.0,80.0,0.310595178009861,North Carolina,37
GRADY,2254.0,7.0,0.31055900621118004,Georgia,13
MOORE,11295.0,35.0,0.30987162461266,North Carolina,37
Jefferson County,6164.0,19.0,0.308241401687216,Iowa,19
Luce,974.0,3.0,0.308008213552361,Michigan,26
Webster County,10172.0,31.0,0.30475815965395203,Iowa,19
Lander,676.0,2.0,0.3,Nevada,32
FULTON,144317.0,427.0,0.295876438673199,Georgia,13
MITCHELL,1015.0,3.0,0.295566502463054,North Carolina,37
TATTNALL,1385.0,4.0,0.288808664259928,Georgia,13
COLUMBIA,16968.0,49.0,0.288778877887789,Georgia,13
BACON,693.0,2.0,0.28860028860028897,Georgia,13
Sioux County,8421.0,24.0,0.285001781261133,Iowa,19
TRANSYLVANIA,3950.0,11.0,0.278481012658228,North Carolina,37
Marion County,10241.0,28.0,0.273410799726589,Iowa,19
CABARRUS,21278.0,58.0,0.272582009587367,North Carolina,37
LINCOLN,6311.0,17.0,0.269370939629219,North Carolina,37
GRAHAM,373.0,1.0,0.268096514745308,North Carolina,37
BAKER,376.0,1.0,0.26595744680851097,Georgia,13
NASH,5647.0,15.0,0.265627766955906,North Carolina,37
BERRIEN,1137.0,3.0,0.263852242744063,Georgia,13
GLYNN,10345.0,27.0,0.26099565007249903,Georgia,13
Lincoln,784.0,2.0,0.26,Nevada,32
CLAY,776.0,2.0,0.25773195876288696,North Carolina,37
WHEELER,388.0,1.0,0.25773195876288696,Georgia,13
Keokuk County,2367.0,6.0,0.253485424588086,Iowa,19
DEKALB,128958.0,324.0,0.251244591262271,Georgia,13
Clayton County,4781.0,12.0,0.25099351600083697,Iowa,19
HENDERSON,15203.0,38.0,0.249950667631389,North Carolina,37
Harrison County,4026.0,10.0,0.24838549428713402,Iowa,19
Wayne County,1630.0,4.0,0.245398773006135,Iowa,19
HAYWOOD,6174.0,15.0,0.242954324586978,North Carolina,37
BERKS,66803.0,161.0,0.241007140397886,Pennsylvania,42
Crawford County,4209.0,10.0,0.237586124970302,Iowa,19
CRISP,1688.0,4.0,0.23696682464455,Georgia,13
Lucas County,2536.0,6.0,0.236593059936909,Iowa,19
MACON,851.0,2.0,0.235017626321974,Georgia,13
COBB,150161.0,350.0,0.233083157411045,Georgia,13
COLQUITT,2609.0,6.0,0.22997316979685697,Georgia,13
TIFT,2722.0,6.0,0.22042615723732598,Georgia,13
Ida County,1898.0,4.0,0.210748155953635,Iowa,19
Cass County,4299.0,9.0,0.20935101186322402,Iowa,19
SUMTER,2891.0,6.0,0.207540643375994,Georgia,13
Marshall County,11601.0,24.0,0.20687871735195199,Iowa,19
Alger,1938.0,4.0,0.206398348813209,Michigan,26
NORTHAMPTON,977.0,2.0,0.204708290685773,North Carolina,37
TOWNS,1955.0,4.0,0.20460358056266,Georgia,13
OCONEE,5868.0,12.0,0.204498977505112,Georgia,13
Warren County,17618.0,36.0,0.20433647406061997,Iowa,19
HANCOCK,1482.0,3.0,0.20242914979757098,Georgia,13
MADISON,2976.0,6.0,0.20161290322580602,Georgia,13
GILMER,3503.0,7.0,0.199828718241507,Georgia,13
Iosco,7086.0,14.0,0.19757267852102703,Michigan,26
FORSYTH,31033.0,61.0,0.196564946991912,Georgia,13
COOK,1018.0,2.0,0.196463654223969,Georgia,13
CHEROKEE,2060.0,4.0,0.194174757281553,North Carolina,37
Clarke County,2581.0,5.0,0.193723363037582,Iowa,19
CAMDEN,518.0,1.0,0.193050193050193,North Carolina,37
Scott County,64321.0,124.0,0.192783072402481,Iowa,19
LOWNDES,9397.0,18.0,0.191550494838778,Georgia,13
BLECKLEY,1059.0,2.0,0.188857412653447,Georgia,13
COWETA,19187.0,36.0,0.187627039141085,Georgia,13
WORTH,1604.0,3.0,0.187032418952618,Georgia,13
BALDWIN,4345.0,8.0,0.184119677790564,Georgia,13
BROOKS,1639.0,3.0,0.183038438071995,Georgia,13
SEMINOLE,550.0,1.0,0.181818181818182,Georgia,13
PAULDING,20511.0,37.0,0.180391009702111,Georgia,13
Montmorency,2222.0,4.0,0.18001800180018002,Michigan,26
EARLY,1112.0,2.0,0.179856115107914,Georgia,13
Decatur County,1672.0,3.0,0.179425837320574,Iowa,19
TERRELL,1128.0,2.0,0.17730496453900702,Georgia,13
MCINTOSH,1701.0,3.0,0.17636684303351,Georgia,13
Sanilac,7505.0,13.0,0.173217854763491,Michigan,26
CATOOSA,5196.0,9.0,0.173210161662818,Georgia,13
Branch,6942.0,12.0,0.17286084701815,Michigan,26
Iron,2374.0,4.0,0.16849199663015998,Michigan,26
Buena Vista County,4798.0,8.0,0.166736140058358,Iowa,19
HOUSTON,20452.0,34.0,0.166242910228828,Georgia,13
Cedar County,6061.0,10.0,0.16498927569708,Iowa,19
Allamakee County,4879.0,8.0,0.16396802623488402,Iowa,19
CHATHAM,12206.0,20.0,0.163853842372604,North Carolina,37
Lee County,9916.0,16.0,0.161355385235982,Iowa,19
Adams County,1250.0,2.0,0.16,Iowa,19
MERIWETHER,2505.0,4.0,0.159680638722555,Georgia,13
FULTON,1255.0,2.0,0.159362549800797,Pennsylvania,42
BEN HILL,1262.0,2.0,0.158478605388273,Georgia,13
CAMDEN,5061.0,8.0,0.158071527366133,Georgia,13
ROCKINGHAM,4432.0,7.0,0.157942238267148,North Carolina,37
Washington County,7073.0,11.0,0.15552099533437,Iowa,19
ELK,3867.0,6.0,0.155159038013964,Pennsylvania,42
Presque Isle,3225.0,5.0,0.155038759689922,Michigan,26
Mason,6581.0,10.0,0.151952590791673,Michigan,26
MCDOWELL,2671.0,4.0,0.14975664545114198,North Carolina,37
Mackinac,2686.0,4.0,0.148920327624721,Michigan,26
Montcalm,10760.0,16.0,0.148698884758364,Michigan,26
GWINNETT,124584.0,184.0,0.14769151736980698,Georgia,13
Cheboygan,6785.0,10.0,0.14738393515106898,Michigan,26
SURRY,4885.0,7.0,0.143295803480041,North Carolina,37
HOKE,2798.0,4.0,0.14295925661186598,North Carolina,37
Palo Alto County,2806.0,4.0,0.142551674982181,Iowa,19
Mitchell County,3508.0,5.0,0.142531356898518,Iowa,19
MIFFLIN,4942.0,7.0,0.141643059490085,Pennsylvania,42
Mineral,708.0,1.0,0.14,Nevada,32
BUTTS,2147.0,3.0,0.139729855612483,Georgia,13
BULLOCH,6489.0,9.0,0.13869625520111,Georgia,13
Emmet,10864.0,15.0,0.138070692194404,Michigan,26
Ogemaw,4359.0,6.0,0.137646249139711,Michigan,26
CHATHAM,41654.0,57.0,0.136841599846353,Georgia,13
JACKSON,7362.0,10.0,0.13583265417006202,Georgia,13
Winnebago County,2946.0,4.0,0.135777325186694,Iowa,19
Menominee,5237.0,7.0,0.133664311628795,Michigan,26
WHITE,3004.0,4.0,0.133155792276964,Georgia,13
JENKINS,759.0,1.0,0.13175230566534898,Georgia,13
LONG,759.0,1.0,0.13175230566534898,Georgia,13
PERSON,2331.0,3.0,0.128700128700129,North Carolina,37
MARION,780.0,1.0,0.128205128205128,Georgia,13
BEAVER,29712.0,38.0,0.127894453419494,Pennsylvania,42
Black Hawk County,41074.0,51.0,0.124166139163461,Iowa,19
ANSON,807.0,1.0,0.12391573729863699,North Carolina,37
LACKAWANNA,42250.0,52.0,0.123076923076923,Pennsylvania,42
MERCER,15070.0,18.0,0.119442601194426,Pennsylvania,42
Bremer County,8497.0,10.0,0.11768859597504999,Iowa,19
WATAUGA,5189.0,6.0,0.115629215648487,North Carolina,37
WALTON,10460.0,12.0,0.11472275334608001,Georgia,13
BARROW,7902.0,9.0,0.113895216400911,Georgia,13
Saginaw,44841.0,51.0,0.113735197698535,Michigan,26
LANCASTER,91387.0,103.0,0.11270749668990099,Pennsylvania,42
Madison County,5334.0,6.0,0.11248593925759301,Iowa,19
Jackson County,6287.0,7.0,0.111340862096389,Iowa,19
Ingham,79039.0,88.0,0.11133744101013399,Michigan,26
UNION,3604.0,4.0,0.110987791342952,Georgia,13
Osceola,3674.0,4.0,0.10887316276537799,Michigan,26
OGLETHORPE,1856.0,2.0,0.107758620689655,Georgia,13
Clinton County,16074.0,17.0,0.105760856040811,Iowa,19
PIKE,13402.0,14.0,0.10446202059394101,Pennsylvania,42
Roscommon,7723.0,8.0,0.10358668911044899,Michigan,26
Benzie,5817.0,6.0,0.103145951521403,Michigan,26
Worth County,1939.0,2.0,0.103145951521403,Iowa,19
Mahaska County,6814.0,7.0,0.102729674200176,Iowa,19
Montgomery County,2938.0,3.0,0.10211027910142999,Iowa,19
Newaygo,3987.0,4.0,0.100326059694006,Michigan,26
FAYETTE,15997.0,16.0,0.100018753516284,Pennsylvania,42
Oceana,5034.0,5.0,0.0993245927691696,Michigan,26
Kossuth County,5055.0,5.0,0.0989119683481701,Iowa,19
ARMSTRONG,7104.0,7.0,0.098536036036036,Pennsylvania,42
HERTFORD,1017.0,1.0,0.0983284169124877,North Carolina,37
GORDON,4079.0,4.0,0.09806325079676391,Georgia,13
Gratiot,6208.0,6.0,0.0966494845360825,Michigan,26
Grand Traverse,29955.0,28.0,0.0934735436488065,Michigan,26
PAMLICO,1075.0,1.0,0.0930232558139535,North Carolina,37
Chickasaw County,4308.0,4.0,0.0928505106778087,Iowa,19
Pottawattamie County,26980.0,25.0,0.0926612305411416,Iowa,19
Tuscola,9763.0,9.0,0.09218477926866739,Michigan,26
MONROE,33134.0,30.0,0.0905414377980322,Pennsylvania,42
ROWAN,9943.0,9.0,0.0905159408629186,North Carolina,37
Antrim,6745.0,6.0,0.0889547813194959,Michigan,26
Shiawassee,14716.0,13.0,0.08833922261484099,Michigan,26
Alpena,6866.0,6.0,0.08738712496358869,Michigan,26
CARBON,9369.0,8.0,0.0853879816415839,Pennsylvania,42
Hamilton County,4687.0,4.0,0.0853424365265628,Iowa,19
JUNIATA,2378.0,2.0,0.0841042893187553,Pennsylvania,42
Midland,20478.0,17.0,0.083015919523391,Michigan,26
Delaware County,4841.0,4.0,0.0826275562900227,Iowa,19
Mecosta,8504.0,7.0,0.0823142050799624,Michigan,26
MCDUFFIE,2442.0,2.0,0.08190008190008191,Georgia,13
Lapeer,20931.0,17.0,0.0812192441832688,Michigan,26
ONSLOW,8754.0,7.0,0.07996344528215671,North Carolina,37
Wayne,431127.0,344.0,0.07979087368687181,Michigan,26
Linn County,82009.0,65.0,0.0792595934592545,Iowa,19
Isabella,11378.0,9.0,0.0791000175777817,Michigan,26
Poweshiek County,6374.0,5.0,0.0784436774395984,Iowa,19
HALL,21757.0,17.0,0.0781357723950912,Georgia,13
Sac County,2603.0,2.0,0.0768344218209758,Iowa,19
St Joseph,10498.0,8.0,0.0762049914269385,Michigan,26
Bay,26648.0,20.0,0.075052536775743,Michigan,26
Alcona,2687.0,2.0,0.07443245254931151,Michigan,26
Chippewa,6739.0,5.0,0.0741949844190533,Michigan,26
Leelanau,9502.0,7.0,0.0736687013260366,Michigan,26
Humboldt County,2844.0,2.0,0.070323488045007,Iowa,19
ERIE,49653.0,34.0,0.06847521801301029,Pennsylvania,42
WALKER,5852.0,4.0,0.0683526999316473,Georgia,13
Osceola County,1469.0,1.0,0.068073519400953,Iowa,19
St Clair,38322.0,26.0,0.0678461458170242,Michigan,26
Johnson County,60806.0,41.0,0.0674275564911357,Iowa,19
Charlevoix,7416.0,5.0,0.0674217907227616,Michigan,26
Dickinson,5990.0,4.0,0.0667779632721202,Michigan,26
Eaton,30414.0,20.0,0.0657591898467811,Michigan,26
Schoolcraft,1534.0,1.0,0.0651890482398957,Michigan,26
Kent,168511.0,109.0,0.06468420459198511,Michigan,26
Floyd County,4674.0,3.0,0.06418485237483951,Iowa,19
Dubuque County,34389.0,22.0,0.06397394515688161,Iowa,19
Oakland,407406.0,255.0,0.06259112531479649,Michigan,26
PHILADELPHIA,358894.0,223.0,0.062135338010666105,Pennsylvania,42
DELAWARE,114655.0,71.0,0.0619249051502333,Pennsylvania,42
Gogebic,3233.0,2.0,0.0618620476337767,Michigan,26
Marquette,18120.0,11.0,0.060706401766004406,Michigan,26
CHESTER,149959.0,90.0,0.0600164044838923,Pennsylvania,42
Ottawa,76647.0,46.0,0.060015395253565,Michigan,26
Delta,8343.0,5.0,0.05993048064245479,Michigan,26
Crawford,3366.0,2.0,0.05941770647653,Michigan,26
EMANUEL,1728.0,1.0,0.0578703703703704,Georgia,13
Manistee,6965.0,4.0,0.0574300071787509,Michigan,26
Calhoun,26135.0,15.0,0.057394298832982596,Michigan,26
Houghton,6983.0,4.0,0.0572819704997852,Michigan,26
Kalkaska,3514.0,2.0,0.0569151963574274,Michigan,26
Macomb,225594.0,128.0,0.056739097671037304,Michigan,26
Genesee,102424.0,57.0,0.0556510192923534,Michigan,26
Muskegon,41781.0,23.0,0.0550489456930184,Michigan,26
Kalamazoo,72197.0,39.0,0.0540188650497943,Michigan,26
Oscoda,1869.0,1.0,0.0535045478865704,Michigan,26
Lenawee,18783.0,10.0,0.0532396315817495,Michigan,26
Story County,30324.0,16.0,0.0527634876665348,Iowa,19
Plymouth County,7588.0,4.0,0.0527148128624143,Iowa,19
Dallas County,34323.0,18.0,0.0524429682720042,Iowa,19
Monroe,37113.0,19.0,0.0511949990569342,Michigan,26
BIBB,19810.0,10.0,0.050479555779909105,Georgia,13
Van Buren,15936.0,8.0,0.0502008032128514,Michigan,26
Wexford,5991.0,3.0,0.050075112669003496,Michigan,26
