id,date,time,shift,reporting_personnel,number_assisting,location
201800110,8/26/18,1445,EVES,"CORTES, A",3,"AFISROOM"
201800112,8/26/18,1445,EVES,"CORTES, A",3,CELL
201800113,8/26/18,1600,EVES,"CORTES, A",2,CELL
201800114,8/30/18,315,NITE,"ADAME, R",5,"SALLYPORT"
201800115,9/1/18,450,NITE,"BETANCOURT, L",2,"SALLYPORT"
201800116,9/1/18,1530,EVES,"HERRERA, M",2,"SALLYPORT"
201800117,9/1/18,2015,EVES,"HERRERA, M",4,
201800118,9/2/18,1000,NITE,"BETANCOURT, L",1,CELL
201800119,9/3/18,100,NITE,"BETANCOURT, L",4,"SALLYPORT"
201800120,9/3/18,1900,EVES,"HERRERA, M",1,CELL
201800122,9/4/18,50,NITE,"PINA, F",4,"SALLYPORT"
201800123,9/5/18,400,NITE,"BETANCOURT, L",2,"BOOKINGAREA"
201800124,9/7/18,130,NITE,"BETANCOURT, L",2,"AFISROOM"
201800125,9/7/18,2125,EVES,"HO, T",4,"SALLYPORT"
201800126,9/8/18,1945,EVES,"HO, T",3,CELL
201800127,9/9/18,440,NITE,"PINA, F",3,CELL
201800128,9/14/18,1520,EVES,"WALKER, K",2,CELL
201800129,9/14/18,1530,EVES,"WALKER, K",2,CELL
201800130,9/15/18,330,NITE,"ADAME, R",5,"SALLYPORT"
201800131,9/16/18,1715,EVES,"WALKER, K",4,CELL
201800132,9/16/18,1900,EVES,"WALKER, K",3,"SALLYPORT"
201800133,9/17/18,1455,EVES,"HERRERA, M",2,"AFISROOM"
201800134,9/17/18,1908,EVES,"HERRERA, M",2,"SALLYPORT"
201800135,9/18/18,1540,EVES,"HO, T",1,CELL
201800136,9/18/18,1620,EVES,"HO, T",2,CELL
201800138,9/24/18,30,NITE,"BETANCOURT, L",2,"BOOKINGAREA"
201800139,9/26/18,230,NITE,"PINA, F",2,CELL
201800140,9/26/18,1540,EVES,"THOMAS, R",2,"SALLYPORT"
201800141,9/27/18,1805,EVES,"THOMAS, R",2,CELL
201800142,10/1/18,1415,EVES,"HERRERA, M",4,CELL
201800144,10/4/18,256,NITE,"VALDEZ, G",3,CELL
201800145,10/5/18,510,NITE,"BETANCOURT, L",2,"BOOKINGAREA"
201800146,10/6/18,2025,EVES,"WALKER, K",3,"BOOKINGAREA"
201800147,10/9/18,140,NITE,"BETANCOURT, L",4,"SALLYPORT"
201800148,10/14/18,300,NITE,"VILLEGAS, L",3,"BOOKINGAREA"
201800149,10/14/18,105,NITE,"BETANCOURT, L",2,CELL
201800150,10/14/18,1850,EVES,"HERRERA, M",3,"BOOKINGAREA"
201800151,10/16/18,2350,NITE,"VILLEGAS, L",2,CELL
201800152,10/20/18,1725,EVES,"CORTES, A",2,"SALLYPORT"
201800153,10/21/18,346,NITE,"BETANCOURT, L",2,CELL
201800154,10/21/18,1520,EVES,"WALKER, K",2,"AFISROOM"
201800155,10/22/18,1630,EVES,"WALKER, K",4,CELL
201800156,10/23/18,1850,EVES,"HERRERA, M",3,"BOOKINGAREA"
201800158,10/25/18,205,NITE,"BETANCOURT, L",2,"BOOKINGAREA"
201800159,10/27/18,300,NITE,"ADAME, R",3,"SALLYPORT"
201800160,11/1/18,1509,EVES,"OROZCO, C",1,"SALLYPORT"
201800161,11/2/18,315,NITE,"PINA, F",4,CELL
201800162,11/3/18,220,NITE,"BETANCOURT, L",2,"BOOKINGAREA"
201800164,11/5/18,203,NITE,"BETANCOURT, L",2,CELL
201800165,11/7/18,1500,EVES,"CORTES, A",,"SALLYPORT"
201800166,11/9/18,2010,EVES,"WALKER, K",2,"AFISROOM"
201800167,11/13/18,1530,EVES,"HERRERA, M",3,CELL
201800168,11/16/18,1850,EVES,"HO, T",4,"SALLYPORT"
201800169,11/18/18,110,NITE,"BETANCOURT, L",4,"BOOKINGAREA"
201800170,11/18/18,1500,EVES,"HERRERA, M",4,"SALLYPORT"
201800173,11/20/18,1950,EVES,"WADE, K",4,"SALLYPORT"
201800174,11/23/18,520,NITE,"BETANCOURT, L",3,"BOOKINGAREA"
201800175,11/23/18,120,NITE,"BETANCOURT, L",,"BOOKINGAREA"
201800178,11/23/18,2230,NITE,"PINA, F",3,CELL
201800180,11/24/18,330,NITE,"PINA, F",3,"BOOKINGAREA"
201800181,11/24/18,100,NITE,"PINA, F",4,"BOOKINGAREA"
201800182,11/24/18,338,NITE,"PINA, F",3,CELL
201800184,11/26/18,2108,EVES,"HO, T",3,CELL
201800185,11/27/18,1515,EVES,"WADE, K",4,"SALLYPORT"
201800186,11/27/18,2140,NITE,"ADAME, R",3,CELL
201800187,11/28/18,415,NITE,"VILLEGAS, L",4,"BOOKINGAREA"
201800188,11/28/18,1400,EVES,"CORTES, A",2,CELL
201800189,11/28/18,2005,EVES,"CORTES, A",,CELL
201800192,11/29/18,1445,EVES,"THOMAS, R",2,CELL
