title,video_id,channel,viewCount,likeCount,commentCount,pub_date,pub_time,hours_since_pub,days_since_pub,views_per_day,likes_per_day,comments_per_day
Not Like Us,T6eK-2OQtew,Kendrick Lamar,24409336,1664927,219754,2024-05-04,19:50:43,80.0,3.0,8136445.0,554976.0,73251.0
THE HEART PART 6 - DRAKE,HJeY-FXidDQ,Drake,14047182,653035,180041,2024-05-05,21:19:17,54.0,2.0,7023591.0,326518.0,90020.0
meet the grahams,2QiFl9Dc7D0,Kendrick Lamar,19205512,1260128,148694,2024-05-03,23:58:26,100.0,4.0,4801378.0,315032.0,37174.0
DRAKE - FAMILY MATTERS,ZkXG3ZrXlbc,Drake,17398174,720349,125432,2024-05-03,23:06:01,100.0,4.0,4349544.0,180087.0,31358.0
euphoria,NPqDIwWMtxg,Kendrick Lamar,17452147,1110894,125952,2024-04-30,11:23:30,184.0,8.0,2181518.0,138862.0,15744.0
Drake - God's Plan,xpVfcZ0ZcFM,Drake,1561377869,15971205,606207,2018-02-17,00:00:01,54531.0,2272.0,687226.0,7030.0,267.0
Drake - Hotline Bling,uxpDa-c-4Mc,Drake,2002743516,11009121,442335,2015-10-26,18:00:03,74794.0,3116.0,642729.0,3533.0,142.0
Kendrick Lamar - HUMBLE.,tvTRZJ-4EyI,Kendrick Lamar,963416131,8141161,228506,2017-03-30,19:00:06,62289.0,2595.0,371259.0,3137.0,88.0
Drake - Laugh Now Cry Later (Official Music Video) ft. Lil Durk,JFm7YDVlqnI,Drake,490700270,4258159,143601,2020-08-14,00:00:08,32716.0,1363.0,360015.0,3124.0,105.0
Drake - First Person Shooter ft. J. Cole,Xty2gi5cMa8,Drake,58988684,1202780,52532,2023-11-15,15:26:07,4187.0,174.0,339015.0,6913.0,302.0
Drake - Toosie Slide (Official Music Video),xWggTb45brM,Drake,376893035,4327749,131074,2020-04-03,00:15:05,35907.0,1496.0,251934.0,2893.0,88.0
Drake ft. Sexyy Red & SZA - Rich Baby Daddy (Official Music Video),UcsSdIXHCWM,Drake,20793876,535326,25026,2024-02-14,18:00:27,2001.0,83.0,250529.0,6450.0,302.0
"Kendrick Lamar, SZA - All The Stars",JQbjS0_ZfJ0,Kendrick Lamar,448114136,3897500,118351,2018-02-06,12:00:02,54783.0,2283.0,196283.0,1707.0,52.0
Drake - Nice For What,U9BwWKXjVaI,Drake,419324588,2765240,86467,2018-04-06,22:46:31,53357.0,2223.0,188630.0,1244.0,39.0
Drake - IDGAF (Audio) ft. Yeat,fCRCLsJQWUQ,Drake,38299822,418726,16942,2023-10-06,14:00:15,5150.0,215.0,178139.0,1948.0,79.0
"Drake - Rich Baby Daddy (Audio) ft. Sexyy Red, SZA",F7o0upORtCw,Drake,33957937,267193,10054,2023-10-06,14:00:11,5150.0,215.0,157944.0,1243.0,47.0
"Drake, 21 Savage - Rich Flex (Audio)",I4DjHHVHWAE,Drake,84344707,643773,13161,2022-11-04,20:44:27,13207.0,550.0,153354.0,1170.0,24.0
Drake - Jimmy Cooks ft. 21 Savage,V7UgPHjN9qE,Drake,96169295,809068,13084,2022-06-17,12:00:50,16576.0,691.0,139174.0,1171.0,19.0
Drake - In My Feelings,DRS_PpOrUZ4,Drake,292833856,4290845,233598,2018-08-02,21:00:00,50527.0,2105.0,139113.0,2038.0,111.0
Drake - Started From The Bottom,RubBzkZzpUA,Drake,516263392,2746572,160737,2013-02-13,11:40:14,98439.0,4102.0,125857.0,670.0,39.0
"Drake, 21 Savage - Spin Bout U",T8nbNQpRwNo,Drake,54639590,485205,14490,2023-02-24,13:00:21,10526.0,439.0,124464.0,1105.0,33.0
"Drake - Knife Talk (Official Video) ft. 21 Savage, Project Pat",XqpQpt_cmhE,Drake,105154969,969550,27369,2021-11-04,21:00:15,21967.0,915.0,114923.0,1060.0,30.0
Drake - Energy,7LnBvuzjpr4,Drake,358019962,2361428,48550,2015-08-18,18:26:30,76449.0,3185.0,112408.0,741.0,15.0
Drake - Fair Trade (Audio) ft. Travis Scott,THVbtGqEO1o,Drake,108687670,889619,16810,2021-09-03,12:11:52,23463.0,978.0,111133.0,910.0,17.0
Kendrick Lamar - N95,zI383uEwA6Q,Kendrick Lamar,78668281,1584650,53575,2022-05-14,15:00:16,17389.0,725.0,108508.0,2186.0,74.0
Drake ft. Future and Young Thug - Way 2 Sexy (Official Video),vX9msKu75qs,Drake,102583155,1274450,49921,2021-09-03,12:00:38,23464.0,978.0,104891.0,1303.0,51.0
