brand,location_name,phone,street,city,state,zip,latitude,longitude,url
Chili's,Trussville,(205) 661-6102,1676 Gadsden Highway,Birmingham,AL,35235,33.602777,-86.638296,https://www.chilis.com/locations/us/alabama/birmingham/trussville/
Chili's,Fultondale,(205) 849-4474,203 Howell St.,Fultondale,AL,35068,33.607654,-86.807505,https://www.chilis.com/locations/us/alabama/fultondale/fultondale/
Chili's,Lakeshore,(205) 942-3129,209 State Farm Pkwy.,Homewood,AL,35209,33.44769,-86.825067,https://www.chilis.com/locations/us/alabama/homewood/lakeshore/
Chili's,Decatur,(256) 355-8850,1003 Beltline Road SW,Decatur,AL,35601,34.559764,-87.005591,https://www.chilis.com/locations/us/alabama/decatur/decatur/
Chili's,Madison,(256) 382-0950,8628 Highway 72 W,Madison,AL,35758,34.748304,-86.774186,https://www.chilis.com/locations/us/alabama/madison/madison/
Chili's,Dothan,(334) 677-6767,3083 Montgomery Highway,Dothan,AL,36303,31.2509313,-85.4276417,https://www.chilis.com/locations/us/alabama/dothan/dothan/
Chili's,Florence,(256) 760-8081,370-A Cox Creek Parkway,Florence,AL,35630,34.840628,-87.636409,https://www.chilis.com/locations/us/alabama/florence/florence/
Chili's,Gadsden,(256) 547-8185,340 Albert Rains Blvd.,Gadsden,AL,35901,34.001764,-86.002551,https://www.chilis.com/locations/us/alabama/gadsden/gadsden/
Chili's,Jones Valley,(256) 882-1230,2740 Carl T. Jones Dr. SE,Huntsville,AL,35802,34.676724,-86.544959,https://www.chilis.com/locations/us/alabama/huntsville/jones-valley/
Chili's,Mobile,(251) 776-7006,790 Schillinger Road South,Mobile,AL,36695,30.673409,-88.22595,https://www.chilis.com/locations/us/alabama/mobile/mobile/
Chili's,Eastchase,(334) 270-1973,7355 Eastchase Parkway,Montgomery,AL,36117,32.361594,-86.163275,https://www.chilis.com/locations/us/alabama/montgomery/eastchase/
Chili's,Dimond Mall,(907) 646-7700,800 E Dimond Blvd. &#39;162&#39;,Anchorage,AK,99515,61.14361,-149.870919,https://www.chilis.com/locations/us/alaska/anchorage/dimond-mall/
Chili's,Bullhead City,(928) 754-4200,600 Hwy 95 #700,Bullhead City,AZ,86429,35.168574,-114.565366,https://www.chilis.com/locations/us/arizona/bullhead-city/bullhead-city/
Chili's,Casa Grande,(520) 876-5976,1532 E Florence Blvd,Casa Grande,AZ,85122,32.8800325,-111.7213967,https://www.chilis.com/locations/us/arizona/casa-grande/casa-grande/
Chili's,Chandler Fash Center,(480) 786-1289,3015 West Chandler Blvd,Chandler,AZ,85226,33.3053331,-111.8954449,https://www.chilis.com/locations/us/arizona/chandler/chandler-fash-center/
Chili's,Gilbert,(480) 812-4636,3917 S. Gilbert Road,Gilbert,AZ,85296,33.2788285,-111.7891496,https://www.chilis.com/locations/us/arizona/gilbert/gilbert/
Chili's,Mesa,(480) 633-2900,1637 S. Stapley Drive,Mesa,AZ,85204,33.3839322,-111.8050932,https://www.chilis.com/locations/us/arizona/mesa/mesa/
