geoid,name,median,median_annotation,median_moe,median_moe_annotation,male,male_annotation,male_moe,male_moe_annotation,female,female_annotation,female_moe,female_moe_annotation,state
72,Puerto Rico,40.1,,0.1,,38.1,,0.1,,41.8,,0.2,,72
01,Alabama,38.7,,0.1,,37.2,,0.1,,40.1,,0.1,,01
02,Alaska,33.9,,0.1,,33.4,,0.2,,34.4,,0.2,,02
04,Arizona,37.2,,0.1,,35.9,,0.1,,38.5,,0.2,,04
05,Arkansas,37.9,,0.2,,36.5,,0.1,,39.3,,0.1,,05
06,California,36.1,,0.1,,35.0,,0.1,,37.3,,0.1,,06
08,Colorado,36.5,,0.1,,35.6,,0.1,,37.5,,0.1,,08
09,Connecticut,40.8,,0.1,,39.0,,0.1,,42.4,,0.1,,09
11,District of Columbia,33.9,,0.1,,33.8,,0.2,,34.1,,0.1,,11
10,Delaware,39.8,,0.2,,38.2,,0.2,,41.4,,0.2,,10
12,Florida,41.8,,0.1,,40.2,,0.1,,43.3,,0.1,,12
13,Georgia,36.4,,0.1,,35.0,,0.2,,37.6,,0.1,,13
15,Hawaii,38.8,,0.1,,37.2,,0.1,,40.4,,0.1,,15
16,Idaho,35.9,,0.2,,35.1,,0.1,,36.8,,0.1,,16
17,Illinois,37.7,,0.1,,36.4,,0.1,,38.9,,0.2,,17
18,Indiana,37.5,,0.1,,36.3,,0.1,,38.8,,0.1,,18
19,Iowa,38.1,,0.1,,36.8,,0.1,,39.4,,0.1,,19
20,Kansas,36.3,,0.2,,35.1,,0.1,,37.7,,0.1,,20
21,Kentucky,38.6,,0.2,,37.2,,0.2,,40.1,,0.1,,21
23,Maine,44.3,,0.1,,43.0,,0.1,,45.5,,0.1,,23
22,Louisiana,36.4,,0.1,,35.1,,0.1,,37.7,,0.1,,22
25,Massachusetts,39.4,,0.2,,37.9,,0.1,,40.9,,0.1,,25
24,Maryland,38.5,,0.2,,36.9,,0.1,,39.9,,0.1,,24
26,Michigan,39.6,,0.2,,38.2,,0.1,,41.0,,0.1,,26
27,Minnesota,37.9,,0.2,,36.9,,0.1,,38.9,,0.2,,27
28,Mississippi,36.9,,0.2,,35.4,,0.1,,38.4,,0.1,,28
29,Missouri,38.4,,0.1,,37.0,,0.2,,39.8,,0.2,,29
30,Montana,39.8,,0.2,,38.8,,0.2,,40.8,,0.2,,30
31,Nebraska,36.3,,0.1,,35.2,,0.2,,37.5,,0.1,,31
33,New Hampshire,42.7,,0.1,,41.5,,0.2,,43.8,,0.1,,33
32,Nevada,37.7,,0.2,,37.0,,0.1,,38.3,,0.1,,32
34,New Jersey,39.6,,0.1,,38.0,,0.1,,41.2,,0.2,,34
35,New Mexico,37.3,,0.2,,35.9,,0.1,,38.9,,0.2,,35
36,New York,38.4,,0.1,,36.8,,0.1,,40.0,,0.1,,36
37,North Carolina,38.4,,0.1,,36.9,,0.1,,39.9,,0.1,,37
38,North Dakota,35.1,,0.2,,34.1,,0.2,,36.5,,0.2,,38
39,Ohio,39.3,,0.1,,37.8,,0.1,,40.8,,0.1,,39
40,Oklahoma,36.3,,0.1,,35.1,,0.1,,37.7,,0.1,,40
41,Oregon,39.2,,0.2,,38.1,,0.1,,40.2,,0.1,,41
42,Pennsylvania,40.7,,0.1,,39.0,,0.1,,42.3,,0.1,,42
44,Rhode Island,39.9,,0.2,,38.1,,0.2,,41.6,,0.2,,44
45,South Carolina,39.0,,0.1,,37.4,,0.1,,40.5,,0.1,,45
46,South Dakota,36.8,,0.1,,35.7,,0.2,,38.0,,0.2,,46
47,Tennessee,38.6,,0.1,,37.3,,0.1,,39.9,,0.1,,47
48,Texas,34.3,,0.1,,33.3,,0.2,,35.3,,0.2,,48
49,Utah,30.5,,0.1,,30.0,,0.1,,31.1,,0.1,,49
50,Vermont,42.8,,0.1,,41.4,,0.2,,44.0,,0.2,,50
51,Virginia,38.0,,0.1,,36.7,,0.1,,39.3,,0.1,,51
54,West Virginia,42.2,,0.2,,40.8,,0.2,,43.4,,0.1,,54
53,Washington,37.6,,0.1,,36.6,,0.1,,38.7,,0.1,,53
56,Wyoming,37.0,,0.2,,36.0,,0.3,,38.1,,0.3,,56
55,Wisconsin,39.2,,0.1,,38.1,,0.1,,40.4,,0.2,,55
