month_year,day_count
2022-07,41114
2022-06,112116
2022-05,56670
2022-04,18905
2022-03,799
2022-02,5509
2022-01,1193
2021-12,1956
2021-11,229
2021-10,195
2021-09,210
2021-08,255
2021-07,392
2021-06,645
2021-05,418
2021-04,211
2021-03,334
2021-02,342
2021-01,304
2020-12,366
2020-11,312
2020-10,107
2020-09,147
2020-08,169
2020-07,105
2020-06,100
2020-05,168
2020-04,264
2020-03,332
2020-02,188
2020-01,310
2019-12,117
2019-11,344
2019-10,157
2019-09,128
2019-08,264
2019-07,418
2019-06,172
2019-05,135
2019-04,150
2019-03,164
2019-02,184
2019-01,234
2018-12,120
2018-11,147
2018-10,124
2018-09,126
2018-08,204
2018-07,414
2018-06,228
2018-05,237
2018-04,146
2018-03,227
2018-02,230
2018-01,210
2017-12,393
2017-11,343
2017-10,1691
2017-09,2612
2017-08,4004
2017-07,4968
2017-06,7570
2017-05,12086
2017-04,10334
2017-03,12800
2017-02,10690
2017-01,9425
2016-12,11872
2016-11,11375
2016-10,12560
2016-09,11041
2016-08,13477
2016-07,12002
2016-06,13540
2016-05,13556
2016-04,13305
2016-03,14630
2016-02,13395
2016-01,9868
2015-12,15360
2015-11,9607
2015-10,8251
2015-09,9219
2015-08,8252
2015-07,5460
2015-06,3421
2015-05,3513
2015-04,3489
2015-03,4236
2015-02,9657
2015-01,5345
