AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
1,Alabama,2,AL,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"48,850",2.9,25.667,1.20,,28.96,"60,230",0.8,20.75,23.73,28.19,33.15,38.67,"43,150","49,360","58,630","68,960","80,420"
2,Alaska,2,AK,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"6,240",13.0,21.052,0.98,,45.81,"95,270",1.4,31.50,36.94,45.23,53.31,60.70,"65,530","76,830","94,070","110,890","126,260"
4,Arizona,2,AZ,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"55,520",3.7,19.584,0.91,,38.64,"80,380",0.9,27.66,32.58,37.98,44.67,50.14,"57,530","67,760","79,010","92,920","104,290"
5,Arkansas,2,AR,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"25,300",4.2,21.479,1.00,,30.60,"63,640",1.4,21.47,25.71,29.97,35.40,39.65,"44,660","53,490","62,330","73,630","82,480"
6,California,2,CA,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"307,060",2.0,18.688,0.87,,57.96,"120,560",1.0,36.62,45.18,56.93,71.07,83.35,"76,180","93,970","118,410","147,830","173,370"
8,Colorado,2,CO,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"52,330",2.8,20.300,0.95,,37.43,"77,860",0.7,26.84,31.05,36.78,43.47,50.03,"55,820","64,580","76,500","90,410","104,070"
9,Connecticut,2,CT,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"33,400",6.5,21.674,1.01,,40.79,"84,850",1.0,29.12,34.12,39.80,47.62,54.48,"60,560","70,960","82,770","99,040","113,320"
10,Delaware,2,DE,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"11,410",11.4,26.769,1.25,,35.74,"74,330",2.5,26.09,29.30,34.67,40.42,48.15,"54,260","60,940","72,110","84,070","100,150"
11,District of Columbia,2,DC,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"10,320",1.2,15.015,0.70,,43.29,"90,050",1.5,29.53,35.05,43.00,50.57,59.39,"61,410","72,900","89,440","105,180","123,540"
12,Florida,2,FL,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"183,130",2.2,21.693,1.01,,33.42,"69,510",0.7,24.14,27.68,32.46,38.28,44.95,"50,220","57,570","67,510","79,630","93,500"
13,Georgia,2,GA,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"73,230",3.2,16.996,0.79,,34.38,"71,510",1.0,24.65,28.11,33.48,39.67,47.50,"51,270","58,480","69,630","82,500","98,810"
15,Hawaii,2,HI,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"11,260",3.7,19.616,0.91,,50.40,"104,830",1.9,33.70,43.31,53.08,60.04,64.74,"70,090","90,080","110,410","124,880","134,660"
16,Idaho,2,ID,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"12,800",3.6,17.803,0.83,,34.44,"71,640",0.9,25.82,29.12,34.27,39.16,45.90,"53,700","60,560","71,280","81,450","95,480"
17,Illinois,2,IL,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"127,450",2.6,22.647,1.05,,35.85,"74,560",0.9,25.23,28.93,34.91,41.48,49.62,"52,470","60,170","72,610","86,280","103,210"
18,Indiana,2,IN,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"66,460",2.4,22.772,1.06,,32.45,"67,490",0.7,24.57,27.31,31.25,37.25,42.46,"51,110","56,800","65,000","77,470","88,310"
19,Iowa,2,IA,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"32,610",2.6,22.185,1.03,,30.08,"62,570",1.0,22.56,26.22,29.39,33.63,38.75,"46,930","54,530","61,130","69,960","80,610"
20,Kansas,2,KS,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"29,430",3.1,22.095,1.03,,30.87,"64,200",1.0,22.31,26.12,30.07,35.68,40.12,"46,400","54,330","62,550","74,220","83,450"
21,Kentucky,2,KY,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"42,940",3.6,24.089,1.12,,31.12,"64,730",0.9,22.09,26.18,30.32,36.00,40.42,"45,960","54,460","63,060","74,890","84,070"
22,Louisiana,2,LA,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"41,690",1.7,23.146,1.08,,32.70,"68,010",0.7,24.28,27.48,31.85,37.51,42.03,"50,510","57,150","66,240","78,020","87,420"
23,Maine,2,ME,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"14,160",3.6,24.609,1.15,,34.16,"71,040",1.3,26.18,28.85,33.42,38.93,45.15,"54,450","60,020","69,510","80,970","93,920"
24,Maryland,2,MD,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"51,480",7.5,20.403,0.95,,39.23,"81,590",1.0,27.75,32.83,38.37,45.56,50.98,"57,720","68,290","79,810","94,760","106,040"
25,Massachusetts,2,MA,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"84,030",1.5,25.084,1.17,,46.27,"96,250",1.6,29.64,35.24,43.41,56.40,70.42,"61,660","73,310","90,290","117,310","146,480"
26,Michigan,2,MI,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"97,820",3.4,24.930,1.16,,35.57,"73,980",1.0,26.58,29.96,35.11,40.39,47.15,"55,280","62,320","73,040","84,010","98,080"
27,Minnesota,2,MN,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"70,820",6.1,26.146,1.22,,38.92,"80,960",1.4,27.76,32.54,38.24,45.82,51.44,"57,730","67,680","79,540","95,310","107,000"
28,Mississippi,2,MS,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"28,800",3.2,26.742,1.25,,29.45,"61,250",1.4,20.55,24.20,28.77,34.23,39.55,"42,740","50,340","59,850","71,190","82,260"
29,Missouri,2,MO,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"71,560",3.2,26.586,1.24,,31.68,"65,900",1.1,21.18,25.43,30.88,37.64,44.17,"44,060","52,890","64,220","78,290","91,880"
30,Montana,2,MT,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"9,980",8.3,21.909,1.02,,33.91,"70,530",1.2,25.93,28.56,33.05,38.71,44.97,"53,930","59,410","68,740","80,510","93,550"
31,Nebraska,2,NE,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"24,060",5.7,25.527,1.19,,33.41,"69,480",0.7,25.81,28.36,32.70,38.14,43.38,"53,690","58,980","68,010","79,330","90,220"
32,Nevada,2,NV,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"23,420",3.8,18.726,0.87,,43.15,"89,750",1.9,31.79,35.90,42.29,50.27,58.22,"66,130","74,670","87,960","104,560","121,100"
33,New Hampshire,2,NH,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"13,840",6.6,22.338,1.04,,36.52,"75,970",1.1,26.52,30.15,35.98,42.39,48.75,"55,160","62,710","74,840","88,170","101,400"
34,New Jersey,2,NJ,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"78,590",2.8,20.775,0.97,,41.21,"85,720",0.7,31.28,35.32,40.86,47.63,53.13,"65,070","73,450","84,990","99,080","110,510"
35,New Mexico,2,NM,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"17,100",2.2,21.758,1.01,,36.40,"75,700",1.4,26.83,31.32,36.23,40.90,47.22,"55,810","65,140","75,350","85,070","98,230"
36,New York,2,NY,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"178,550",1.5,20.543,0.96,,43.16,"89,760",1.1,27.88,33.97,43.19,51.12,60.89,"57,990","70,650","89,840","106,330","126,660"
37,North Carolina,2,NC,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"99,110",1.0,23.112,1.08,,33.15,"68,950",0.4,24.43,27.61,32.13,38.35,44.83,"50,820","57,430","66,820","79,770","93,250"
38,North Dakota,2,ND,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"9,970",14.2,24.935,1.16,,33.47,"69,630",2.3,25.58,28.29,33.08,38.08,42.68,"53,200","58,850","68,800","79,200","88,780"
39,Ohio,2,OH,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"129,090",3.2,25.127,1.17,,33.53,"69,750",0.7,25.66,28.17,32.49,38.09,43.93,"53,370","58,600","67,580","79,230","91,370"
40,Oklahoma,2,OK,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"32,950",7.6,21.085,0.98,,32.02,"66,600",1.0,22.96,27.01,31.58,37.05,40.94,"47,760","56,190","65,680","77,060","85,160"
41,Oregon,2,OR,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"36,840",5.2,20.385,0.95,,46.27,"96,230",1.0,34.07,40.11,46.54,52.99,60.80,"70,860","83,420","96,790","110,220","126,470"
42,Pennsylvania,2,PA,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"146,640",2.4,26.603,1.24,,35.66,"74,170",0.7,25.92,29.57,35.08,40.50,48.01,"53,910","61,510","72,970","84,240","99,870"
44,Rhode Island,2,RI,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"12,150",4.8,27.422,1.28,,39.81,"82,790",2.0,28.59,33.59,39.93,46.30,50.55,"59,460","69,860","83,060","96,300","105,150"
45,South Carolina,2,SC,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"45,930",3.4,22.793,1.06,,32.28,"67,140",1.0,22.71,27.08,31.75,37.32,41.42,"47,240","56,320","66,050","77,630","86,150"
46,South Dakota,2,SD,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"13,130",1.7,31.931,1.49,,29.31,"60,960",1.1,21.42,24.83,28.84,33.66,38.41,"44,550","51,650","60,000","70,020","79,900"
47,Tennessee,2,TN,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"61,040",2.5,21.022,0.98,,30.83,"64,120",1.2,21.46,25.59,29.91,35.73,41.43,"44,640","53,230","62,220","74,330","86,170"
48,Texas,2,TX,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"219,330",1.7,18.123,0.84,,36.92,"76,800",0.7,26.35,30.43,36.21,42.83,49.54,"54,800","63,300","75,320","89,080","103,040"
49,Utah,2,UT,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"23,690",2.0,15.912,0.74,,33.83,"70,370",0.9,26.23,28.47,32.30,38.21,44.31,"54,560","59,220","67,180","79,470","92,160"
50,Vermont,2,VT,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"6,810",3.2,24.245,1.13,,34.68,"72,140",1.7,25.57,28.33,33.50,40.10,47.30,"53,190","58,920","69,670","83,410","98,380"
51,Virginia,2,VA,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"66,450",2.7,17.952,0.84,,35.76,"74,380",0.9,25.45,28.95,34.82,41.71,49.18,"52,940","60,210","72,420","86,750","102,300"
53,Washington,2,WA,0,Cross-industry,cross-industry,1235,29-1141,Registered Nurses,detailed,"59,300",5.0,18.558,0.86,,43.90,"91,310",0.9,31.44,35.93,43.10,51.80,60.56,"65,400","74,730","89,650","107,740","125,970"
