fips,place_clean,state_name,place_type,2012,2016,2020
0100100000,Autauga,Alabama,County,17.0,17.0,18.0
0100300000,Baldwin,Alabama,County,46.0,87.0,50.0
0100500000,Barbour,Alabama,County,17.0,21.0,16.0
0100700000,Bibb,Alabama,County,8.0,16.0,8.0
0100900000,Blount,Alabama,County,24.0,28.0,24.0
0101100000,Bullock,Alabama,County,26.0,17.0,15.0
0101300000,Butler,Alabama,County,22.0,22.0,22.0
0101500000,Calhoun,Alabama,County,49.0,46.0,44.0
0101700000,Chambers,Alabama,County,58.0,39.0,16.0
0101900000,Cherokee,Alabama,County,23.0,23.0,23.0
0102100000,Chilton,Alabama,County,19.0,19.0,18.0
0102300000,Choctaw,Alabama,County,48.0,47.0,32.0
0102500000,Clarke,Alabama,County,30.0,51.0,29.0
0102700000,Clay,Alabama,County,23.0,25.0,15.0
0102900000,Cleburne,Alabama,County,15.0,14.0,14.0
0103100000,Coffee,Alabama,County,32.0,30.0,29.0
0103300000,Colbert,Alabama,County,36.0,17.0,34.0
0103500000,Conecuh,Alabama,County,32.0,29.0,27.0
0103700000,Coosa,Alabama,County,12.0,21.0,12.0
0103900000,Covington,Alabama,County,25.0,25.0,25.0
0104100000,Crenshaw,Alabama,County,18.0,18.0,18.0
0104300000,Cullman,Alabama,County,49.0,49.0,49.0
0104500000,Dale,Alabama,County,20.0,20.0,19.0
0104700000,Dallas,Alabama,County,29.0,30.0,29.0
0104900000,Dekalb,Alabama,County,49.0,48.0,44.0
0105100000,Elmore,Alabama,County,42.0,28.0,29.0
0105300000,Escambia,Alabama,County,29.0,30.0,29.0
0105500000,Etowah,Alabama,County,42.0,34.0,31.0
0105700000,Fayette,Alabama,County,27.0,28.0,26.0
0105900000,Franklin,Alabama,County,38.0,20.0,24.0
0106100000,Geneva,Alabama,County,25.0,30.0,21.0
0106300000,Greene,Alabama,County,14.0,14.0,14.0
0106500000,Hale,Alabama,County,14.0,40.0,14.0
0106700000,Henry,Alabama,County,15.0,29.0,14.0
0106900000,Houston,Alabama,County,29.0,100.0,27.0
0107100000,Jackson,Alabama,County,38.0,36.0,30.0
0107300000,Jefferson,Alabama,County,180.0,352.0,172.0
0107500000,Lamar,Alabama,County,25.0,25.0,25.0
0107700000,Lauderdale,Alabama,County,31.0,34.0,31.0
0107900000,Lawrence,Alabama,County,37.0,36.0,29.0
0108100000,Lee,Alabama,County,23.0,46.0,22.0
0108300000,Limestone,Alabama,County,24.0,25.0,25.0
0108500000,Lowndes,Alabama,County,12.0,15.0,12.0
0108700000,Macon,Alabama,County,15.0,15.0,14.0
0108900000,Madison,Alabama,County,75.0,73.0,72.0
0109100000,Marengo,Alabama,County,25.0,22.0,19.0
0109300000,Marion,Alabama,County,23.0,23.0,20.0
0109500000,Marshall,Alabama,County,38.0,47.0,28.0
0109700000,Mobile,Alabama,County,98.0,90.0,85.0
0109900000,Monroe,Alabama,County,31.0,76.0,29.0
0110100000,Montgomery,Alabama,County,55.0,50.0,49.0
0110300000,Morgan,Alabama,County,47.0,41.0,39.0
0110500000,Perry,Alabama,County,15.0,15.0,12.0
0110700000,Pickens,Alabama,County,28.0,24.0,19.0
0110900000,Pike,Alabama,County,28.0,33.0,33.0
0111100000,Randolph,Alabama,County,57.0,16.0,26.0
0111300000,Russell,Alabama,County,17.0,17.0,17.0
0111500000,St. Clair,Alabama,County,31.0,30.0,30.0
0111700000,Shelby,Alabama,County,48.0,48.0,44.0
0111900000,Sumter,Alabama,County,23.0,24.0,13.0
0112100000,Talladega,Alabama,County,26.0,26.0,26.0
0112300000,Tallapoosa,Alabama,County,25.0,29.0,26.0
0112500000,Tuscaloosa,Alabama,County,54.0,55.0,54.0
0112700000,Walker,Alabama,County,45.0,46.0,45.0
0112900000,Washington,Alabama,County,19.0,31.0,19.0
0113100000,Wilcox,Alabama,County,36.0,36.0,34.0
0113300000,Winston,Alabama,County,21.0,18.0,18.0
0200000000,Alaska,Alaska,Other,533.0,624.0,420.0
0400100000,Apache,Arizona,County,52.0,47.0,44.0
0400300000,Cochise,Arizona,County,50.0,21.0,17.0
0400500000,Coconino,Arizona,County,71.0,68.0,46.0
0400700000,Gila,Arizona,County,44.0,18.0,17.0
0400900000,Graham,Arizona,County,19.0,10.0,9.0
0401100000,Greenlee,Arizona,County,9.0,6.0,5.0
0401200000,La Paz,Arizona,County,10.0,10.0,8.0
0401300000,Maricopa,Arizona,County,697.0,676.0,175.0
0401500000,Mohave,Arizona,County,73.0,39.0,36.0
0401700000,Navajo,Arizona,County,59.0,48.0,39.0
0401900000,Pima,Arizona,County,290.0,247.0,232.0
0402100000,Pinal,Arizona,County,101.0,100.0,90.0
0402300000,Santa Cruz,Arizona,County,18.0,16.0,13.0
0402500000,Yavapai,Arizona,County,32.0,31.0,25.0
0402700000,Yuma,Arizona,County,12.0,13.0,11.0
1300100000,Appling,Georgia,County,,15.0,9.0
1300300000,Atkinson,Georgia,County,,4.0,4.0
1300500000,Bacon,Georgia,County,,5.0,1.0
1300700000,Baker,Georgia,County,,6.0,5.0
1300900000,Baldwin,Georgia,County,,15.0,14.0
1301100000,Banks,Georgia,County,,14.0,6.0
1301300000,Barrow,Georgia,County,,17.0,8.0
1301500000,Bartow,Georgia,County,,19.0,16.0
1301700000,Ben Hill,Georgia,County,,3.0,1.0
1301900000,Berrien,Georgia,County,,6.0,5.0
1302100000,Bibb,Georgia,County,,33.0,31.0
1302300000,Bleckley,Georgia,County,,2.0,1.0
1302500000,Brantley,Georgia,County,,4.0,3.0
1302700000,Brooks,Georgia,County,,8.0,7.0
1302900000,Bryan,Georgia,County,,12.0,10.0
1303100000,Bulloch,Georgia,County,,10.0,16.0
1303300000,Burke,Georgia,County,,17.0,16.0
1303500000,Butts,Georgia,County,,6.0,1.0
1303700000,Calhoun,Georgia,County,,6.0,5.0
1303900000,Camden,Georgia,County,,17.0,12.0
1304300000,Candler,Georgia,County,,2.0,1.0
1304500000,Carroll,Georgia,County,,31.0,28.0
1304700000,Catoosa,Georgia,County,,13.0,11.0
1304900000,Charlton,Georgia,County,,10.0,8.0
1305100000,Chatham,Georgia,County,,94.0,92.0
1305300000,Chattahoochee,Georgia,County,,2.0,1.0
1305500000,Chattooga,Georgia,County,,14.0,13.0
1305700000,Cherokee,Georgia,County,,47.0,40.0
1305900000,Clarke,Georgia,County,,25.0,24.0
1306100000,Clay,Georgia,County,,2.0,1.0
1306300000,Clayton,Georgia,County,,63.0,65.0
1306500000,Clinch,Georgia,County,,6.0,5.0
1306700000,Cobb,Georgia,County,,155.0,144.0
1306900000,Coffee,Georgia,County,,7.0,6.0
1307100000,Colquitt,Georgia,County,,20.0,19.0
1307300000,Columbia,Georgia,County,,49.0,47.0
1307500000,Cook,Georgia,County,,7.0,8.0
1307700000,Coweta,Georgia,County,,30.0,26.0
1307900000,Crawford,Georgia,County,,7.0,6.0
1308100000,Crisp,Georgia,County,,7.0,5.0
1308300000,Dade,Georgia,County,,7.0,7.0
1308500000,Dawson,Georgia,County,,4.0,3.0
1308700000,Decatur,Georgia,County,,11.0,9.0
1308900000,Dekalb,Georgia,County,,183.0,164.0
1309100000,Dodge,Georgia,County,,17.0,16.0
