fips,place,state,total_reg_voters,mail_ballots_sent,poll_place_elect_day,poll_place_early,total_votes_cast,year
0100100000,AUTAUGA COUNTY,AL,43695.0,1329.0,18.0,1.0,27813.0,2020
0100300000,BALDWIN COUNTY,AL,176668.0,11147.0,50.0,1.0,110214.0,2020
0100500000,BARBOUR COUNTY,AL,17850.0,726.0,16.0,1.0,10560.0,2020
0100700000,BIBB COUNTY,AL,15014.0,332.0,8.0,1.0,9630.0,2020
0100900000,BLOUNT COUNTY,AL,41927.0,1032.0,24.0,1.0,27665.0,2020
0101100000,BULLOCK COUNTY,AL,7457.0,538.0,15.0,1.0,4633.0,2020
0101300000,BUTLER COUNTY,AL,14646.0,751.0,22.0,1.0,9527.0,2020
0101500000,CALHOUN COUNTY,AL,81674.0,2240.0,44.0,1.0,51141.0,2020
0101700000,CHAMBERS COUNTY,AL,26077.0,1265.0,16.0,1.0,15374.0,2020
0101900000,CHEROKEE COUNTY,AL,19469.0,522.0,23.0,1.0,12341.0,2020
0102100000,CHILTON COUNTY,AL,29873.0,1023.0,18.0,1.0,19366.0,2020
0102300000,CHOCTAW COUNTY,AL,11033.0,400.0,32.0,1.0,7515.0,2020
0102500000,CLARKE COUNTY,AL,19676.0,944.0,29.0,1.0,13185.0,2020
0102700000,CLAY COUNTY,AL,10468.0,299.0,15.0,1.0,6996.0,2020
0102900000,CLEBURNE COUNTY,AL,11516.0,290.0,14.0,1.0,7255.0,2020
0103100000,COFFEE COUNTY,AL,37163.0,1047.0,29.0,1.0,22387.0,2020
0103300000,COLBERT COUNTY,AL,43748.0,1283.0,34.0,1.0,27984.0,2020
0103500000,CONECUH COUNTY,AL,10413.0,369.0,27.0,1.0,6472.0,2020
0103700000,COOSA COUNTY,AL,8403.0,220.0,12.0,1.0,5494.0,2020
0103900000,COVINGTON COUNTY,AL,28338.0,669.0,25.0,1.0,17525.0,2020
0104100000,CRENSHAW COUNTY,AL,10619.0,288.0,18.0,1.0,6645.0,2020
0104300000,CULLMAN COUNTY,AL,62707.0,1504.0,49.0,1.0,41985.0,2020
0104500000,DALE COUNTY,AL,35835.0,956.0,19.0,1.0,19838.0,2020
0104700000,DALLAS COUNTY,AL,31849.0,1333.0,29.0,1.0,17949.0,2020
0104900000,DEKALB COUNTY,AL,45221.0,1106.0,44.0,1.0,29451.0,2020
0105100000,ELMORE COUNTY,AL,60857.0,2276.0,29.0,1.0,41149.0,2020
0105300000,ESCAMBIA COUNTY,AL,27240.0,669.0,29.0,1.0,15956.0,2020
0105500000,ETOWAH COUNTY,AL,76054.0,2652.0,31.0,1.0,47869.0,2020
0105700000,FAYETTE COUNTY,AL,13043.0,336.0,26.0,1.0,8815.0,2020
0105900000,FRANKLIN COUNTY,AL,19744.0,395.0,24.0,1.0,12665.0,2020
0106100000,GENEVA COUNTY,AL,20112.0,448.0,21.0,1.0,12600.0,2020
0106300000,GREENE COUNTY,AL,7045.0,364.0,14.0,1.0,4801.0,2020
0106500000,HALE COUNTY,AL,12561.0,606.0,14.0,1.0,7957.0,2020
0106700000,HENRY COUNTY,AL,14070.0,649.0,14.0,1.0,9339.0,2020
0106900000,HOUSTON COUNTY,AL,80366.0,3131.0,27.0,1.0,46311.0,2020
0107100000,JACKSON COUNTY,AL,39655.0,967.0,30.0,1.0,22270.0,2020
0107300000,JEFFERSON COUNTY,AL,505586.0,29053.0,172.0,2.0,326374.0,2020
0107500000,LAMAR COUNTY,AL,11213.0,231.0,25.0,1.0,7231.0,2020
0107700000,LAUDERDALE COUNTY,AL,68218.0,1373.0,31.0,1.0,44510.0,2020
0107900000,LAWRENCE COUNTY,AL,25471.0,528.0,29.0,1.0,16086.0,2020
0108100000,LEE COUNTY,AL,124082.0,8150.0,22.0,1.0,71625.0,2020
0108300000,LIMESTONE COUNTY,AL,71614.0,-99.0,25.0,1.0,49383.0,2020
0108500000,LOWNDES COUNTY,AL,10361.0,1264.0,12.0,1.0,6896.0,2020
0108700000,MACON COUNTY,AL,17990.0,-99.0,14.0,1.0,8771.0,2020
0108900000,MADISON COUNTY,AL,303191.0,22055.0,72.0,2.0,195374.0,2020
0109100000,MARENGO COUNTY,AL,16366.0,748.0,19.0,1.0,10942.0,2020
0109300000,MARION COUNTY,AL,22074.0,432.0,20.0,1.0,13855.0,2020
0109500000,MARSHALL COUNTY,AL,64249.0,1823.0,28.0,1.0,39751.0,2020
0109700000,MOBILE COUNTY,AL,315446.0,14976.0,85.0,1.0,183803.0,2020
0109900000,MONROE COUNTY,AL,16916.0,1062.0,29.0,1.0,10708.0,2020
0110100000,MONTGOMERY COUNTY,AL,165578.0,12016.0,49.0,1.0,99326.0,2020
0110300000,MORGAN COUNTY,AL,85651.0,3202.0,39.0,1.0,53905.0,2020
0110500000,PERRY COUNTY,AL,8206.0,987.0,12.0,1.0,5258.0,2020
0110700000,PICKENS COUNTY,AL,14424.0,499.0,19.0,1.0,9686.0,2020
0110900000,PIKE COUNTY,AL,23664.0,625.0,33.0,1.0,13895.0,2020
0111100000,RANDOLPH COUNTY,AL,18406.0,-99.0,26.0,1.0,10873.0,2020
0111300000,RUSSELL COUNTY,AL,42721.0,1781.0,17.0,1.0,21394.0,2020
0111500000,ST. CLAIR COUNTY,AL,68132.0,2473.0,30.0,1.0,44551.0,2020
0111700000,SHELBY COUNTY,AL,165412.0,9175.0,44.0,1.0,115128.0,2020
0111900000,SUMTER COUNTY,AL,10063.0,486.0,13.0,1.0,6324.0,2020
0112100000,TALLADEGA COUNTY,AL,59072.0,1966.0,26.0,1.0,35779.0,2020
0112300000,TALLAPOOSA COUNTY,AL,32074.0,1206.0,26.0,1.0,21068.0,2020
0112500000,TUSCALOOSA COUNTY,AL,150175.0,7888.0,54.0,1.0,90421.0,2020
0112700000,WALKER COUNTY,AL,49226.0,1148.0,45.0,1.0,31287.0,2020
0112900000,WASHINGTON COUNTY,AL,13784.0,385.0,19.0,1.0,8918.0,2020
0113100000,WILCOX COUNTY,AL,9192.0,978.0,34.0,1.0,5935.0,2020
0113300000,WINSTON COUNTY,AL,17155.0,-99.0,18.0,1.0,11313.0,2020
0200000000,ALASKA,AK,646093.0,121223.0,420.0,164.0,361400.0,2020
6000000000,AMERICAN SAMOA,AS,16341.0,911.0,41.0,1.0,11944.0,2020
0400100000,APACHE COUNTY,AZ,55792.0,30830.0,44.0,5.0,35776.0,2020
0400300000,COCHISE COUNTY,AZ,94283.0,56051.0,17.0,1.0,60963.0,2020
0400500000,COCONINO COUNTY,AZ,104736.0,65520.0,46.0,11.0,73968.0,2020
0400700000,GILA COUNTY,AZ,37806.0,25265.0,17.0,9.0,28057.0,2020
0400900000,GRAHAM COUNTY,AZ,22659.0,12350.0,9.0,1.0,15113.0,2020
0401100000,GREENLEE COUNTY,AZ,5321.0,3423.0,5.0,1.0,3723.0,2020
0401200000,LA PAZ COUNTY,AZ,13553.0,6696.0,8.0,1.0,7522.0,2020
0401300000,MARICOPA COUNTY,AZ,2863040.0,2258790.0,175.0,91.0,2089563.0,2020
0401500000,MOHAVE COUNTY,AZ,155904.0,97524.0,36.0,3.0,105440.0,2020
0401700000,NAVAJO COUNTY,AZ,81425.0,47322.0,39.0,12.0,52490.0,2020
0401900000,PIMA COUNTY,AZ,689973.0,510197.0,232.0,14.0,526214.0,2020
0402100000,PINAL COUNTY,AZ,263199.0,178468.0,90.0,4.0,186340.0,2020
0402300000,SANTA CRUZ COUNTY,AZ,30935.0,20829.0,13.0,5.0,19807.0,2020
0402500000,YAVAPAI COUNTY,AZ,181031.0,142240.0,25.0,2.0,144911.0,2020
0402700000,YUMA COUNTY,AZ,128452.0,74081.0,11.0,1.0,70594.0,2020
0500100000,ARKANSAS COUNTY,AR,10300.0,347.0,4.0,2.0,6314.0,2020
0500300000,ASHLEY COUNTY,AR,11384.0,724.0,11.0,2.0,7956.0,2020
0500500000,BAXTER COUNTY,AR,30115.0,2540.0,13.0,3.0,21156.0,2020
0500700000,BENTON COUNTY,AR,170807.0,16162.0,46.0,,120444.0,2020
0500900000,BOONE COUNTY,AR,25032.0,1416.0,13.0,0.0,17157.0,2020
0501100000,BRADLEY COUNTY,AR,5328.0,321.0,6.0,,3654.0,2020
0501300000,CALHOUN COUNTY,AR,3473.0,133.0,4.0,,2094.0,2020
0501500000,CARROLL COUNTY,AR,16958.0,2031.0,6.0,,11948.0,2020
0501700000,CHICOT COUNTY,AR,6259.0,603.0,3.0,1.0,4125.0,2020
0501900000,CLARK COUNTY,AR,12302.0,984.0,9.0,1.0,8431.0,2020
0502100000,CLAY COUNTY,AR,8028.0,287.0,3.0,2.0,5206.0,2020
0502300000,CLEBURNE COUNTY,AR,18023.0,938.0,17.0,1.0,12725.0,2020
0502500000,CLEVELAND COUNTY,AR,4627.0,213.0,13.0,1.0,3590.0,2020
0502700000,COLUMBIA COUNTY,AR,13163.0,808.0,7.0,,8460.0,2020
0502900000,CONWAY COUNTY,AR,11739.0,935.0,14.0,,8736.0,2020
0503100000,CRAIGHEAD COUNTY,AR,58028.0,3516.0,15.0,2.0,38751.0,2020
0503300000,CRAWFORD COUNTY,AR,35524.0,2152.0,14.0,2.0,23920.0,2020
