fips,place,state,total_reg_voters,mail_ballots_sent,poll_place_elect_day,poll_place_early,total_votes_cast,year,place_type,place_clean
0100100000,AUTAUGA COUNTY,AL,43695.0,1329.0,18.0,1.0,27813.0,2020,County,Autauga
0100300000,BALDWIN COUNTY,AL,176668.0,11147.0,50.0,1.0,110214.0,2020,County,Baldwin
0100500000,BARBOUR COUNTY,AL,17850.0,726.0,16.0,1.0,10560.0,2020,County,Barbour
0100700000,BIBB COUNTY,AL,15014.0,332.0,8.0,1.0,9630.0,2020,County,Bibb
0100900000,BLOUNT COUNTY,AL,41927.0,1032.0,24.0,1.0,27665.0,2020,County,Blount
0101100000,BULLOCK COUNTY,AL,7457.0,538.0,15.0,1.0,4633.0,2020,County,Bullock
0101300000,BUTLER COUNTY,AL,14646.0,751.0,22.0,1.0,9527.0,2020,County,Butler
0101500000,CALHOUN COUNTY,AL,81674.0,2240.0,44.0,1.0,51141.0,2020,County,Calhoun
0101700000,CHAMBERS COUNTY,AL,26077.0,1265.0,16.0,1.0,15374.0,2020,County,Chambers
0101900000,CHEROKEE COUNTY,AL,19469.0,522.0,23.0,1.0,12341.0,2020,County,Cherokee
0102100000,CHILTON COUNTY,AL,29873.0,1023.0,18.0,1.0,19366.0,2020,County,Chilton
0102300000,CHOCTAW COUNTY,AL,11033.0,400.0,32.0,1.0,7515.0,2020,County,Choctaw
0102500000,CLARKE COUNTY,AL,19676.0,944.0,29.0,1.0,13185.0,2020,County,Clarke
0102700000,CLAY COUNTY,AL,10468.0,299.0,15.0,1.0,6996.0,2020,County,Clay
0102900000,CLEBURNE COUNTY,AL,11516.0,290.0,14.0,1.0,7255.0,2020,County,Cleburne
0103100000,COFFEE COUNTY,AL,37163.0,1047.0,29.0,1.0,22387.0,2020,County,Coffee
0103300000,COLBERT COUNTY,AL,43748.0,1283.0,34.0,1.0,27984.0,2020,County,Colbert
0103500000,CONECUH COUNTY,AL,10413.0,369.0,27.0,1.0,6472.0,2020,County,Conecuh
0103700000,COOSA COUNTY,AL,8403.0,220.0,12.0,1.0,5494.0,2020,County,Coosa
0103900000,COVINGTON COUNTY,AL,28338.0,669.0,25.0,1.0,17525.0,2020,County,Covington
0104100000,CRENSHAW COUNTY,AL,10619.0,288.0,18.0,1.0,6645.0,2020,County,Crenshaw
0104300000,CULLMAN COUNTY,AL,62707.0,1504.0,49.0,1.0,41985.0,2020,County,Cullman
0104500000,DALE COUNTY,AL,35835.0,956.0,19.0,1.0,19838.0,2020,County,Dale
0104700000,DALLAS COUNTY,AL,31849.0,1333.0,29.0,1.0,17949.0,2020,County,Dallas
0104900000,DEKALB COUNTY,AL,45221.0,1106.0,44.0,1.0,29451.0,2020,County,Dekalb
0105100000,ELMORE COUNTY,AL,60857.0,2276.0,29.0,1.0,41149.0,2020,County,Elmore
0105300000,ESCAMBIA COUNTY,AL,27240.0,669.0,29.0,1.0,15956.0,2020,County,Escambia
0105500000,ETOWAH COUNTY,AL,76054.0,2652.0,31.0,1.0,47869.0,2020,County,Etowah
0105700000,FAYETTE COUNTY,AL,13043.0,336.0,26.0,1.0,8815.0,2020,County,Fayette
0105900000,FRANKLIN COUNTY,AL,19744.0,395.0,24.0,1.0,12665.0,2020,County,Franklin
0106100000,GENEVA COUNTY,AL,20112.0,448.0,21.0,1.0,12600.0,2020,County,Geneva
0106300000,GREENE COUNTY,AL,7045.0,364.0,14.0,1.0,4801.0,2020,County,Greene
0106500000,HALE COUNTY,AL,12561.0,606.0,14.0,1.0,7957.0,2020,County,Hale
0106700000,HENRY COUNTY,AL,14070.0,649.0,14.0,1.0,9339.0,2020,County,Henry
0106900000,HOUSTON COUNTY,AL,80366.0,3131.0,27.0,1.0,46311.0,2020,County,Houston
0107100000,JACKSON COUNTY,AL,39655.0,967.0,30.0,1.0,22270.0,2020,County,Jackson
0107300000,JEFFERSON COUNTY,AL,505586.0,29053.0,172.0,2.0,326374.0,2020,County,Jefferson
0107500000,LAMAR COUNTY,AL,11213.0,231.0,25.0,1.0,7231.0,2020,County,Lamar
0107700000,LAUDERDALE COUNTY,AL,68218.0,1373.0,31.0,1.0,44510.0,2020,County,Lauderdale
0107900000,LAWRENCE COUNTY,AL,25471.0,528.0,29.0,1.0,16086.0,2020,County,Lawrence
0108100000,LEE COUNTY,AL,124082.0,8150.0,22.0,1.0,71625.0,2020,County,Lee
0108300000,LIMESTONE COUNTY,AL,71614.0,,25.0,1.0,49383.0,2020,County,Limestone
0108500000,LOWNDES COUNTY,AL,10361.0,1264.0,12.0,1.0,6896.0,2020,County,Lowndes
0108700000,MACON COUNTY,AL,17990.0,,14.0,1.0,8771.0,2020,County,Macon
0108900000,MADISON COUNTY,AL,303191.0,22055.0,72.0,2.0,195374.0,2020,County,Madison
0109100000,MARENGO COUNTY,AL,16366.0,748.0,19.0,1.0,10942.0,2020,County,Marengo
0109300000,MARION COUNTY,AL,22074.0,432.0,20.0,1.0,13855.0,2020,County,Marion
0109500000,MARSHALL COUNTY,AL,64249.0,1823.0,28.0,1.0,39751.0,2020,County,Marshall
0109700000,MOBILE COUNTY,AL,315446.0,14976.0,85.0,1.0,183803.0,2020,County,Mobile
0109900000,MONROE COUNTY,AL,16916.0,1062.0,29.0,1.0,10708.0,2020,County,Monroe
0110100000,MONTGOMERY COUNTY,AL,165578.0,12016.0,49.0,1.0,99326.0,2020,County,Montgomery
