Country ID,Country Code,Country Name,Region ID,Region Name,Income Group ID,Income Group Name,Income Group Acronym,Managing Agency ID,Managing Agency Acronym,Managing Agency Name,Managing Sub-agency or Bureau ID,Managing Sub-agency or Bureau Acronym,Managing Sub-agency or Bureau Name,Implementing Partner Category ID,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Sub-category Name,Implementing Partner ID,Implementing Partner Name,International Category ID,International Category Name,International Sector Code,International Sector Name,International Purpose Code,International Purpose Name,US Category ID,US Category Name,US Sector ID,US Sector Name,Submission ID,Funding Acount ID,Funding Account Name,Funding Agency ID,Funding Agency Name,Funding Agency Acronym,Foreign Assistance Objective ID,Foreign Assistance Objective Name,Aid Type Group ID,Aid Type Group Name,Activity ID,Activity Name,Activity Description,Activity Project Number,Activity Start Date,Activity End Date,Transaction Type ID,Transaction Type Name,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
376,ISR,Israel,3,Middle East and North Africa,4,High Income Country,HIC,7,DOD,Department of Defense,16,DSCA,Defense Security Cooperation Agency,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,152,"Conflict, Peace, and Security",15210,Security system management and reform,,,3,Stabilization Operations and Security Sector Reform,98,11x1082,Foreign Military Financing Program,2,Department of State,STATE,2,Military,3,Project-Type,197043,"DOD - Foreign Military Financing (FMF) Program, Payment Waived","The amount of credit extended to a foreign government or international organization in any fiscal year for the procurement of defense articles, defense services, and design and construction services.",,,,2,Obligations,2020,3300000000,3300000000
4,AFG,Afghanistan,4,South and Central Asia,1,Low Income Country,LIC,7,DOD,Department of Defense,135,OSD,Office of the Secretary of Defense,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,152,"Conflict, Peace, and Security",15210,Security system management and reform,,,3,Stabilization Operations and Security Sector Reform,28,21x2091,"Department of the Army, Afghanistan Security Forces Fund",8,Department of the Army,ARMY,2,Military,3,Project-Type,30658,The FA.gov team redacted this field with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,The FA.gov team redacted this field with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,,,,2,Obligations,2020,2757000000,2757000000
368,IRQ,Iraq,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,7,DOD,Department of Defense,16,DSCA,Defense Security Cooperation Agency,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,152,"Conflict, Peace, and Security",15210,Security system management and reform,,,3,Stabilization Operations and Security Sector Reform,98,11x1082,Foreign Military Financing Program,2,Department of State,STATE,2,Military,3,Project-Type,197043,"DOD - Foreign Military Financing (FMF) Program, Payment Waived","The amount of credit extended to a foreign government or international organization in any fiscal year for the procurement of defense articles, defense services, and design and construction services.",,,,2,Obligations,2020,496470316,496470316
400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,7,DOD,Department of Defense,16,DSCA,Defense Security Cooperation Agency,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,152,"Conflict, Peace, and Security",15210,Security system management and reform,,,3,Stabilization Operations and Security Sector Reform,98,11x1082,Foreign Military Financing Program,2,Department of State,STATE,2,Military,3,Project-Type,197043,"DOD - Foreign Military Financing (FMF) Program, Payment Waived","The amount of credit extended to a foreign government or international organization in any fiscal year for the procurement of defense articles, defense services, and design and construction services.",,,,2,Obligations,2020,471703710,471703710
804,UKR,Ukraine,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,7,DOD,Department of Defense,16,DSCA,Defense Security Cooperation Agency,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,152,"Conflict, Peace, and Security",15210,Security system management and reform,,,3,Stabilization Operations and Security Sector Reform,98,11x1082,Foreign Military Financing Program,2,Department of State,STATE,2,Military,3,Project-Type,197043,"DOD - Foreign Military Financing (FMF) Program, Payment Waived","The amount of credit extended to a foreign government or international organization in any fiscal year for the procurement of defense articles, defense services, and design and construction services.",,,,2,Obligations,2020,247875986,247875986
706,SOM,Somalia,5,Sub-Saharan Africa,1,Low Income Country,LIC,2,STATE,Department of State,66,PM,Political-Military Affairs,1,Government,Government - United States,1,1000004,U.S. Government - Department of State,3,Governance,152,"Conflict, Peace, and Security",15210,Security system management and reform,,,3,Stabilization Operations and Security Sector Reform,64,11x1032,Peace Keeping Operations,2,Department of State,STATE,2,Military,3,Project-Type,67771,Department of State - Peacekeeping Operations: Somalia - United Nations Support Office in Somalia (UNSOS) - UN Assessments,"To support the United Nations Support Office in Somalia (UNSOS), to include logistics, equipment, and training of troop contributing countries. To pay UN assessments for the United Nations Support Office in Somalia (UNSOS).",,,,2,Obligations,2020,134107000,134107000
368,IRQ,Iraq,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,7,DOD,Department of Defense,18,DTRA,Defense Threat Reduction Agency,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,152,"Conflict, Peace, and Security",1520010,Disarmament of Weapons of Mass Destruction (WMD),,,2,Combating Weapons of Mass Destruction (WMD),17,97x0134,"Department of Defense, Cooperative Threat Reduction Account",7,Department of Defense,DOD,2,Military,3,Project-Type,20112,Cooperative Threat Reduction Program: Proliferation Prevention [non-ODA],"The Proliferation Prevention Program builds partner countries' capacity to interdict illicit trafficking of WMD and related components and technologies. The program develops self-sustaining, multi-agency capabilities to prevent the proliferation of WMD materials, components, and technologies across country borders. The program develops our partners' capacities in non-proliferation and counter-proliferation, border security and interdiction, disposition, and other areas related to chemical, biological, radiological, and nuclear identification, security, and consequence incident response. The program complements the assistance provided by other USG and international partners that enhance counter-smuggling capacities, enhance border security, and increase maritime domain awareness and interoperability.",,,2020-09-30,2,Obligations,2020,49190000,49190000
804,UKR,Ukraine,2,Europe and Eurasia,2,Lower Middle Income Country,LMIC,7,DOD,Department of Defense,16,DSCA,Defense Security Cooperation Agency,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,152,"Conflict, Peace, and Security",15210,Security system management and reform,,,45,Peace and Security - General,118,97x0100,"Department of Defense, Operation and Maintenance, Defense-Wide",7,Department of Defense,DOD,2,Military,3,Project-Type,853324,Ukraine Security Assistance Initiative (USAI) - UNSPECIFIED ACTIVITIES,"The Ukraine Security Assistance Initiative (USAI) provides security assistance and intelligence support, including training, equipment, and logistics support, supplies and services, to military and other security forces of the Government of Ukraine to enhance the capabilities of the government's military and other security forces.",,,2020-09-30,2,Obligations,2020,19310367,19310367
400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,7,DOD,Department of Defense,18,DTRA,Defense Threat Reduction Agency,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,152,"Conflict, Peace, and Security",1520010,Disarmament of Weapons of Mass Destruction (WMD),,,2,Combating Weapons of Mass Destruction (WMD),17,97x0134,"Department of Defense, Cooperative Threat Reduction Account",7,Department of Defense,DOD,2,Military,3,Project-Type,20104,Cooperative Threat Reduction Program: Global Nuclear Security [non-ODA],"The Global Nuclear Security (GNS) program supports the security of the global community through cooperative engagement to secure nuclear weapons, nuclear material, and high-threat radiological material in storage and transit.",,,2020-09-30,2,Obligations,2020,14380000,14380000
400,JOR,Jordan,3,Middle East and North Africa,3,Upper Middle Income Country,UMIC,7,DOD,Department of Defense,18,DTRA,Defense Threat Reduction Agency,1,Government,Government - United States,1,1000003,U.S. Government - Department of Defense,3,Governance,152,"Conflict, Peace, and Security",1520010,Disarmament of Weapons of Mass Destruction (WMD),,,2,Combating Weapons of Mass Destruction (WMD),17,97x0134,"Department of Defense, Cooperative Threat Reduction Account",7,Department of Defense,DOD,2,Military,3,Project-Type,20112,Cooperative Threat Reduction Program: Proliferation Prevention [non-ODA],"The Proliferation Prevention Program builds partner countries' capacity to interdict illicit trafficking of WMD and related components and technologies. The program develops self-sustaining, multi-agency capabilities to prevent the proliferation of WMD materials, components, and technologies across country borders. The program develops our partners' capacities in non-proliferation and counter-proliferation, border security and interdiction, disposition, and other areas related to chemical, biological, radiological, and nuclear identification, security, and consequence incident response. The program complements the assistance provided by other USG and international partners that enhance counter-smuggling capacities, enhance border security, and increase maritime domain awareness and interoperability.",,,2020-09-30,2,Obligations,2020,13526000,13526000
