data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
9504762,643,RUS8801,8801,"19 September 2022",2022,3,"Strategic developments","Change to group/activity","Wagner Group",,8,80,Europe,Russia,Moscow,,,Moscow,55.7522,37.6156,3,RFE/RL,International,"Recruitment: Around 19 September 2022 (as reported), a private military company Wagner Group recruited between 6 and 11 thousand prisoners from the Russian penitentiary system to fight in Ukraine, according to human rights groups. (coded to Moscow)",0,1664300892,RUS
9503615,804,UKR73419,73419,"17 September 2022",2022,1,Battles,"Armed clash","Wagner Group",,8,88,Europe,Ukraine,Kherson,Khersonskyi,Hersonska,Kherson,46.6558,32.6178,1,"24 Channel",National,"On 17 September 2022, as the result of a conflict, members of Wagner Group clashed with Chechen Battalion of Ramzan Kadyrov in Kherson. Casualties unknown.",0,1664300889,UKR
9487865,466,MLI7308,7308,"12 September 2022",2022,1,"Violence against civilians",Attack,"Wagner Group",,8,78,"Western Africa",Mali,Mopti,Douentza,Dallah,Nani,15.0659,-2.5337,2,"Twitter; Whatsapp; Undisclosed Source","Local partner-Other","On 12 September 2022, Wagner mercenaries killed fourteen men from the Tuareg Bellah community in the area of Nani (Douentza, Mopti).",14,1663607342,MLI
9487872,466,MLI7328,7328,"12 September 2022",2022,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Wagner Group",,8,28,"Western Africa",Mali,Mopti,Douentza,Dallah,Gase,14.8944,-2.5512,2,"Al Zallaqa; Undisclosed Source","Local partner-Other","On 12 September 2022, two Wagner mercenaries on a motorcycle were killed by the explosion of an IED in the area of Gase (Douentza, Mopti). JNIM claimed responsibility.",2,1663607342,MLI
9463629,466,MLI7166,7166,"05 September 2022",2022,1,"Strategic developments","Headquarters or base established","Wagner Group",,8,80,"Western Africa",Mali,Mopti,Djenne,Fakala,Nia-Ouro,14.008,-4.1236,1,"Undisclosed Source","Local partner-Other","On 5 September 2022, Wagner mercenaries established a temporary base in the village of Nia-Ouro (Djenne, Mopti).",0,1663010292,MLI
9462599,466,MLI7182,7182,"04 September 2022",2022,1,"Violence against civilians","Sexual violence","Wagner Group","Military Forces of Mali (2021-); Dozo Communal Militia (Mali)",8,78,"Western Africa",Mali,Mopti,Djenne,Fakala,Nia-Ouro,14.008,-4.1236,1,"RFI; Jeune Afrique; Undisclosed Source","Local partner-Other","On 4 September 2022, Wagner mercenaries, FAMA soldiers, and Donso militiamen raided the Fulani village of Nia-Ouro (Djenne, Mopti). The assailants forced members to undress, assaulted and wounded several women, looted property including valuables and livestock. Two people including a male nurse and a civilian went missing.",0,1663010289,MLI
9463646,466,MLI7139,7139,"04 September 2022",2022,1,"Violence against civilians","Abduction/forced disappearance","Wagner Group",,8,78,"Western Africa",Mali,Gao,Ansongo,Tessit,Tessit,15.2238,0.2925,1,"Undisclosed Source","Local partner-Other","On 4 September 2022, Wagner mercenaries abducted two civilians about 5km west of Tessit (Ansongo, Gao). One was released soon after while the other remains unaccounted for.",0,1663010292,MLI
9463654,466,MLI7276,7276,"28 August 2022",2022,1,"Strategic developments",Other,"Wagner Group",,8,80,"Western Africa",Mali,Mopti,Djenne,Fakala,Djongue-Ouro,14.1657,-4.1061,2,"Undisclosed Source","Local partner-Other","Other: On 28 August 2022, Wagner mercenaries fired warning shots near the village of Djongue-Ouro (Djenne, Mopti), while patrolling between Sofara and Bonguel.",0,1663010292,MLI
9462951,140,CEN49061,49061,"22 August 2022",2022,2,"Strategic developments","Looting/property destruction","Wagner Group",,8,78,"Middle Africa","Central African Republic",Bamingui-Bangoran,Ndele,"Dar El Kouti",Ndele,8.412,20.648,2,"Corbeau News",National,"Looting: Around 22 August 2022, the Wagner Group mercenaries looted businesses and civilian houses in Akroussoulback, coded to Ndele (Dar El Kouti, Ndele, Bamingui-Bangoran) stealing civilian property.",0,1663010290,CAF
9462600,466,MLI7190,7190,"21 August 2022",2022,1,"Violence against civilians","Abduction/forced disappearance","Wagner Group",,8,78,"Western Africa",Mali,Tombouctou,Gourma-Rharous,Gossi,Gossi,15.8196,-1.2911,1,"Twitter; Undisclosed Source","Local partner-Other","On 21 August 2022, Wagner mercenaries abducted a young male civilian of the Tuareg Kel Essouk community from in the town of Gossi (Gourma-Rharous, Tombouctou). The family of the abductee is searching for information about his fate and whereabouts.",0,1663010289,MLI
