player_id,name,position,weight,height,country,country_id,number,picture,dob,age,country_name,position_desc
433710,Ilias Chair,2,64.0,164.0,MAR,43872,13,https://digitalhub.fifa.com/transform/02b330d8-ee72-471a-b822-eec280201d93/Morocco-Portraits-FIFA-World-Cup-Qatar-2022,1997-10-30,25.14,Morocco,Midfielder
401789,Collins Fai,1,70.0,165.0,CMR,43849,19,https://digitalhub.fifa.com/transform/0373615a-7813-4dfe-bf45-34a64e8da7ff/1443092600,1992-08-13,30.35,Cameroon,Defender
430405,Yuki Soma,2,68.0,166.0,JPN,43819,24,https://digitalhub.fifa.com/transform/923ad90a-9fbc-48ed-b12c-333b0849e35c/Japan-Portraits-FIFA-World-Cup-Qatar-2022,1997-02-25,25.82,Japan,Midfielder
251352,Andres Guardado,2,63.0,167.0,MEX,43911,18,https://digitalhub.fifa.com/transform/9aeabab1-850a-47dd-8750-47165dd3d639/1442571347,1986-09-28,36.23,Mexico,Midfielder
403586,Uriel Antuna,3,62.0,167.0,MEX,43911,21,https://digitalhub.fifa.com/transform/fd0fef42-8129-4cc0-a958-f44521a742be/1442571310,1997-08-21,25.33,Mexico,Striker
228537,Alejandro Gomez,2,68.0,167.0,ARG,43922,17,https://digitalhub.fifa.com/transform/a2a9f2d8-b6ef-4152-87ea-82314c0c106e/1442741064,1988-02-15,34.84,Argentina,Midfielder
402898,Nicolas De La Cruz,2,65.0,167.0,URU,43930,7,https://digitalhub.fifa.com/transform/22dc251a-784c-44b7-acd7-336efcb50ac9/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022,1997-06-01,25.55,Uruguay,Midfielder
441319,Nampalys Mendy,2,65.0,167.0,SEN,43879,6,https://digitalhub.fifa.com/transform/bbb684f5-0747-4ff9-9efe-a3bcd007ca9b/1442261400,1992-06-23,30.49,Senegal,Midfielder
371670,Lucas Torreira,2,61.0,168.0,URU,43930,14,https://digitalhub.fifa.com/transform/b17ffac2-6a95-421f-adee-45ec690fa365/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022,1996-02-11,26.86,Uruguay,Midfielder
360039,Jonathan Williams,2,60.0,168.0,WAL,43974,18,https://digitalhub.fifa.com/transform/ce257e2e-068e-44f3-b168-246d7780fffc/1441998615,1993-10-09,29.2,Wales,Midfielder
