year,All intents,All violence,Homicides,Suicides
1981,14.84,13.73,6.58,7.03
1982,14.23,13.24,5.97,7.15
1983,13.3,12.36,5.15,7.1
1984,13.29,12.37,5.01,7.26
1985,13.27,12.37,4.97,7.3
1986,13.9,13.09,5.43,7.56
1987,13.58,12.82,5.22,7.49
1988,13.9,13.11,5.58,7.43
1989,14.09,13.35,5.86,7.36
1990,14.89,14.19,6.5,7.57
1991,15.15,14.43,7.01,7.32
1992,14.73,14.02,6.82,7.08
1993,15.23,14.43,7.02,7.29
1994,14.63,13.92,6.66,7.13
1995,13.5,12.9,5.84,6.95
1996,12.64,12.06,5.21,6.74
1997,11.9,11.4,4.86,6.44
1998,11.13,10.7,4.28,6.32
1999,10.35,9.94,3.88,5.95
2000,10.16,9.8,3.83,5.88
2001,10.38,10.02,3.98,5.92
2002,10.51,10.16,4.11,5.95
2003,10.39,10.06,4.11,5.83
2004,10.1,9.8,3.97,5.72
2005,10.39,10.04,4.18,5.75
2006,10.35,10.07,4.29,5.66
2007,10.37,10.07,4.19,5.76
2008,10.39,10.1,4.01,5.99
2009,10.22,9.96,3.75,6.11
2010,10.26,9.98,3.59,6.28
2011,10.38,10.11,3.55,6.42
2012,10.69,10.44,3.7,6.58
2013,10.64,10.39,3.55,6.7
2014,10.55,10.32,3.46,6.72
2015,11.3,11.06,4.05,6.86
2016,11.97,11.72,4.46,7.1
2017,12.23,11.98,4.47,7.34
2018,12.16,11.91,4.27,7.48
2019,12.09,11.83,4.39,7.29
2020,13.73,13.44,5.88,7.37
2021,14.8,14.5,6.4,8.0
