incident_id,incident_date,state,city_or_county,address,no_killed,no_injured,total,year,ap_state,postal_state,full_address
2349746,2022-07-05,Wisconsin,Kenosha,6300 block of 25th Ave,1,4,5,2022,Wis.,WI,"6300 25th Ave, Kenosha, WI"
2348384,2022-07-04,Illinois,Highland Park,Central Ave and 2nd St,6,31,37,2022,Ill.,IL,"Central Ave and 2nd St, Highland Park, IL"
2348230,2022-07-04,California,Sacramento,1525 L St,1,4,5,2022,Calif.,CA,"1525 L St, Sacramento, CA"
2348303,2022-07-03,Arizona,Surprise,W Carlin Dr,3,4,7,2022,Ariz.,AZ,"W Carlin Dr, Surprise, AZ"
2347060,2022-07-02,Texas,Haltom City,5700 block of Diamond Oaks Dr N,3,4,7,2022,Texas,TX,"5700 Diamond Oaks Dr N, Haltom City, TX"
2347228,2022-07-02,New York,Corona (Queens),129-09 89th Ave,1,3,4,2022,N.Y.,NY,"129-09 89th Ave, Corona (Queens), NY"
2346406,2022-07-01,Mississippi,Greenwood,Johnson St and Main St,1,7,8,2022,Miss.,MS,"Johnson St and Main St, Greenwood, MS"
2345410,2022-07-01,Illinois,Chicago,408 S Wells St,2,3,5,2022,Ill.,IL,"408 S Wells St, Chicago, IL"
2345144,2022-06-30,Kentucky,Allen,49 N Railroad St,3,5,8,2022,Ky.,KY,"49 N Railroad St, Allen, KY"
2340458,2022-06-26,Georgia,Blakely,N Church St and Washington Ave,1,6,7,2022,Ga.,GA,"N Church St and Washington Ave, Blakely, GA"
2340473,2022-06-26,Texas,San Antonio,3805 Blanco Rd,1,3,4,2022,Texas,TX,"3805 Blanco Rd, San Antonio, TX"
2341326,2022-06-26,Washington,Tacoma,900 block of E 52nd St,1,4,5,2022,Wash.,WA,"900 E 52nd St, Tacoma, WA"
2340720,2022-06-26,Virginia,Sutherlin,1220 Kerns Church Rd,1,7,8,2022,Va.,VA,"1220 Kerns Church Rd, Sutherlin, VA"
2339761,2022-06-25,Texas,Houston,4207 Madden St,2,2,4,2022,Texas,TX,"4207 Madden St, Houston, TX"
2339866,2022-06-24,Virginia,Hopewell,Elm St and Arlington Rd,2,2,4,2022,Va.,VA,"Elm St and Arlington Rd, Hopewell, VA"
2338874,2022-06-24,Pennsylvania,Philadelphia,S Bucknell St and Oakford St,2,2,4,2022,Pa.,PA,"S Bucknell St and Oakford St, Philadelphia, PA"
2338902,2022-06-23,Illinois,Chicago,7900 block of S Lafayette Ave,1,3,4,2022,Ill.,IL,"7900 S Lafayette Ave, Chicago, IL"
2335052,2022-06-20,New York,New York (Manhattan),5th Ave and W 139th St,1,8,9,2022,N.Y.,NY,"5th Ave and W 139th St, New York (Manhattan), NY"
2334936,2022-06-19,Michigan,Detroit,18501 Healy St,1,3,4,2022,Mich.,MI,"18501 Healy St, Detroit, MI"
2334920,2022-06-19,District of Columbia,Washington,14th St and U St NW,1,3,4,2022,,DC,"14th St and U St NW, Washington, DC"
2334620,2022-06-19,South Carolina,Walterboro,1109 Rivers St,2,2,4,2022,S.C.,SC,"1109 Rivers St, Walterboro, SC"
