,stock_number,item,quantity,value,year
49,2355-01-623-0967,MINE RESISTANT VEHICLE,2,1534720.0,4038
48,2355-01-602-3357,MINE RESISTANT VEHICLE,1,865000.0,2019
23,1520-01-385-3844,"HELICOPTER,FLIGHT TRAINER",1,833400.0,2017
47,2355-01-581-2392,MINE RESISTANT VEHICLE,1,705421.0,2020
45,2355-01-552-5344,MINE RESISTANT VEHICLE,1,610764.0,2018
46,2355-01-570-7996,MINE RESISTANT VEHICLE,1,495000.0,2019
27,2310-01-111-2274,"TRUCK,AMBULANCE",5,482330.0,10095
28,2310-01-111-2275,"TRUCK,AMBULANCE",6,470994.0,12108
32,2320-01-413-3739,"TRUCK,UTILITY",2,385026.0,4035
18,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,4,308000.0,8068
16,1385-01-534-9828,"UNMANNED VEHICLE,GROUND",1,298861.0,2018
12,1385-01-478-3714,"UNMANNED VEHICLE,GROUND",2,279006.0,4038
35,2320-01-566-1538,SPECIAL PURPOSE VEHICLE,1,190744.0,2019
44,2350-01-575-0646,"UNMANNED VEHICLE,GROUND",1,187312.0,2017
33,2320-01-447-6343,"TRUCK,CARGO",1,176428.0,2019
51,2360-01-576-8653,"UNMANNED VEHICLE,GROUND",12,152455.0,24204
22,1520-00-169-7137,"HELICOPTER,OBSERVATION",1,92290.0,2017
109,5855-01-578-1396,"ILLUMINATOR,INTEGRATED,SMALL ARMS",32,87392.0,64544
24,1940-DS-BOA-T000,SMALL CRAFT BOAT,3,78247.0,6058
106,5855-01-464-3150,"SIGHT,THERMAL",6,75072.0,12102
64,3930-01-158-0849,"TRUCK,LIFT,FORK",1,72370.0,2019
68,3990-DS-MHE-MISC,MISC MATERIALS HANDLING EQUIPMENT,2,64000.0,4038
87,4940-DS-MSC-REPE,MISC MAINTENANCE AND REPAIR SHOP,1,58206.0,2019
31,2320-01-128-9551,"TRUCK,UTILITY",1,50458.0,2017
15,1385-01-521-8467,ALTERNATE CONTROL SYSTEM,1,48500.0,2019
34,2320-01-456-1282,"TRUCK,UTILITY",1,46983.0,2018
50,2355-DS-COM-BTV2,ONLY COMPLETE COMBAT/ASSAULT/TACTICAL WHEELED VEHICLES,1,44994.0,2020
122,6210-DS-LIG-HTSE,LIGHT SET,4,44000.0,8076
115,6115-01-313-4216,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",1,33085.0,2019
86,4940-01-573-6331,"CLEANER,ULTRASONIC",2,29582.0,4038
99,5180-01-585-7545,"TOOL KIT,METAL WORKER'S",2,28806.0,2019
37,2330-DS-TRA-ILE1,TRAILER,2,27195.0,4038
118,6115-01-462-0291,"GENERATOR SET,DIESEL ENGINE",3,25073.0,2019
21,1385-DS-ROB-TEOD,EOD ROBOT,1,20600.0,2019
65,3930-DS-FOR-KLIF,FORKLIFT,1,20465.0,2020
116,6115-01-332-0741,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",2,16256.0,2019
167,8150-01-527-2880,"CONTAINER,FREIGHT,UTILITY",1,15316.0,2019
61,3805-01-098-0211,"CUTTER,STUMP",1,15000.0,2019
41,2340-DS-ATV-4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",4,15000.0,6057
11,1385-01-115-5823,"LOCATOR,FERROUS",2,14707.0,2018
76,4110-01-506-0895,"REFRIGERATOR,BLOOD COOLING AND STORAGE",1,13566.0,2020
139,6650-01-248-9081,FIBERSCOPE,1,13437.0,2018
108,5855-01-553-7417,"VIEWER,NIGHT VISION",10,12738.0,2018
52,2420-DS-TRA-CTO1,"TRACTORS, WHEELED",2,11500.0,4038
40,2340-01-574-6673,ALL TERRAIN VEHICLE WHEELED,1,11365.0,2019
7,1240-01-411-1265,"SIGHT,REFLEX",120,11235.0,70626
30,2320-00-926-0949,"TRUCK,CARGO",1,10260.0,2020
110,5895-DS-CON-TRO1,CONTROLLER,1,10000.0,2019
43,2340-DS-SNO-WMOB,SNOWMOBILE,2,8569.0,2019
59,3431-01-545-9657,"WELDING MACHINE,INVERTER",2,7645.0,2019
54,2541-01-555-4876,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",4,7457.0,4038
13,1385-01-482-6168,"TOOL KIT,IMPROVISED EXPLOSIVE DEVICES",2,7156.0,4034
42,2340-DS-ATV-GATO,"ALL TERRAIN VEHICLE, AG/BVUS",2,7000.0,2019
111,5965-01-568-2627,"HORN,LOUDSPEAKER",2,6852.0,2020
75,4110-01-504-6888,"FREEZER,LABORATORY",1,6819.0,2019
77,4110-DS-REF-RIG0,REFRIGERATOR,4,6651.0,4038
38,2340-00-585-7495,"SCOOTER,MOTOR",1,6100.0,2019
140,6670-01-047-5904,"SCALE,WEIGHING",2,6074.0,2019
101,5411-01-522-4821,"HVASC,SUPPLY,GREEN",3,6047.0,2019
98,5180-01-460-9328,"TOOL KIT,ELECTRONIC SYSTEM",3,6006.0,6057
25,2010-DS-OUT-MOTO,OUTBOARD MOTOR,8,5999.0,2019
19,1385-01-676-1337,"DRIVER,PROJECTILE,EXPLOSIVE ORDNANCE DISPOSAL",6,5993.0,2019
166,8145-DS-SHI-PCON,SPECIALIZED SHIPPING AND STORAGE CONTAIN,5,5000.0,2019
123,6230-01-519-0393,"CASE,LIGHT SET",31,4871.0,8077
143,6760-DS-PHO-TACC,PHOTOGRAPHIC EQUIPMENT AND ACCESSORIES,8,4856.0,6057
14,1385-01-484-8651,"TOOL KIT,EXPLOSIVE ORDNANCE DISPOSAL",3,4628.0,4036
147,7021-01-578-9627,"COMPUTER,DIGITAL",2,4400.0,2019
20,1385-99-695-2988,"TOOL AND EQUIPMENT KIT,EXPLOSIVE ORDNANCE DISPOSAL",3,4352.0,2017
146,6920-01-236-6725,"SIMULATOR SYSTEM,FIRING,LASER",4,4240.0,8072
29,2320-00-752-9289,"TRUCK,CARGO",1,4202.0,2019
26,2090-20-009-2818,"SEAT,MARINE",3,3957.0,2019
82,4240-DS-SAF-ERES,SAFETY AND RESCUE EQUIPMENT,150,3859.0,10099
55,2541-01-574-5796,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",3,3834.0,2019
141,6670-DS-SCA-LE00,SCALES AND BALANCES,1,3431.0,2020
117,6115-01-416-6295,"GENERATOR SET,DIESEL ENGINE",1,3366.0,2019
142,6730-DS-OVE-RHEA,OVERHEAD PROJECTOR,2,3250.0,4038
8,1240-01-533-0941,"SIGHT,REFLEX",8,3200.0,16152
144,6910-01-129-3195,"MANIKIN HEAD AND TORSO,CARDIOPULMONARY RESUSCITATION TRAINING",2,3046.0,2019
97,5180-01-447-2200,"TOOL KIT,CARPENTERS",1,3026.0,2020
90,5120-01-476-1438,"JACK KIT,HYDRAULIC,HAND",1,2700.0,2020
114,5975-01-616-4594,"CABINET,ELECTRICAL EQUIPMENT",7,2383.0,2019
150,7110-DS-GUN-CABI,GUN CABINET/SAFE,1,2206.0,2019
36,2330-00-028-4191,"TRAILER,CARGO",2,2192.0,4038
128,6515-01-454-3269,"OXIMETER,PULSE",1,2155.0,2020
71,4020-01-028-3841,"ROPE,FIBROUS",4,2132.0,2019
168,8340-01-406-9299,TENT,17,1891.0,2020
233,8465-01-523-6276,"FIELD PACK,LARGE,SET",19,1836.0,14139
163,8145-01-556-1313,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",5,1825.0,2019
96,5180-00-357-7770,"TOOL KIT,REPAIRMAN'S,SMALL ARMS",1,1711.0,2020
138,6625-01-323-9584,"TEST SET,ELECTRONIC SYSTEMS",4,1647.0,2017
66,3950-01-435-2798,"HOIST,CHAIN",1,1567.0,2019
83,4440-DS-DEH-UMID,DEHUMIDIFIER,1,1500.0,2019
17,1385-01-565-1626,"TOOL KIT,EXPLOSIVE ORDNANCE DISPOSAL",3,1458.0,2019
78,4140-DS-BLO-WER1,"BLOWER, AIR CONDITIONING",1,1090.0,2019
6,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",6,1079.0,2020
107,5855-01-538-0191,"ILLUMINATOR,INTEGRATED,SMALL ARMS",22,1014.0,2019
63,3920-DS-PAL-LETJ,PALLET JACK,1,1000.0,2020
151,7110-DS-SAF-E000,SAFE,1,1000.0,2019
94,5130-01-606-1195,"GRINDER,ELECTRIC,PORTABLE",9,996.0,2019
112,5965-01-572-7829,HEADSET-MICROPHONE,30,978.0,2019
39,2340-01-072-3150,MOTORCYCLE,2,850.0,2019
93,5130-01-547-2690,"GRINDER,BENCH",4,844.0,2019
95,5140-01-408-3835,"CABINET,TOOL,MOBILE",1,800.0,2019
248,8465-01-598-7693,FIELD PACK,20,793.0,4038
234,8465-01-524-5250,ASSAULT PACK,104,617.0,16155
84,4910-01-353-9944,"WASHER,PRESSURE,PORTABLE",1,563.0,2019
232,8465-01-519-6490,"BAG,DEPLOYMENT,GN",18,502.0,8076
218,8460-DS-CAS-ELAP,LAPTOP CASE,40,500.0,4039
