,stock_number,item,quantity,value,year
35,2355-01-582-6466,MINE RESISTANT VEHICLE,3,2067000.0,6057
34,2355-01-570-7996,MINE RESISTANT VEHICLE,2,990000.0,4036
37,2355-01-623-0967,MINE RESISTANT VEHICLE,1,767360.0,2019
33,2350-01-575-0646,"UNMANNED VEHICLE,GROUND",4,749248.0,8068
36,2355-01-596-1330,MINE RESISTANT VEHICLE,1,575000.0,2019
64,5855-01-432-0524,"VIEWER,NIGHT VISION",140,504980.0,282600
31,2320-01-413-3739,"TRUCK,UTILITY",2,385026.0,4036
29,1385-DS-ROB-TEOD,EOD ROBOT,11,290112.0,22193
77,5855-01-535-7127,"VIEWER,NIGHT VISION",23,232366.0,46414
27,1385-01-627-3659,"UNMANNED VEHICLE,GROUND",3,160125.0,6054
26,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,2,154000.0,4034
92,5855-DS-NIG-HTVI,"NIGHT VISION EQUIP, EMIT, REFLECTED RAD",10,152014.0,20189
30,2310-01-380-8225,"TRUCK,AMBULANCE",1,142918.0,2018
80,5855-01-554-4673,"SIGHT,THERMAL",12,111888.0,24216
61,5855-01-138-4749,"IMAGE INTENSIFIER,NIGHT VISION",10,107470.0,20170
86,5855-01-585-6610,THERMAL IMAGING SYSTEM,6,87450.0,12108
65,5855-01-433-3157,"IMAGE INTENSIFIER,NIGHT VISION",12,76704.0,24204
38,2360-01-576-8653,"UNMANNED VEHICLE,GROUND",6,76227.0,12102
71,5855-01-523-7707,"SIGHT,THERMAL",8,49728.0,16144
72,5855-01-525-1631,"RECEIVER,INFRARED",6,46812.0,12102
28,1385-01-627-4491,RECON SCOUT XT,3,34669.0,6053
60,5845-01-531-4716,LONG RANGE ACOUSTIC DEVICE,1,34500.0,2019
89,5855-01-621-2725,"VIEWER KIT,NIGHT VISION",1,33626.0,2017
78,5855-01-538-8121,"SIGHT,NIGHT VISION SNIPERSCOPE",4,31758.0,8072
59,5820-01-512-5222,"REPEATER SET,RADIO",1,28527.0,2018
85,5855-01-584-7217,"IMAGE INTENSIFIER,NIGHT VISION",1,26322.0,2019
139,6720-01-599-7375,"CAMERA SYSTEM,RECONNAISSANCE",1,24564.0,2018
90,5855-01-625-8679,"RETICLE ASSEMBLY,OPTICAL INSTRUMENT",1,24229.0,2018
129,6515-01-582-4060,"RECORDER SYSTEM,DEFIBRILLATOR-MONITOR",2,23377.0,2020
45,3930-DS-FOR-KLIF,FORKLIFT,1,21181.0,2019
68,5855-01-477-8741,"IMAGE INTENSIFIER,NIGHT VISION",3,20330.0,4035
88,5855-01-600-2918,"VIEWER,NIGHT VISION",1,19950.0,2019
32,2330-DS-TRA-ILE1,TRAILER,2,19355.0,4040
138,6720-01-553-7118,"CAMERA SYSTEM,RECONNAISSANCE",2,18146.0,4034
97,6115-01-319-9032,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,17730.0,2019
67,5855-01-465-2168,"ILLUMINATOR,INFRARED",2,15573.0,4034
96,6115-00-118-1240,"GENERATOR SET,DIESEL ENGINE",1,14891.0,2019
62,5855-01-228-0937,NIGHT VISION GOGGLE,4,14312.0,8072
70,5855-01-506-5920,"SIGHT,NIGHT VISION SNIPERSCOPE",12,14221.0,24228
63,5855-01-419-9429,"IMAGE INTENSIFIER,NIGHT VISION",1,12434.0,2018
44,3740-00-925-9598,"SPRAYER,PESTICIDE,TRAILER MOUNTED",1,10652.0,2017
69,5855-01-501-9529,"VIEWER,NIGHT VISION",5,10427.0,2018
73,5855-01-531-5726,"SIGHT,NIGHT VISION SNIPERSCOPE",1,10089.0,2018
25,1385-01-574-4707,"UNMANNED VEHICLE,GROUND",1,10000.0,2018
75,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",2,10000.0,4035
82,5855-01-561-5343,"SIGHT,THERMAL",4,8935.0,2018
136,6650-01-336-8197,FIBERSCOPE,2,7500.0,2018
98,6230-01-572-5707,"LIGHT SET,GENERAL ILLUMINATION",3,6522.0,2018
53,4240-01-518-4626,"BARRIER,VEHICLE ARRESTING,PORTABLE",2,6227.0,2018
9,1240-01-533-0939,"SIGHT,BORE,OPTICAL",47,5600.0,14119
87,5855-01-591-0050,"PAN AND TILT ASSEMBLY,THERMAL VIEWER",1,5332.0,2017
91,5855-01-645-0531,"ILLUMINATOR,INFRARED",80,4985.0,6052
46,4120-01-283-4096,AIR CONDITIONER,1,4250.0,2019
18,1240-01-592-9079,"TELESCOPE,STRAIGHT",12,4089.0,6052
42,2541-01-574-5796,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",1,3834.0,2018
95,5980-01-587-5877,"CONTROL-DISPLAY,OPTOELECTRONIC",4,3441.0,2017
66,5855-01-450-1080,"ILLUMINATOR,INFRARED",5,3308.0,2019
74,5855-01-532-3516,"TELESCOPE,NON-INVERTING INFRARED",3,3169.0,6054
1,1005-01-569-7470,RIFLESCOPE,18,2951.0,4037
47,4220-01-584-7592,"VEST,DIVER'S SUIT",2,2919.0,2019
12,1240-01-562-0953,"SIGHT,BORE,OPTICAL",8,2681.0,4035
3,1240-01-411-1265,"SIGHT,REFLEX",127,2568.0,16146
21,1240-01-610-4844,"SIGHT,INFINITY",2,2521.0,2018
11,1240-01-540-3690,"SIGHT,REFLEX",51,2247.0,14126
121,6515-01-523-9935,"THERMOMETER KIT,CLINICAL,HUMAN",7,2044.0,6057
22,1240-01-619-6564,"SIGHT,INFINITY",4,1995.0,2018
81,5855-01-556-7130,"DISPLAY UNIT,HEAD-UP",3,1939.0,2019
57,5180-01-483-0249,"TOOL KIT,GENERAL MECHANICS",1,1780.0,2019
84,5855-01-577-7174,"ILLUMINATOR,INFRARED",21,1768.0,4034
76,5855-01-534-5931,"ILLUMINATOR,INTEGRATED,SMALL ARMS",30,1740.0,4035
20,1240-01-602-4306,SIGHT UNIT,4,1724.0,4035
93,5965-01-521-0941,HEADSET-MICROPHONE,25,1634.0,4035
41,2541-01-435-9693,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",2,1353.0,4034
40,2541-01-435-9690,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",3,1344.0,4035
15,1240-01-576-6134,"SIGHT,REFLEX",87,1338.0,6053
24,1240-DS-OPT-SIGH,OPTICAL SIGHTING AND RANGING EQUIPMENT,4,1329.0,2017
43,2610-21-914-7164,"TIRE,PNEUMATIC,VEHICULAR",4,1275.0,2020
111,6515-01-140-5313,FORCEP SMALL REDU,1,1194.0,2019
116,6515-01-333-3165,OTOSCOPE AND OPHTHALMOSCOPE SET,3,1184.0,6057
16,1240-01-585-3100,MARK 4 SIGHT,4,1111.0,2018
48,4220-01-608-4499,DIVERS SUIT,5,1100.0,2019
83,5855-01-571-1258,"ILLUMINATOR,INTEGRATED,SMALL ARMS",30,1049.0,2019
126,6515-01-564-8377,OTOSCOPE AND OPHTHALMOSCOPE SET,1,1042.0,2019
94,5965-01-572-7829,HEADSET-MICROPHONE,30,978.0,2019
58,5340-01-442-6411,"PLATE,MOUNTING",4,925.0,2017
13,1240-01-562-9459,"RANGE FINDER,LASER",9,800.0,4037
79,5855-01-549-3136,"MOUNT,VIEWER",6,771.0,2017
154,8415-01-558-5597,"MITTEN SHELLS,EXTREME COLD WEATHER",11,654.0,8080
14,1240-01-566-2844,SIGHT UNIT,15,650.0,2018
