,stock_number,item,quantity,value,year
38,2355-01-623-0967,MINE RESISTANT VEHICLE,2,1534720.0,4038
34,2350-01-575-0646,"UNMANNED VEHICLE,GROUND",7,1311184.0,14119
32,2320-01-413-3739,"TRUCK,UTILITY",4,770052.0,8069
37,2355-01-581-2392,MINE RESISTANT VEHICLE,1,705421.0,2020
35,2355-01-553-4634,MINE RESISTANT VEHICLE,1,658000.0,2017
53,5855-01-505-1442,"IMAGE INTENSIFIER,NIGHT VISION",8,528000.0,16160
36,2355-01-570-7996,MINE RESISTANT VEHICLE,1,495000.0,2019
39,2410-00-185-9792,"TRACTOR,FULL TRACKED,LOW SPEED",4,289300.0,8076
68,5855-01-584-7217,"IMAGE INTENSIFIER,NIGHT VISION",10,263220.0,20200
73,5855-01-632-0210,"DETECTING SET,INFRARED",1,200000.0,2020
60,5855-01-548-5687,IMAGE INTENSIFIER N,4,130368.0,8080
59,5855-01-547-9489,"SIGHT,NIGHT VISION SNIPERSCOPE",9,79155.0,18171
31,2320-01-380-8213,"TRUCK,UTILITY",1,77522.0,2017
33,2320-01-456-1282,"TRUCK,UTILITY",1,46983.0,2017
48,5855-01-228-0937,NIGHT VISION GOGGLE,13,46514.0,26221
87,6115-01-274-7387,"GENERATOR SET,DIESEL ENGINE",3,38393.0,6057
108,6720-01-591-7602,"CAMERA,RECONNAISSANCE SYSTEM",1,35272.0,2020
42,3750-DS-LAW-NRID,"LAWN MOWER, RIDING",1,21931.0,2019
72,5855-01-600-2918,"VIEWER,NIGHT VISION",1,19950.0,2019
107,6720-01-546-4674,"CAMERA SYSTEM,DIGITAL",2,17254.0,2019
29,1385-DS-ROB-TEOD,EOD ROBOT,3,14854.0,6053
54,5855-01-506-5920,"SIGHT,NIGHT VISION SNIPERSCOPE",11,13036.0,22220
47,5855-00-629-5334,NIGHT VISION SIGHT INDIVIDUAL SERVED WEAPONS,2,11300.0,4034
43,3930-DS-FOR-KLIF,FORKLIFT,1,11300.0,2019
67,5855-01-582-3974,THERMAL IMAGING SYSTEM,2,10206.0,4040
56,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",2,10000.0,4034
109,7010-01-616-7730,TOUGHBOOK LAPTOP,2,9654.0,4040
61,5855-01-553-1162,THERMAL IMAGING SYSTEM,1,9225.0,2018
79,5895-01-582-2974,"INTERFACE UNIT,COMMUNICATION EQUIPMENT",1,7813.0,2019
66,5855-01-579-6564,"ILLUMINATOR,INTEGRATED,SMALL ARMS",23,7422.0,4034
90,6230-01-572-5707,"LIGHT SET,GENERAL ILLUMINATION",1,6522.0,2019
110,8145-01-118-9884,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",6,6492.0,2019
49,5855-01-433-1217,"VIEWER KIT,NIGHT VISION",10,6336.0,2017
80,5895-01-597-9505,"INTERFACE UNIT,COMMUNICATION EQUIPMENT",6,5355.0,4038
76,5860-01-598-6556,"GL,KIT ASSEMBLY",2,4924.0,4036
65,5855-01-577-7174,"ILLUMINATOR,INFRARED",72,4420.0,10085
50,5855-01-447-8992,"ILLUMINATOR,INFRARED",28,3964.0,8072
58,5855-01-534-5931,"ILLUMINATOR,INTEGRATED,SMALL ARMS",68,3480.0,8073
83,5895-01-625-9994,"INTERFACE UNIT,COMMUNICATION E",8,3452.0,2019
28,1240-20-004-5448,BINOCULAR,8,3230.0,2018
25,1240-01-610-4844,"SIGHT,INFINITY",2,2521.0,2020
71,5855-01-599-7151,"ILLUMINATOR,INTEGRATED,SMALL ARMS",10,2519.0,2020
155,8465-01-586-6103,INDIVIDUAL EQUIPMENT KIT,2,2462.0,2019
16,1005-01-591-2160,"SIGHT UNIT,MECHANICAL",2,2427.0,2019
88,6130-01-495-2839,"CHARGER,BATTERY",2,2411.0,2019
105,6650-01-504-8456,"SPOTTING INSTRUMENT,OPTICAL",6,2322.0,4036
