,stock_number,item,quantity,value,year
125,2355-01-623-0967,MINE RESISTANT VEHICLE,6,4604160.0,12114
231,5855-20-007-6211,"IMAGING SYSTEM,MULTI-MODE",2,2475212.0,4038
121,2355-01-553-4634,MINE RESISTANT VEHICLE,3,1974000.0,6052
124,2355-01-596-1330,MINE RESISTANT VEHICLE,3,1725000.0,6057
122,2355-01-581-2392,MINE RESISTANT VEHICLE,2,1410842.0,4040
60,1615-01-034-0405,TRANSMISSION ASSEMB,6,1222688.0,8068
100,2320-01-413-3739,"TRUCK,UTILITY",5,962565.0,10089
123,2355-01-582-6466,MINE RESISTANT VEHICLE,1,689000.0,2019
219,5445-DS-PRE-FABT,PREFABRICATED TOWER STRUCTURES,7,385000.0,14133
101,2320-01-418-7400,"TRUCK,UTILITY",2,376000.0,4036
309,8340-01-533-5344,"TENT,MODULAR,UTILITY SYSTEM",4,343593.0,6059
96,2320-01-354-3385,"TRUCK,CARGO",3,313878.0,6058
27,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,4,308000.0,8068
120,2355-01-552-5199,MINE RESISTANT VEHICLE,1,300000.0,2019
91,2310-01-111-2274,"TRUCK,AMBULANCE",3,289398.0,6057
29,1520-00-169-7137,"HELICOPTER,OBSERVATION",3,276870.0,6051
113,2330-DS-TRA-ILE1,TRAILER,11,261826.0,20193
220,5450-DS-MSC-PREF,MISCELLANEOUS PREFABRICATED STRUCTURES,1,257086.0,2020
103,2320-01-495-0110,"TRUCK,CARGO",1,218378.0,2019
106,2320-01-540-2038,"TRUCK,UTILITY",1,213578.0,2020
175,3810-01-205-2716,"CRANE,WHEEL MOUNTED",1,210857.0,2019
105,2320-01-523-1432,"TRUCK,CARGO",2,196862.0,4034
104,2320-01-523-1429,"TRUCK,CARGO",2,196862.0,4034
244,6115-01-461-9335,"GENERATOR SET,DIESEL ENGINE",13,186936.0,14134
245,6115-01-462-0291,"GENERATOR SET,DIESEL ENGINE",11,175511.0,14134
179,3930-DS-FOR-KLIF,FORKLIFT,5,174527.0,10095
25,1375-98-206-5633,"FIRING DEVICE SET,DEMOLITION",7,173040.0,8076
89,1940-DS-BOA-T000,SMALL CRAFT BOAT,1,165000.0,2019
294,7360-01-313-2238,"KITCHEN,FIELD,TRAILER MOUNTED",1,145000.0,2019
295,7360-01-483-8617,"KITCHEN,FIELD,TRAILER MOUNTED",1,145000.0,2019
47,1615-00-122-5095,"HOUSING ASSY,MECHAN",5,140226.0,6054
98,2320-01-371-9584,"TRUCK,UTILITY",2,125254.0,4036
97,2320-01-354-4530,"TRUCK,CARGO",1,118791.0,2019
127,2420-01-160-2754,"TRACTOR,WHEELED,INDUSTRIAL",1,110000.0,2019
177,3930-01-054-3833,"TRUCK,LIFT,FORK",1,100010.0,2019
307,8340-01-514-0577,"UTILITIES SUPPORT UNIT,TENT,TRAILER MOUNTED",1,97640.0,2019
95,2320-01-346-9317,"TRUCK,UTILITY",1,91429.0,2020
99,2320-01-380-8233,"TRUCK,UTILITY",1,88634.0,2019
306,8340-01-499-1814,"UTILITIES SUPPORT UNIT,TENT,TRAILER MOUNTED",2,85516.0,2019
93,2320-00-000-0114,"TRUCK,MAINTENANCE",1,70280.0,2019
174,3805-01-242-4876,"LOADER,SCOOP TYPE",1,68813.0,2019
2,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",85,63665.0,171445
126,2410-01-069-0707,"TRACTOR,FULL TRACKED,LOW SPEED",1,63100.0,2019
225,5855-01-526-4703,"SIGHT,NIGHT VISION SNIPERSCOPE",6,60600.0,12108
230,5855-01-610-3175,"VIEWER,NIGHT VISION",2,56700.0,4036
181,3990-DS-MHE-MISC,MISC MATERIALS HANDLING EQUIPMENT,6,54563.0,6057
102,2320-01-456-1282,"TRUCK,UTILITY",1,46983.0,2018
185,4130-01-565-7655,SMALL FIELD REFRIGERATION SYSTEM,3,46500.0,4038
222,5855-01-432-0524,"VIEWER,NIGHT VISION",12,43284.0,24204
94,2320-01-107-7155,"TRUCK,UTILITY",1,41061.0,2018
184,4120-01-526-1060,"AIR CONDITIONER,5 TON",3,40000.0,4038
26,1385-01-592-8822,"UNMANNED VEHICLE,GROUND",2,39942.0,2020
45,1560-00-992-6502,"FIREWALL ASSEMBLY,LOWER",1,37419.0,2019
302,8145-01-533-4149,"CONTAINER,MULTI-SHELTER",1,36809.0,2019
241,6115-01-036-6374,"GENERATOR SET,DIESEL ENGINE",1,35141.0,2019
116,2340-DS-CAR-T000,"CART, MOTORIZED",4,34790.0,8078
242,6115-01-275-5061,"GENERATOR SET,DIESEL ENGINE",5,32100.0,6057
274,6620-01-299-1810,"INDICATOR,ELECTRICAL TACHOMETER",14,30860.0,8068
109,2330-00-788-6315,"SEMITRAILER,VAN",1,27591.0,2019
221,5855-01-422-5413,"GOGGLES,NIGHTVISIO",10,27480.0,20180
240,6115-00-258-1622,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,23731.0,2020
108,2320-DS-PIC-KUP0,PICKUP,1,23432.0,2019
110,2330-01-204-3854,"TRAILER,FLAT BED",1,22848.0,2020
178,3930-01-178-0954,"TRUCK,LIFT,FORK",1,21313.0,2020
254,6230-01-563-5725,"LIGHT UNIT,PORTABLE",1,21211.0,2017
303,8340-01-185-2628,TENT,2,21192.0,4038
237,6110-00-181-3382,"PANEL,POWER DISTRIBUTION",5,20994.0,10085
34,1560-00-158-9195,"PANEL ASSEMBLY,CABIN ROOF",1,20092.0,2019
68,1615-01-214-9167,"GEARBOX ASSY,T R 90",2,20060.0,4034
146,3020-00-967-7659,"GEAR,SPUR",1,18573.0,2017
243,6115-01-319-9032,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,17730.0,2020
119,2340-DS-MUL-E000,MULE,4,17499.0,4038
70,1615-01-268-5777,DRIVE SHAFT ASSEMB,6,15916.0,2017
71,1660-00-132-1038,"MIXING VALVE,REMOTE",3,15067.0,2017
111,2330-01-471-7006,"CHASSIS,TRAILER",3,14959.0,2020
176,3815-01-335-6673,GANTRY,1,14115.0,2019
107,2320-01-571-3861,"TRUCK,UTILITY",1,13000.0,2020
201,4920-00-994-1129,"ADAPTER,HOISTING,RE",3,12540.0,2017
300,8145-01-465-3685,"STORAGE CONTAINER,FLEXIBLE",2,12293.0,2020
24,1367-01-561-5277,"CAPABILITIES SET,NON-LETHAL",1,12256.0,2018
256,6310-DS-TRA-FFIC,TRAFFIC AND TRANSIT SIGNAL SYSTEMS,8,12188.0,4038
252,6230-01-439-3732,"FLOODLIGHT SET,ELECTRIC",2,12000.0,2020
63,1615-01-163-3818,"GRIP ASSEMBLY,MAIN ROTOR",2,11126.0,4034
88,1940-01-262-3993,"BOAT,INFLATABLE",1,10102.0,2020
92,2310-DS-VAN-0000,VAN,1,9999.0,2019
308,8340-01-533-1675,TENT,4,9975.0,2020
157,3040-01-041-9376,"GEARSHAFT,HELICAL",2,8899.0,4036
285,7021-DS-NOT-EBO1,NOTEBOOK COMPUTER,70,7945.0,10095
51,1615-00-225-5111,"PARTS KIT,ROTOR CON",4,7917.0,4038
115,2340-DS-ATV-4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",2,7291.0,2019
204,5140-01-588-1472,"CABINET,TOOL,MOBILE",5,7027.0,4038
144,2935-00-410-2463,"IMPELLER,TRBINE FA",16,6936.0,4034
235,5965-01-568-2627,"HORN,LOUDSPEAKER",1,6852.0,2020
52,1615-00-255-2905,"HUB ASSEMBLY,COLLECTIVE",1,6609.0,2017
131,2530-01-576-5896,"WHEEL,PNEUMATIC TIRE",8,6450.0,4038
182,4110-01-450-9819,"REFRIGERATOR,MECHANICAL,FOOD",2,6313.0,2020
57,1615-00-996-7491,"CASE ASSEMBLY,TRANS",10,6242.0,2017
114,2340-00-585-7495,"SCOOTER,MOTOR",1,6100.0,2019
16,1240-01-411-1265,"SIGHT,REFLEX",145,6099.0,38342
275,6620-01-299-1811,"INDICATOR,ELECTRICAL TACHOMETER",7,5698.0,4034
218,5430-01-203-9971,"TANK,WATER,MODULE",3,5524.0,2019
299,8145-00-034-1063,"SHIPPING AND STORAGE CONTAINER,ENGINE",1,5509.0,2019
190,4240-00-199-7353,"HARNESS,SAFETY,INDUSTRIAL",1,5318.0,2019
233,5895-01-550-0114,"CONTROL,RECEIVER-TRANSMITTER",9,5259.0,4034
281,6680-00-758-2816,"TRANSMITTER,LIQUID QUANTITY",1,5231.0,2017
304,8340-01-456-3628,TENT,2,5048.0,2019
55,1615-00-893-3442,"CASE,TRANSMISSION",10,5033.0,2017
64,1615-01-214-0201,"BLADE ASSY,TAIL ROT",1,5024.0,2019
