,stock_number,item,quantity,value,year
192,2355-01-553-4634,MINE RESISTANT VEHICLE,7,4606000.0,14122
196,2355-01-623-0967,MINE RESISTANT VEHICLE,5,3836800.0,10095
194,2355-01-582-6466,MINE RESISTANT VEHICLE,4,2756000.0,8077
193,2355-01-570-7996,MINE RESISTANT VEHICLE,4,1980000.0,8074
130,2310-01-111-2274,"TRUCK,AMBULANCE",18,1736388.0,36337
195,2355-01-596-1330,MINE RESISTANT VEHICLE,3,1725000.0,6057
188,2350-01-575-0646,"UNMANNED VEHICLE,GROUND",8,1498496.0,16136
159,2320-01-493-3789,"TRUCK,CARGO",4,1446516.0,8068
154,2320-01-413-3739,"TRUCK,UTILITY",7,1347591.0,14123
96,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,12,924000.0,24205
114,1615-01-034-0405,TRANSMISSION ASSEMB,3,917016.0,6051
151,2320-01-371-9583,"TRUCK,UTILITY",12,764184.0,24216
136,2320-01-100-7673,"TRUCK,CARGO",2,723258.0,4034
100,1520-01-020-4216,"HELICOPTER,OBSERVATION",3,572451.0,6054
190,2355-01-552-5173,MINE RESISTANT VEHICLE,1,542000.0,2018
469,5855-01-432-0524,"VIEWER,NIGHT VISION",136,490552.0,274644
462,5855-01-228-0937,NIGHT VISION GOGGLE,114,407892.0,230104
92,1367-01-561-5278,"CAPABILITIES SET,NON-LETHAL",1,401038.0,2019
157,2320-01-447-6343,"TRUCK,CARGO",2,352856.0,4038
146,2320-01-230-0307,"TRUCK,CARGO",5,335695.0,10095
774,6930-DS-OPS-TRND,OPERATION TRAINING DEVICES,1,332379.0,2018
141,2320-01-128-9551,"TRUCK,UTILITY",6,302748.0,12103
189,2355-01-529-2246,MINE RESISTANT VEHICLE,1,300000.0,2019
191,2355-01-552-5199,MINE RESISTANT VEHICLE,1,300000.0,2019
95,1385-01-534-9828,"UNMANNED VEHICLE,GROUND",1,298861.0,2017
659,6515-01-521-2371,"DEFIBRILLATOR,AED,BIPHASIC,UNIVERSAL",18,260228.0,36360
150,2320-01-360-1898,"TRUCK,CARGO",2,231278.0,4038
163,2320-01-540-2038,"TRUCK,UTILITY",1,213578.0,2019
162,2320-01-540-2017,"TRUCK,UTILITY",1,212255.0,2018
148,2320-01-354-3385,"TRUCK,CARGO",2,209252.0,4038
165,2320-DS-NTV-UARM,UP ARMORED NTVS,2,197158.0,4036
471,5855-01-433-3157,"IMAGE INTENSIFIER,NIGHT VISION",29,185368.0,58493
152,2320-01-380-8604,"TRUCK,UTILITY",2,179800.0,4036
153,2320-01-412-0143,"TRUCK,UTILITY",2,179254.0,4038
177,2330-DS-TRA-ILE1,TRAILER,12,177193.0,24231
8,1005-01-128-9936,"RIFLE,5.56 MILLIMETER",233,174517.0,469961
551,6115-01-474-3783,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",2,171188.0,4038
156,2320-01-447-3891,"TRUCK,CARGO",1,170073.0,2020
476,5855-01-462-9279,"ELECTRONIC UNIT,NIGHT VISION VIEWER",1,166218.0,2017
479,5855-01-474-8904,"SIGHT,NIGHT VISION SNIPERSCOPE",30,159420.0,60530
303,3930-DS-FOR-KLIF,FORKLIFT,7,146408.0,12118
123,1680-01-552-3442,"HOIST,INTERNAL RESCUE",6,144092.0,2017
493,5855-01-526-4703,"SIGHT,NIGHT VISION SNIPERSCOPE",13,131301.0,26234
99,1385-DS-ROB-TEOD,EOD ROBOT,4,130807.0,8069
546,6115-01-413-3818,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",5,128785.0,10095
149,2320-01-354-3386,"TRUCK,CARGO",1,128076.0,2019
1097,9999-01-464-2285,NON-LETHAL WEAPONS CAPABILITY SET,1,126774.0,2017
517,5855-DS-THR-MIMG,THERMAL IMAGINING EQUIPMENT,22,119237.0,44408
787,7021-DS-SER-VER2,NETWORK SERVER,12,119033.0,24234
198,2420-01-160-2754,"TRACTOR,WHEELED,INDUSTRIAL",1,110000.0,2020
484,5855-01-490-6798,"VIEWER,NIGHT VISION",5,103035.0,10090
300,3930-01-054-3833,"TRUCK,LIFT,FORK",1,100010.0,2020
142,2320-01-128-9552,"TRUCK,UTILITY",2,99794.0,4035
488,5855-01-523-7707,"SIGHT,THERMAL",16,99456.0,32297
199,2420-DS-TRA-CTO1,"TRACTORS, WHEELED",1,98953.0,2020
161,2320-01-518-7330,"TRUCK,UTILITY",1,97461.0,2017
550,6115-01-474-3776,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",1,96819.0,2019
132,2310-01-372-3934,"TRUCK,AMBULANCE",1,96466.0,2019
492,5855-01-524-4314,"SIGHT,THERMAL",8,95992.0,16144
176,2330-01-560-6538,"TRAILER,RECOVERY",1,92881.0,2018
912,8340-01-514-0578,"UTILITIES SUPPORT UNIT,TENT,TRAILER MOUNTED",1,92131.0,2019
744,6665-01-521-4676,"ANALYZER,HAZARDOUS MATERIAL IDENTIFICATION",1,88870.0,2019
511,5855-01-585-1631,"SIGHT,THERMAL",6,86892.0,12108
515,5855-DS-THR-MCAM,THERMAL CAMERA,6,86000.0,12112
71,1240-01-504-2221,"RANGE FINDER,LASER",5,82004.0,8068
440,5419-01-465-3019,"BIVOUAC SYSTEM,MODULAR,MILITARY UNIT",1,81815.0,2019
131,2310-01-111-2275,"TRUCK,AMBULANCE",1,78499.0,2018
120,1680-00-183-0834,"TRANSMISSION ASSY,H",1,76675.0,2017
288,3805-01-052-9043,"LOADER,SCOOP TYPE",1,75450.0,2019
743,6665-01-512-7300,"ANALYZER,HAZARDOUS MATERIAL IDENTIFICATION",1,75313.0,2017
489,5855-01-523-7713,"SIGHT,THERMAL",8,75296.0,16136
301,3930-01-158-0849,"TRUCK,LIFT,FORK",1,72370.0,2019
98,1385-01-627-4491,RECON SCOUT XT,6,69338.0,12102
145,2320-01-215-7631,"TRUCK,VAN",2,66164.0,4039
167,2320-DS-TRU-CK00,TRUCKS AND TRUCK TRACTORS,2,66000.0,4038
490,5855-01-523-7715,"SIGHT,THERMAL",6,63048.0,12104
183,2340-DS-ATV-4WHE,"ALL TERRAIN VEHICLE, 4 WHEEL",7,61476.0,12114
773,6920-01-619-0787,FATS 5 SYSTEM,1,60000.0,2019
504,5855-01-548-1555,"SIGHT,NIGHT VISION SNIPERSCOPE",6,56915.0,12114
778,7010-01-660-8605,"COMPUTER SYSTEM,DIGITAL",28,53902.0,56532
97,1385-01-627-3659,"UNMANNED VEHICLE,GROUND",1,53375.0,2018
197,2360-01-576-8653,"UNMANNED VEHICLE,GROUND",4,50818.0,8068
545,6115-01-299-6035,"POWER PLANT,ELECTRIC,TRAILER MOUNTED",1,50294.0,2019
427,5180-01-572-1858,"TOOL,KIT",2,50050.0,4039
117,1615-01-270-2982,"HUB,ROTOR,HELICOPTER",2,49769.0,2017
594,6230-01-572-5707,"LIGHT SET,GENERAL ILLUMINATION",23,45651.0,14121
182,2340-01-607-2482,ALL TERRAIN VEHICLE WHEELED,3,44754.0,6057
443,5450-01-544-7458,COLLECTIVELY PROTEC,1,44559.0,2017
110,1615-00-795-0661,"QUILL ASSEMBLY,TAIL",1,44020.0,2018
258,2815-01-453-7402,"ENGINE,DIESEL",2,41932.0,4038
143,2320-01-146-7193,"TRUCK,UTILITY",1,41447.0,2017
137,2320-01-107-7155,"TRUCK,UTILITY",1,41061.0,2018
91,1367-01-561-5276,"CAPABILITIES SET,NON-LETHAL",4,40941.0,2018
113,1615-00-918-2676,"GEAR BOX ASSEMBLY,T",2,39961.0,2018
783,7021-01-579-6719,"COMPUTER,DIGITAL",16,39693.0,6060
158,2320-01-458-0380,"TRUCK,STAKE",1,38530.0,2020
549,6115-01-470-6376,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,38418.0,2019
364,4910-01-620-2867,SMOKE MACHINE,4,37759.0,8076
719,6610-01-384-0112,"INDICATOR,ATTITUDE",1,37608.0,2020
500,5855-01-536-3532,"SIGHT,THERMAL",1,35500.0,2018
467,5855-01-422-4720,"IMAGE INTENSIFIER TUBE,NIGHT VISION",16,35488.0,32272
756,6720-01-591-7602,"CAMERA,RECONNAISSANCE SYSTEM",2,35272.0,2019
863,7830-DS-TRE-ADM1,TREADMILL,7,35230.0,14133
503,5855-01-547-9489,"SIGHT,NIGHT VISION SNIPERSCOPE",4,35180.0,8068
543,6115-01-036-6374,"GENERATOR SET,DIESEL ENGINE",1,35141.0,2019
368,4920-01-455-7741,"TESTER,PITOT AND STATIC SYSTEMS",1,35000.0,2019
175,2330-01-449-1775,"TRAILER,FLAT BED",1,35000.0,2019
505,5855-01-563-8040,"VIEWER,NIGHT VISION",1,35000.0,2019
465,5855-01-383-6544,"SIGHT,THERMAL",2,34000.0,4038
458,5830-01-581-2404,PUBLIC ADDRESS SET,1,33434.0,2018
256,2815-01-374-7539,"ENGINE,DIESEL",8,32961.0,2019
290,3805-01-552-4485,"LOADER,SKID STEER",1,31390.0,2020
463,5855-01-228-0939,NIGHT VISION GOGGLE,4,30484.0,8073
118,1650-01-187-9395,"CYLINDER ASSEMBLY,ACTUATING,LINEAR",3,29836.0,2019
883,8145-01-465-4239,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",3,28950.0,4038
553,6115-DS-GEN-ERA1,"GENERATORS AND GENERATOR SETS, ELECTRICA",12,26522.0,18171
409,5140-DS-TOO-LBOX,TOOLBOX,21,26514.0,22211
147,2320-01-285-4481,"TRUCK,VAN",1,25718.0,2019
164,2320-01-543-6922,"TRUCK,CARRYALL",1,25700.0,2019
497,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",5,25000.0,10085
