,stock_number,item,quantity,value,year
224,5855-01-505-1442,"IMAGE INTENSIFIER,NIGHT VISION",83,2970000.0,90834
96,2355-01-553-4634,MINE RESISTANT VEHICLE,4,2632000.0,8070
97,2355-01-570-7996,MINE RESISTANT VEHICLE,5,2475000.0,10091
234,5855-01-529-4684,"IMAGE INTENSIFIER,NIGHT VISION",27,1782000.0,54511
194,5855-01-432-0524,"VIEWER,NIGHT VISION",465,1677255.0,938791
90,2320-01-413-3739,"TRUCK,UTILITY",6,1155078.0,12102
98,2355-01-581-2392,MINE RESISTANT VEHICLE,1,705421.0,2020
99,2355-01-596-1330,MINE RESISTANT VEHICLE,1,575000.0,2019
268,5855-01-584-7217,"IMAGE INTENSIFIER,NIGHT VISION",21,552762.0,42416
84,1385-01-593-6219,PACKBOT 510 WITH FASTAC REMOTELY CONTROLLED VEHICLE,6,462000.0,12110
243,5855-01-535-7127,"VIEWER,NIGHT VISION",40,404114.0,80743
231,5855-01-524-4314,"SIGHT,THERMAL",26,311974.0,52468
80,1385-01-534-9828,"UNMANNED VEHICLE,GROUND",1,298861.0,2018
269,5855-01-585-6610,THERMAL IMAGING SYSTEM,20,291500.0,40371
179,5855-01-228-0937,NIGHT VISION GOGGLE,76,271928.0,153362
91,2320-01-540-2038,"TRUCK,UTILITY",1,213578.0,2019
208,5855-01-465-2168,"ILLUMINATOR,INFRARED",26,202444.0,52476
82,1385-01-556-0212,"UNMANNED VEHICLE,GROUND",1,175000.0,2019
248,5855-01-547-9489,"SIGHT,NIGHT VISION SNIPERSCOPE",19,167105.0,38361
230,5855-01-524-4313,"SIGHT,THERMAL",14,158200.0,28260
209,5855-01-465-2170,"ILLUMINATOR,INFRARED",16,139184.0,32304
236,5855-01-531-5726,"SIGHT,NIGHT VISION SNIPERSCOPE",12,121068.0,24239
255,5855-01-558-3616,NIGHT VISION DEVICE,161,92807.0,22209
86,1385-DS-ROB-TEOD,EOD ROBOT,9,87688.0,18167
461,7830-DS-REC-GYME,RECREATIONAL AND GYMNASTIC EQUIPMENT,2,87117.0,4038
280,5855-01-600-6437,THERMAL IMAGING SYSTEM,5,78675.0,10094
246,5855-01-538-7994,"VIEWER,NIGHT VISION",16,76153.0,8073
679,8465-01-569-8803,"KIT,MODERN COMBATIVES",5,72132.0,10097
244,5855-01-536-3532,"SIGHT,THERMAL",2,71000.0,4036
85,1385-01-627-4491,RECON SCOUT XT,6,69338.0,12108
216,5855-01-491-0140,NIGHT SIGHT VISION,15,67590.0,30256
249,5855-01-548-5687,IMAGE INTENSIFIER N,2,65184.0,4036
110,3805-01-550-0883,"MULTI-TERRAIN LOADER,277C",1,62942.0,2020
191,5855-01-419-9429,"IMAGE INTENSIFIER,NIGHT VISION",19,62170.0,10085
81,1385-01-553-4316,"UNMANNED VEHICLE,GROUND",1,56664.0,2018
256,5855-01-561-0057,"SIGHT,THERMAL",8,56642.0,16143
215,5855-01-490-6600,"VIEWER,NIGHT VISION",7,53649.0,8076
229,5855-01-523-7715,"SIGHT,THERMAL",5,52540.0,10086
100,2360-01-576-8653,"UNMANNED VEHICLE,GROUND",4,50818.0,8068
219,5855-01-499-4054,"IMAGE INTENSIFIER,NIGHT VISION",4,50648.0,8076
378,6515-01-659-4040,"RECORDER SYSTEM,DEFIBRILLATOR-MONITOR",1,46341.0,2019
238,5855-01-533-0557,"SIGHT,THERMAL",3,45000.0,6051
233,5855-01-528-2743,"IMAGE INTENSIFIER,NIGHT VISION",72,44744.0,14127
87,1940-DS-BOA-T000,SMALL CRAFT BOAT,2,43956.0,4038
78,1367-01-561-5276,"CAPABILITIES SET,NON-LETHAL",2,40941.0,2018
414,6650-DS-BIN-OCUL,BINOCULARS,6,37105.0,10096
254,5855-01-553-1162,THERMAL IMAGING SYSTEM,26,36901.0,8074
419,6720-01-591-7602,"CAMERA,RECONNAISSANCE SYSTEM",1,35272.0,2019
294,5965-01-568-2627,"HORN,LOUDSPEAKER",7,34259.0,10099
93,2340-DS-MUL-E000,MULE,2,33472.0,4038
237,5855-01-533-0555,"ILLUMINATOR,INFRARED",163,32400.0,36326
89,2310-01-623-1545,"UTILITY VEHICLE,OFF ROAD",1,32000.0,2019
270,5855-01-587-0783,"IMAGE INTENSIFIER,NIGHT VISION",1,32000.0,2019
196,5855-01-433-3157,"IMAGE INTENSIFIER,NIGHT VISION",5,31960.0,10093
92,2340-01-607-2482,ALL TERRAIN VEHICLE WHEELED,2,29836.0,4038
241,5855-01-534-5931,"ILLUMINATOR,INTEGRATED,SMALL ARMS",194,26100.0,60541
266,5855-01-582-1584,"ILLUMINATOR,INFRARED",50,25004.0,38343
222,5855-01-503-4799,"IMAGE INTENSIFIER,NIGHT VISION",10,23760.0,20188
437,7021-01-571-1374,"COMPUTER,DIGITAL",22,20970.0,14119
220,5855-01-501-9529,"VIEWER,NIGHT VISION",9,20854.0,4037
212,5855-01-477-8741,"IMAGE INTENSIFIER,NIGHT VISION",6,20330.0,4038
312,6220-01-560-1138,"LIGHT BAR,ASSEMBLY KIT",2,19542.0,4038
195,5855-01-433-1217,"VIEWER KIT,NIGHT VISION",3,19008.0,6057
147,4320-01-591-7980,"PARTS KIT,HYDRAULIC PUMP",7,17880.0,8080
223,5855-01-504-4590,"IMAGE INTENSIFIER,NIGHT VISION",7,17850.0,14133
102,2510-01-567-8727,"TURRET,COMBAT VEHICLE",1,16712.0,2018
63,1240-01-572-3753,"RANGE FINDER,LASER",2,16445.0,2019
279,5855-01-599-7164,"ILLUMINATOR,INTEGRATED,SMALL ARMS",21,16180.0,12116
204,5855-01-450-2333,"BINOCULAR,NIGHT VISION",16,16112.0,4036
227,5855-01-511-0994,"VIEWER KIT,NIGHT VISION",1,14689.0,2019
218,5855-01-495-1038,"IMAGE INTENSIFIER,NIGHT VISION",10,14203.0,2018
207,5855-01-460-9934,"IMAGE INTENSIFIER,NIGHT VISION",2,13771.0,4036
111,3930-DS-FOR-KLIF,FORKLIFT,1,13401.0,2020
289,5860-01-544-7175,"LASER,DIRECTIONAL ASSEMBLY",4,13085.0,2018
291,5895-01-598-4531,"INTERFACE UNIT,COMMUNICATION EQUIPMENT",62,12984.0,34306
95,2340-DS-SNO-WMOB,SNOWMOBILE,1,12850.0,2019
189,5855-01-407-2300,"IMAGE INTENSIFIER,NIGHT VISION",2,12739.0,2020
435,6930-DS-OPS-TRND,OPERATION TRAINING DEVICES,2,12602.0,2019
79,1367-01-561-5277,"CAPABILITIES SET,NON-LETHAL",1,12256.0,2017
52,1240-01-411-1265,"SIGHT,REFLEX",412,11877.0,74675
284,5855-01-661-4314,"RECEIVER,INFRARED",1,11437.0,2019
226,5855-01-509-6871,"SIGHT,UNS,AN,PVS22",1,11412.0,2018
104,2541-01-555-4876,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",3,11186.0,6057
149,4910-01-620-3116,MAINTENANCE KIT,10,10492.0,6060
299,5980-01-525-1688,"CONTROL-DISPLAY,OPTOELECTRONIC",7,10323.0,6057
267,5855-01-582-3974,THERMAL IMAGING SYSTEM,2,10206.0,4038
239,5855-01-533-0940,"SIGHT,NIGHT VISION SNIPERSCOPE",2,10000.0,4037
83,1385-01-574-4707,"UNMANNED VEHICLE,GROUND",1,10000.0,2019
285,5855-DS-NIG-HTVI,"NIGHT VISION EQUIP, EMIT, REFLECTED RAD",2,9917.0,4038
62,1240-01-568-8373,"MOUNT,SIGHT",22,8812.0,16145
309,6210-DS-LIG-HTSE,LIGHT SET,1,8600.0,2020
103,2530-01-555-5456,"WHEEL,PNEUMATIC TIRE",10,8286.0,4040
192,5855-01-422-5413,"GOGGLES,NIGHTVISIO",3,8244.0,6054
65,1240-01-575-1105,"RANGE FINDER,LASER",1,7974.0,2019
247,5855-01-538-8121,"SIGHT,NIGHT VISION SNIPERSCOPE",1,7939.0,2018
163,5180-DS-TOO-LKIT,"SETS, KITS, AND OUTFITS OF HAND TOOLS",5,7932.0,6060
232,5855-01-525-1631,"RECEIVER,INFRARED",1,7802.0,2019
278,5855-01-599-7151,"ILLUMINATOR,INTEGRATED,SMALL ARMS",19,7558.0,6060
389,6530-01-504-9051,"LITTER,FOLDING,RIGID POLE",74,7269.0,24228
217,5855-01-491-6967,NIGHT VISION SIGHT,1,7098.0,2018
318,6230-01-589-4829,"LIGHT KIT,WEAPONS",1,6954.0,2020
71,1240-01-589-9332,"SIGHT,INFINITY",7,6921.0,6057
190,5855-01-416-5085,"IMAGE INTENSIFIER,NIGHT VISION",11,6656.0,2020
446,7110-01-502-5826,"DESK,FIELD",3,6157.0,6060
88,2010-DS-OUT-MOTO,OUTBOARD MOTOR,4,6100.0,6058
157,5180-01-447-2200,"TOOL KIT,CARPENTERS",2,6051.0,4040
94,2340-DS-SCO-OTER,SCOOTER,1,6000.0,2019
106,2805-01-618-4915,"OUTBOARD MOTOR,GASOLINE",2,6000.0,4038
225,5855-01-506-5920,"SIGHT,NIGHT VISION SNIPERSCOPE",5,5926.0,10095
296,5965-01-572-7829,HEADSET-MICROPHONE,70,5866.0,12111
211,5855-01-477-8738,"IMAGE INTENSIFIER,NIGHT VISION",10,5777.0,2018
105,2541-01-574-7317,"ARMOR,TRANSPARENT,VEHICULAR WINDOW",20,5680.0,4036
416,6665-01-506-6219,"DETECTING SET,MINE",2,5657.0,2018
418,6685-DS-GAG-E001,"PRESSURE, TEMP, AND HUMIDITY MEASURING",3,5645.0,4038
433,6910-DS-TRA-INAI,TRAINING AIDS,76,5511.0,14136
322,6230-01-614-3371,SEARCHLIGHT,4,5499.0,2019
272,5855-01-591-0050,"PAN AND TILT ASSEMBLY,THERMAL VIEWER",4,5332.0,2019
210,5855-01-474-8904,"SIGHT,NIGHT VISION SNIPERSCOPE",1,5314.0,2019
264,5855-01-577-7174,"ILLUMINATOR,INFRARED",68,5304.0,12112
156,5180-00-596-1510,"TOOL KIT,METAL WORKERS",2,5134.0,4040
214,5855-01-490-5375,"TELESCOPE,NON-INVERTING INFRARED",1,5025.0,2017
738,9340-01-343-1433,"WINDOW,OBSERVATION",3,4939.0,2019
290,5860-01-598-6556,"GL,KIT ASSEMBLY",5,4924.0,4036
399,6545-01-533-8207,"CASE,MEDICAL INSTRUMENT AND SUPPLY SET",3,4860.0,4039
459,7830-DS-CRO-SSTR,CROSS TRAINER,1,4854.0,2020
411,6650-01-504-8456,"SPOTTING INSTRUMENT,OPTICAL",9,4644.0,8074
160,5180-01-483-1431,"TOOL KIT,MEDICAL EQUIPMENT",1,4413.0,2020
59,1240-01-540-3690,"SIGHT,REFLEX",287,4173.0,26241
380,6515-DS-DEF-IBRI,DEFIBRULATOR,9,4077.0,6057
56,1240-01-533-0939,"SIGHT,BORE,OPTICAL",39,4000.0,10095
75,1240-01-619-6564,"SIGHT,INFINITY",4,3990.0,4038
303,6115-01-390-8654,"GENERATOR,ALTERNATING CURRENT",1,3918.0,2019
297,5965-01-572-7941,HEADSET-MICROPHONE,8,3908.0,8076
398,6545-01-533-8202,"CASE,MEDICAL INSTRUMENT AND SUPPLY SET",43,3712.0,10098
240,5855-01-533-3888,"VIEWER,NIGHT VISION",1,3650.0,2018
159,5180-01-483-0249,"TOOL KIT,GENERAL MECHANICS",2,3560.0,4040
161,5180-01-506-8287,"TOOL KIT,SMALL ARMS",3,3422.0,4040
250,5855-01-548-9718,WIRED HOUSING ASSEMBLY,12,3357.0,2018
76,1240-20-006-8632,"TELESCOPE,ARTICULATED",29,3314.0,4038
203,5855-01-450-1080,"ILLUMINATOR,INFRARED",2,3308.0,2019
46,1095-01-526-7860,"FIRING DEVICE,NON-LETHAL",31,3237.0,6054
40,1005-99-132-2616,"KIT,CONVERSION,M16-",133,3176.0,16145
245,5855-01-538-0191,"ILLUMINATOR,INTEGRATED,SMALL ARMS",55,3042.0,6055
155,5140-DS-TOO-LBOX,TOOLBOX,1,3032.0,2020
460,7830-DS-ELL-IPTI,ELLIPTICAL,2,3000.0,2020
118,4220-01-584-7592,"VEST,DIVER'S SUIT",6,2919.0,2019
277,5855-01-594-2892,"ILLUMINATOR,INTEGRATED,SMALL ARMS",2,2838.0,4036
38,1005-01-647-7604,"RECEIVER,CARTRIDGE",36,2829.0,4040
358,6515-01-500-6087,"BLANKET,HYPOTHERMIA,BATTERY POWERED",4,2815.0,2019
265,5855-01-578-1396,"ILLUMINATOR,INTEGRATED,SMALL ARMS",10,2731.0,2019
72,1240-01-592-9079,"TELESCOPE,STRAIGHT",3,2726.0,4038
720,8465-01-622-7538,"VEST,NON-BALLISTIC PROTECTIVE,ARMOR-CARRYING",6,2534.0,6057
30,1005-01-569-8900,RIFLESCOPE,5,2500.0,4039
432,6910-01-623-1504,"AIRWAY,MANIKIN,RESUSCITATION TRAINING",6,2495.0,2020
281,5855-01-609-6819,"MOUNT,VIEWER",4,2485.0,4040
391,6530-01-562-6008,"THERMAL GUARD,ABSORBENT PATIENT LITTER S",1,2444.0,2019
305,6130-01-555-7817,"CHARGER,BATTERY",2,2439.0,2019
295,5965-01-572-7797,HEADSET-MICROPHONE,46,2382.0,4038
257,5855-01-566-5301,"MOUNTING LOCKING MECHANISM,GOGGLES,NIGHT VISION",65,2226.0,10097
426,6760-01-529-6905,"LENS,CAMERA,GENERAL PHOTOGRAPHIC",1,2178.0,2020
51,1240-01-386-2771,"TELESCOPE,STRAIGHT",3,2160.0,2017
109,3405-01-533-1368,"SAW,CIRCULAR BLADE,METAL CUTTING",2,2125.0,2019
372,6515-01-557-1136,"OXIMETER,PULSE",5,2048.0,10095
158,5180-01-460-9328,"TOOL KIT,ELECTRONIC SYSTEM",2,2002.0,2020
528,8415-01-538-6300,"PARKA,EXTREME COLD WEATHER",48,1983.0,32311
70,1240-01-587-9345,"SIGHT,REFLEX",11,1917.0,6058
401,6545-01-539-6450,"BAG,MEDICAL AID",29,1858.0,10096
174,5820-01-524-6843,"RECEIVER-TRANSMITTER,RADIO",1,1841.0,2017
60,1240-01-552-3720,SIGHT UNIT,4,1800.0,2018
66,1240-01-576-6134,"SIGHT,REFLEX",39,1784.0,8076
314,6230-01-552-3289,FLASHLIGHT,28,1715.0,4040
162,5180-01-559-5981,"TOOL KIT,SMALL ARMS",1,1711.0,2020
436,7010-DS-LAP-TOPS,COMPUTER SYSTEMS LAPTOP,4,1699.0,2020
719,8465-01-622-7510,"VEST,NON-BALLISTIC PROTECTIVE,ARMOR-CARRYING",9,1689.0,4038
722,8465-01-622-7791,"VEST,NON-BALLISTIC PROTECTIVE,ARMOR-CARRYING",4,1657.0,4038
723,8465-01-622-7792,"VEST,NON-BALLISTIC PROTECTIVE,ARMOR-CARRYING",2,1657.0,4038
714,8465-01-603-6613,BAG DEPLOYMENT,35,1644.0,12120
302,5998-01-555-4842,ELECTRONIC COMPONENTS ASSEMBLY,1,1615.0,2017
534,8415-01-538-6706,"TROUSERS,EXTREME COLD WEATHER",55,1594.0,30293
396,6545-01-381-0654,"LITTER TAGLINE,MMS KIT,HELICOPTER",15,1579.0,8077
251,5855-01-549-3136,"MOUNT,VIEWER",29,1542.0,4035
39,1005-20-002-4811,"MODIFICATION KIT,GUN,WEAPON",66,1515.0,8074
570,8415-01-545-8724,"PARKA,EXTREME COLD WEATHER",28,1511.0,26254
274,5855-01-593-6375,"MOUNTING LOCKING MECHANISM,GOGGLES,NIGHT VISION",19,1502.0,6059
385,6530-01-452-1651,"LITTER,EVACUATION",2,1499.0,4038
29,1005-01-569-7470,RIFLESCOPE,1,1476.0,2020
470,8340-01-521-6438,"SHELTER,ICS IMPROVED COMBAT SHELTER",59,1453.0,8078
431,6910-01-579-3812,"MANIKIN,TRAUMA AND RESUSCITATION TRAINING",3,1410.0,2019
393,6530-01-620-2574,"RESCUE AND TRANSPORT SYSTEM,PATIENT",2,1402.0,4039
37,1005-01-647-6884,"RECEIVER,CARTRIDGE",8,1391.0,2020
527,8415-01-538-6289,"PARKA,EXTREME COLD WEATHER",38,1363.0,22215
529,8415-01-538-6308,"PARKA,EXTREME COLD WEATHER",24,1363.0,22212
101,2510-01-498-4996,"KIT,GUNNER SHIELD",1,1358.0,2017
645,8465-01-445-6274,MODULAR SLEEP SYSTEM,83,1312.0,10096
317,6230-01-588-8427,"LIGHT KIT,WEAPONS",75,1307.0,6052
252,5855-01-550-2780,"ILLUMINATOR,INTEGRATED,SMALL ARMS",27,1306.0,2019
213,5855-01-485-4223,"ILLUMINATOR,INFRARED",2,1279.0,2019
533,8415-01-538-6704,"TROUSERS,EXTREME COLD WEATHER",35,1275.0,24235
417,6665-01-543-4351,"DOSIMETER KIT,NOISE",1,1246.0,2020
447,7110-01-559-9642,"DESK,FIELD",1,1242.0,2020
57,1240-01-533-0941,"SIGHT,REFLEX",21,1200.0,6055
54,1240-01-490-7308,"SIGHT,REFLEX",6,1171.0,2017
532,8415-01-538-6695,"TROUSERS,EXTREME COLD WEATHER",37,1169.0,22216
19,1005-01-457-4015,"CONVERSION KIT,RIFLE",10,1168.0,4038
107,2920-01-577-0806,CABLE KIT,6,1115.0,2020
67,1240-01-585-3100,MARK 4 SIGHT,4,1111.0,2019
412,6650-01-559-3648,BINOCULAR,185,1110.0,12114
273,5855-01-593-3985,"MOUNTING LOCKING MECHANISM,GOGGLES,NIGHT VISION",4,1101.0,2019
77,1240-DS-OPT-SIGH,OPTICAL SIGHTING AND RANGING EQUIPMENT,15,1100.0,4036
287,5860-01-466-2087,LASER BORESIGHT SYSTEM (LBS),7,1076.0,4038
36,1005-01-631-6485,"CONVERSION KIT,RIFLE",15,1076.0,2017
263,5855-01-571-1258,"ILLUMINATOR,INTEGRATED,SMALL ARMS",30,1049.0,2019
304,6115-01-552-4994,"GENERATOR,ALTERNATING CURRENT-DIRECT CURRENT",1,1008.0,2020
178,5836-DS-TVF-LTSC,TV FLAT SCREEN,2,1000.0,4040
286,5855-DS-THR-MCAM,THERMAL CAMERA,1,999.0,2017
428,6760-01-595-0586,"LENS,CAMERA,GENERAL PHOTOGRAPHIC",2,985.0,2019
718,8465-01-620-8033,"VEST,NON-BALLISTIC PROTECTIVE,ARMOR-CARRYING",1,984.0,2019
