,stock_number,item,quantity,value,year
2,2310-01-111-2274,"TRUCK,AMBULANCE",5,482330.0,10097
20,4940-01-154-3957,"SHOP EQUIPMENT,ELECTRONIC EQUIPMENT",1,450546.0,2018
3,2320-01-097-0249,"TRUCK,TANK",1,396130.0,2018
4,2320-01-100-7672,"TRUCK,TANK",1,384130.0,2017
5,2320-01-447-3890,"TRUCK,CARGO",2,368666.0,4038
6,2320-01-534-1091,"TRUCK,CARGO",1,316920.0,2020
12,3805-01-217-8422,"EXCAVATOR,UTILITY,TRUCK MOUNTED",1,298025.0,2019
17,4610-01-114-1450,WATER STORAGE AND DISTRIBUTION SYSTEM,2,200508.0,2019
18,4910-01-563-8425,"SHOP EQUIPMENT,HYDRAULIC SYSTEMS,TRAILER MOUNTED",1,112000.0,2020
25,6115-01-470-6376,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",2,76836.0,4038
13,3930-01-158-0849,"TRUCK,LIFT,FORK",1,72370.0,2019
16,4310-01-515-9940,"COMPRESSOR UNIT,RECIPROCATING",1,55681.0,2019
14,3930-DS-WHS-ETRA,"WAREHOUSE TRUCKS AND TRACTORS, SELF-PROP",2,24030.0,4039
9,2330-01-528-6690,"SEMITRAILER,LOW BED",1,22000.0,2019
26,6115-01-565-1576,"GENERATOR SET,DIESEL ENGINE,TRAILER MOUNTED",1,20415.0,2019
15,4310-01-158-3262,"COMPRESSOR UNIT,ROTARY",1,18507.0,2019
10,2340-01-506-6222,"UTILITY VEHICLE,4WD",2,14069.0,2019
24,6115-01-285-3012,"GENERATOR SET,DIESEL ENGINE",2,9922.0,2019
8,2330-01-387-5443,"TRAILER,CARGO",2,8954.0,2019
7,2330-01-387-5426,"TRAILER,CARGO",1,8954.0,2019
35,8340-01-185-2613,TENT,1,7169.0,2020
27,6230-00-299-7077,"LIGHT SET,GENERAL ILLUMINATION",1,6037.0,2019
36,8340-01-323-2454,TENT,1,5148.0,2020
1,1730-01-009-0446,"MAINTENANCE PLATFORM,AIRCRAFT",1,4717.0,2019
22,5140-DS-TOO-LBOX,TOOLBOX,2,3030.0,4038
28,6625-01-533-8574,APC SMART-UPS 1400V,3,2671.0,6060
11,3750-DS-LAW-NRID,"LAWN MOWER, RIDING",2,2362.0,2019
23,5180-01-483-0249,"TOOL KIT,GENERAL MECHANICS",1,1780.0,2019
19,4910-DS-PRE-SSUR,PRESSURE WASHER,1,1439.0,2019
0,1240-01-562-9459,"RANGE FINDER,LASER",20,1199.0,6054
33,7125-DS-CAB-INE6,"CABINET, STORAGE",1,1000.0,2019
21,5140-DS-CAB-INE0,"CABINET, TOOL",2,1000.0,4038
34,8145-00-872-1285,"SHIPPING AND STORAGE CONTAINER,MISCELLANEOUS EQUIPMENT",1,633.0,2019
29,6625-01-585-9211,MULTIMETER,2,600.0,2020
32,7110-01-653-5901,"WORK SURFACE,ADJUSTABLE",2,518.0,2020
37,8430-01-516-1659,"BOOTS,COMBAT",2,102.0,2020
38,8430-01-516-1679,"BOOTS,COMBAT",4,102.0,2020
39,8430-01-516-1691,"BOOTS,COMBAT",7,102.0,2020
31,7110-01-568-0401,"BOARD,MARKER",2,63.0,2020
30,7110-00-267-1973,"CHAIR,STRAIGHT",50,25.0,2020
