,stock_number,item,quantity,value,year
12,5855-01-464-3150,"SIGHT,THERMAL",4,50048.0,8072
8,3920-DS-MHE-NSPP,"MATERIAL HANDLING EQUIP, NONSELF-PROPEL",1,33000.0,2020
17,5855-DS-IMI-NTEN,IMAGE INTENSIFIER,2,9396.0,4040
15,5855-01-545-3659,"ILLUMINATOR,INTEGRATED,SMALL ARMS",3,5400.0,6060
4,1240-01-562-0953,"SIGHT,BORE,OPTICAL",4,5362.0,8076
6,1240-DS-OPT-SIGH,OPTICAL SIGHTING AND RANGING EQUIPMENT,2,4000.0,2019
16,5855-01-599-7151,"ILLUMINATOR,INTEGRATED,SMALL ARMS",2,2519.0,2020
20,6530-01-562-6008,"THERMAL GUARD,ABSORBENT PATIENT LITTER S",5,2444.0,2019
23,8340-01-359-0084,TENT,4,1817.0,2019
14,5855-01-533-0555,"ILLUMINATOR,INFRARED",20,1800.0,2020
18,6230-01-519-0393,"CASE,LIGHT SET",4,1218.0,2020
10,4220-01-608-4514,DIVERS SUIT,5,1100.0,2019
9,4220-01-608-4478,DIVERS SUIT,4,1100.0,2019
7,1385-DS-ROB-TEOD,EOD ROBOT,1,1000.0,2018
13,5855-01-526-4180,"ADAPTER,GOGGLES,NIGHT VISION",5,684.0,4034
19,6515-01-466-0971,"OXIMETER,PULSE",6,573.0,2019
5,1240-01-576-6134,"SIGHT,REFLEX",25,446.0,2017
1,1005-01-506-5928,"MOUNT,SIGHT,SMALL ARMS",10,398.0,2020
21,6910-01-609-5853,"TRAINING SET,WEAPON AND AMMUNITION",4,385.0,2019
3,1240-01-411-1265,"SIGHT,REFLEX",1,321.0,2019
25,8415-01-538-6289,"PARKA,EXTREME COLD WEATHER",8,124.0,2020
26,8415-01-538-6300,"PARKA,EXTREME COLD WEATHER",8,124.0,2020
24,8415-01-538-6278,"PARKA,EXTREME COLD WEATHER",4,124.0,2020
27,8415-01-538-6315,"PARKA,EXTREME COLD WEATHER",2,124.0,2020
22,7310-DS-COF-FEE1,COFFEE MAKER,1,75.0,2019
11,4240-01-583-5742,"SPECTACLES,INDUSTRIAL",6,51.0,2019
2,1005-01-561-7200,"MAGAZINE,CARTRIDGE",26,14.0,2018
0,1005-00-921-5004,"MAGAZINE,CARTRIDGE",75,14.0,2018
