name,party,start,end,url,image,born,term,party,major_acts,facts
Theresa May MP,Conservative,2016,2019,https://www.gov.uk/government/history/past-prime-ministers/theresa-may,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/6/s216_PM_portrait_960x640.jpg,"1 October 1956, Eastbourne",2016 to 2019,Conservative,"Investigatory Powers Act 2016, European Union (Notification of Withdrawal) Act 2017,
European Union (Withdrawal) Act 2018, Climate Change Act (2050 Target Amendment) Order 2019",Theresa May was the UK’s second female Prime Minister and the first world leader to serve with Type 1 diabetes.
David Cameron,Conservative,2010,2016,https://www.gov.uk/government/history/past-prime-ministers/david-cameron,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/1/s216_David_Cameron.jpg,"9 October 1966, London",2010 to 2016,Conservative,"Fixed Term Parliaments Act 2010
Academies Act 2010
Education Act 2011
Marriage (Same Sex Couples) Act 2013
Succession to the Crown Act 2013","David Cameron was the youngest Prime Minister since Lord Liverpool in 1812.

David Cameron is Chairman of Patrons at National Citizen Service, the UK’s flagship youth development programme that he personally founded while leader of the opposition.

He is also President of Alzheimer’s Research UK and, together with former US Secretary of State, John Kerry, co-chairs Pew Bertarelli Ocean Ambassadors. He also sits on the Board of the ONE campaign."
Gordon Brown,Labour,2007,2010,https://www.gov.uk/government/history/past-prime-ministers/gordon-brown,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/964/s216_Gordon-Brown.jpg,"20 February 1951, Giffnock, Glasgow, Scotland",2007 to 2010,Labour,"Climate Change Act 2008: to set a target for the year 2050 for the reduction of targeted greenhouse gas emissions.

Counter-Terrorism Act 2008: to confer further powers to gather and share information for counter-terrorism and other purposes.","Britain’s longest-serving modern Chancellor of the Exchequer. He was appointed Chancellor in May 1997, when Tony Blair became Prime Minister, through to June 2007 when he started as Prime Minister himself."
Tony Blair,Labour,1997,2007,https://www.gov.uk/government/history/past-prime-ministers/tony-blair,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/965/s216_tony-blair-bw.jpg,"6 May 1953, Edinburgh, Scotland",1997 to 2007,Labour,Civil Partnership Act 2004: allowed legal recognition of civil partnership relationship between two people of the same sex.,"Tony Blair initiated reforms in the House of Commons, modernising the format of Prime Minister's Question Time."
Sir John Major KG CH,Conservative,1990,1997,https://www.gov.uk/government/history/past-prime-ministers/john-major,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/966/s216_John-Major.jpg,"29 March 1943, St Helier, Carshalton, Surrey",1990 to 1997,Conservative,"National Lottery Act 1993: licensed a body to run a National Lottery.

Council Tax 1992: replaced the highly unpopular Poll Tax.","In 1994 his government's representatives participated in the negotiation of a cease-fire in Northern Ireland.

Following the death of Diana, Princess of Wales, in 1997, John Major was appointed a special guardian to Princes William and Harry with responsibility for legal and administrative matters.

A cricket enthusiast, in 2005 he was elected to the Committee of the Marylebone Cricket Club.

He is a successful after dinner speaker."
Baroness Margaret Thatcher,Conservative,1979,1990,https://www.gov.uk/government/history/past-prime-ministers/margaret-thatcher,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/967/s216_Margaret-Thatcher.jpg,"13 October 1925, Grantham, Lincolnshire","8 April 2013, London",1979 to 1990,Conservative,"Housing Act 1980: gave security of tenure, and the right to buy homes, to tenants of local authorities and other bodies."
James Callaghan,Labour,1976,1979,https://www.gov.uk/government/history/past-prime-ministers/james-callaghan,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/968/s216_James-Callaghan.jpg,"27 March 1912 , Copnor area of Portsmouth, Hampshire","26 March 2005, Ringmer, East Sussex",1976 to 1979,Labour,"Dangerous Wild Animals Act 1976: regulated the keeping of dangerous wild animals.

Race Relations Act 1976: serious amendments to the 1968 act to make fresh provision with respect to discrimination on racial grounds and relations between people of different racial groups."
Harold Wilson,Labour,1974,1976,https://www.gov.uk/government/history/past-prime-ministers/harold-wilson,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/969/s216_Harold-Wilson.jpg,"11 March 1916, Huddersfield, Yorkshire","23 May 1995, London","1974 to 1976, 1964 to 1970",Labour,"Murder (Abolition of Death Penalty) Act 1965:  suspended the death penalty in England, Wales and Scotland.

Sexual Offences Act 1967: decriminalisation of certain homosexual offences."
Sir Edward Heath,Conservative,1970,1974,https://www.gov.uk/government/history/past-prime-ministers/edward-heath,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/970/s216_Edward-Heath.jpg,"9 July 1916, Broadstairs, Kent","17 July 2005, Salisbury, Wiltshire",1970 to 1974,Conservative,Industrial relations Act 1971 (repealed 1974): controversial legislation to curb union power.
Sir Alec Douglas-Home,Conservative,1963,1964,https://www.gov.uk/government/history/past-prime-ministers/alec-douglas-home,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/971/s216_Sir-Alec-Douglas-Home.jpg,"2 July 1903, London","9 October 1995, Berwickshire",1963 to 1964,Conservative,
Harold Macmillan,Conservative,1957,1963,https://www.gov.uk/government/history/past-prime-ministers/harold-macmillan,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/972/s216_Harold-Macmillan.jpg,"10 February 1894, London","29 December 1986, Chelwood Gate, Sussex",1957 to 1963,Conservative,
Sir Anthony Eden,Conservative,1955,1957,https://www.gov.uk/government/history/past-prime-ministers/anthony-eden,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/973/s216_Sir-Anthony-Eden.jpg,"12 June 1897, Rushyford, County Durham","14 January 1977, Alvediston, Wiltshire",1955 to 1957,Conservative,
Sir Winston Churchill,Conservative,1951,1955,https://www.gov.uk/government/history/past-prime-ministers/winston-churchill,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/person/image/974/s216_Sir-Winston-Churchill.jpg,"30 November 1874, Blenheim Palace, Oxfordshire","24 January 1965, London","1951 to 1955, 1940 to 1945",Conservative,Education Act 1944: raised the school leavers age to 14; introduction of the 11+.
