dish,phonetic,korean,post_url,thumbnail_url,image_url
Sautéed cucumbers,Oi-bokkeum,오이볶음,https://www.maangchi.com/recipe/oi-bokkeum,https://www.maangchi.com/wp-content/uploads/2024/09/oi-bokkeum-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-NBhBomzk60efZnsKhg4ayvyZ.png?st=2024-10-14T01%3A34%3A29Z&se=2024-10-14T03%3A34%3A29Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-14T00%3A32%3A23Z&ske=2024-10-15T00%3A32%3A23Z&sks=b&skv=2024-08-04&sig=pqj7amnH2uNjoVangWAiotT1AWmPwaIb9xTy6f4tNDc%3D
Korean meatballs with sauce,Wanja,완자,https://www.maangchi.com/recipe/wanja,https://www.maangchi.com/wp-content/uploads/2024/08/wanja-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-OWm1DWtqRNIrucNnAIBvRxwz.png?st=2024-10-14T01%3A34%3A47Z&se=2024-10-14T03%3A34%3A47Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A12%3A34Z&ske=2024-10-14T23%3A12%3A34Z&sks=b&skv=2024-08-04&sig=f7kPY1w2KKICRWKaapePREfaeWXfotCbzhEQV/b5FOo%3D
Shredded cabbage pickles,Yangbaechu-pickle,양배추피클,https://www.maangchi.com/recipe/yangbaechu-pickle,https://www.maangchi.com/wp-content/uploads/2024/05/ybc-pickle-150x150.jpg,https://oaidalleapiprodscus.blob.core.windows.net/private/org-7Dt7jiYrqUON1nICdZ2GAZeL/user-fArVlsAHcWNu4szntgZfpqI4/img-buM4oLHSGpXj4zGvrPkJssg5.png?st=2024-10-14T01%3A35%3A02Z&se=2024-10-14T03%3A35%3A02Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-10-13T23%3A38%3A31Z&ske=2024-10-14T23%3A38%3A31Z&sks=b&skv=2024-08-04&sig=C3HQPayUp3KspfEB3igV6GjZ8VMJveojgzEbROa9GfA%3D
Pan-fried seasoned Spanish mackerel,Samchi-yangnyeom-gui,삼치양념구이,https://www.maangchi.com/recipe/samchi-yangnyeom-gui,https://www.maangchi.com/wp-content/uploads/2024/04/spanishmackerel-150x150.jpg,
Spicy stir-fried blood sausage,Sundae-bokkeum,순대볶음,https://www.maangchi.com/recipe/sundae-bokkeum,https://www.maangchi.com/wp-content/uploads/2024/02/sundae-bokkeum-150x150.jpg,
Braised black cod with radish,Eundaegu-jorim,은대구조림,https://www.maangchi.com/recipe/eundaegu-jorim,https://www.maangchi.com/wp-content/uploads/2023/11/eundaegujorim-1-150x150.jpg,
Perilla leaves jangtteok,Kkaennip-jangtteok,깻잎장떡,https://www.maangchi.com/recipe/kkaennip-jangtteok,https://www.maangchi.com/wp-content/uploads/2023/09/jangtteok-150x150.jpg,
Salad bread,Salad-ppang,샐러드빵,https://www.maangchi.com/recipe/salad-ppang,https://www.maangchi.com/wp-content/uploads/2023/06/saladppang-150x150.jpg,
Whole garlic pickles,Tongmaneul jangajji,통마늘 장아찌,https://www.maangchi.com/recipe/tongmaneul-jangajji,https://www.maangchi.com/wp-content/uploads/2023/05/tongmaneul-jangajji-150x150.jpg,
Spicy raw crab,Yangnyeom-gejang,양념게장,https://www.maangchi.com/recipe/yangnyeom-gejang,https://www.maangchi.com/wp-content/uploads/2023/04/korean-spicy-crab-150x150.jpg,
Stir-fried green chili peppers,Gochu-bokkeum,고추볶음,https://www.maangchi.com/recipe/gochu-bokkeum,https://www.maangchi.com/wp-content/uploads/2023/04/gochu-bokkeum-150x150.jpg,
Mustard greens kimchi,Gat-kimchi,갓김치,https://www.maangchi.com/recipe/gat-kimchi,https://www.maangchi.com/wp-content/uploads/2023/03/gat-kimchi-150x150.jpg,
Soy butter pan-grilled chicken,Ganjang-beoteo dakgui,간장버터 닭구이,https://www.maangchi.com/recipe/ganjang-beoteo-dakgui,https://www.maangchi.com/wp-content/uploads/2022/11/soy-butter-chicken-150x150.jpg,
Stir-fried collard greens with doenjang,Collard greens doenjang-bokkeum,콜라드그린 된장볶움,https://www.maangchi.com/recipe/collard-greens-doenjang-bokkeum,https://www.maangchi.com/wp-content/uploads/2022/10/collardgreens-stirfried-150x150.jpg,
Braised beef in soy sauce,Jangjorim,장조림,https://www.maangchi.com/recipe/jangjorim,https://www.maangchi.com/wp-content/uploads/2022/07/jangjorim-150x150.jpg,
Braised beltfish,Galchi-jorim,갈치조림,https://www.maangchi.com/recipe/galchi-jorim,https://www.maangchi.com/wp-content/uploads/2022/07/galchi-jorim-150x150.jpg,
Spicy cod fillets,Daegusal-jorim,대구살조림,https://www.maangchi.com/recipe/daegusal-jorim,https://www.maangchi.com/wp-content/uploads/2022/04/daegusal-jorim-1-150x150.jpg,
Soybean paste stew with beef,Sogogi doenjang-jjigae,소고기 된장찌개,https://www.maangchi.com/recipe/sogogi-doenjang-jjigae,https://www.maangchi.com/wp-content/uploads/2022/03/beef-doenjangjjigae-150x150.jpg,
Garlic green beans,Kkeopjilkong maneul bokkeum,껍질콩 마늘 볶음,https://www.maangchi.com/recipe/kkeopjilkong-maneul-bokkeum,https://www.maangchi.com/wp-content/uploads/2022/01/garlic-green-beans-150x150.jpg,
Beef bone broth,Sagol-gukmul,사골국물,https://www.maangchi.com/recipe/sagol-gukmul,https://www.maangchi.com/wp-content/uploads/2021/11/korean-beef-bone-broth-1-150x150.jpg,
"Sweet, sour, & crispy mushrooms",Beoseot-tangsu,버섯탕수,https://www.maangchi.com/recipe/beoseot-tangsu,https://www.maangchi.com/wp-content/uploads/2021/09/pyogo-beoseot-tangsu-1-150x150.jpg,
Green onion kimchi,Pa-kimchi,파김치,https://www.maangchi.com/recipe/pa-kimchi,https://www.maangchi.com/wp-content/uploads/2021/07/pa-kimchi-150x150.jpg,
Minari side dish,Minari-muchim,미나리무침,https://www.maangchi.com/recipe/minari-muchim,https://www.maangchi.com/wp-content/uploads/2021/06/minari-muchim-150x150.jpg,
Asparagus side dish,Asparagus-muchim,아스파라거스무침,https://www.maangchi.com/recipe/asparagus-muchim,https://www.maangchi.com/wp-content/uploads/2021/04/asparagus-muchim-150x150.jpg,
Seafood green onion pancake,Haemul-pajeon,해물파전,https://www.maangchi.com/recipe/haemul-pajeon,https://www.maangchi.com/wp-content/uploads/2021/04/haemul-pajeon-150x150.jpg,
Broccoli with tofu,Broccoli dubu-muchim,브로콜리 두부무침,https://www.maangchi.com/recipe/broccoli-dubu-muchim,https://www.maangchi.com/wp-content/uploads/2021/01/broccoli-dubu-muchim-scaled-150x150.jpg,
Stir-fried oyster mushrooms,Neutari-beoseot-bokkeum,느타리버섯볶음,https://www.maangchi.com/recipe/neutari-beoseot-bokkeum,https://www.maangchi.com/wp-content/uploads/2020/11/neutari-beoseot-scaled-150x150.jpg,
Spicy soft tofu stew with beef,Gogi sundubu-jjigae,고기 순두부찌개,https://www.maangchi.com/recipe/gogi-sundubu-jjigae,https://www.maangchi.com/wp-content/uploads/2020/11/gogi-sundubu-jjigae-150x150.jpg,
Seasoned seaweed,Gim-muchim,김무침,https://www.maangchi.com/recipe/gim-muchim,https://www.maangchi.com/wp-content/uploads/2020/08/gimmuchim-recipe-150x150.jpg,
Stir-fried potato and ham,Gamja-haem-bokkeum,감자햄볶음,https://www.maangchi.com/recipe/gamja-haem-bokkeum,https://www.maangchi.com/wp-content/uploads/2020/07/gamja-ham-bokkeum-scaled-150x150.jpg,
Cabbage pancake,Baechujeon,배추전,https://www.maangchi.com/recipe/baechujeon,https://www.maangchi.com/wp-content/uploads/2020/06/baechujeon-150x150.jpg,
Sweet and crunchy tofu,Dubu-gangjeong,두부강정,https://www.maangchi.com/recipe/dubu-gangjeong,https://www.maangchi.com/wp-content/uploads/2020/04/dubugangjeong-150x150.jpg,
Kimchi pancake,Kimchijeon,김치전,https://www.maangchi.com/recipe/kimchijeon,https://www.maangchi.com/wp-content/uploads/2020/02/kimchijeon-150x150.jpg,
Soybean paste soup with spinach and clams,Sigeumchi-jogae doenjangguk,시금치조개 된장국,https://www.maangchi.com/recipe/sigeumchi-jogae-doenjangguk,https://www.maangchi.com/wp-content/uploads/2020/02/siguemchijogae-doenjangguk-150x150.jpg,
Chayote kimchi,차이오티 김치,,https://www.maangchi.com/recipe/chayote-kimchi,https://www.maangchi.com/wp-content/uploads/2020/01/kkakdugi-chayote-150x150.jpg,
Fruit salad,Gwa-il-saeleodeu,과일샐러드,https://www.maangchi.com/recipe/fruit-salad,https://www.maangchi.com/wp-content/uploads/2019/12/fruitsalad-150x150.jpg,
Stir-fried noodles and vegetables,Easy japchae,잡채,https://www.maangchi.com/recipe/easy-japchae,https://www.maangchi.com/wp-content/uploads/2019/12/japchae-three-150x150.jpg,
Oxtail soup,Sokkoritang,소꼬리탕,https://www.maangchi.com/recipe/sokkoritang,https://www.maangchi.com/wp-content/uploads/2019/11/oxtail-soup-youtube-150x150.jpg,
Vegetarian kimchi,Chaesik-kimchi,채식김치,https://www.maangchi.com/recipe/chaesik-kimchi,https://www.maangchi.com/wp-content/uploads/2019/11/vegetarian-kimchi-150x150.jpg,
Vegetable stock,Chaeso-gukmul,채소국물,https://www.maangchi.com/recipe/chaeso-gukmul,https://www.maangchi.com/wp-content/uploads/2019/10/chaesogukmul-closeup-150x150.jpg,
Doenjangguk with bok choy and tofu,Cheonggyeongchae dubu-doenjangguk,청경채 두부된장국,https://www.maangchi.com/recipe/cheonggyeongchae-dubu-doenjangguk,https://www.maangchi.com/wp-content/uploads/2019/10/doenjangguk-150x150.jpg,
Korean-style mapo tofu,Mapadubu,마파두부,https://www.maangchi.com/recipe/korean-style-mapo-tofu,https://www.maangchi.com/wp-content/uploads/2019/09/mapotofu-150x150.jpg,
