FID,Company,Name,Terminal_S,City,State,Country,Zip,Longitude,Latitude,Cty_Parish,Storage,SendOut,Markets,Availabili,Type,Imp_Exp,Status,FERC_MARAD,Address,FID_2,NAME_2,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,NO_FARMS17,AVE_SIZE17,CROP_ACR17,AVE_SALE17,Shape_Leng,SHAPE_Length,SHAPE_Area
"9",EXXON MOBIL CORP,EXXONMOBIL REFINING & SUPPLY CO,Oil Refinery,BAYTOWN,Texas,US,"77520",-95.024925,29.740335,".",".","560500",Texas Gulf Coast,".",".",".",".",".",5000 Bayway Drive,"2623",Harris County,Texas,"48","201","48201","4778365",2732.5,"4092459",2302.6,"2318256","775492","27763","253032","3018","1671540","583566","131332","2037405","2055054","336314","320339","306560","300676","297495","661590","588282","548550","399166","195502","101297","36688",32.2,31.4,33.1,"1435155",2.82,"177341","184547","372525","307469","48479","150385","985652",3.43,"1598698","163543","814810","620345",2207,107,59879,29538,1748.72,1891,116,52722,26764,7.73182998133,7.73182998132898,0.422871673222
"10",EXXON MOBIL CORP,EXXONMOBIL REFINING & SUPPLY CO,Oil Refinery,BEAUMONT,Texas,US,"77701",-94.076964,30.064686,".",".","344500",Texas Gulf Coast,".",".",".",".",".",1795 Burt Street,"2645",Jefferson County,Texas,"48","245","48245","258338",271,"252273",255.4,"131574","85291","1381","8630","83","42899","20353","4961","128946","123327","17162","16195","16392","18380","19123","35766","31521","37127","28605","16066","11547","4389",36,34.9,37.3,"93441",2.53,"12452","14263","18170","22727","2691","10574","61812",3.12,"104424","10983","59066","34375",764,463,112735,49778,953.11,729,492,137267,44331,5.79102538887,5.79102538887457,0.230534843865
"13",ALON ISRAEL OIL COMPANY LTD,ALON USA ENERGY INC,Oil Refinery,BIG SPRING,Texas,US,"79720",-101.421452,32.268433,".",".","67000",Texas Inland,".",".",".",".",".",200 Refinery Road,"2636",Howard County,Texas,"48","227","48227","38535",42.6,"35012",38.7,"25928","2181","317","267","15","13255","5583","721","19720","15292","2267","2185","2047","2542","2484","4676","4161","6092","3943","2444","1623","548",38.4,38.8,38,"11333",2.55,"1457","1618","2254","3141","434","1154","7751",3.09,"13124","1791","7670","3663",475,1049,161890,29187,904.21,373,1397,148291,72027,1.90002899535,1.90002899534871,0.224242033228
"16",WRB REFINING LP,WRB REFINING LP,Oil Refinery,BORGER,Texas,US,"79007",-101.355312,35.694608,".",".","146000",Texas Inland,".",".",".",".",".",Philips Avenue,"2639",Hutchinson County,Texas,"48","233","48233","21773",24.3,"22150",24.7,"18944","558","364","91","5","4386","1582","606","11077","11073","1601","1618","1614","1543","1186","2740","2564","3181","2837","1667","1216","383",37.9,37.2,38.5,"8812",2.5,"1201","1141","2009","2786","270","658","6128",3,"10629","1817","6774","2038",247,2109,97808,226221,894.95,149,3679,81695,301423,1.93599555592,1.93599555591828,0.231228530314
"26",PDV AMERICA INC,CITGO REFINING & CHEMICAL INC,Oil Refinery,CORPUS CHRISTI,Texas,US,"78407",-97.443686,27.803426,".",".","163000",Texas Gulf Coast,".",".",".",".",".",4806 Up River Road,"2700",Nueces County,Texas,"48","355","48355","367856",433.2,"340223",403.1,"277402","13637","2128","5731","269","206293","32797","8259","167038","173185","24076","24637","24668","24892","25061","46200","41512","48532","39732","22009","13668","5236",35.1,34,36.3,"124587",2.68,"15252","16026","26341","30354","4600","13787","85270",3.23,"141033","16446","75646","48941",754,695,362586,112558,849.25,646,735,332346,249261,7.86176018663,7.8617601866329,0.201283153423
"27",KOCH INDUSTRIES INC,Flint Hills Resources LP,Oil Refinery,CORPUS CHRISTI,Texas,US,"78409",-97.520342,27.83508,".",".","284172",Texas Gulf Coast,".",".",".",".",".",2825 Suntide Road,"2700",Nueces County,Texas,"48","355","48355","367856",433.2,"340223",403.1,"277402","13637","2128","5731","269","206293","32797","8259","167038","173185","24076","24637","24668","24892","25061","46200","41512","48532","39732","22009","13668","5236",35.1,34,36.3,"124587",2.68,"15252","16026","26341","30354","4600","13787","85270",3.23,"141033","16446","75646","48941",754,695,362586,112558,849.25,646,735,332346,249261,7.86176018663,7.8617601866329,0.201283153423
"28",VALERO ENERGY CORP,VALERO REFINING CO TEXAS LP,Oil Refinery,CORPUS CHRISTI,Texas,US,"78407",-97.446245,27.807109,".",".","200000",Texas Gulf Coast,".",".",".",".",".",1147 Cantwell Lane,"2700",Nueces County,Texas,"48","355","48355","367856",433.2,"340223",403.1,"277402","13637","2128","5731","269","206293","32797","8259","167038","173185","24076","24637","24668","24892","25061","46200","41512","48532","39732","22009","13668","5236",35.1,34,36.3,"124587",2.68,"15252","16026","26341","30354","4600","13787","85270",3.23,"141033","16446","75646","48941",754,695,362586,112558,849.25,646,735,332346,249261,7.86176018663,7.8617601866329,0.201283153423
"30",DEER PARK REFINING LTD PTNRSHP,DEER PARK REFINING LTD PARTNERSHIP,Oil Refinery,DEER PARK,Texas,US,"77536",-95.1191,29.711145,".",".","327000",Texas Gulf Coast,".",".",".",".",".",5900 Texas 225,"2623",Harris County,Texas,"48","201","48201","4778365",2732.5,"4092459",2302.6,"2318256","775492","27763","253032","3018","1671540","583566","131332","2037405","2055054","336314","320339","306560","300676","297495","661590","588282","548550","399166","195502","101297","36688",32.2,31.4,33.1,"1435155",2.82,"177341","184547","372525","307469","48479","150385","985652",3.43,"1598698","163543","814810","620345",2207,107,59879,29538,1748.72,1891,116,52722,26764,7.73182998133,7.73182998132898,0.422871673222
"36",WESTERN REFINING INC.,WESTERN REFINING COMPANY LP,Oil Refinery,EL PASO,Texas,US,"79905",-106.403873,31.768998,".",".","122000",Texas Inland,".",".",".",".",".",6500 Trowbridge Drive,"2593",El Paso County,Texas,"48","141","48141","879919",866.7,"800647",788.8,"656993","24864","6007","8284","999","658134","83796","19704","387876","412771","64621","66100","67882","69454","62186","106712","104786","101858","74825","44235","28524","9464",31.4,29.4,33.2,"256557",3.06,"24125","26770","75353","54942","8282","35589","196625",3.56,"270307","13750","161695","94862",657,319,53280,69308,1015.29,656,217,39915,71248,2.43452377023,2.43452377022599,0.250345014736
"48",ACCESS INDUSTRIES,HOUSTON REFINING LP,Oil Refinery,HOUSTON,Texas,US,"77017",-95.23623,29.709696,".",".","273433",Texas Gulf Coast,".",".",".",".",".",12000 Lawndale,"2623",Harris County,Texas,"48","201","48201","4778365",2732.5,"4092459",2302.6,"2318256","775492","27763","253032","3018","1671540","583566","131332","2037405","2055054","336314","320339","306560","300676","297495","661590","588282","548550","399166","195502","101297","36688",32.2,31.4,33.1,"1435155",2.82,"177341","184547","372525","307469","48479","150385","985652",3.43,"1598698","163543","814810","620345",2207,107,59879,29538,1748.72,1891,116,52722,26764,7.73182998133,7.73182998132898,0.422871673222
"49",VALERO ENERGY CORP,VALERO REFINING CO TEXAS LP,Oil Refinery,HOUSTON,Texas,US,"77012",-95.25695,29.718992,".",".","88000",Texas Gulf Coast,".",".",".",".",".",9701 Manchester Street,"2623",Harris County,Texas,"48","201","48201","4778365",2732.5,"4092459",2302.6,"2318256","775492","27763","253032","3018","1671540","583566","131332","2037405","2055054","336314","320339","306560","300676","297495","661590","588282","548550","399166","195502","101297","36688",32.2,31.4,33.1,"1435155",2.82,"177341","184547","372525","307469","48479","150385","985652",3.43,"1598698","163543","814810","620345",2207,107,59879,29538,1748.72,1891,116,52722,26764,7.73182998133,7.73182998132898,0.422871673222
"75",PETROLEO BRASILEIRO SA,PASADENA REFINING SYSTEMS INC,Oil Refinery,PASADENA,Texas,US,"77506",-95.210331,29.718599,".",".","100000",Texas Gulf Coast,".",".",".",".",".",111 Red Bluff Road,"2623",Harris County,Texas,"48","201","48201","4778365",2732.5,"4092459",2302.6,"2318256","775492","27763","253032","3018","1671540","583566","131332","2037405","2055054","336314","320339","306560","300676","297495","661590","588282","548550","399166","195502","101297","36688",32.2,31.4,33.1,"1435155",2.82,"177341","184547","372525","307469","48479","150385","985652",3.43,"1598698","163543","814810","620345",2207,107,59879,29538,1748.72,1891,116,52722,26764,7.73182998133,7.73182998132898,0.422871673222
"81",MOTIVA ENTERPRISES LLC,Motiva Enterprises LLC,Oil Refinery,PORT ARTHUR,Texas,US,"77640",-93.950985,29.888462,".",".","285000",Texas Gulf Coast,".",".",".",".",".",2555 Savannah Avenue,"2645",Jefferson County,Texas,"48","245","48245","258338",271,"252273",255.4,"131574","85291","1381","8630","83","42899","20353","4961","128946","123327","17162","16195","16392","18380","19123","35766","31521","37127","28605","16066","11547","4389",36,34.9,37.3,"93441",2.53,"12452","14263","18170","22727","2691","10574","61812",3.12,"104424","10983","59066","34375",764,463,112735,49778,953.11,729,492,137267,44331,5.79102538887,5.79102538887457,0.230534843865
"82",VALERO ENERGY CORP,PREMCOR REFINING GROUP INC,Oil Refinery,PORT ARTHUR,Texas,US,"77640",-93.965146,29.866498,".",".","290000",Texas Gulf Coast,".",".",".",".",".",1801 South Gulfway Drive,"2645",Jefferson County,Texas,"48","245","48245","258338",271,"252273",255.4,"131574","85291","1381","8630","83","42899","20353","4961","128946","123327","17162","16195","16392","18380","19123","35766","31521","37127","28605","16066","11547","4389",36,34.9,37.3,"93441",2.53,"12452","14263","18170","22727","2691","10574","61812",3.12,"104424","10983","59066","34375",764,463,112735,49778,953.11,729,492,137267,44331,5.79102538887,5.79102538887457,0.230534843865
"83",TOTAL SA,TOTAL PETROCHEMICALS INC,Oil Refinery,PORT ARTHUR,Texas,US,"77642",-93.897527,29.957888,".",".","130000",Texas Gulf Coast,".",".",".",".",".",7600 32nd Street,"2645",Jefferson County,Texas,"48","245","48245","258338",271,"252273",255.4,"131574","85291","1381","8630","83","42899","20353","4961","128946","123327","17162","16195","16392","18380","19123","35766","31521","37127","28605","16066","11547","4389",36,34.9,37.3,"93441",2.53,"12452","14263","18170","22727","2691","10574","61812",3.12,"104424","10983","59066","34375",764,463,112735,49778,953.11,729,492,137267,44331,5.79102538887,5.79102538887457,0.230534843865
"94",NUSTAR ENERGY LP,NUSTAR REFINING LLC,Oil Refinery,SAN ANTONIO,Texas,US,"78257",-98.607096,29.618507,".",".","14021",Texas Inland,".",".",".",".",".",19003 West Interstate 10,"2537",Bexar County,Texas,"48","029","48029","2009694",1600,"1714773",1365.4,"1250252","128892","14475","41739","2350","1006958","217389","59676","840840","873933","130087","130307","128117","132660","133455","253267","230754","227116","173127","96241","57238","22404",32.9,31.6,34.2,"608931",2.75,"71709","82300","144199","136484","19798","68237","416356",3.33,"662872","53941","368638","240293",2457,140,89092,29461,1256.07,2520,132,91021,26935,2.74390545281,2.74390545281124,0.302529124673
"102",VALERO ENERGY CORP,VALERO ENERGY CORPORATION,Oil Refinery,SUNRAY,Texas,US,"79086",-101.82471,36.156676,".",".","156000",Texas Inland,".",".",".",".",".",6701 FM 119,"2733",Sherman County,Texas,"48","421","48421","3136",3.4,"3034",3.3,"2680","14","23","7","0","1227","264","46","1548","1486","216","263","245","276","127","315","435","444","308","200","141","64",36.7,35.8,37.5,"1081",2.78,"130","103","347","342","47","46","819",3.25,"1252","171","793","288",313,1863,339142,1886123,923.02,245,2409,355226,3420643,1.96796046692,1.96796046691889,0.239787841456
"104",CONOCOPHILLIPS,CONOCOPHILLIPS COMPANY,Oil Refinery,SWEENY,Texas,US,"77480",-95.761064,29.075048,".",".","247000",Texas Gulf Coast,".",".",".",".",".",County Road 514,"2542",Brazoria County,Texas,"48","039","48039","397371",279.5,"313166",217.3,"219416","37761","1770","17227","89","86643","28656","8247","159000","154166","24728","24514","23549","22208","17571","43475","47387","46709","33102","17698","9240","2985",35.1,34.8,35.4,"106589",2.84,"10345","10823","32818","29445","3443","8882","80641",3.28,"118336","11747","79477","27112",3091,204,175913,38252,1421.8,2851,161,131802,27894,8.84310246098,8.84310246097768,0.341604999046
"106",BP PLC,BP PRODUCTS NORTH AMERICA INC,Oil Refinery,TEXAS CITY,Texas,US,"77590",-94.934941,29.383915,".",".","400780",Texas Gulf Coast,".",".",".",".",".",2800 FM 519 East,"2606",Galveston County,Texas,"48","167","48167","349935",904.6,"291309",704.3,"211088","40112","1748","8690","149","65270","21631","7891","144234","147075","19979","20559","20821","20852","17499","37720","39206","46122","35747","18922","10215","3667",37.1,36.2,38,"108969",2.63,"13150","13781","26022","29345","3301","9701","75747",3.16,"132492","23523","74944","34025",612,146,17562,0,386.83,633,116,16984,14586,10.0981140748,10.0981140748415,0.0931214865685
"107",MARATHON PETROLEUM CORP,MARATHON PETROLEUM CO LLC,Oil Refinery,TEXAS CITY,Texas,US,"77590",-94.909318,29.379226,".",".","80000",Texas Gulf Coast,".",".",".",".",".",502 10th Street South,"2606",Galveston County,Texas,"48","167","48167","349935",904.6,"291309",704.3,"211088","40112","1748","8690","149","65270","21631","7891","144234","147075","19979","20559","20821","20852","17499","37720","39206","46122","35747","18922","10215","3667",37.1,36.2,38,"108969",2.63,"13150","13781","26022","29345","3301","9701","75747",3.16,"132492","23523","74944","34025",612,146,17562,0,386.83,633,116,16984,14586,10.0981140748,10.0981140748415,0.0931214865685
"108",VALERO ENERGY CORP,VALERO REFINING CO TEXAS LP,Oil Refinery,TEXAS CITY,Texas,US,"77590",-94.902681,29.397315,".",".","225000",Texas Gulf Coast,".",".",".",".",".",1301 Texas 197 Loop,"2606",Galveston County,Texas,"48","167","48167","349935",904.6,"291309",704.3,"211088","40112","1748","8690","149","65270","21631","7891","144234","147075","19979","20559","20821","20852","17499","37720","39206","46122","35747","18922","10215","3667",37.1,36.2,38,"108969",2.63,"13150","13781","26022","29345","3301","9701","75747",3.16,"132492","23523","74944","34025",612,146,17562,0,386.83,633,116,16984,14586,10.0981140748,10.0981140748415,0.0931214865685
"109",VALERO ENERGY CORP,VALERO ENERGY CORPORATION,Oil Refinery,THREE RIVERS,Texas,US,"78071",-98.185656,28.458988,".",".","93000",Texas Inland,".",".",".",".",".",301 Le Roy Street,"2671",Live Oak County,Texas,"48","297","48297","12188",11.3,"11531",10.7,"10107","502","92","57","3","4060","592","178","6195","5336","574","626","674","725","577","1374","1400","1773","1591","1250","737","230",43.7,41.9,46.2,"4257",2.44,"581","565","824","1499","144","261","2952",2.93,"6065","1808","3383","874",892,606,55742,20081,1078.88,856,531,47392,22723,2.30802541031,2.30802541031187,0.257173893047
"115",DELEK GROUP LTD,DELEK REFINING LTD,Oil Refinery,TYLER,Texas,US,"75702",-95.280321,32.35462,".",".","60000",Texas Inland,".",".",".",".",".",425 McMurrey Drive,"2734",Smith County,Texas,"48","423","48423","238203",250.8,"209714",220.9,"147086","37629","1141","2597","79","36088","17024","4158","101425","108289","14954","15133","14769","15954","15543","26946","25495","27411","23658","16014","9975","3862",35.6,34.1,37,"79055",2.6,"8269","11706","18123","22866","1957","7124","54803",3.13,"87309","8254","52569","26486",2961,102,77116,25934,949.72,2928,93,64308,18308,2.92178258019,2.92178258018945,0.235705620711
