hospital,total_covid_patients,covid_patients_share
Providence Little Co of Mary Med Ctr San Pedro,10.0,19.0
"Martin Luther King, Jr. Community Hospital",19.0,17.0
Cedar-Sinai Marina Del Rey Hospital,8.0,14.0
West Hills Hospital & Medical Center,14.0,14.0
Whittier Hospital Medical Center,11.0,13.0
Monterey Park Hospital,6.0,12.0
Lac/Rancho Los Amigos National Rehabilitation  Ctr,14.0,12.0
Kaiser Foundation Hospital - West LA,15.0,12.0
Kaiser Foundation Hospital - Downey,21.0,11.0
Keck Hospital of Usc,27.0,11.0
