hospital,hospital_subtype,ccn,week,county,fips,total_beds,total_staffed_adult_icu_beds,total_covid_icu_patients,total_available_adult_icu_beds,pct_occupied_adult_icu_beds,total_covid_patients,all_patients,covid_patients_share,region
St Rose Hospital,Short Term,050002,2021-03-19,Alameda,001,95.0,14.0,1.0,6.0,0.57,4.0,53.0,0.08,Bay Area
Washington Hospital,Short Term,050195,2021-03-19,Alameda,001,215.0,28.0,2.0,7.0,0.75,7.0,160.0,0.04,Bay Area
Highland Hospital,Short Term,050320,2021-03-19,Alameda,001,432.0,33.0,3.0,12.0,0.64,11.0,158.0,0.07,Bay Area
Eden Medical Center,Short Term,050488,2021-03-19,Alameda,001,150.0,24.0,4.0,3.0,0.88,12.0,126.0,0.1,Bay Area
Kaiser Foundation Hospital - Oakland/Richmond,Short Term,050075,2021-03-19,Alameda,001,313.0,19.0,6.0,1.0,0.95,28.0,243.0,0.12,Bay Area
Alta Bates Summit Medical Center - Alta Bates Camp,Short Term,050305,2021-03-19,Alameda,001,403.0,30.0,2.0,20.0,0.33,6.0,110.0,0.05,Bay Area
Alta Bates Summit Medical Center,Short Term,050043,2021-03-19,Alameda,001,296.0,36.0,1.0,18.0,0.5,6.0,179.0,0.03,Bay Area
Kaiser Foundation Hospital - Fremont,Short Term,050512,2021-03-19,Alameda,001,90.0,8.0,2.0,1.0,0.88,11.0,76.0,0.14,Bay Area
Ucsf Benioff Children'S Hospital Oakland,Childrens Hospitals,053301,2021-03-19,Alameda,001,149.0,0.0,0.0,0.0,,1.0,75.0,0.01,Bay Area
Alameda Hospital,Short Term,050211,2021-03-19,Alameda,001,90.0,8.0,0.0,5.0,0.38,2.0,36.0,0.06,Bay Area
Kindred Hospital - San Francisco Bay Area,Long Term,052034,2021-03-19,Alameda,001,99.0,10.0,0.0,1.0,0.9,0.0,93.0,0.0,Bay Area
Stanford Health Care - Valleycare,Short Term,050283,2021-03-19,Alameda,001,257.0,22.0,3.0,5.0,0.77,10.0,87.0,0.11,Bay Area
Kaiser Foundation Hospital - San Leandro,Short Term,050777,2021-03-19,Alameda,001,180.0,14.0,4.0,1.0,0.93,19.0,149.0,0.13,Bay Area
Sutter Amador Hospital,Short Term,050014,2021-03-19,Amador,005,52.0,6.0,0.0,4.0,0.33,1.0,21.0,0.05,Greater Sacramento
Enloe Medical Center,Short Term,050039,2021-03-19,Butte,007,255.0,24.0,0.0,7.0,0.71,6.0,232.0,0.03,Greater Sacramento
Orchard Hospital,Critical Access Hospitals,051311,2021-03-19,Butte,007,24.0,4.0,1.0,2.0,0.5,1.0,7.0,0.14,Greater Sacramento
Oroville Hospital,Short Term,050030,2021-03-19,Butte,007,172.0,10.0,1.0,1.0,0.9,2.0,114.0,0.02,Greater Sacramento
