state,gop_vote_pct,dem_vote_pct,other_vote_pct,year
Alabama,62.08,34.36,3.56,2016
Alaska,51.28,36.55,12.17,2016
Arizona,48.67,45.13,6.2,2016
Arkansas,60.57,33.65,5.78,2016
California,31.62,61.73,6.66,2016
Colorado,43.25,48.16,8.59,2016
Connecticut,40.93,54.57,4.51,2016
Delaware,41.71,53.09,5.2,2016
District of Columbia,4.09,90.86,5.05,2016
Florida,49.02,47.82,3.15,2016
Georgia,50.77,45.64,3.59,2016
Hawaii,30.04,62.22,7.74,2016
Idaho,59.26,27.49,13.25,2016
Illinois,38.76,55.83,5.41,2016
Indiana,56.94,37.77,5.29,2016
Iowa,51.15,41.74,7.11,2016
Kansas,56.65,36.05,7.29,2016
Kentucky,62.52,32.68,4.8,2016
Louisiana,58.09,38.45,3.46,2016
Maine,44.87,47.83,7.3,2016
Maryland,33.91,60.33,5.76,2016
Massachusetts,32.81,60.01,7.19,2016
Michigan,47.5,47.27,5.23,2016
Minnesota,44.92,46.44,8.63,2016
Mississippi,57.94,40.11,1.94,2016
Missouri,56.77,38.14,5.09,2016
Montana,56.17,35.75,8.09,2016
Nebraska,58.75,33.7,7.55,2016
Nevada,45.5,47.92,6.58,2016
New Hampshire,46.46,46.83,6.72,2016
New Jersey,41.35,55.45,3.2,2016
New Mexico,40.04,48.26,11.7,2016
New York,36.52,59.01,4.48,2016
North Carolina,49.83,46.17,4.0,2016
North Dakota,62.96,27.23,9.82,2016
Ohio,51.69,43.56,4.75,2016
Oklahoma,65.32,28.93,5.75,2016
Oregon,39.09,50.07,10.83,2016
Pennsylvania,48.18,47.46,4.35,2016
Rhode Island,38.9,54.41,6.7,2016
South Carolina,54.94,40.67,4.39,2016
South Dakota,61.53,31.74,6.73,2016
Tennessee,60.72,34.72,4.56,2016
Texas,52.23,43.24,4.53,2016
Utah,45.54,27.46,27.0,2016
Vermont,30.27,56.68,13.05,2016
Virginia,44.41,49.73,5.87,2016
Washington,36.83,52.54,10.63,2016
West Virginia,68.5,26.43,5.08,2016
Wisconsin,47.22,46.45,6.33,2016
Wyoming,68.17,21.88,9.95,2016
,46.09,48.18,5.73,2016
,inf,inf,inf,2016
,,,,2016
,,,,2016
,,,,2016
,,,,2016
,,,,2016
