state,gop_vote_pct,dem_vote_pct,other_vote_pct,year
Alabama,62.03,36.57,1.4,2020
Alaska,52.83,42.77,4.39,2020
Arizona,49.06,49.36,1.58,2020
Arkansas,62.4,34.78,2.83,2020
California,34.32,63.48,2.2,2020
Colorado,41.9,55.4,2.7,2020
Connecticut,39.19,59.26,1.55,2020
Delaware,39.77,58.74,1.48,2020
District of Columbia,5.4,92.15,2.45,2020
Florida,51.22,47.86,0.92,2020
Georgia,49.24,49.47,1.29,2020
Hawaii,34.27,63.73,2.0,2020
Idaho,63.84,33.07,3.1,2020
Illinois,40.55,57.54,1.9,2020
Indiana,57.02,40.96,2.02,2020
Iowa,53.09,44.89,2.02,2020
Kansas,56.21,41.56,2.23,2020
Kentucky,62.09,36.15,1.76,2020
Louisiana,58.46,39.85,1.69,2020
Maine,44.02,53.09,2.89,2020
Maryland,32.15,65.36,2.49,2020
Massachusetts,32.14,65.6,2.26,2020
Michigan,47.84,50.62,1.54,2020
Minnesota,45.28,52.4,2.32,2020
Mississippi,57.6,41.06,1.34,2020
Missouri,56.8,41.41,1.79,2020
Montana,56.92,40.55,2.53,2020
Nebraska,58.22,39.17,2.61,2020
Nevada,47.67,50.06,2.28,2020
New Hampshire,45.36,52.71,1.94,2020
New Jersey,41.4,57.33,1.27,2020
New Mexico,43.5,54.29,2.21,2020
New York,37.75,60.86,1.39,2020
North Carolina,49.93,48.59,1.48,2020
North Dakota,65.11,31.76,3.13,2020
Ohio,53.27,45.24,1.49,2020
Oklahoma,65.37,32.29,2.34,2020
Oregon,40.37,56.45,3.18,2020
Pennsylvania,48.84,50.01,1.15,2020
Rhode Island,38.61,59.39,2.0,2020
South Carolina,55.11,43.43,1.46,2020
South Dakota,61.77,35.61,2.63,2020
Tennessee,60.66,37.45,1.89,2020
Texas,52.06,46.48,1.46,2020
Utah,58.13,37.65,4.22,2020
Vermont,30.67,66.09,3.24,2020
Virginia,44.0,54.11,1.89,2020
Washington,38.77,57.97,3.26,2020
West Virginia,68.62,29.69,1.68,2020
Wisconsin,48.82,49.45,1.73,2020
Wyoming,69.94,26.55,3.51,2020
